                    ************************************************************************************************
                    *  Z= 28 A= 64: Positive-Parity Spin-dependent Level Density [MeV-1] for Ni 64 and ldmodel= 5  *
                    ************************************************************************************************
 U[MeV]  T[MeV]  NCUMUL   RHOOBS   RHOTOT     J=00     J=01     J=02     J=03     J=04     J=05     J=06     J=07     J=08     J=09     J=10     J=11     J=12     J=13     J=14     J=15     J=16     J=17     J=18     J=19     J=20     J=21     J=22     J=23     J=24     J=25     J=26     J=27     J=28     J=29
   3.25  0.590  8.10E+00 3.76E+01 6.12E+01 1.43E+00 9.63E-01 4.13E+00 7.86E-01 2.22E+00 4.29E-01 3.16E-01 1.00E-30 1.13E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   3.50  0.613  1.22E+01 5.09E+01 9.21E+01 1.99E+00 1.98E+00 4.76E+00 1.64E+00 3.41E+00 7.23E-01 5.20E-01 1.00E-30 2.03E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   3.75  0.634  1.80E+01 6.38E+01 1.25E+02 3.13E+00 2.61E+00 5.36E+00 3.08E+00 4.65E+00 8.14E-01 7.23E-01 1.13E-01 2.03E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   4.00  0.655  2.53E+01 7.67E+01 1.45E+02 4.53E+00 2.57E+00 4.51E+00 4.91E+00 4.93E+00 1.27E+00 8.14E-01 2.03E-01 2.03E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   4.25  0.675  3.50E+01 8.74E+01 1.92E+02 7.19E+00 3.05E+00 4.80E+00 6.70E+00 5.78E+00 1.84E+00 1.70E+00 4.29E-01 2.03E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   4.50  0.695  4.87E+01 1.06E+02 2.74E+02 9.46E+00 5.23E+00 6.94E+00 7.97E+00 7.90E+00 2.35E+00 3.30E+00 7.23E-01 3.16E-01 1.00E-30 1.13E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   4.75  0.714  6.62E+01 1.55E+02 3.76E+02 9.03E+00 8.00E+00 1.02E+01 9.82E+00 1.02E+01 3.44E+00 5.07E+00 8.14E-01 6.33E-01 1.00E-30 2.03E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   5.00  0.732  8.75E+01 2.00E+02 4.89E+02 7.88E+00 9.53E+00 1.41E+01 1.16E+01 1.34E+01 5.08E+00 6.29E+00 1.38E+00 9.28E-01 1.13E-01 2.03E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   5.50  0.768  1.53E+02 3.07E+02 7.19E+02 8.89E+00 7.10E+00 2.37E+01 1.47E+01 1.76E+01 1.22E+01 7.43E+00 2.86E+00 1.49E+00 4.29E-01 9.05E-02 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   6.00  0.802  2.77E+02 5.25E+02 1.37E+03 1.53E+01 1.38E+01 4.17E+01 3.05E+01 2.82E+01 2.13E+01 1.71E+01 4.79E+00 4.77E+00 8.14E-01 4.07E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
