                    ************************************************************************************************
                    *  Z= 22 A= 46: Positive-Parity Spin-dependent Level Density [MeV-1] for Ti 46 and ldmodel= 6  *
                    ************************************************************************************************
 U[MeV]  T[MeV]  NCUMUL   RHOOBS   RHOTOT     J=00     J=01     J=02     J=03     J=04     J=05     J=06     J=07     J=08     J=09     J=10     J=11     J=12     J=13     J=14     J=15     J=16     J=17     J=18     J=19     J=20     J=21     J=22     J=23     J=24     J=25     J=26     J=27     J=28     J=29
   3.25  0.677  6.59E+00 2.62E+01 2.13E+01 1.74E-01 4.12E-01 5.07E-01 3.67E-01 6.85E-01 2.52E-01 2.66E-01 1.23E-01 3.42E-02 1.53E-04 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   3.50  0.703  8.20E+00 3.67E+01 3.80E+01 2.13E-01 6.79E-01 7.32E-01 4.91E-01 9.31E-01 3.61E-01 5.55E-01 2.44E-01 1.12E-01 1.53E-01 3.12E-02 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   3.75  0.728  1.03E+01 3.51E+01 4.61E+01 5.31E-01 4.35E-01 6.89E-01 9.21E-01 5.46E-01 7.01E-01 6.14E-01 1.95E-01 3.08E-01 1.72E-01 9.39E-02 1.52E-02 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   4.00  0.752  1.27E+01 3.78E+01 5.59E+01 8.51E-01 2.96E-01 7.74E-01 8.57E-01 7.62E-01 8.72E-01 4.55E-01 5.11E-01 2.52E-01 2.50E-01 2.28E-01 1.89E-02 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   4.25  0.775  1.62E+01 4.68E+01 7.86E+01 3.66E-01 3.75E-01 9.16E-01 1.11E+00 9.61E-01 1.09E+00 7.04E-01 6.97E-01 4.28E-01 3.55E-01 3.08E-01 1.31E-01 4.15E-02 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   4.50  0.797  2.10E+01 8.60E+01 1.12E+02 1.24E-01 5.36E-01 1.09E+00 1.58E+00 1.14E+00 1.38E+00 1.28E+00 7.89E-01 8.91E-01 4.95E-01 3.65E-01 2.49E-01 8.48E-02 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   4.75  0.819  2.93E+01 1.03E+02 2.01E+02 2.49E-01 9.78E-01 1.58E+00 2.29E+00 2.02E+00 2.35E+00 2.15E+00 1.46E+00 1.65E+00 9.92E-01 7.34E-01 4.92E-01 1.48E-01 4.03E-02 2.31E-05 2.76E-02 1.06E-02 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   5.00  0.840  4.43E+01 1.30E+02 3.76E+02 7.15E-01 1.87E+00 2.39E+00 3.35E+00 3.90E+00 4.24E+00 3.57E+00 2.97E+00 3.00E+00 2.15E+00 1.64E+00 1.03E+00 2.63E-01 8.28E-02 4.75E-05 5.67E-02 2.18E-02 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   5.50  0.881  1.12E+02 2.50E+02 9.10E+02 1.32E+00 3.26E+00 5.63E+00 7.23E+00 8.65E+00 8.79E+00 8.57E+00 7.57E+00 6.75E+00 5.41E+00 4.27E+00 3.02E+00 5.90E-01 2.75E-01 1.14E-03 3.44E-01 2.19E-01 8.03E-02 1.77E-02 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   6.00  0.921  1.46E+02 9.45E+02 2.56E+02 5.16E-01 1.48E+00 2.23E+00 2.57E+00 2.70E+00 2.68E+00 2.51E+00 2.27E+00 1.93E+00 1.40E+00 9.16E-01 5.32E-01 2.22E-01 7.45E-02 2.52E-02 3.19E-02 1.87E-02 6.95E-03 1.54E-03 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
