                    ************************************************************************************************
                    *  Z= 38 A= 86: Positive-Parity Spin-dependent Level Density [MeV-1] for Sr 86 and ldmodel= 1  *
                    ************************************************************************************************
 U[MeV]  T[MeV]  NCUMUL   RHOOBS   RHOTOT     J=00     J=01     J=02     J=03     J=04     J=05     J=06     J=07     J=08     J=09     J=10     J=11     J=12     J=13     J=14     J=15     J=16     J=17     J=18     J=19     J=20     J=21     J=22     J=23     J=24     J=25     J=26     J=27     J=28     J=29
   3.25  0.520  6.49E+00 2.92E+00 2.49E+01 1.25E-01 3.43E-01 4.82E-01 5.20E-01 4.74E-01 3.76E-01 2.65E-01 1.67E-01 9.47E-02 4.86E-02 2.27E-02 9.60E-03 3.70E-03 1.30E-03 4.17E-04 1.22E-04 3.26E-05 7.96E-06 1.78E-06 3.63E-07 6.79E-08 1.16E-08 1.82E-09 2.60E-10 3.41E-11 4.10E-12 4.51E-13 4.54E-14 4.19E-15 3.55E-16
   3.50  0.539  8.34E+00 3.69E+00 3.18E+01 1.55E-01 4.26E-01 6.00E-01 6.51E-01 5.97E-01 4.78E-01 3.40E-01 2.17E-01 1.25E-01 6.52E-02 3.09E-02 1.33E-02 5.25E-03 1.89E-03 6.20E-04 1.86E-04 5.11E-05 1.29E-05 2.96E-06 6.26E-07 1.21E-07 2.15E-08 3.49E-09 5.20E-10 7.11E-11 8.92E-12 1.03E-12 1.08E-13 1.05E-14 9.34E-16
   3.75  0.558  1.07E+01 4.69E+00 4.08E+01 1.92E-01 5.31E-01 7.50E-01 8.19E-01 7.55E-01 6.10E-01 4.38E-01 2.83E-01 1.65E-01 8.74E-02 4.21E-02 1.85E-02 7.44E-03 2.73E-03 9.18E-04 2.83E-04 7.98E-05 2.07E-05 4.90E-06 1.07E-06 2.14E-07 3.92E-08 6.62E-09 1.03E-09 1.46E-10 1.91E-11 2.29E-12 2.53E-13 2.57E-14 2.40E-15
   4.00  0.576  1.37E+01 5.97E+00 5.24E+01 2.40E-01 6.65E-01 9.41E-01 1.03E+00 9.59E-01 7.80E-01 5.66E-01 3.69E-01 2.18E-01 1.17E-01 5.75E-02 2.57E-02 1.05E-02 3.95E-03 1.36E-03 4.28E-04 1.24E-04 3.30E-05 8.05E-06 1.81E-06 3.74E-07 7.09E-08 1.24E-08 1.99E-09 2.95E-10 4.01E-11 5.02E-12 5.79E-13 6.15E-14 6.01E-15
   4.25  0.594  1.75E+01 7.62E+00 6.76E+01 3.01E-01 8.34E-01 1.19E+00 1.31E+00 1.22E+00 1.00E+00 7.32E-01 4.83E-01 2.89E-01 1.58E-01 7.84E-02 3.57E-02 1.49E-02 5.69E-03 2.00E-03 6.45E-04 1.92E-04 5.23E-05 1.31E-05 3.04E-06 6.47E-07 1.27E-07 2.29E-08 3.82E-09 5.86E-10 8.29E-11 1.08E-11 1.30E-12 1.44E-13 1.47E-14
   4.50  0.611  2.24E+01 9.76E+00 8.74E+01 3.79E-01 1.05E+00 1.50E+00 1.66E+00 1.56E+00 1.29E+00 9.50E-01 6.33E-01 3.83E-01 2.12E-01 1.07E-01 4.95E-02 2.10E-02 8.19E-03 2.94E-03 9.69E-04 2.95E-04 8.25E-05 2.13E-05 5.06E-06 1.11E-06 2.25E-07 4.20E-08 7.23E-09 1.15E-09 1.69E-10 2.29E-11 2.86E-12 3.31E-13 3.53E-14
   4.75  0.628  2.86E+01 1.25E+01 1.13E+02 4.77E-01 1.33E+00 1.89E+00 2.11E+00 1.99E+00 1.66E+00 1.23E+00 8.31E-01 5.09E-01 2.85E-01 1.46E-01 6.85E-02 2.96E-02 1.18E-02 4.30E-03 1.45E-03 4.51E-04 1.29E-04 3.43E-05 8.37E-06 1.89E-06 3.94E-07 7.59E-08 1.35E-08 2.23E-09 3.39E-10 4.76E-11 6.19E-12 7.45E-13 8.29E-14
   5.00  0.644  3.67E+01 1.61E+01 1.47E+02 6.03E-01 1.68E+00 2.40E+00 2.68E+00 2.55E+00 2.14E+00 1.60E+00 1.09E+00 6.76E-01 3.83E-01 1.99E-01 9.48E-02 4.16E-02 1.68E-02 6.28E-03 2.16E-03 6.87E-04 2.02E-04 5.48E-05 1.37E-05 3.19E-06 6.85E-07 1.36E-07 2.50E-08 4.25E-09 6.70E-10 9.76E-11 1.32E-11 1.65E-12 1.91E-13
   5.50  0.676  6.35E+01 2.68E+01 2.49E+02 9.69E-01 2.70E+00 3.89E+00 4.38E+00 4.21E+00 3.57E+00 2.72E+00 1.89E+00 1.19E+00 6.92E-01 3.69E-01 1.81E-01 8.20E-02 3.43E-02 1.33E-02 4.76E-03 1.58E-03 4.84E-04 1.38E-04 3.63E-05 8.88E-06 2.01E-06 4.23E-07 8.26E-08 1.50E-08 2.52E-09 3.93E-10 5.69E-11 7.65E-12 9.55E-13
   6.00  0.706  1.08E+02 4.49E+01 4.24E+02 1.57E+00 4.39E+00 6.35E+00 7.20E+00 6.98E+00 6.00E+00 4.65E+00 3.27E+00 2.11E+00 1.25E+00 6.83E-01 3.45E-01 1.61E-01 6.94E-02 2.78E-02 1.03E-02 3.56E-03 1.14E-03 3.38E-04 9.35E-05 2.40E-05 5.73E-06 1.27E-06 2.62E-07 5.04E-08 9.00E-09 1.50E-09 2.32E-10 3.33E-11 4.47E-12
   6.50  0.735  1.84E+02 7.57E+01 7.27E+02 2.56E+00 7.17E+00 1.04E+01 1.19E+01 1.17E+01 1.01E+01 7.95E+00 5.69E+00 3.74E+00 2.26E+00 1.26E+00 6.53E-01 3.13E-01 1.39E-01 5.76E-02 2.21E-02 7.91E-03 2.63E-03 8.15E-04 2.35E-04 6.32E-05 1.58E-05 3.69E-06 8.03E-07 1.63E-07 3.08E-08 5.44E-09 8.94E-10 1.37E-10 1.97E-11
   7.00  0.763  3.12E+02 1.28E+02 1.25E+03 4.20E+00 1.18E+01 1.72E+01 1.98E+01 1.95E+01 1.71E+01 1.36E+01 9.91E+00 6.62E+00 4.08E+00 2.33E+00 1.23E+00 6.07E-01 2.78E-01 1.18E-01 4.69E-02 1.74E-02 5.99E-03 1.93E-03 5.79E-04 1.62E-04 4.25E-05 1.04E-05 2.38E-06 5.07E-07 1.01E-07 1.89E-08 3.29E-09 5.36E-10 8.17E-11
   7.50  0.789  5.30E+02 2.18E+02 2.16E+03 6.89E+00 1.94E+01 2.84E+01 3.29E+01 3.28E+01 2.91E+01 2.35E+01 1.73E+01 1.18E+01 7.43E+00 4.34E+00 2.36E+00 1.19E+00 5.63E-01 2.48E-01 1.02E-01 3.91E-02 1.40E-02 4.71E-03 1.48E-03 4.34E-04 1.19E-04 3.07E-05 7.41E-06 1.67E-06 3.54E-07 7.02E-08 1.30E-08 2.27E-09 3.69E-10
   8.00  0.815  8.95E+02 3.65E+02 3.71E+03 1.10E+01 3.11E+01 4.58E+01 5.35E+01 5.39E+01 4.86E+01 3.99E+01 3.01E+01 2.10E+01 1.36E+01 8.17E+00 4.59E+00 2.41E+00 1.18E+00 5.41E-01 2.32E-01 9.36E-02 3.53E-02 1.25E-02 4.16E-03 1.30E-03 3.80E-04 1.04E-04 2.69E-05 6.54E-06 1.49E-06 3.19E-07 6.41E-08 1.21E-08 2.16E-09
   8.50  0.840  1.49E+03 6.00E+02 6.23E+03 1.73E+01 4.90E+01 7.27E+01 8.55E+01 8.71E+01 7.96E+01 6.64E+01 5.10E+01 3.63E+01 2.40E+01 1.48E+01 8.57E+00 4.63E+00 2.35E+00 1.12E+00 4.99E-01 2.10E-01 8.27E-02 3.07E-02 1.07E-02 3.52E-03 1.09E-03 3.16E-04 8.67E-05 2.24E-05 5.44E-06 1.25E-06 2.69E-07 5.47E-08 1.05E-08
