                    ************************************************************************************************
                    *  Z= 22 A= 46: Positive-Parity Spin-dependent Level Density [MeV-1] for Ti 46 and ldmodel= 6  *
                    ************************************************************************************************
 U[MeV]  T[MeV]  NCUMUL   RHOOBS   RHOTOT     J=00     J=01     J=02     J=03     J=04     J=05     J=06     J=07     J=08     J=09     J=10     J=11     J=12     J=13     J=14     J=15     J=16     J=17     J=18     J=19     J=20     J=21     J=22     J=23     J=24     J=25     J=26     J=27     J=28     J=29
   3.25  0.677  7.87E+00 2.62E+01 2.61E+01 2.13E-01 5.05E-01 6.23E-01 4.50E-01 8.38E-01 3.09E-01 3.24E-01 1.52E-01 4.17E-02 2.01E-04 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   3.50  0.703  9.84E+00 3.67E+01 4.66E+01 2.63E-01 8.33E-01 8.99E-01 6.04E-01 1.15E+00 4.44E-01 6.79E-01 2.98E-01 1.37E-01 1.86E-01 3.80E-02 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   3.75  0.728  1.24E+01 3.51E+01 5.71E+01 6.51E-01 5.44E-01 8.58E-01 1.13E+00 6.84E-01 8.63E-01 7.63E-01 2.44E-01 3.78E-01 2.13E-01 1.16E-01 1.86E-02 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   4.00  0.752  1.55E+01 3.78E+01 6.96E+01 1.06E+00 3.71E-01 9.64E-01 1.07E+00 9.46E-01 1.09E+00 5.71E-01 6.29E-01 3.16E-01 3.10E-01 2.82E-01 2.36E-02 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   4.25  0.775  1.98E+01 4.68E+01 9.83E+01 4.66E-01 4.70E-01 1.15E+00 1.38E+00 1.21E+00 1.36E+00 8.78E-01 8.75E-01 5.33E-01 4.45E-01 3.86E-01 1.63E-01 5.14E-02 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   4.50  0.797  2.58E+01 8.60E+01 1.41E+02 1.59E-01 6.74E-01 1.37E+00 1.98E+00 1.44E+00 1.74E+00 1.61E+00 9.95E-01 1.12E+00 6.22E-01 4.61E-01 3.12E-01 1.07E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   4.75  0.819  3.63E+01 1.03E+02 2.53E+02 3.12E-01 1.23E+00 1.99E+00 2.90E+00 2.55E+00 2.96E+00 2.72E+00 1.83E+00 2.08E+00 1.25E+00 9.23E-01 6.19E-01 1.86E-01 5.05E-02 2.90E-05 3.46E-02 1.33E-02 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   5.00  0.840  5.53E+01 1.30E+02 4.76E+02 9.01E-01 2.37E+00 3.04E+00 4.26E+00 4.94E+00 5.38E+00 4.53E+00 3.75E+00 3.80E+00 2.71E+00 2.07E+00 1.30E+00 3.33E-01 1.05E-01 6.03E-05 7.19E-02 2.77E-02 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   5.50  0.881  1.42E+02 2.50E+02 1.17E+03 1.70E+00 4.19E+00 7.22E+00 9.28E+00 1.11E+01 1.13E+01 1.10E+01 9.71E+00 8.66E+00 6.94E+00 5.48E+00 3.87E+00 7.58E-01 3.52E-01 1.46E-03 4.39E-01 2.81E-01 1.03E-01 2.27E-02 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   6.00  0.921  1.87E+02 9.45E+02 3.36E+02 6.77E-01 1.94E+00 2.92E+00 3.37E+00 3.55E+00 3.51E+00 3.29E+00 2.98E+00 2.53E+00 1.84E+00 1.20E+00 7.00E-01 2.91E-01 9.79E-02 3.27E-02 4.44E-02 2.60E-02 9.65E-03 2.14E-03 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
