                    ************************************************************************************************
                    *  Z= 21 A= 45: Positive-Parity Spin-dependent Level Density [MeV-1] for Sc 45 and ldmodel= 6  *
                    ************************************************************************************************
 U[MeV]  T[MeV]  NCUMUL   RHOOBS   RHOTOT    J=01/2   J=03/2   J=05/2   J=07/2   J=09/2   J=11/2   J=13/2   J=15/2   J=17/2   J=19/2   J=21/2   J=23/2   J=25/2   J=27/2   J=29/2   J=31/2   J=33/2   J=35/2   J=37/2   J=39/2   J=41/2   J=43/2   J=45/2   J=47/2   J=49/2   J=51/2   J=53/2   J=55/2   J=57/2   J=59/2
   4.25  0.744  5.32E+02 1.46E+00 3.23E+03 8.45E+00 2.40E+01 3.25E+01 3.72E+01 3.90E+01 3.73E+01 3.37E+01 2.88E+01 1.70E+01 1.29E+01 9.76E+00 6.60E+00 5.05E+00 1.71E+00 1.15E+00 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   4.50  0.766  7.73E+02 1.24E-01 6.16E+03 1.98E+01 4.52E+01 6.12E+01 7.02E+01 7.36E+01 7.05E+01 6.38E+01 5.46E+01 3.73E+01 2.34E+01 1.74E+01 1.26E+01 8.96E+00 3.62E+00 2.11E+00 3.00E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   4.75  0.787  1.08E+03 8.62E-01 1.20E+04 4.51E+01 8.62E+01 1.17E+02 1.35E+02 1.41E+02 1.36E+02 1.23E+02 1.05E+02 8.49E+01 4.29E+01 3.12E+01 2.43E+01 1.60E+01 7.97E+00 3.95E+00 6.41E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   5.00  0.807  1.53E+03 1.43E+00 1.59E+04 5.79E+01 1.08E+02 1.47E+02 1.71E+02 1.78E+02 1.72E+02 1.56E+02 1.34E+02 1.09E+02 6.57E+01 4.73E+01 3.49E+01 2.23E+01 1.18E+01 5.67E+00 1.88E+00 8.91E-02 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   5.50  0.847  2.98E+03 3.15E+02 2.05E+04 7.00E+01 1.31E+02 1.78E+02 2.08E+02 2.17E+02 2.11E+02 1.91E+02 1.64E+02 1.33E+02 1.03E+02 7.36E+01 4.98E+01 3.10E+01 1.72E+01 8.12E+00 3.34E+00 1.20E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   6.00  0.884  4.34E+03 1.19E+03 1.75E+04 6.00E+01 1.13E+02 1.53E+02 1.77E+02 1.85E+02 1.78E+02 1.61E+02 1.38E+02 1.14E+02 8.89E+01 6.46E+01 4.30E+01 2.66E+01 1.49E+01 7.09E+00 2.83E+00 7.37E-03 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   6.50  0.920  5.57E+03 1.79E+03 1.17E+04 4.16E+01 7.79E+01 1.05E+02 1.19E+02 1.23E+02 1.17E+02 1.04E+02 8.91E+01 7.53E+01 5.92E+01 4.46E+01 3.00E+01 1.84E+01 1.02E+01 4.85E+00 1.81E+00 4.83E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   7.00  0.955  6.71E+03 1.79E+03 1.05E+04 3.62E+01 6.67E+01 8.97E+01 1.02E+02 1.05E+02 9.96E+01 8.85E+01 7.60E+01 6.33E+01 5.05E+01 3.90E+01 2.85E+01 1.85E+01 1.13E+01 9.73E+00 3.93E+00 2.39E+00 4.20E-01 1.80E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   7.50  0.989  7.80E+03 1.25E+03 1.90E+04 5.43E+01 9.90E+01 1.35E+02 1.58E+02 1.66E+02 1.61E+02 1.47E+02 1.28E+02 1.08E+02 8.68E+01 6.79E+01 5.33E+01 3.74E+01 2.63E+01 3.73E+01 1.85E+01 7.69E+00 2.00E+00 5.65E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   8.00  1.021  9.45E+03 7.94E+02 2.80E+04 7.47E+01 1.34E+02 1.87E+02 2.23E+02 2.43E+02 2.41E+02 2.26E+02 2.00E+02 1.70E+02 1.38E+02 1.08E+02 9.01E+01 6.71E+01 4.78E+01 2.57E+01 1.29E+01 5.46E+00 2.10E+00 4.76E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
