                    ************************************************************************************************
                    *  Z= 38 A= 86: Positive-Parity Spin-dependent Level Density [MeV-1] for Sr 86 and ldmodel= 1  *
                    ************************************************************************************************
 U[MeV]  T[MeV]  NCUMUL   RHOOBS   RHOTOT     J=00     J=01     J=02     J=03     J=04     J=05     J=06     J=07     J=08     J=09     J=10     J=11     J=12     J=13     J=14     J=15     J=16     J=17     J=18     J=19     J=20     J=21     J=22     J=23     J=24     J=25     J=26     J=27     J=28     J=29
   3.25  0.520  4.73E+02 3.28E+02 2.80E+03 1.40E+01 3.85E+01 5.40E+01 5.84E+01 5.31E+01 4.22E+01 2.97E+01 1.87E+01 1.06E+01 5.46E+00 2.54E+00 1.08E+00 4.15E-01 1.46E-01 4.68E-02 1.37E-02 3.66E-03 8.93E-04 2.00E-04 4.07E-05 7.61E-06 1.30E-06 2.04E-07 2.92E-08 3.83E-09 4.60E-10 5.06E-11 5.10E-12 4.70E-13 3.98E-14
   3.50  0.539  7.21E+02 4.95E+02 4.27E+03 2.07E+01 5.72E+01 8.05E+01 8.74E+01 8.01E+01 6.41E+01 4.56E+01 2.91E+01 1.68E+01 8.74E+00 4.14E+00 1.79E+00 7.04E-01 2.53E-01 8.31E-02 2.50E-02 6.86E-03 1.73E-03 3.98E-04 8.39E-05 1.62E-05 2.88E-06 4.68E-07 6.98E-08 9.54E-09 1.20E-09 1.38E-10 1.45E-11 1.41E-12 1.25E-13
   3.75  0.558  1.09E+03 7.47E+02 6.50E+03 3.07E+01 8.47E+01 1.20E+02 1.30E+02 1.20E+02 9.72E+01 6.98E+01 4.51E+01 2.63E+01 1.39E+01 6.71E+00 2.95E+00 1.19E+00 4.35E-01 1.46E-01 4.51E-02 1.27E-02 3.29E-03 7.81E-04 1.70E-04 3.41E-05 6.25E-06 1.05E-06 1.63E-07 2.33E-08 3.04E-09 3.65E-10 4.04E-11 4.10E-12 3.82E-13
   4.00  0.576  1.66E+03 1.12E+03 9.87E+03 4.52E+01 1.25E+02 1.77E+02 1.94E+02 1.80E+02 1.47E+02 1.06E+02 6.95E+01 4.11E+01 2.21E+01 1.08E+01 4.84E+00 1.98E+00 7.43E-01 2.55E-01 8.06E-02 2.33E-02 6.20E-03 1.52E-03 3.40E-04 7.03E-05 1.34E-05 2.33E-06 3.75E-07 5.54E-08 7.55E-09 9.45E-10 1.09E-10 1.16E-11 1.13E-12
   4.25  0.594  2.50E+03 1.68E+03 1.49E+04 6.66E+01 1.84E+02 2.62E+02 2.89E+02 2.70E+02 2.21E+02 1.62E+02 1.07E+02 6.39E+01 3.48E+01 1.73E+01 7.89E+00 3.29E+00 1.26E+00 4.42E-01 1.43E-01 4.23E-02 1.16E-02 2.90E-03 6.72E-04 1.43E-04 2.81E-05 5.07E-06 8.44E-07 1.30E-07 1.83E-08 2.39E-09 2.87E-10 3.19E-11 3.26E-12
   4.50  0.611  3.76E+03 2.52E+03 2.26E+04 9.78E+01 2.71E+02 3.87E+02 4.28E+02 4.02E+02 3.32E+02 2.45E+02 1.64E+02 9.91E+01 5.47E+01 2.76E+01 1.28E+01 5.42E+00 2.12E+00 7.59E-01 2.50E-01 7.61E-02 2.13E-02 5.50E-03 1.31E-03 2.87E-04 5.81E-05 1.08E-05 1.87E-06 2.97E-07 4.36E-08 5.91E-09 7.40E-10 8.55E-11 9.12E-12
   4.75  0.628  5.64E+03 3.77E+03 3.40E+04 1.43E+02 3.99E+02 5.70E+02 6.33E+02 5.98E+02 4.98E+02 3.71E+02 2.50E+02 1.53E+02 8.56E+01 4.38E+01 2.06E+01 8.89E+00 3.53E+00 1.29E+00 4.36E-01 1.36E-01 3.89E-02 1.03E-02 2.52E-03 5.68E-04 1.18E-04 2.28E-05 4.06E-06 6.69E-07 1.02E-07 1.43E-08 1.86E-09 2.24E-10 2.49E-11
   5.00  0.644  8.45E+03 5.62E+03 5.12E+04 2.10E+02 5.84E+02 8.37E+02 9.35E+02 8.88E+02 7.44E+02 5.59E+02 3.80E+02 2.35E+02 1.33E+02 6.92E+01 3.30E+01 1.45E+01 5.87E+00 2.19E+00 7.53E-01 2.39E-01 7.03E-02 1.91E-02 4.79E-03 1.11E-03 2.39E-04 4.74E-05 8.71E-06 1.48E-06 2.33E-07 3.40E-08 4.59E-09 5.74E-10 6.64E-11
   5.50  0.676  2.09E+04 1.24E+04 1.15E+05 4.49E+02 1.25E+03 1.80E+03 2.03E+03 1.95E+03 1.65E+03 1.26E+03 8.73E+02 5.52E+02 3.20E+02 1.71E+02 8.38E+01 3.80E+01 1.59E+01 6.15E+00 2.20E+00 7.29E-01 2.24E-01 6.37E-02 1.68E-02 4.11E-03 9.31E-04 1.96E-04 3.82E-05 6.93E-06 1.16E-06 1.82E-07 2.63E-08 3.54E-09 4.42E-10
   6.00  0.706  4.81E+04 2.73E+04 2.58E+05 9.53E+02 2.66E+03 3.86E+03 4.37E+03 4.24E+03 3.64E+03 2.82E+03 1.99E+03 1.28E+03 7.59E+02 4.15E+02 2.09E+02 9.75E+01 4.21E+01 1.69E+01 6.26E+00 2.16E+00 6.91E-01 2.05E-01 5.67E-02 1.46E-02 3.48E-03 7.71E-04 1.59E-04 3.06E-05 5.46E-06 9.08E-07 1.41E-07 2.02E-08 2.71E-09
   6.50  0.735  1.08E+05 5.96E+04 5.72E+05 2.01E+03 5.65E+03 8.21E+03 9.37E+03 9.17E+03 7.97E+03 6.25E+03 4.48E+03 2.94E+03 1.78E+03 9.94E+02 5.14E+02 2.46E+02 1.10E+02 4.53E+01 1.74E+01 6.23E+00 2.07E+00 6.41E-01 1.85E-01 4.97E-02 1.24E-02 2.90E-03 6.32E-04 1.28E-04 2.42E-05 4.28E-06 7.04E-07 1.08E-07 1.55E-08
   7.00  0.763  2.37E+05 1.30E+05 1.26E+06 4.24E+03 1.19E+04 1.74E+04 2.00E+04 1.97E+04 1.73E+04 1.38E+04 1.00E+04 6.69E+03 4.12E+03 2.35E+03 1.25E+03 6.13E+02 2.81E+02 1.19E+02 4.74E+01 1.75E+01 6.05E+00 1.95E+00 5.85E-01 1.64E-01 4.29E-02 1.05E-02 2.40E-03 5.13E-04 1.02E-04 1.91E-05 3.33E-06 5.42E-07 8.26E-08
