                    ************************************************************************************************
                    *  Z= 38 A= 86: Positive-Parity Spin-dependent Level Density [MeV-1] for Sr 86 and ldmodel= 5  *
                    ************************************************************************************************
 U[MeV]  T[MeV]  NCUMUL   RHOOBS   RHOTOT     J=00     J=01     J=02     J=03     J=04     J=05     J=06     J=07     J=08     J=09     J=10     J=11     J=12     J=13     J=14     J=15     J=16     J=17     J=18     J=19     J=20     J=21     J=22     J=23     J=24     J=25     J=26     J=27     J=28     J=29
   3.25  0.520  4.75E+01 7.26E+01 2.38E+02 9.70E-01 1.29E+00 2.93E+00 2.76E+00 3.33E+00 2.53E+00 2.63E+00 1.65E+00 1.77E+00 1.24E+00 9.89E-01 2.30E-01 9.71E-02 1.00E-30 1.21E-02 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   3.50  0.539  6.07E+01 8.17E+01 2.88E+02 1.08E+00 1.41E+00 3.80E+00 3.74E+00 4.26E+00 3.24E+00 3.15E+00 1.98E+00 1.82E+00 1.33E+00 1.12E+00 3.43E-01 1.71E-01 2.29E-02 1.14E-02 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   3.75  0.558  7.56E+01 1.08E+02 3.09E+02 1.29E+00 1.38E+00 3.95E+00 3.95E+00 4.81E+00 3.25E+00 3.33E+00 2.14E+00 1.76E+00 1.24E+00 1.27E+00 5.87E-01 2.16E-01 7.54E-02 1.08E-02 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   4.00  0.576  9.41E+01 1.43E+02 3.70E+02 1.41E+00 1.57E+00 4.95E+00 4.57E+00 5.48E+00 4.15E+00 3.83E+00 2.80E+00 2.09E+00 1.30E+00 1.35E+00 8.30E-01 4.02E-01 7.13E-02 2.04E-02 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   4.25  0.594  1.19E+02 1.76E+02 4.62E+02 2.00E+00 2.25E+00 5.78E+00 5.36E+00 7.00E+00 5.59E+00 5.12E+00 3.55E+00 2.70E+00 1.47E+00 1.36E+00 9.00E-01 5.45E-01 1.40E-01 4.82E-02 1.00E-30 4.82E-03 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   4.50  0.611  1.51E+02 2.29E+02 5.79E+02 2.85E+00 3.23E+00 6.77E+00 6.30E+00 8.96E+00 7.55E+00 6.85E+00 4.49E+00 3.49E+00 1.67E+00 1.37E+00 9.77E-01 7.40E-01 2.01E-01 7.31E-02 1.00E-30 9.13E-03 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   4.75  0.628  1.93E+02 2.59E+02 7.40E+02 3.54E+00 4.25E+00 8.87E+00 8.43E+00 1.16E+01 9.58E+00 8.96E+00 5.81E+00 4.38E+00 2.29E+00 1.62E+00 9.27E-01 8.07E-01 3.11E-01 1.21E-01 2.60E-02 8.66E-03 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   5.00  0.644  2.44E+02 3.26E+02 9.48E+02 4.40E+00 5.59E+00 1.17E+01 1.13E+01 1.50E+01 1.22E+01 1.17E+01 7.52E+00 5.51E+00 3.14E+00 1.91E+00 8.81E-01 8.81E-01 4.82E-01 1.65E-01 4.94E-02 8.23E-03 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   5.50  0.676  4.00E+02 5.79E+02 1.58E+03 5.08E+00 6.65E+00 1.69E+01 1.66E+01 2.13E+01 1.90E+01 1.94E+01 1.44E+01 1.07E+01 6.41E+00 4.10E+00 1.60E+00 1.07E+00 5.99E-01 4.58E-01 9.69E-02 2.23E-02 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   6.00  0.706  6.54E+02 1.07E+03 2.72E+03 7.66E+00 1.12E+01 2.82E+01 2.73E+01 3.65E+01 3.16E+01 3.02E+01 2.41E+01 1.96E+01 1.22E+01 7.80E+00 4.29E+00 1.98E+00 7.52E-01 5.72E-01 2.10E-01 6.09E-02 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
