                    ************************************************************************************************
                    *  Z= 33 A= 73: Positive-Parity Spin-dependent Level Density [MeV-1] for As 73 and ldmodel= 6  *
                    ************************************************************************************************
 U[MeV]  T[MeV]  NCUMUL   RHOOBS   RHOTOT    J=01/2   J=03/2   J=05/2   J=07/2   J=09/2   J=11/2   J=13/2   J=15/2   J=17/2   J=19/2   J=21/2   J=23/2   J=25/2   J=27/2   J=29/2   J=31/2   J=33/2   J=35/2   J=37/2   J=39/2   J=41/2   J=43/2   J=45/2   J=47/2   J=49/2   J=51/2   J=53/2   J=55/2   J=57/2   J=59/2
   0.25  0.142  2.74E+00 0.00E+00 9.00E-28 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   0.50  0.201  6.25E+00 0.00E+00 4.58E+00 1.05E-01 1.09E-01 1.17E-01 1.17E-01 1.30E-01 1.44E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   0.75  0.246  1.27E+01 0.00E+00 2.17E+01 5.63E-01 5.69E-01 5.84E-01 5.84E-01 6.06E-01 6.32E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   1.00  0.284  2.37E+01 0.00E+00 3.05E+01 8.59E-01 8.58E-01 8.53E-01 8.53E-01 8.46E-01 8.39E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   1.25  0.318  3.93E+01 0.00E+00 1.93E+01 5.19E-01 5.10E-01 7.03E-01 7.03E-01 4.58E-01 4.22E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   1.50  0.348  5.92E+01 7.74E-01 4.15E+01 5.62E-01 8.79E-01 1.62E+00 1.62E+00 9.99E-01 8.96E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   1.75  0.376  8.83E+01 3.74E+00 1.17E+02 1.49E+00 2.68E+00 4.12E+00 4.12E+00 2.86E+00 2.45E+00 2.32E-01 1.70E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   2.00  0.402  1.34E+02 5.20E+00 2.55E+02 2.86E+00 5.29E+00 7.79E+00 7.79E+00 6.01E+00 5.10E+00 1.47E+00 8.61E-01 2.91E-02 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   2.25  0.426  2.06E+02 3.18E+00 5.37E+02 5.14E+00 9.88E+00 1.39E+01 1.39E+01 1.14E+01 9.22E+00 5.90E+00 3.09E+00 4.71E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   2.50  0.449  2.95E+02 6.83E+00 6.45E+02 6.14E+00 1.16E+01 1.55E+01 1.58E+01 1.38E+01 1.07E+01 7.43E+00 3.87E+00 1.14E+00 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   2.75  0.471  4.04E+02 1.92E+01 9.74E+02 9.41E+00 1.63E+01 2.08E+01 2.23E+01 2.07E+01 1.60E+01 1.12E+01 6.57E+00 2.60E+00 2.58E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   3.00  0.492  5.69E+02 3.89E+01 2.05E+03 1.82E+01 3.25E+01 4.10E+01 4.50E+01 4.31E+01 3.39E+01 2.27E+01 1.40E+01 6.67E+00 2.15E+00 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   3.25  0.512  8.15E+02 7.65E+01 3.89E+03 3.22E+01 5.81E+01 7.38E+01 8.14E+01 7.85E+01 6.32E+01 4.39E+01 2.78E+01 1.37E+01 5.86E+00 3.64E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   3.50  0.531  1.12E+03 8.67E+01 5.03E+03 3.95E+01 7.23E+01 9.31E+01 1.02E+02 9.82E+01 8.03E+01 5.80E+01 3.71E+01 1.93E+01 8.24E+00 1.44E+00 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   3.75  0.550  1.48E+03 1.29E+02 6.49E+03 4.79E+01 8.93E+01 1.17E+02 1.28E+02 1.22E+02 1.02E+02 7.58E+01 4.93E+01 2.63E+01 1.18E+01 3.17E+00 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   4.00  0.568  2.03E+03 2.72E+02 1.09E+04 7.39E+01 1.40E+02 1.86E+02 2.04E+02 1.97E+02 1.70E+02 1.29E+02 8.66E+01 4.86E+01 2.33E+01 8.04E+00 7.98E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
