                    ************************************************************************************************
                    *  Z= 28 A= 60: Positive-Parity Spin-dependent Level Density [MeV-1] for Ni 60 and ldmodel= 3  *
                    ************************************************************************************************
 U[MeV]  T[MeV]  NCUMUL   RHOOBS   RHOTOT     J=00     J=01     J=02     J=03     J=04     J=05     J=06     J=07     J=08     J=09     J=10     J=11     J=12     J=13     J=14     J=15     J=16     J=17     J=18     J=19     J=20     J=21     J=22     J=23     J=24     J=25     J=26     J=27     J=28     J=29
   3.25  0.754  1.29E+01 4.57E+00 3.48E+01 2.44E-01 6.56E-01 8.81E-01 8.91E-01 7.43E-01 5.29E-01 3.27E-01 1.77E-01 8.42E-02 3.55E-02 1.33E-02 4.43E-03 1.32E-03 3.48E-04 8.21E-05 1.73E-05 3.26E-06 5.50E-07 8.29E-08 1.12E-08 1.35E-09 1.46E-10 1.41E-11 1.22E-12 9.50E-14 6.61E-15 4.12E-16 2.30E-17 1.15E-18 5.17E-20
   3.50  0.782  1.57E+01 5.49E+00 4.26E+01 2.84E-01 7.67E-01 1.04E+00 1.06E+00 8.97E-01 6.49E-01 4.09E-01 2.27E-01 1.11E-01 4.85E-02 1.88E-02 6.51E-03 2.01E-03 5.58E-04 1.38E-04 3.07E-05 6.13E-06 1.10E-06 1.76E-07 2.54E-08 3.28E-09 3.82E-10 3.99E-11 3.75E-12 3.17E-13 2.41E-14 1.64E-15 1.01E-16 5.58E-18 2.77E-19
   3.75  0.809  1.90E+01 6.60E+00 5.20E+01 3.31E-01 8.97E-01 1.22E+00 1.26E+00 1.08E+00 7.94E-01 5.11E-01 2.89E-01 1.46E-01 6.53E-02 2.62E-02 9.38E-03 3.02E-03 8.71E-04 2.26E-04 5.27E-05 1.11E-05 2.09E-06 3.55E-07 5.44E-08 7.52E-09 9.36E-10 1.05E-10 1.06E-11 9.69E-13 7.98E-14 5.92E-15 3.97E-16 2.40E-17 1.31E-18
   4.00  0.836  2.29E+01 7.93E+00 6.33E+01 3.86E-01 1.05E+00 1.44E+00 1.50E+00 1.30E+00 9.68E-01 6.33E-01 3.67E-01 1.89E-01 8.70E-02 3.59E-02 1.33E-02 4.43E-03 1.33E-03 3.59E-04 8.76E-05 1.93E-05 3.83E-06 6.87E-07 1.11E-07 1.63E-08 2.16E-09 2.59E-10 2.80E-11 2.75E-12 2.43E-13 1.95E-14 1.42E-15 9.30E-17 5.53E-18
   4.25  0.862  2.77E+01 9.50E+00 7.70E+01 4.50E-01 1.23E+00 1.69E+00 1.77E+00 1.55E+00 1.18E+00 7.82E-01 4.61E-01 2.43E-01 1.15E-01 4.86E-02 1.86E-02 6.39E-03 1.99E-03 5.58E-04 1.42E-04 3.26E-05 6.79E-06 1.28E-06 2.18E-07 3.38E-08 4.74E-09 6.03E-10 6.96E-11 7.28E-12 6.91E-13 5.95E-14 4.65E-15 3.29E-16 2.12E-17
   4.50  0.887  3.34E+01 1.14E+01 9.34E+01 5.24E-01 1.43E+00 1.98E+00 2.10E+00 1.86E+00 1.42E+00 9.62E-01 5.78E-01 3.10E-01 1.50E-01 6.52E-02 2.56E-02 9.09E-03 2.92E-03 8.50E-04 2.24E-04 5.37E-05 1.17E-05 2.30E-06 4.13E-07 6.72E-08 9.94E-09 1.34E-09 1.64E-10 1.82E-11 1.84E-12 1.69E-13 1.42E-14 1.08E-15 7.46E-17
   4.75  0.911  4.02E+01 1.36E+01 1.13E+02 6.11E-01 1.67E+00 2.33E+00 2.48E+00 2.22E+00 1.72E+00 1.18E+00 7.19E-01 3.94E-01 1.94E-01 8.66E-02 3.49E-02 1.27E-02 4.22E-03 1.27E-03 3.47E-04 8.64E-05 1.95E-05 4.02E-06 7.54E-07 1.29E-07 2.00E-08 2.84E-09 3.66E-10 4.31E-11 4.62E-12 4.52E-13 4.03E-14 3.28E-15 2.43E-16
   5.00  0.935  4.83E+01 1.62E+01 1.37E+02 7.12E-01 1.95E+00 2.73E+00 2.93E+00 2.64E+00 2.07E+00 1.44E+00 8.92E-01 4.97E-01 2.50E-01 1.14E-01 4.70E-02 1.76E-02 6.01E-03 1.87E-03 5.27E-04 1.36E-04 3.19E-05 6.84E-06 1.34E-06 2.38E-07 3.88E-08 5.78E-09 7.85E-10 9.74E-11 1.10E-11 1.14E-12 1.08E-13 9.37E-15 7.41E-16
   5.50  0.980  7.14E+01 2.30E+01 1.99E+02 9.65E-01 2.66E+00 3.74E+00 4.07E+00 3.73E+00 2.98E+00 2.12E+00 1.35E+00 7.79E-01 4.06E-01 1.93E-01 8.31E-02 3.27E-02 1.17E-02 3.86E-03 1.16E-03 3.18E-04 7.99E-05 1.84E-05 3.88E-06 7.51E-07 1.33E-07 2.16E-08 3.22E-09 4.40E-10 5.52E-11 6.34E-12 6.69E-13 6.48E-14 5.76E-15
   6.00  1.024  1.04E+02 3.25E+01 2.86E+02 1.31E+00 3.61E+00 5.12E+00 5.62E+00 5.22E+00 4.26E+00 3.09E+00 2.02E+00 1.20E+00 6.45E-01 3.17E-01 1.42E-01 5.84E-02 2.20E-02 7.58E-03 2.40E-03 6.98E-04 1.86E-04 4.57E-05 1.03E-05 2.14E-06 4.09E-07 7.19E-08 1.16E-08 1.73E-09 2.37E-10 2.99E-11 3.47E-12 3.71E-13 3.65E-14
   6.50  1.066  1.50E+02 4.57E+01 4.10E+02 1.76E+00 4.89E+00 6.98E+00 7.73E+00 7.28E+00 6.02E+00 4.46E+00 2.98E+00 1.81E+00 1.00E+00 5.09E-01 2.37E-01 1.01E-01 3.96E-02 1.43E-02 4.74E-03 1.45E-03 4.09E-04 1.06E-04 2.55E-05 5.63E-06 1.15E-06 2.17E-07 3.77E-08 6.05E-09 8.97E-10 1.23E-10 1.55E-11 1.82E-12 1.96E-13
   7.00  1.106  2.13E+02 6.38E+01 5.84E+02 2.37E+00 6.60E+00 9.47E+00 1.06E+01 1.01E+01 8.46E+00 6.37E+00 4.35E+00 2.70E+00 1.54E+00 8.02E-01 3.84E-01 1.70E-01 6.91E-02 2.59E-02 8.98E-03 2.88E-03 8.51E-04 2.33E-04 5.90E-05 1.38E-05 2.99E-06 6.00E-07 1.12E-07 1.92E-08 3.05E-09 4.51E-10 6.16E-11 7.80E-12 9.15E-13
   7.50  1.145  3.02E+02 8.86E+01 8.25E+02 3.18E+00 8.88E+00 1.28E+01 1.44E+01 1.39E+01 1.18E+01 9.03E+00 6.27E+00 3.98E+00 2.32E+00 1.24E+00 6.12E-01 2.79E-01 1.17E-01 4.56E-02 1.64E-02 5.49E-03 1.70E-03 4.87E-04 1.29E-04 3.19E-05 7.30E-06 1.55E-06 3.06E-07 5.59E-08 9.50E-09 1.50E-09 2.20E-10 2.99E-11 3.78E-12
   8.00  1.182  4.24E+02 1.22E+02 1.16E+03 4.26E+00 1.19E+01 1.73E+01 1.96E+01 1.90E+01 1.64E+01 1.27E+01 8.96E+00 5.79E+00 3.44E+00 1.89E+00 9.56E-01 4.48E-01 1.94E-01 7.82E-02 2.92E-02 1.01E-02 3.25E-03 9.74E-04 2.71E-04 7.00E-05 1.68E-05 3.76E-06 7.83E-07 1.52E-07 2.73E-08 4.58E-09 7.16E-10 1.04E-10 1.41E-11
   8.50  1.219  5.93E+02 1.68E+02 1.62E+03 5.68E+00 1.59E+01 2.32E+01 2.64E+01 2.59E+01 2.25E+01 1.77E+01 1.27E+01 8.35E+00 5.06E+00 2.83E+00 1.47E+00 7.06E-01 3.15E-01 1.31E-01 5.04E-02 1.81E-02 6.04E-03 1.88E-03 5.44E-04 1.47E-04 3.69E-05 8.66E-06 1.89E-06 3.86E-07 7.34E-08 1.30E-08 2.16E-09 3.33E-10 4.80E-11
