                    ************************************************************************************************
                    *  Z= 38 A= 86: Positive-Parity Spin-dependent Level Density [MeV-1] for Sr 86 and ldmodel= 1  *
                    ************************************************************************************************
 U[MeV]  T[MeV]  NCUMUL   RHOOBS   RHOTOT     J=00     J=01     J=02     J=03     J=04     J=05     J=06     J=07     J=08     J=09     J=10     J=11     J=12     J=13     J=14     J=15     J=16     J=17     J=18     J=19     J=20     J=21     J=22     J=23     J=24     J=25     J=26     J=27     J=28     J=29
   0.25  0.144  1.02E+00 2.04E+00 1.71E+01 9.08E-02 2.49E-01 3.47E-01 3.71E-01 3.33E-01 2.59E-01 1.79E-01 1.10E-01 6.07E-02 3.02E-02 1.36E-02 5.53E-03 2.04E-03 6.86E-04 2.09E-04 5.81E-05 1.47E-05 3.38E-06 7.08E-07 1.35E-07 2.35E-08 3.74E-09 5.41E-10 7.15E-11 8.61E-12 9.47E-13 9.51E-14 8.71E-15 7.28E-16 5.56E-17
   0.50  0.204  2.66E+00 3.28E+00 2.75E+01 1.46E-01 4.00E-01 5.57E-01 5.96E-01 5.35E-01 4.17E-01 2.87E-01 1.77E-01 9.75E-02 4.85E-02 2.18E-02 8.89E-03 3.29E-03 1.10E-03 3.37E-04 9.34E-05 2.36E-05 5.43E-06 1.14E-06 2.17E-07 3.78E-08 6.01E-09 8.70E-10 1.15E-10 1.38E-11 1.52E-12 1.53E-13 1.40E-14 1.17E-15 8.94E-17
   0.75  0.250  5.27E+00 5.22E+00 4.36E+01 2.32E-01 6.36E-01 8.86E-01 9.47E-01 8.50E-01 6.63E-01 4.57E-01 2.81E-01 1.55E-01 7.72E-02 3.47E-02 1.41E-02 5.23E-03 1.75E-03 5.35E-04 1.48E-04 3.75E-05 8.63E-06 1.81E-06 3.45E-07 6.01E-08 9.55E-09 1.38E-09 1.83E-10 2.20E-11 2.42E-12 2.43E-13 2.23E-14 1.86E-15 1.42E-16
   1.00  0.288  9.39E+00 8.22E+00 6.87E+01 3.65E-01 1.00E+00 1.40E+00 1.49E+00 1.34E+00 1.04E+00 7.19E-01 4.42E-01 2.44E-01 1.22E-01 5.47E-02 2.23E-02 8.23E-03 2.76E-03 8.43E-04 2.34E-04 5.91E-05 1.36E-05 2.85E-06 5.44E-07 9.47E-08 1.50E-08 2.18E-09 2.88E-10 3.47E-11 3.81E-12 3.83E-13 3.51E-14 2.93E-15 2.24E-16
   1.25  0.322  1.58E+01 1.29E+01 1.07E+02 5.71E-01 1.57E+00 2.18E+00 2.33E+00 2.09E+00 1.63E+00 1.12E+00 6.91E-01 3.82E-01 1.90E-01 8.54E-02 3.48E-02 1.29E-02 4.32E-03 1.32E-03 3.66E-04 9.23E-05 2.12E-05 4.45E-06 8.50E-07 1.48E-07 2.35E-08 3.40E-09 4.50E-10 5.42E-11 5.96E-12 5.98E-13 5.48E-14 4.58E-15 3.50E-16
   1.50  0.353  2.58E+01 2.00E+01 1.67E+02 8.87E-01 2.43E+00 3.39E+00 3.62E+00 3.25E+00 2.53E+00 1.75E+00 1.07E+00 5.93E-01 2.95E-01 1.33E-01 5.40E-02 2.00E-02 6.70E-03 2.05E-03 5.68E-04 1.43E-04 3.30E-05 6.91E-06 1.32E-06 2.30E-07 3.65E-08 5.29E-09 6.98E-10 8.41E-11 9.25E-12 9.29E-13 8.51E-14 7.11E-15 5.43E-16
   1.75  0.381  4.12E+01 3.08E+01 2.58E+02 1.37E+00 3.76E+00 5.23E+00 5.59E+00 5.02E+00 3.91E+00 2.70E+00 1.66E+00 9.15E-01 4.55E-01 2.05E-01 8.35E-02 3.08E-02 1.04E-02 3.16E-03 8.76E-04 2.21E-04 5.09E-05 1.07E-05 2.04E-06 3.55E-07 5.64E-08 8.16E-09 1.08E-09 1.30E-10 1.43E-11 1.43E-12 1.31E-13 1.10E-14 8.38E-16
   2.00  0.408  6.49E+01 4.73E+01 3.96E+02 2.10E+00 5.77E+00 8.03E+00 8.59E+00 7.71E+00 6.01E+00 4.14E+00 2.55E+00 1.41E+00 7.00E-01 3.15E-01 1.28E-01 4.74E-02 1.59E-02 4.85E-03 1.35E-03 3.40E-04 7.83E-05 1.64E-05 3.13E-06 5.45E-07 8.66E-08 1.25E-08 1.66E-09 2.00E-10 2.20E-11 2.20E-12 2.02E-13 1.69E-14 1.29E-15
