                    ************************************************************************************************
                    *  Z= 28 A= 60: Positive-Parity Spin-dependent Level Density [MeV-1] for Ni 60 and ldmodel= 2  *
                    ************************************************************************************************
 U[MeV]  T[MeV]  NCUMUL   RHOOBS   RHOTOT     J=00     J=01     J=02     J=03     J=04     J=05     J=06     J=07     J=08     J=09     J=10     J=11     J=12     J=13     J=14     J=15     J=16     J=17     J=18     J=19     J=20     J=21     J=22     J=23     J=24     J=25     J=26     J=27     J=28     J=29
   3.25  0.752  1.67E+01 7.81E+00 3.68E+01 1.07E+00 2.41E+00 2.28E+00 1.37E+00 5.67E-01 1.69E-01 3.65E-02 5.82E-03 6.87E-04 6.02E-05 3.94E-06 1.92E-07 7.02E-09 1.92E-10 3.93E-12 6.04E-14 6.97E-16 6.04E-18 3.93E-20 1.92E-22 7.07E-25 1.96E-27 4.07E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   3.50  0.781  2.17E+01 9.91E+00 4.67E+01 1.35E+00 3.06E+00 2.89E+00 1.73E+00 7.20E-01 2.14E-01 4.63E-02 7.38E-03 8.71E-04 7.64E-05 4.99E-06 2.44E-07 8.90E-09 2.43E-10 4.99E-12 7.67E-14 8.85E-16 7.67E-18 4.99E-20 2.44E-22 8.98E-25 2.48E-27 5.16E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   3.75  0.808  2.78E+01 1.23E+01 5.90E+01 1.61E+00 3.69E+00 3.57E+00 2.21E+00 9.57E-01 3.00E-01 6.94E-02 1.19E-02 1.54E-03 1.49E-04 1.08E-05 5.96E-07 2.48E-08 7.80E-10 1.86E-11 3.37E-13 4.62E-15 4.82E-17 3.81E-19 2.29E-21 1.05E-23 3.63E-26 9.59E-29 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   4.00  0.834  3.52E+01 1.47E+01 7.43E+01 1.76E+00 4.12E+00 4.20E+00 2.80E+00 1.35E+00 4.80E-01 1.29E-01 2.66E-02 4.20E-03 5.11E-04 4.81E-05 3.51E-06 1.98E-07 8.70E-09 2.97E-10 7.88E-12 1.63E-13 2.62E-15 3.28E-17 3.21E-19 2.44E-21 1.45E-23 6.72E-26 2.43E-28 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   4.25  0.860  4.40E+01 1.76E+01 9.32E+01 1.93E+00 4.62E+00 4.91E+00 3.50E+00 1.83E+00 7.25E-01 2.22E-01 5.29E-02 9.89E-03 1.46E-03 1.69E-04 1.56E-05 1.13E-06 6.56E-08 3.01E-09 1.10E-10 3.18E-12 7.34E-14 1.35E-15 1.97E-17 2.29E-19 2.12E-21 1.57E-23 9.20E-26 4.31E-28 1.61E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   4.50  0.885  5.46E+01 2.12E+01 1.16E+02 2.14E+00 5.21E+00 5.74E+00 4.31E+00 2.42E+00 1.05E+00 3.57E-01 9.64E-02 2.08E-02 3.59E-03 4.99E-04 5.59E-05 5.04E-06 3.67E-07 2.16E-08 1.03E-09 3.98E-11 1.24E-12 3.14E-14 6.43E-16 1.07E-17 1.44E-19 1.57E-21 1.39E-23 1.00E-25 5.84E-28 2.76E-30 1.00E-30 1.00E-30 1.00E-30
   4.75  0.909  6.72E+01 2.54E+01 1.45E+02 2.38E+00 5.89E+00 6.68E+00 5.26E+00 3.13E+00 1.46E+00 5.47E-01 1.64E-01 4.00E-02 7.93E-03 1.28E-03 1.70E-04 1.84E-05 1.63E-06 1.19E-07 7.12E-09 3.50E-10 1.42E-11 4.71E-13 1.29E-14 2.90E-16 5.37E-18 8.20E-20 1.03E-21 1.07E-23 9.10E-26 6.39E-28 3.70E-30 1.00E-30 1.00E-30
   5.00  0.933  8.24E+01 3.04E+01 1.80E+02 2.66E+00 6.67E+00 7.77E+00 6.36E+00 4.00E+00 1.99E+00 8.05E-01 2.65E-01 7.18E-02 1.60E-02 2.95E-03 4.51E-04 5.72E-05 6.03E-06 5.28E-07 3.85E-08 2.33E-09 1.18E-10 4.97E-12 1.74E-13 5.11E-15 1.25E-16 2.54E-18 4.32E-20 6.12E-22 7.25E-24 7.17E-26 5.91E-28 4.08E-30 1.00E-30
   5.50  0.979  1.26E+02 4.35E+01 2.75E+02 3.36E+00 8.61E+00 1.05E+01 9.14E+00 6.26E+00 3.48E+00 1.60E+00 6.12E-01 1.97E-01 5.33E-02 1.22E-02 2.36E-03 3.87E-04 5.40E-05 6.39E-06 6.43E-07 5.51E-08 4.01E-09 2.49E-10 1.32E-11 5.92E-13 2.27E-14 7.43E-16 2.07E-17 4.93E-19 1.00E-20 1.73E-22 2.55E-24 3.21E-26 3.45E-28
   6.00  1.022  1.88E+02 6.21E+01 4.15E+02 4.29E+00 1.12E+01 1.41E+01 1.29E+01 9.46E+00 5.73E+00 2.91E+00 1.25E+00 4.62E-01 1.46E-01 3.94E-02 9.19E-03 1.85E-03 3.21E-04 4.81E-05 6.24E-06 7.00E-07 6.80E-08 5.72E-09 4.17E-10 2.63E-11 1.44E-12 6.83E-14 2.81E-15 1.00E-16 3.10E-18 8.33E-20 1.94E-21 3.92E-23 6.87E-25
