                    ************************************************************************************************
                    *  Z= 30 A= 66: Positive-Parity Spin-dependent Level Density [MeV-1] for Zn 66 and ldmodel= 1  *
                    ************************************************************************************************
 U[MeV]  T[MeV]  NCUMUL   RHOOBS   RHOTOT     J=00     J=01     J=02     J=03     J=04     J=05     J=06     J=07     J=08     J=09     J=10     J=11     J=12     J=13     J=14     J=15     J=16     J=17     J=18     J=19     J=20     J=21     J=22     J=23     J=24     J=25     J=26     J=27     J=28     J=29
   3.25  0.578  2.22E+01 9.86E+00 4.75E+01 1.29E+00 2.95E+00 2.86E+00 1.78E+00 7.76E-01 2.45E-01 5.71E-02 9.92E-03 1.29E-03 1.26E-04 9.34E-06 5.22E-07 2.21E-08 7.08E-10 1.72E-11 3.18E-13 4.46E-15 4.76E-17 3.87E-19 2.39E-21 1.12E-23 4.01E-26 1.09E-28 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   3.50  0.600  2.84E+01 1.25E+01 6.32E+01 1.49E+00 3.50E+00 3.57E+00 2.39E+00 1.15E+00 4.10E-01 1.11E-01 2.28E-02 3.61E-03 4.41E-04 4.16E-05 3.04E-06 1.72E-07 7.60E-09 2.61E-10 6.95E-12 1.44E-13 2.33E-15 2.94E-17 2.89E-19 2.22E-21 1.33E-23 6.18E-26 2.25E-28 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   3.75  0.621  3.64E+01 1.59E+01 8.38E+01 1.74E+00 4.17E+00 4.43E+00 3.15E+00 1.64E+00 6.50E-01 1.98E-01 4.71E-02 8.79E-03 1.29E-03 1.49E-04 1.37E-05 9.90E-07 5.69E-08 2.59E-09 9.40E-11 2.71E-12 6.19E-14 1.13E-15 1.63E-17 1.88E-19 1.73E-21 1.26E-23 7.35E-26 3.41E-28 1.26E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   4.00  0.642  4.65E+01 2.02E+01 1.11E+02 2.05E+00 4.99E+00 5.48E+00 4.11E+00 2.29E+00 9.89E-01 3.35E-01 8.99E-02 1.92E-02 3.30E-03 4.54E-04 5.02E-05 4.48E-06 3.22E-07 1.87E-08 8.79E-10 3.34E-11 1.02E-12 2.55E-14 5.12E-16 8.35E-18 1.10E-19 1.18E-21 1.02E-23 7.16E-26 4.07E-28 1.88E-30 1.00E-30 1.00E-30 1.00E-30
   4.25  0.661  5.93E+01 2.56E+01 1.46E+02 2.42E+00 5.98E+00 6.77E+00 5.30E+00 3.14E+00 1.46E+00 5.40E-01 1.61E-01 3.88E-02 7.59E-03 1.21E-03 1.58E-04 1.68E-05 1.47E-06 1.05E-07 6.15E-09 2.96E-10 1.17E-11 3.80E-13 1.01E-14 2.22E-16 4.00E-18 5.92E-20 7.21E-22 7.23E-24 5.96E-26 4.04E-28 2.26E-30 1.00E-30 1.00E-30
   4.50  0.681  7.55E+01 3.25E+01 1.92E+02 2.87E+00 7.19E+00 8.35E+00 6.80E+00 4.24E+00 2.10E+00 8.40E-01 2.74E-01 7.31E-02 1.61E-02 2.92E-03 4.38E-04 5.44E-05 5.61E-06 4.81E-07 3.42E-08 2.02E-09 9.93E-11 4.06E-12 1.38E-13 3.92E-15 9.25E-17 1.82E-18 2.98E-20 4.06E-22 4.62E-24 4.38E-26 3.46E-28 2.28E-30 1.00E-30
   4.75  0.699  9.62E+01 4.13E+01 2.51E+02 3.42E+00 8.67E+00 1.03E+01 8.67E+00 5.66E+00 2.97E+00 1.27E+00 4.47E-01 1.31E-01 3.18E-02 6.46E-03 1.10E-03 1.56E-04 1.86E-05 1.87E-06 1.57E-07 1.11E-08 6.63E-10 3.32E-11 1.40E-12 4.97E-14 1.48E-15 3.74E-17 7.93E-19 1.42E-20 2.13E-22 2.71E-24 2.90E-26 2.62E-28 1.99E-30
   5.00  0.717  1.22E+02 5.24E+01 3.29E+02 4.10E+00 1.05E+01 1.27E+01 1.10E+01 7.48E+00 4.12E+00 1.87E+00 7.07E-01 2.24E-01 5.95E-02 1.33E-02 2.53E-03 4.05E-04 5.51E-05 6.34E-06 6.20E-07 5.14E-08 3.63E-09 2.17E-10 1.11E-11 4.79E-13 1.76E-14 5.52E-16 1.47E-17 3.34E-19 6.45E-21 1.06E-22 1.48E-24 1.77E-26 1.79E-28
   5.50  0.752  2.07E+02 8.45E+01 5.61E+02 5.92E+00 1.54E+01 1.93E+01 1.76E+01 1.28E+01 7.66E+00 3.84E+00 1.63E+00 5.91E-01 1.83E-01 4.84E-02 1.10E-02 2.16E-03 3.65E-04 5.32E-05 6.68E-06 7.25E-07 6.79E-08 5.50E-09 3.85E-10 2.33E-11 1.22E-12 5.52E-14 2.16E-15 7.33E-17 2.15E-18 5.47E-20 1.20E-21 2.29E-23 3.77E-25
   6.00  0.786  3.43E+02 1.36E+02 9.50E+02 8.66E+00 2.28E+01 2.94E+01 2.79E+01 2.14E+01 1.37E+01 7.47E+00 3.49E+00 1.41E+00 4.91E-01 1.49E-01 3.95E-02 9.10E-03 1.83E-03 3.23E-04 4.97E-05 6.70E-06 7.90E-07 8.16E-08 7.39E-09 5.87E-10 4.08E-11 2.49E-12 1.33E-13 6.26E-15 2.58E-16 9.32E-18 2.96E-19 8.23E-21 2.01E-22
