                    ************************************************************************************************
                    *  Z= 25 A= 55: Positive-Parity Spin-dependent Level Density [MeV-1] for Mn 55 and ldmodel= 5  *
                    ************************************************************************************************
 U[MeV]  T[MeV]  NCUMUL   RHOOBS   RHOTOT    J=01/2   J=03/2   J=05/2   J=07/2   J=09/2   J=11/2   J=13/2   J=15/2   J=17/2   J=19/2   J=21/2   J=23/2   J=25/2   J=27/2   J=29/2   J=31/2   J=33/2   J=35/2   J=37/2   J=39/2   J=41/2   J=43/2   J=45/2   J=47/2   J=49/2   J=51/2   J=53/2   J=55/2   J=57/2   J=59/2
   3.25  0.669  5.38E+01 5.61E+00 5.32E+01 5.30E-01 9.94E-01 1.11E+00 1.43E+00 1.50E+00 1.25E+00 5.27E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   3.50  0.695  6.75E+01 7.25E+00 5.74E+01 5.94E-03 1.00E+00 5.88E-01 1.11E+00 1.64E+00 1.58E+00 6.57E-01 1.98E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   3.75  0.719  8.44E+01 8.57E+00 5.83E+01 6.13E-01 1.20E+00 3.28E-01 5.88E-01 1.43E+00 1.76E+00 8.55E-01 3.28E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   4.00  0.743  1.09E+02 6.59E+00 7.58E+01 1.52E+00 2.83E+00 7.25E-01 5.27E-01 1.31E+00 1.64E+00 1.59E+00 5.27E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   4.25  0.765  1.41E+02 6.92E+00 1.12E+02 2.01E+00 4.26E+00 2.98E+00 1.66E+00 9.15E-01 1.43E+00 2.36E+00 8.55E-01 1.98E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   4.50  0.788  1.79E+02 7.26E+00 1.81E+02 2.35E+00 5.13E+00 5.92E+00 3.62E+00 1.85E+00 1.68E+00 3.13E+00 1.68E+00 4.27E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   4.75  0.809  2.30E+02 1.39E+01 2.99E+02 3.01E+00 7.66E+00 1.01E+01 7.60E+00 3.83E+00 2.53E+00 4.15E+00 2.84E+00 5.92E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   5.00  0.830  2.92E+02 1.86E+01 4.42E+02 4.47E+00 1.01E+01 1.35E+01 1.21E+01 6.81E+00 4.52E+00 4.64E+00 3.73E+00 1.16E+00 4.02E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   5.50  0.871  4.69E+02 5.12E+01 8.26E+02 9.42E+00 1.37E+01 1.70E+01 1.92E+01 1.89E+01 1.45E+01 5.17E+00 5.41E+00 2.65E+00 1.50E+00 2.03E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   6.00  0.909  7.39E+02 9.82E+01 1.26E+03 1.19E+01 1.76E+01 2.32E+01 2.55E+01 2.68E+01 2.51E+01 9.37E+00 7.90E+00 3.90E+00 2.38E+00 1.27E+00 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   6.50  0.947  1.17E+03 1.34E+02 2.09E+03 1.82E+01 3.43E+01 4.17E+01 4.07E+01 3.66E+01 3.42E+01 2.44E+01 1.45E+01 5.88E+00 4.19E+00 2.65E+00 9.91E-02 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   7.00  0.982  1.81E+03 2.22E+02 3.44E+03 3.06E+01 5.19E+01 5.82E+01 7.40E+01 5.91E+01 4.99E+01 3.99E+01 2.69E+01 1.30E+01 6.71E+00 3.43E+00 8.30E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   7.50  1.017  2.73E+03 3.67E+02 5.50E+03 4.50E+01 7.32E+01 8.78E+01 1.12E+02 9.31E+01 8.16E+01 5.68E+01 4.40E+01 2.66E+01 1.12E+01 7.15E+00 2.45E+00 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   8.00  1.050  4.09E+03 5.51E+02 9.08E+03 6.33E+01 1.29E+02 1.64E+02 1.69E+02 1.52E+02 1.35E+02 9.37E+01 6.62E+01 4.67E+01 2.23E+01 1.01E+01 5.01E+00 6.01E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   8.50  1.082  6.14E+03 9.18E+02 1.44E+04 9.12E+01 1.90E+02 2.33E+02 2.59E+02 2.56E+02 2.18E+02 1.47E+02 1.07E+02 7.03E+01 3.81E+01 1.41E+01 9.49E+00 2.45E+00 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   9.00  1.114  9.18E+03 1.47E+03 2.15E+04 1.24E+02 2.43E+02 3.29E+02 3.71E+02 3.61E+02 3.41E+02 2.22E+02 1.71E+02 1.01E+02 6.45E+01 2.81E+01 1.30E+01 4.63E+00 5.02E-01 2.03E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
