                    ************************************************************************************************
                    *  Z= 38 A= 86: Positive-Parity Spin-dependent Level Density [MeV-1] for Sr 86 and ldmodel= 1  *
                    ************************************************************************************************
 U[MeV]  T[MeV]  NCUMUL   RHOOBS   RHOTOT     J=00     J=01     J=02     J=03     J=04     J=05     J=06     J=07     J=08     J=09     J=10     J=11     J=12     J=13     J=14     J=15     J=16     J=17     J=18     J=19     J=20     J=21     J=22     J=23     J=24     J=25     J=26     J=27     J=28     J=29
   3.25  0.520  1.53E+02 9.80E+01 8.36E+02 4.19E+00 1.15E+01 1.62E+01 1.74E+01 1.59E+01 1.26E+01 8.87E+00 5.59E+00 3.18E+00 1.63E+00 7.60E-01 3.22E-01 1.24E-01 4.36E-02 1.40E-02 4.09E-03 1.09E-03 2.67E-04 5.96E-05 1.22E-05 2.28E-06 3.89E-07 6.09E-08 8.73E-09 1.14E-09 1.37E-10 1.51E-11 1.52E-12 1.41E-13 1.19E-14
   3.50  0.539  2.24E+02 1.43E+02 1.23E+03 5.98E+00 1.65E+01 2.32E+01 2.52E+01 2.31E+01 1.85E+01 1.31E+01 8.38E+00 4.83E+00 2.52E+00 1.19E+00 5.16E-01 2.03E-01 7.29E-02 2.40E-02 7.19E-03 1.98E-03 4.97E-04 1.15E-04 2.42E-05 4.68E-06 8.30E-07 1.35E-07 2.01E-08 2.75E-09 3.45E-10 3.97E-11 4.19E-12 4.06E-13 3.61E-14
   3.75  0.558  3.28E+02 2.08E+02 1.81E+03 8.53E+00 2.35E+01 3.32E+01 3.63E+01 3.35E+01 2.70E+01 1.94E+01 1.25E+01 7.31E+00 3.87E+00 1.87E+00 8.21E-01 3.30E-01 1.21E-01 4.07E-02 1.25E-02 3.54E-03 9.15E-04 2.17E-04 4.73E-05 9.47E-06 1.74E-06 2.93E-07 4.54E-08 6.47E-09 8.45E-10 1.02E-10 1.12E-11 1.14E-12 1.06E-13
   4.00  0.576  4.79E+02 3.02E+02 2.65E+03 1.21E+01 3.36E+01 4.76E+01 5.22E+01 4.85E+01 3.94E+01 2.86E+01 1.87E+01 1.10E+01 5.93E+00 2.90E+00 1.30E+00 5.32E-01 2.00E-01 6.86E-02 2.16E-02 6.26E-03 1.67E-03 4.07E-04 9.14E-05 1.89E-05 3.59E-06 6.26E-07 1.01E-07 1.49E-08 2.03E-09 2.54E-10 2.93E-11 3.11E-12 3.04E-13
   4.25  0.594  6.98E+02 4.37E+02 3.88E+03 1.73E+01 4.79E+01 6.80E+01 7.50E+01 7.00E+01 5.74E+01 4.20E+01 2.77E+01 1.66E+01 9.04E+00 4.50E+00 2.05E+00 8.54E-01 3.27E-01 1.15E-01 3.70E-02 1.10E-02 3.00E-03 7.54E-04 1.74E-04 3.71E-05 7.28E-06 1.32E-06 2.19E-07 3.36E-08 4.76E-09 6.21E-10 7.46E-11 8.27E-12 8.45E-13
   4.50  0.611  1.01E+03 6.34E+02 5.67E+03 2.46E+01 6.82E+01 9.71E+01 1.08E+02 1.01E+02 8.35E+01 6.16E+01 4.11E+01 2.49E+01 1.37E+01 6.94E+00 3.21E+00 1.36E+00 5.32E-01 1.91E-01 6.29E-02 1.91E-02 5.35E-03 1.38E-03 3.29E-04 7.21E-05 1.46E-05 2.72E-06 4.69E-07 7.46E-08 1.10E-08 1.48E-09 1.86E-10 2.15E-11 2.29E-12
   4.75  0.628  1.47E+03 9.16E+02 8.28E+03 3.49E+01 9.70E+01 1.39E+02 1.54E+02 1.46E+02 1.21E+02 9.02E+01 6.08E+01 3.72E+01 2.08E+01 1.07E+01 5.01E+00 2.16E+00 8.60E-01 3.15E-01 1.06E-01 3.30E-02 9.46E-03 2.50E-03 6.12E-04 1.38E-04 2.88E-05 5.55E-06 9.89E-07 1.63E-07 2.48E-08 3.48E-09 4.53E-10 5.45E-11 6.06E-12
   5.00  0.644  2.13E+03 1.32E+03 1.21E+04 4.95E+01 1.38E+02 1.97E+02 2.20E+02 2.09E+02 1.75E+02 1.32E+02 8.96E+01 5.55E+01 3.14E+01 1.63E+01 7.79E+00 3.42E+00 1.38E+00 5.16E-01 1.78E-01 5.65E-02 1.66E-02 4.50E-03 1.13E-03 2.62E-04 5.62E-05 1.12E-05 2.05E-06 3.49E-07 5.50E-08 8.02E-09 1.08E-09 1.35E-10 1.57E-11
   5.50  0.676  4.89E+03 2.75E+03 2.56E+04 9.95E+01 2.77E+02 4.00E+02 4.50E+02 4.32E+02 3.67E+02 2.80E+02 1.94E+02 1.22E+02 7.10E+01 3.79E+01 1.86E+01 8.42E+00 3.52E+00 1.36E+00 4.88E-01 1.62E-01 4.97E-02 1.41E-02 3.73E-03 9.11E-04 2.07E-04 4.35E-05 8.48E-06 1.54E-06 2.58E-07 4.03E-08 5.84E-09 7.85E-10 9.81E-11
   6.00  0.706  1.06E+04 5.71E+03 5.39E+04 1.99E+02 5.57E+02 8.07E+02 9.14E+02 8.86E+02 7.62E+02 5.90E+02 4.15E+02 2.68E+02 1.59E+02 8.67E+01 4.37E+01 2.04E+01 8.81E+00 3.53E+00 1.31E+00 4.52E-01 1.45E-01 4.30E-02 1.19E-02 3.05E-03 7.27E-04 1.61E-04 3.33E-05 6.40E-06 1.14E-06 1.90E-07 2.94E-08 4.23E-09 5.67E-10
