                    ************************************************************************************************
                    *  Z= 38 A= 86: Positive-Parity Spin-dependent Level Density [MeV-1] for Sr 86 and ldmodel= 1  *
                    ************************************************************************************************
 U[MeV]  T[MeV]  NCUMUL   RHOOBS   RHOTOT     J=00     J=01     J=02     J=03     J=04     J=05     J=06     J=07     J=08     J=09     J=10     J=11     J=12     J=13     J=14     J=15     J=16     J=17     J=18     J=19     J=20     J=21     J=22     J=23     J=24     J=25     J=26     J=27     J=28     J=29
   3.25  0.520  5.81E+02 3.97E+02 3.39E+03 1.70E+01 4.67E+01 6.55E+01 7.08E+01 6.44E+01 5.11E+01 3.60E+01 2.27E+01 1.29E+01 6.62E+00 3.08E+00 1.31E+00 5.04E-01 1.77E-01 5.67E-02 1.66E-02 4.44E-03 1.08E-03 2.42E-04 4.94E-05 9.23E-06 1.58E-06 2.47E-07 3.54E-08 4.64E-09 5.58E-10 6.14E-11 6.18E-12 5.71E-13 4.82E-14
   3.50  0.539  8.80E+02 5.98E+02 5.15E+03 2.50E+01 6.90E+01 9.71E+01 1.05E+02 9.66E+01 7.73E+01 5.50E+01 3.51E+01 2.02E+01 1.05E+01 5.00E+00 2.16E+00 8.50E-01 3.05E-01 1.00E-01 3.01E-02 8.28E-03 2.08E-03 4.80E-04 1.01E-04 1.96E-05 3.47E-06 5.65E-07 8.42E-08 1.15E-08 1.44E-09 1.66E-10 1.75E-11 1.70E-12 1.51E-13
   3.75  0.558  1.33E+03 8.97E+02 7.80E+03 3.68E+01 1.02E+02 1.43E+02 1.57E+02 1.44E+02 1.17E+02 8.38E+01 5.41E+01 3.16E+01 1.67E+01 8.06E+00 3.54E+00 1.42E+00 5.23E-01 1.76E-01 5.41E-02 1.53E-02 3.95E-03 9.38E-04 2.04E-04 4.09E-05 7.51E-06 1.27E-06 1.96E-07 2.79E-08 3.65E-09 4.39E-10 4.84E-11 4.92E-12 4.59E-13
   4.00  0.576  2.00E+03 1.34E+03 1.18E+04 5.40E+01 1.49E+02 2.12E+02 2.32E+02 2.16E+02 1.75E+02 1.27E+02 8.31E+01 4.91E+01 2.64E+01 1.29E+01 5.78E+00 2.37E+00 8.88E-01 3.05E-01 9.62E-02 2.79E-02 7.41E-03 1.81E-03 4.07E-04 8.40E-05 1.60E-05 2.79E-06 4.48E-07 6.62E-08 9.02E-09 1.13E-09 1.30E-10 1.38E-11 1.35E-12
   4.25  0.594  3.00E+03 2.00E+03 1.78E+04 7.92E+01 2.19E+02 3.12E+02 3.43E+02 3.21E+02 2.63E+02 1.93E+02 1.27E+02 7.61E+01 4.14E+01 2.06E+01 9.38E+00 3.91E+00 1.50E+00 5.26E-01 1.70E-01 5.04E-02 1.38E-02 3.45E-03 7.99E-04 1.70E-04 3.34E-05 6.03E-06 1.00E-06 1.54E-07 2.18E-08 2.84E-09 3.42E-10 3.79E-11 3.87E-12
   4.50  0.611  4.50E+03 2.99E+03 2.68E+04 1.16E+02 3.22E+02 4.58E+02 5.07E+02 4.77E+02 3.94E+02 2.91E+02 1.94E+02 1.17E+02 6.48E+01 3.27E+01 1.51E+01 6.43E+00 2.51E+00 8.99E-01 2.97E-01 9.02E-02 2.53E-02 6.52E-03 1.55E-03 3.40E-04 6.88E-05 1.28E-05 2.21E-06 3.52E-07 5.17E-08 7.00E-09 8.77E-10 1.01E-10 1.08E-11
   4.75  0.628  6.72E+03 4.45E+03 4.02E+04 1.69E+02 4.71E+02 6.72E+02 7.47E+02 7.06E+02 5.88E+02 4.38E+02 2.95E+02 1.81E+02 1.01E+02 5.17E+01 2.43E+01 1.05E+01 4.17E+00 1.53E+00 5.15E-01 1.60E-01 4.59E-02 1.22E-02 2.97E-03 6.71E-04 1.40E-04 2.70E-05 4.80E-06 7.90E-07 1.20E-07 1.69E-08 2.20E-09 2.64E-10 2.94E-11
   5.00  0.644  1.00E+04 6.61E+03 6.03E+04 2.47E+02 6.88E+02 9.85E+02 1.10E+03 1.05E+03 8.76E+02 6.58E+02 4.47E+02 2.77E+02 1.57E+02 8.15E+01 3.89E+01 1.71E+01 6.90E+00 2.57E+00 8.86E-01 2.82E-01 8.27E-02 2.25E-02 5.63E-03 1.31E-03 2.81E-04 5.57E-05 1.02E-05 1.74E-06 2.74E-07 4.00E-08 5.40E-09 6.75E-10 7.82E-11
   5.50  0.676  2.45E+04 1.45E+04 1.35E+05 5.24E+02 1.46E+03 2.11E+03 2.37E+03 2.28E+03 1.93E+03 1.47E+03 1.02E+03 6.46E+02 3.74E+02 2.00E+02 9.80E+01 4.44E+01 1.86E+01 7.19E+00 2.57E+00 8.53E-01 2.62E-01 7.45E-02 1.96E-02 4.80E-03 1.09E-03 2.29E-04 4.47E-05 8.10E-06 1.36E-06 2.12E-07 3.08E-08 4.14E-09 5.17E-10
   6.00  0.706  5.62E+04 3.17E+04 2.99E+05 1.11E+03 3.10E+03 4.48E+03 5.08E+03 4.93E+03 4.23E+03 3.28E+03 2.31E+03 1.49E+03 8.82E+02 4.82E+02 2.43E+02 1.13E+02 4.90E+01 1.96E+01 7.28E+00 2.51E+00 8.03E-01 2.39E-01 6.59E-02 1.69E-02 4.04E-03 8.97E-04 1.85E-04 3.56E-05 6.35E-06 1.06E-06 1.63E-07 2.35E-08 3.15E-09
