                    ************************************************************************************************
                    *  Z= 38 A= 86: Positive-Parity Spin-dependent Level Density [MeV-1] for Sr 86 and ldmodel= 1  *
                    ************************************************************************************************
 U[MeV]  T[MeV]  NCUMUL   RHOOBS   RHOTOT     J=00     J=01     J=02     J=03     J=04     J=05     J=06     J=07     J=08     J=09     J=10     J=11     J=12     J=13     J=14     J=15     J=16     J=17     J=18     J=19     J=20     J=21     J=22     J=23     J=24     J=25     J=26     J=27     J=28     J=29
   3.25  0.520  1.61E+02 1.03E+02 8.78E+02 4.40E+00 1.21E+01 1.70E+01 1.83E+01 1.67E+01 1.32E+01 9.32E+00 5.87E+00 3.34E+00 1.71E+00 7.98E-01 3.38E-01 1.30E-01 4.58E-02 1.47E-02 4.30E-03 1.15E-03 2.81E-04 6.26E-05 1.28E-05 2.39E-06 4.09E-07 6.40E-08 9.16E-09 1.20E-09 1.44E-10 1.59E-11 1.60E-12 1.48E-13 1.25E-14
   3.50  0.539  2.36E+02 1.50E+02 1.29E+03 6.27E+00 1.73E+01 2.43E+01 2.64E+01 2.42E+01 1.94E+01 1.38E+01 8.79E+00 5.06E+00 2.64E+00 1.25E+00 5.41E-01 2.13E-01 7.65E-02 2.51E-02 7.55E-03 2.07E-03 5.22E-04 1.20E-04 2.54E-05 4.91E-06 8.70E-07 1.41E-07 2.11E-08 2.88E-09 3.62E-10 4.16E-11 4.40E-12 4.26E-13 3.79E-14
   3.75  0.558  3.45E+02 2.18E+02 1.89E+03 8.93E+00 2.47E+01 3.48E+01 3.80E+01 3.51E+01 2.83E+01 2.03E+01 1.31E+01 7.66E+00 4.06E+00 1.96E+00 8.60E-01 3.45E-01 1.27E-01 4.26E-02 1.31E-02 3.70E-03 9.59E-04 2.28E-04 4.96E-05 9.92E-06 1.82E-06 3.07E-07 4.76E-08 6.77E-09 8.86E-10 1.06E-10 1.18E-11 1.19E-12 1.11E-13
   4.00  0.576  5.03E+02 3.16E+02 2.77E+03 1.27E+01 3.52E+01 4.98E+01 5.46E+01 5.07E+01 4.13E+01 2.99E+01 1.95E+01 1.15E+01 6.20E+00 3.04E+00 1.36E+00 5.57E-01 2.09E-01 7.18E-02 2.26E-02 6.55E-03 1.74E-03 4.26E-04 9.57E-05 1.98E-05 3.75E-06 6.55E-07 1.05E-07 1.56E-08 2.12E-09 2.66E-10 3.06E-11 3.25E-12 3.18E-13
   4.25  0.594  7.31E+02 4.57E+02 4.06E+03 1.81E+01 5.00E+01 7.11E+01 7.83E+01 7.32E+01 6.00E+01 4.39E+01 2.90E+01 1.73E+01 9.45E+00 4.70E+00 2.14E+00 8.92E-01 3.41E-01 1.20E-01 3.87E-02 1.15E-02 3.14E-03 7.88E-04 1.82E-04 3.88E-05 7.61E-06 1.38E-06 2.29E-07 3.52E-08 4.97E-09 6.49E-10 7.80E-11 8.64E-12 8.84E-13
   4.50  0.611  1.06E+03 6.61E+02 5.92E+03 2.57E+01 7.12E+01 1.01E+02 1.12E+02 1.05E+02 8.71E+01 6.44E+01 4.29E+01 2.60E+01 1.43E+01 7.24E+00 3.35E+00 1.42E+00 5.55E-01 1.99E-01 6.57E-02 2.00E-02 5.59E-03 1.44E-03 3.43E-04 7.53E-05 1.52E-05 2.84E-06 4.90E-07 7.79E-08 1.14E-08 1.55E-09 1.94E-10 2.24E-11 2.39E-12
   4.75  0.628  1.54E+03 9.56E+02 8.64E+03 3.64E+01 1.01E+02 1.45E+02 1.61E+02 1.52E+02 1.26E+02 9.41E+01 6.34E+01 3.88E+01 2.17E+01 1.11E+01 5.23E+00 2.26E+00 8.97E-01 3.28E-01 1.11E-01 3.44E-02 9.87E-03 2.61E-03 6.39E-04 1.44E-04 3.01E-05 5.79E-06 1.03E-06 1.70E-07 2.58E-08 3.63E-09 4.72E-10 5.68E-11 6.32E-12
   5.00  0.644  2.23E+03 1.38E+03 1.26E+04 5.16E+01 1.44E+02 2.06E+02 2.30E+02 2.18E+02 1.83E+02 1.37E+02 9.34E+01 5.78E+01 3.27E+01 1.70E+01 8.11E+00 3.56E+00 1.44E+00 5.38E-01 1.85E-01 5.88E-02 1.73E-02 4.69E-03 1.18E-03 2.73E-04 5.86E-05 1.16E-05 2.14E-06 3.64E-07 5.73E-08 8.35E-09 1.13E-09 1.41E-10 1.63E-11
   5.50  0.676  5.09E+03 2.86E+03 2.66E+04 1.04E+02 2.89E+02 4.16E+02 4.68E+02 4.49E+02 3.81E+02 2.91E+02 2.01E+02 1.27E+02 7.39E+01 3.94E+01 1.93E+01 8.76E+00 3.67E+00 1.42E+00 5.08E-01 1.68E-01 5.17E-02 1.47E-02 3.88E-03 9.48E-04 2.15E-04 4.52E-05 8.82E-06 1.60E-06 2.69E-07 4.19E-08 6.07E-09 8.17E-10 1.02E-10
   6.00  0.706  1.10E+04 5.93E+03 5.60E+04 2.07E+02 5.79E+02 8.38E+02 9.50E+02 9.21E+02 7.91E+02 6.13E+02 4.32E+02 2.78E+02 1.65E+02 9.01E+01 4.54E+01 2.12E+01 9.16E+00 3.67E+00 1.36E+00 4.69E-01 1.50E-01 4.46E-02 1.23E-02 3.16E-03 7.55E-04 1.68E-04 3.46E-05 6.64E-06 1.19E-06 1.97E-07 3.05E-08 4.40E-09 5.89E-10
