                    ************************************************************************************************
                    *  Z= 33 A= 73: Positive-Parity Spin-dependent Level Density [MeV-1] for As 73 and ldmodel= 2  *
                    ************************************************************************************************
 U[MeV]  T[MeV]  NCUMUL   RHOOBS   RHOTOT    J=01/2   J=03/2   J=05/2   J=07/2   J=09/2   J=11/2   J=13/2   J=15/2   J=17/2   J=19/2   J=21/2   J=23/2   J=25/2   J=27/2   J=29/2   J=31/2   J=33/2   J=35/2   J=37/2   J=39/2   J=41/2   J=43/2   J=45/2   J=47/2   J=49/2   J=51/2   J=53/2   J=55/2   J=57/2   J=59/2
   0.25  0.154  1.66E+00 3.31E+00 1.64E+01 5.42E-01 8.29E-01 7.95E-01 5.67E-01 3.17E-01 1.42E-01 5.20E-02 1.55E-02 3.83E-03 7.78E-04 1.31E-04 1.83E-05 2.12E-06 2.05E-07 1.64E-08 1.10E-09 6.10E-11 2.83E-12 1.09E-13 3.53E-15 9.48E-17 2.13E-18 3.99E-20 6.23E-22 8.14E-24 8.87E-26 8.07E-28 6.14E-30 1.00E-30 1.00E-30
   0.50  0.218  4.53E+00 5.75E+00 2.84E+01 9.40E-01 1.44E+00 1.38E+00 9.84E-01 5.50E-01 2.47E-01 9.02E-02 2.70E-02 6.64E-03 1.35E-03 2.27E-04 3.18E-05 3.68E-06 3.55E-07 2.85E-08 1.90E-09 1.06E-10 4.91E-12 1.90E-13 6.12E-15 1.65E-16 3.69E-18 6.92E-20 1.08E-21 1.41E-23 1.54E-25 1.40E-27 1.07E-29 1.00E-30 1.00E-30
   0.75  0.267  9.31E+00 9.56E+00 4.79E+01 1.53E+00 2.36E+00 2.28E+00 1.65E+00 9.41E-01 4.32E-01 1.62E-01 4.99E-02 1.27E-02 2.69E-03 4.73E-04 6.92E-05 8.45E-06 8.60E-07 7.32E-08 5.21E-09 3.10E-10 1.55E-11 6.44E-13 2.25E-14 6.58E-16 1.61E-17 3.31E-19 5.70E-21 8.22E-23 9.94E-25 1.01E-26 8.58E-29 1.00E-30 1.00E-30
   1.00  0.308  1.69E+01 1.51E+01 7.88E+01 2.27E+00 3.55E+00 3.54E+00 2.67E+00 1.60E+00 7.85E-01 3.18E-01 1.07E-01 3.01E-02 7.11E-03 1.41E-03 2.37E-04 3.34E-05 3.99E-06 4.02E-07 3.43E-08 2.48E-09 1.52E-10 7.85E-12 3.44E-13 1.28E-14 4.04E-16 1.08E-17 2.44E-19 4.70E-21 7.66E-23 1.06E-24 1.24E-26 1.24E-28 1.05E-30
   1.25  0.344  2.85E+01 2.33E+01 1.26E+02 3.29E+00 5.23E+00 5.36E+00 4.19E+00 2.63E+00 1.36E+00 5.90E-01 2.14E-01 6.58E-02 1.71E-02 3.79E-03 7.15E-04 1.15E-04 1.57E-05 1.84E-06 1.84E-07 1.57E-08 1.15E-09 7.20E-11 3.85E-12 1.77E-13 6.94E-15 2.34E-16 6.74E-18 1.66E-19 3.52E-21 6.39E-23 9.94E-25 1.32E-26 1.51E-28
   1.50  0.377  4.61E+01 3.51E+01 1.98E+02 4.70E+00 7.58E+00 7.93E+00 6.40E+00 4.19E+00 2.28E+00 1.05E+00 4.07E-01 1.35E-01 3.83E-02 9.31E-03 1.95E-03 3.50E-04 5.41E-05 7.22E-06 8.30E-07 8.24E-08 7.05E-09 5.22E-10 3.33E-11 1.84E-12 8.77E-14 3.62E-15 1.29E-16 3.97E-18 1.06E-19 2.44E-21 4.86E-23 8.38E-25 1.25E-26
   1.75  0.407  7.21E+01 5.21E+01 3.03E+02 6.61E+00 1.08E+01 1.15E+01 9.55E+00 6.49E+00 3.69E+00 1.78E+00 7.36E-01 2.61E-01 8.00E-02 2.12E-02 4.85E-03 9.65E-04 1.66E-04 2.49E-05 3.25E-06 3.68E-07 3.62E-08 3.11E-09 2.32E-10 1.51E-11 8.55E-13 4.22E-14 1.82E-15 6.82E-17 2.23E-18 6.35E-20 1.58E-21 3.42E-23 6.46E-25
   2.00  0.435  1.10E+02 7.61E+01 4.57E+02 9.17E+00 1.51E+01 1.65E+01 1.40E+01 9.81E+00 5.80E+00 2.94E+00 1.28E+00 4.83E-01 1.58E-01 4.52E-02 1.12E-02 2.44E-03 4.64E-04 7.72E-05 1.12E-05 1.43E-06 1.60E-07 1.57E-08 1.35E-09 1.01E-10 6.71E-12 3.89E-13 1.98E-14 8.86E-16 3.48E-17 1.20E-18 3.63E-20 9.65E-22 2.25E-23
   2.25  0.462  1.65E+02 1.09E+02 6.77E+02 1.26E+01 2.09E+01 2.31E+01 2.01E+01 1.45E+01 8.91E+00 4.70E+00 2.15E+00 8.58E-01 2.99E-01 9.13E-02 2.45E-02 5.76E-03 1.19E-03 2.18E-04 3.51E-05 4.97E-06 6.22E-07 6.87E-08 6.69E-09 5.75E-10 4.37E-11 2.93E-12 1.74E-13 9.09E-15 4.21E-16 1.72E-17 6.22E-19 1.99E-20 5.61E-22
   2.50  0.487  2.43E+02 1.56E+02 9.89E+02 1.71E+01 2.87E+01 3.21E+01 2.85E+01 2.11E+01 1.34E+01 7.34E+00 3.51E+00 1.47E+00 5.41E-01 1.76E-01 5.04E-02 1.28E-02 2.86E-03 5.69E-04 1.00E-04 1.56E-05 2.17E-06 2.66E-07 2.91E-08 2.82E-09 2.42E-10 1.85E-11 1.26E-12 7.62E-14 4.09E-15 1.95E-16 8.28E-18 3.13E-19 1.05E-20
   2.75  0.510  3.52E+02 2.18E+02 1.43E+03 2.29E+01 3.88E+01 4.41E+01 3.99E+01 3.03E+01 1.97E+01 1.12E+01 5.57E+00 2.44E+00 9.45E-01 3.24E-01 9.88E-02 2.68E-02 6.45E-03 1.38E-03 2.64E-04 4.51E-05 6.85E-06 9.29E-07 1.12E-07 1.21E-08 1.17E-09 1.01E-10 7.78E-12 5.35E-13 3.29E-14 1.81E-15 8.87E-17 3.89E-18 1.53E-19
   3.00  0.533  5.03E+02 3.03E+02 2.03E+03 3.05E+01 5.20E+01 5.99E+01 5.51E+01 4.27E+01 2.86E+01 1.67E+01 8.63E+00 3.94E+00 1.60E+00 5.77E-01 1.86E-01 5.35E-02 1.38E-02 3.17E-03 6.52E-04 1.20E-04 1.99E-05 2.95E-06 3.93E-07 4.69E-08 5.02E-09 4.83E-10 4.16E-11 3.23E-12 2.24E-13 1.40E-14 7.86E-16 3.96E-17 1.79E-18
   3.25  0.555  7.12E+02 4.17E+02 2.87E+03 4.03E+01 6.92E+01 8.05E+01 7.52E+01 5.95E+01 4.08E+01 2.46E+01 1.31E+01 6.22E+00 2.63E+00 9.95E-01 3.37E-01 1.03E-01 2.80E-02 6.87E-03 1.52E-03 3.01E-04 5.39E-05 8.67E-06 1.26E-06 1.64E-07 1.94E-08 2.06E-09 1.97E-10 1.70E-11 1.32E-12 9.29E-14 5.89E-15 3.37E-16 1.74E-17
   3.50  0.576  9.96E+02 5.68E+02 4.00E+03 5.28E+01 9.12E+01 1.07E+02 1.02E+02 8.19E+01 5.75E+01 3.56E+01 1.95E+01 9.60E+00 4.22E+00 1.67E+00 5.92E-01 1.89E-01 5.46E-02 1.42E-02 3.35E-03 7.11E-04 1.36E-04 2.37E-05 3.72E-06 5.29E-07 6.80E-08 7.91E-09 8.34E-10 7.95E-11 6.87E-12 5.38E-13 3.81E-14 2.45E-15 1.42E-16
   3.75  0.596  1.38E+03 7.68E+02 5.52E+03 6.88E+01 1.19E+02 1.42E+02 1.36E+02 1.12E+02 7.99E+01 5.07E+01 2.87E+01 1.45E+01 6.62E+00 2.72E+00 1.01E+00 3.38E-01 1.03E-01 2.82E-02 7.04E-03 1.59E-03 3.26E-04 6.07E-05 1.03E-05 1.58E-06 2.20E-07 2.78E-08 3.20E-09 3.35E-10 3.19E-11 2.76E-12 2.17E-13 1.55E-14 1.01E-15
   4.00  0.616  1.90E+03 1.03E+03 7.57E+03 8.89E+01 1.55E+02 1.86E+02 1.81E+02 1.50E+02 1.10E+02 7.13E+01 4.14E+01 2.16E+01 1.02E+01 4.34E+00 1.67E+00 5.86E-01 1.87E-01 5.40E-02 1.42E-02 3.40E-03 7.41E-04 1.47E-04 2.66E-05 4.39E-06 6.59E-07 9.03E-08 1.13E-08 1.29E-09 1.34E-10 1.27E-11 1.10E-12 8.66E-14 6.24E-15
