                    ************************************************************************************************
                    *  Z= 22 A= 46: Positive-Parity Spin-dependent Level Density [MeV-1] for Ti 46 and ldmodel= 2  *
                    ************************************************************************************************
 U[MeV]  T[MeV]  NCUMUL   RHOOBS   RHOTOT     J=00     J=01     J=02     J=03     J=04     J=05     J=06     J=07     J=08     J=09     J=10     J=11     J=12     J=13     J=14     J=15     J=16     J=17     J=18     J=19     J=20     J=21     J=22     J=23     J=24     J=25     J=26     J=27     J=28     J=29
   3.25  0.735  1.74E+01 8.71E+00 4.81E+01 8.75E-01 2.14E+00 2.36E+00 1.78E+00 1.00E+00 4.36E-01 1.50E-01 4.08E-02 8.87E-03 1.55E-03 2.18E-04 2.47E-05 2.26E-06 1.67E-07 9.98E-09 4.84E-10 1.90E-11 6.05E-13 1.56E-14 3.27E-16 5.55E-18 7.66E-20 8.58E-22 7.80E-24 5.76E-26 3.45E-28 1.68E-30 1.00E-30 1.00E-30 1.00E-30
   3.50  0.762  2.29E+01 1.11E+01 6.20E+01 1.09E+00 2.67E+00 2.98E+00 2.28E+00 1.31E+00 5.85E-01 2.07E-01 5.82E-02 1.32E-02 2.41E-03 3.55E-04 4.25E-05 4.13E-06 3.25E-07 2.09E-08 1.09E-09 4.63E-11 1.60E-12 4.52E-14 1.04E-15 1.95E-17 2.98E-19 3.72E-21 3.79E-23 3.15E-25 2.14E-27 1.19E-29 1.00E-30 1.00E-30 1.00E-30
   3.75  0.789  2.99E+01 1.40E+01 7.95E+01 1.32E+00 3.26E+00 3.69E+00 2.89E+00 1.71E+00 7.93E-01 2.93E-01 8.69E-02 2.09E-02 4.07E-03 6.47E-04 8.39E-05 8.90E-06 7.73E-07 5.49E-08 3.20E-09 1.53E-10 6.01E-12 1.94E-13 5.12E-15 1.11E-16 1.99E-18 2.92E-20 3.53E-22 3.50E-24 2.86E-26 1.92E-28 1.06E-30 1.00E-30 1.00E-30
   4.00  0.815  3.87E+01 1.75E+01 1.01E+02 1.60E+00 3.97E+00 4.55E+00 3.64E+00 2.21E+00 1.06E+00 4.08E-01 1.27E-01 3.23E-02 6.70E-03 1.14E-03 1.59E-04 1.84E-05 1.74E-06 1.36E-07 8.81E-09 4.70E-10 2.07E-11 7.56E-13 2.28E-14 5.68E-16 1.17E-17 2.00E-19 2.83E-21 3.31E-23 3.21E-25 2.58E-27 1.71E-29 1.00E-30 1.00E-30
   4.25  0.840  4.95E+01 2.17E+01 1.28E+02 1.92E+00 4.81E+00 5.58E+00 4.55E+00 2.84E+00 1.41E+00 5.62E-01 1.83E-01 4.89E-02 1.07E-02 1.95E-03 2.93E-04 3.64E-05 3.75E-06 3.21E-07 2.28E-08 1.35E-09 6.64E-11 2.71E-12 9.24E-14 2.62E-15 6.18E-17 1.21E-18 1.99E-20 2.71E-22 3.08E-24 2.92E-26 2.31E-28 1.52E-30 1.00E-30
   4.50  0.864  6.30E+01 2.69E+01 1.62E+02 2.30E+00 5.80E+00 6.82E+00 5.65E+00 3.61E+00 1.84E+00 7.63E-01 2.59E-01 7.26E-02 1.68E-02 3.25E-03 5.20E-04 6.95E-05 7.74E-06 7.21E-07 5.60E-08 3.64E-09 1.98E-10 9.03E-12 3.44E-13 1.10E-14 2.94E-16 6.59E-18 1.24E-19 1.95E-21 2.57E-23 2.85E-25 2.64E-27 2.05E-29 1.00E-30
   4.75  0.888  7.96E+01 3.32E+01 2.03E+02 2.75E+00 6.97E+00 8.28E+00 6.98E+00 4.56E+00 2.39E+00 1.03E+00 3.62E-01 1.06E-01 2.59E-02 5.27E-03 8.99E-04 1.28E-04 1.54E-05 1.55E-06 1.31E-07 9.31E-09 5.57E-10 2.81E-11 1.19E-12 4.25E-14 1.28E-15 3.24E-17 6.92E-19 1.24E-20 1.89E-22 2.42E-24 2.61E-26 2.37E-28 1.82E-30
   5.00  0.911  1.00E+02 4.08E+01 2.53E+02 3.28E+00 8.35E+00 1.00E+01 8.58E+00 5.73E+00 3.09E+00 1.36E+00 5.00E-01 1.53E-01 3.90E-02 8.38E-03 1.51E-03 2.30E-04 2.95E-05 3.20E-06 2.93E-07 2.26E-08 1.48E-09 8.19E-11 3.84E-12 1.52E-13 5.11E-15 1.45E-16 3.50E-18 7.14E-20 1.24E-21 1.81E-23 2.25E-25 2.37E-27 2.12E-29
   5.50  0.956  1.61E+02 6.09E+01 3.89E+02 4.61E+00 1.19E+01 1.45E+01 1.28E+01 8.87E+00 5.01E+00 2.35E+00 9.19E-01 3.03E-01 8.45E-02 1.99E-02 4.00E-03 6.83E-04 9.92E-05 1.23E-05 1.30E-06 1.17E-07 8.99E-09 5.91E-10 3.32E-11 1.59E-12 6.54E-14 2.30E-15 6.90E-17 1.77E-18 3.89E-20 7.32E-22 1.18E-23 1.62E-25 1.91E-27
   6.00  0.998  2.51E+02 8.96E+01 5.88E+02 6.42E+00 1.66E+01 2.07E+01 1.87E+01 1.34E+01 7.92E+00 3.90E+00 1.62E+00 5.73E-01 1.72E-01 4.43E-02 9.77E-03 1.85E-03 2.99E-04 4.18E-05 5.01E-06 5.17E-07 4.60E-08 3.53E-09 2.33E-10 1.33E-11 6.50E-13 2.75E-14 1.01E-15 3.17E-17 8.61E-19 2.02E-20 4.09E-22 7.14E-24 1.08E-25
   6.50  1.039  3.81E+02 1.30E+02 8.78E+02 8.84E+00 2.31E+01 2.92E+01 2.70E+01 2.00E+01 1.22E+01 6.31E+00 2.77E+00 1.04E+00 3.35E-01 9.29E-02 2.23E-02 4.61E-03 8.26E-04 1.28E-04 1.72E-05 2.01E-06 2.04E-07 1.79E-08 1.36E-09 9.05E-11 5.21E-12 2.61E-13 1.13E-14 4.29E-16 1.41E-17 4.04E-19 1.00E-20 2.17E-22 4.09E-24
   7.00  1.078  5.68E+02 1.87E+02 1.29E+03 1.21E+01 3.18E+01 4.07E+01 3.85E+01 2.93E+01 1.85E+01 9.97E+00 4.59E+00 1.82E+00 6.23E-01 1.85E-01 4.78E-02 1.08E-02 2.11E-03 3.60E-04 5.37E-05 6.99E-06 7.95E-07 7.90E-08 6.87E-09 5.23E-10 3.48E-11 2.02E-12 1.03E-13 4.60E-15 1.80E-16 6.14E-18 1.84E-19 4.82E-21 1.11E-22
   7.50  1.116  8.34E+02 2.66E+02 1.89E+03 1.64E+01 4.34E+01 5.63E+01 5.41E+01 4.22E+01 2.76E+01 1.54E+01 7.40E+00 3.08E+00 1.12E+00 3.53E-01 9.77E-02 2.37E-02 5.03E-03 9.37E-04 1.53E-04 2.20E-05 2.79E-06 3.10E-07 3.03E-08 2.61E-09 1.98E-10 1.32E-11 7.77E-13 4.02E-14 1.83E-15 7.37E-17 2.61E-18 8.14E-20 2.24E-21
   8.00  1.153  1.21E+03 3.75E+02 2.72E+03 2.20E+01 5.87E+01 7.70E+01 7.54E+01 6.01E+01 4.04E+01 2.33E+01 1.17E+01 5.08E+00 1.94E+00 6.49E-01 1.91E-01 4.95E-02 1.13E-02 2.28E-03 4.07E-04 6.40E-05 8.91E-06 1.10E-06 1.19E-07 1.15E-08 9.83E-10 7.43E-11 4.97E-12 2.95E-13 1.55E-14 7.21E-16 2.97E-17 1.09E-18 3.52E-20
   8.50  1.188  1.73E+03 5.23E+02 3.88E+03 2.95E+01 7.89E+01 1.05E+02 1.04E+02 8.46E+01 5.84E+01 3.48E+01 1.80E+01 8.18E+00 3.27E+00 1.15E+00 3.59E-01 9.90E-02 2.42E-02 5.25E-03 1.01E-03 1.73E-04 2.62E-05 3.55E-06 4.26E-07 4.55E-08 4.33E-09 3.67E-10 2.76E-11 1.86E-12 1.11E-13 5.90E-15 2.80E-16 1.18E-17 4.45E-19
   9.00  1.223  2.46E+03 7.25E+02 5.49E+03 3.92E+01 1.05E+02 1.41E+02 1.42E+02 1.18E+02 8.33E+01 5.10E+01 2.73E+01 1.29E+01 5.38E+00 1.99E+00 6.52E-01 1.90E-01 4.95E-02 1.15E-02 2.37E-03 4.37E-04 7.20E-05 1.06E-05 1.39E-06 1.64E-07 1.72E-08 1.61E-09 1.36E-10 1.02E-11 6.87E-13 4.13E-14 2.23E-15 1.07E-16 4.64E-18
   9.50  1.256  3.45E+03 9.96E+02 7.70E+03 5.17E+01 1.40E+02 1.89E+02 1.93E+02 1.63E+02 1.17E+02 7.38E+01 4.08E+01 1.99E+01 8.64E+00 3.33E+00 1.15E+00 3.53E-01 9.72E-02 2.39E-02 5.28E-03 1.04E-03 1.85E-04 2.95E-05 4.21E-06 5.40E-07 6.21E-08 6.43E-09 5.97E-10 4.98E-11 3.74E-12 2.52E-13 1.53E-14 8.33E-16 4.08E-17
  10.00  1.289  4.81E+03 1.36E+03 1.07E+04 6.79E+01 1.84E+02 2.51E+02 2.59E+02 2.22E+02 1.64E+02 1.06E+02 6.00E+01 3.03E+01 1.36E+01 5.47E+00 1.97E+00 6.35E-01 1.84E-01 4.80E-02 1.12E-02 2.37E-03 4.50E-04 7.71E-05 1.19E-05 1.65E-06 2.07E-07 2.34E-08 2.38E-09 2.19E-10 1.82E-11 1.36E-12 9.20E-14 5.61E-15 3.09E-16
  11.00  1.352  9.79E+03 2.49E+03 2.03E+04 1.16E+02 3.16E+02 4.36E+02 4.60E+02 4.06E+02 3.10E+02 2.09E+02 1.25E+02 6.67E+01 3.20E+01 1.38E+01 5.38E+00 1.89E+00 6.03E-01 1.74E-01 4.53E-02 1.07E-02 2.30E-03 4.48E-04 7.92E-05 1.27E-05 1.85E-06 2.45E-07 2.95E-08 3.22E-09 3.20E-10 2.89E-11 2.37E-12 1.77E-13 1.20E-14
  12.00  1.412  1.87E+04 4.45E+03 3.77E+04 1.93E+02 5.31E+02 7.42E+02 7.98E+02 7.23E+02 5.70E+02 3.98E+02 2.48E+02 1.39E+02 7.07E+01 3.25E+01 1.36E+01 5.14E+00 1.78E+00 5.58E-01 1.60E-01 4.19E-02 9.99E-03 2.18E-03 4.33E-04 7.87E-05 1.31E-05 1.99E-06 2.76E-07 3.50E-08 4.06E-09 4.31E-10 4.19E-11 3.72E-12 3.02E-13
  13.00  1.469  3.43E+04 7.80E+03 6.81E+04 3.17E+02 8.77E+02 1.24E+03 1.36E+03 1.25E+03 1.02E+03 7.33E+02 4.76E+02 2.79E+02 1.49E+02 7.22E+01 3.20E+01 1.30E+01 4.80E+00 1.63E+00 5.07E-01 1.45E-01 3.79E-02 9.10E-03 2.01E-03 4.08E-04 7.59E-05 1.30E-05 2.05E-06 2.96E-07 3.94E-08 4.82E-09 5.42E-10 5.61E-11 5.34E-12
  14.00  1.525  6.14E+04 1.35E+04 1.21E+05 5.29E+02 1.47E+03 2.09E+03 2.31E+03 2.16E+03 1.78E+03 1.31E+03 8.71E+02 5.25E+02 2.89E+02 1.45E+02 6.67E+01 2.81E+01 1.09E+01 3.88E+00 1.27E+00 3.82E-01 1.06E-01 2.71E-02 6.38E-03 1.39E-03 2.77E-04 5.12E-05 8.71E-06 1.37E-06 1.98E-07 2.65E-08 3.26E-09 3.72E-10 3.90E-11
