                    ************************************************************************************************
                    *  Z= 33 A= 73: Positive-Parity Spin-dependent Level Density [MeV-1] for As 73 and ldmodel= 1  *
                    ************************************************************************************************
 U[MeV]  T[MeV]  NCUMUL   RHOOBS   RHOTOT    J=01/2   J=03/2   J=05/2   J=07/2   J=09/2   J=11/2   J=13/2   J=15/2   J=17/2   J=19/2   J=21/2   J=23/2   J=25/2   J=27/2   J=29/2   J=31/2   J=33/2   J=35/2   J=37/2   J=39/2   J=41/2   J=43/2   J=45/2   J=47/2   J=49/2   J=51/2   J=53/2   J=55/2   J=57/2   J=59/2
   0.25  0.142  3.48E+00 6.96E+00 3.44E+01 1.14E+00 1.74E+00 1.67E+00 1.19E+00 6.66E-01 2.99E-01 1.09E-01 3.26E-02 8.04E-03 1.63E-03 2.75E-04 3.84E-05 4.46E-06 4.30E-07 3.45E-08 2.30E-09 1.28E-10 5.94E-12 2.30E-13 7.41E-15 1.99E-16 4.47E-18 8.37E-20 1.31E-21 1.71E-23 1.86E-25 1.70E-27 1.29E-29 1.00E-30 1.00E-30
   0.50  0.201  8.05E+00 9.15E+00 4.52E+01 1.50E+00 2.29E+00 2.19E+00 1.57E+00 8.75E-01 3.93E-01 1.43E-01 4.29E-02 1.06E-02 2.15E-03 3.62E-04 5.05E-05 5.86E-06 5.65E-07 4.53E-08 3.03E-09 1.68E-10 7.81E-12 3.02E-13 9.73E-15 2.62E-16 5.87E-18 1.10E-19 1.72E-21 2.25E-23 2.45E-25 2.23E-27 1.69E-29 1.00E-30 1.00E-30
   0.75  0.246  1.41E+01 1.20E+01 6.02E+01 1.93E+00 2.97E+00 2.87E+00 2.07E+00 1.18E+00 5.40E-01 2.02E-01 6.20E-02 1.58E-02 3.32E-03 5.80E-04 8.45E-05 1.02E-05 1.04E-06 8.78E-08 6.20E-09 3.66E-10 1.81E-11 7.49E-13 2.59E-14 7.51E-16 1.82E-17 3.71E-19 6.31E-21 9.01E-23 1.08E-24 1.08E-26 9.07E-29 1.00E-30 1.00E-30
   1.00  0.284  2.20E+01 1.58E+01 8.20E+01 2.39E+00 3.74E+00 3.72E+00 2.79E+00 1.66E+00 8.06E-01 3.23E-01 1.07E-01 2.98E-02 6.93E-03 1.35E-03 2.23E-04 3.08E-05 3.60E-06 3.54E-07 2.95E-08 2.07E-09 1.23E-10 6.18E-12 2.63E-13 9.45E-15 2.88E-16 7.41E-18 1.62E-19 2.99E-21 4.67E-23 6.19E-25 6.94E-27 6.60E-29 1.00E-30
   1.25  0.318  3.23E+01 2.08E+01 1.12E+02 2.98E+00 4.73E+00 4.81E+00 3.72E+00 2.31E+00 1.18E+00 5.03E-01 1.79E-01 5.39E-02 1.37E-02 2.95E-03 5.40E-04 8.40E-05 1.11E-05 1.26E-06 1.21E-07 9.89E-09 6.92E-10 4.13E-11 2.11E-12 9.17E-14 3.41E-15 1.08E-16 2.95E-18 6.84E-20 1.36E-21 2.30E-23 3.34E-25 4.14E-27 4.39E-29
   1.50  0.348  4.60E+01 2.73E+01 1.51E+02 3.72E+00 5.97E+00 6.21E+00 4.95E+00 3.19E+00 1.71E+00 7.67E-01 2.91E-01 9.39E-02 2.58E-02 6.08E-03 1.22E-03 2.11E-04 3.13E-05 3.98E-06 4.36E-07 4.10E-08 3.32E-09 2.31E-10 1.39E-11 7.16E-13 3.19E-14 1.22E-15 4.04E-17 1.15E-18 2.82E-20 5.96E-22 1.09E-23 1.71E-25 2.32E-27
   1.75  0.376  6.39E+01 3.58E+01 2.05E+02 4.66E+00 7.56E+00 8.01E+00 6.55E+00 4.37E+00 2.44E+00 1.15E+00 4.61E-01 1.59E-01 4.69E-02 1.19E-02 2.62E-03 4.96E-04 8.13E-05 1.15E-05 1.42E-06 1.51E-07 1.39E-08 1.11E-09 7.72E-11 4.65E-12 2.43E-13 1.10E-14 4.34E-16 1.48E-17 4.41E-19 1.14E-20 2.55E-22 4.96E-24 8.39E-26
   2.00  0.402  8.75E+01 4.71E+01 2.78E+02 5.85E+00 9.59E+00 1.03E+01 8.65E+00 5.95E+00 3.44E+00 1.69E+00 7.16E-01 2.61E-01 8.22E-02 2.24E-02 5.32E-03 1.10E-03 1.97E-04 3.08E-05 4.21E-06 5.01E-07 5.20E-08 4.71E-09 3.73E-10 2.58E-11 1.56E-12 8.24E-14 3.80E-15 1.53E-16 5.41E-18 1.67E-19 4.51E-21 1.06E-22 2.20E-24
   2.25  0.426  1.18E+02 6.19E+01 3.75E+02 7.35E+00 1.22E+01 1.33E+01 1.14E+01 8.05E+00 4.82E+00 2.47E+00 1.09E+00 4.19E-01 1.40E-01 4.08E-02 1.04E-02 2.31E-03 4.51E-04 7.71E-05 1.16E-05 1.52E-06 1.76E-07 1.79E-08 1.59E-09 1.25E-10 8.62E-12 5.23E-13 2.79E-14 1.31E-15 5.39E-17 1.96E-18 6.25E-20 1.76E-21 4.35E-23
   2.50  0.449  1.59E+02 8.13E+01 5.06E+02 9.26E+00 1.55E+01 1.71E+01 1.50E+01 1.08E+01 6.69E+00 3.56E+00 1.64E+00 6.60E-01 2.32E-01 7.18E-02 1.95E-02 4.65E-03 9.79E-04 1.82E-04 2.97E-05 4.29E-06 5.47E-07 6.16E-08 6.13E-09 5.39E-10 4.19E-11 2.88E-12 1.75E-13 9.42E-15 4.48E-16 1.89E-17 7.03E-19 2.32E-20 6.76E-22
   2.75  0.471  2.13E+02 1.07E+02 6.81E+02 1.17E+01 1.96E+01 2.21E+01 1.96E+01 1.46E+01 9.23E+00 5.07E+00 2.43E+00 1.02E+00 3.78E-01 1.23E-01 3.54E-02 9.03E-03 2.03E-03 4.06E-04 7.20E-05 1.13E-05 1.58E-06 1.95E-07 2.15E-08 2.10E-09 1.82E-10 1.40E-11 9.62E-13 5.87E-14 3.18E-15 1.53E-16 6.58E-18 2.51E-19 8.51E-21
   3.00  0.492  2.83E+02 1.40E+02 9.17E+02 1.48E+01 2.50E+01 2.84E+01 2.57E+01 1.95E+01 1.27E+01 7.18E+00 3.56E+00 1.56E+00 6.03E-01 2.06E-01 6.27E-02 1.69E-02 4.07E-03 8.70E-04 1.66E-04 2.81E-05 4.26E-06 5.75E-07 6.93E-08 7.45E-09 7.16E-10 6.14E-11 4.70E-12 3.22E-13 1.97E-14 1.07E-15 5.24E-17 2.28E-18 8.90E-20
   3.25  0.512  3.75E+02 1.85E+02 1.23E+03 1.87E+01 3.18E+01 3.66E+01 3.36E+01 2.59E+01 1.73E+01 1.01E+01 5.17E+00 2.35E+00 9.45E-01 3.39E-01 1.08E-01 3.08E-02 7.85E-03 1.79E-03 3.64E-04 6.64E-05 1.09E-05 1.59E-06 2.08E-07 2.45E-08 2.58E-09 2.44E-10 2.07E-11 1.57E-12 1.07E-13 6.58E-15 3.62E-16 1.79E-17 7.91E-19
   3.50  0.531  4.96E+02 2.43E+02 1.66E+03 2.37E+01 4.06E+01 4.71E+01 4.38E+01 3.45E+01 2.35E+01 1.41E+01 7.43E+00 3.49E+00 1.46E+00 5.46E-01 1.83E-01 5.47E-02 1.47E-02 3.55E-03 7.70E-04 1.50E-04 2.63E-05 4.14E-06 5.87E-07 7.50E-08 8.61E-09 8.91E-10 8.31E-11 6.97E-12 5.27E-13 3.59E-14 2.20E-15 1.22E-16 6.08E-18
   3.75  0.550  6.56E+02 3.19E+02 2.22E+03 3.01E+01 5.18E+01 6.07E+01 5.72E+01 4.58E+01 3.18E+01 1.95E+01 1.06E+01 5.14E+00 2.23E+00 8.66E-01 3.02E-01 9.49E-02 2.68E-02 6.83E-03 1.57E-03 3.25E-04 6.08E-05 1.03E-05 1.57E-06 2.16E-07 2.68E-08 3.02E-09 3.07E-10 2.82E-11 2.35E-12 1.76E-13 1.20E-14 7.38E-16 4.11E-17
   4.00  0.568  8.65E+02 4.19E+02 2.98E+03 3.82E+01 6.62E+01 7.81E+01 7.46E+01 6.06E+01 4.30E+01 2.69E+01 1.50E+01 7.50E+00 3.36E+00 1.35E+00 4.92E-01 1.61E-01 4.78E-02 1.28E-02 3.10E-03 6.80E-04 1.35E-04 2.43E-05 3.97E-06 5.86E-07 7.86E-08 9.56E-09 1.05E-09 1.06E-10 9.59E-12 7.90E-13 5.91E-14 4.01E-15 2.47E-16
