                    ************************************************************************************************
                    *  Z= 32 A= 72: Positive-Parity Spin-dependent Level Density [MeV-1] for Ge 72 and ldmodel= 1  *
                    ************************************************************************************************
 U[MeV]  T[MeV]  NCUMUL   RHOOBS   RHOTOT     J=00     J=01     J=02     J=03     J=04     J=05     J=06     J=07     J=08     J=09     J=10     J=11     J=12     J=13     J=14     J=15     J=16     J=17     J=18     J=19     J=20     J=21     J=22     J=23     J=24     J=25     J=26     J=27     J=28     J=29
   0.25  0.144  3.34E-01 6.69E-01 3.80E+00 6.36E-02 1.57E-01 1.77E-01 1.38E-01 8.15E-02 3.76E-02 1.38E-02 4.07E-03 9.71E-04 1.88E-04 2.96E-05 3.80E-06 3.98E-07 3.42E-08 2.40E-09 1.38E-10 6.49E-12 2.51E-13 7.95E-15 2.07E-16 4.41E-18 7.72E-20 1.11E-21 1.31E-23 1.27E-25 1.02E-27 6.65E-30 1.00E-30 1.00E-30 1.00E-30
   0.50  0.204  7.79E-01 8.89E-01 5.05E+00 8.46E-02 2.09E-01 2.36E-01 1.84E-01 1.08E-01 5.00E-02 1.84E-02 5.42E-03 1.29E-03 2.50E-04 3.93E-05 5.05E-06 5.30E-07 4.54E-08 3.19E-09 1.83E-10 8.63E-12 3.33E-13 1.06E-14 2.75E-16 5.86E-18 1.03E-19 1.48E-21 1.75E-23 1.69E-25 1.35E-27 8.85E-30 1.00E-30 1.00E-30 1.00E-30
   0.75  0.250  1.37E+00 1.18E+00 6.71E+00 1.12E-01 2.78E-01 3.13E-01 2.44E-01 1.44E-01 6.65E-02 2.44E-02 7.20E-03 1.72E-03 3.32E-04 5.23E-05 6.72E-06 7.04E-07 6.04E-08 4.24E-09 2.44E-10 1.15E-11 4.43E-13 1.40E-14 3.65E-16 7.79E-18 1.37E-19 1.96E-21 2.32E-23 2.25E-25 1.80E-27 1.18E-29 1.00E-30 1.00E-30 1.00E-30
   1.00  0.289  2.16E+00 1.57E+00 8.93E+00 1.49E-01 3.69E-01 4.17E-01 3.25E-01 1.92E-01 8.84E-02 3.25E-02 9.57E-03 2.28E-03 4.42E-04 6.95E-05 8.93E-06 9.36E-07 8.03E-08 5.64E-09 3.24E-10 1.53E-11 5.90E-13 1.87E-14 4.86E-16 1.04E-17 1.82E-19 2.61E-21 3.08E-23 2.99E-25 2.39E-27 1.56E-29 1.00E-30 1.00E-30 1.00E-30
   1.25  0.323  3.20E+00 2.09E+00 1.19E+01 1.99E-01 4.91E-01 5.54E-01 4.32E-01 2.55E-01 1.18E-01 4.32E-02 1.27E-02 3.03E-03 5.87E-04 9.25E-05 1.19E-05 1.25E-06 1.07E-07 7.49E-09 4.31E-10 2.03E-11 7.84E-13 2.48E-14 6.46E-16 1.38E-17 2.41E-19 3.47E-21 4.10E-23 3.98E-25 3.17E-27 2.08E-29 1.00E-30 1.00E-30 1.00E-30
   1.50  0.354  4.59E+00 2.78E+00 1.58E+01 2.64E-01 6.52E-01 7.36E-01 5.75E-01 3.39E-01 1.56E-01 5.74E-02 1.69E-02 4.03E-03 7.81E-04 1.23E-04 1.58E-05 1.66E-06 1.42E-07 9.96E-09 5.73E-10 2.70E-11 1.04E-12 3.30E-14 8.58E-16 1.83E-17 3.21E-19 4.62E-21 5.45E-23 5.29E-25 4.22E-27 2.77E-29 1.00E-30 1.00E-30 1.00E-30
   1.75  0.382  6.44E+00 3.69E+00 2.10E+01 3.51E-01 8.67E-01 9.79E-01 7.64E-01 4.50E-01 2.08E-01 7.63E-02 2.25E-02 5.36E-03 1.04E-03 1.63E-04 2.10E-05 2.20E-06 1.89E-07 1.32E-08 7.62E-10 3.59E-11 1.39E-12 4.39E-14 1.14E-15 2.44E-17 4.27E-19 6.14E-21 7.25E-23 7.04E-25 5.61E-27 3.68E-29 1.00E-30 1.00E-30 1.00E-30
   2.00  0.408  8.89E+00 4.91E+00 2.79E+01 4.67E-01 1.15E+00 1.30E+00 1.02E+00 5.99E-01 2.76E-01 1.01E-01 2.99E-02 7.13E-03 1.38E-03 2.17E-04 2.79E-05 2.93E-06 2.51E-07 1.76E-08 1.01E-09 4.77E-11 1.84E-12 5.84E-14 1.52E-15 3.24E-17 5.67E-19 8.16E-21 9.64E-23 9.36E-25 7.46E-27 4.89E-29 1.00E-30 1.00E-30 1.00E-30
