                    ************************************************************************************************
                    *  Z= 25 A= 53: Positive-Parity Spin-dependent Level Density [MeV-1] for Mn 53 and ldmodel= 1  *
                    ************************************************************************************************
 U[MeV]  T[MeV]  NCUMUL   RHOOBS   RHOTOT    J=01/2   J=03/2   J=05/2   J=07/2   J=09/2   J=11/2   J=13/2   J=15/2   J=17/2   J=19/2   J=21/2   J=23/2   J=25/2   J=27/2   J=29/2   J=31/2   J=33/2   J=35/2   J=37/2   J=39/2   J=41/2   J=43/2   J=45/2   J=47/2   J=49/2   J=51/2   J=53/2   J=55/2   J=57/2   J=59/2
   0.25  0.196  1.28E+00 2.56E+00 1.49E+01 3.26E-01 5.31E-01 5.67E-01 4.69E-01 3.18E-01 1.80E-01 8.69E-02 3.58E-02 1.27E-02 3.86E-03 1.02E-03 2.32E-04 4.58E-05 7.84E-06 1.17E-06 1.51E-07 1.70E-08 1.66E-09 1.41E-10 1.05E-11 6.74E-13 3.78E-14 1.85E-15 7.87E-17 2.92E-18 9.43E-20 2.66E-21 6.52E-23 1.39E-24 2.60E-26
   0.50  0.277  2.78E+00 3.00E+00 1.74E+01 3.82E-01 6.23E-01 6.65E-01 5.51E-01 3.73E-01 2.12E-01 1.02E-01 4.20E-02 1.48E-02 4.53E-03 1.19E-03 2.72E-04 5.37E-05 9.20E-06 1.37E-06 1.77E-07 1.99E-08 1.95E-09 1.66E-10 1.23E-11 7.90E-13 4.44E-14 2.17E-15 9.23E-17 3.42E-18 1.11E-19 3.12E-21 7.65E-23 1.64E-24 3.05E-26
   0.75  0.339  4.54E+00 3.53E+00 2.05E+01 4.48E-01 7.31E-01 7.80E-01 6.46E-01 4.38E-01 2.48E-01 1.20E-01 4.92E-02 1.74E-02 5.31E-03 1.40E-03 3.19E-04 6.30E-05 1.08E-05 1.61E-06 2.08E-07 2.34E-08 2.28E-09 1.94E-10 1.44E-11 9.27E-13 5.20E-14 2.54E-15 1.08E-16 4.02E-18 1.30E-19 3.66E-21 8.97E-23 1.92E-24 3.58E-26
   1.00  0.391  6.61E+00 4.14E+00 2.40E+01 5.26E-01 8.58E-01 9.15E-01 7.58E-01 5.13E-01 2.91E-01 1.40E-01 5.78E-02 2.04E-02 6.23E-03 1.64E-03 3.74E-04 7.39E-05 1.27E-05 1.89E-06 2.44E-07 2.74E-08 2.68E-09 2.28E-10 1.69E-11 1.09E-12 6.11E-14 2.98E-15 1.27E-16 4.71E-18 1.52E-19 4.29E-21 1.05E-22 2.25E-24 4.20E-26
   1.25  0.437  9.04E+00 4.85E+00 2.82E+01 6.17E-01 1.01E+00 1.07E+00 8.89E-01 6.02E-01 3.42E-01 1.65E-01 6.78E-02 2.40E-02 7.31E-03 1.93E-03 4.39E-04 8.67E-05 1.49E-05 2.21E-06 2.86E-07 3.22E-08 3.15E-09 2.68E-10 1.98E-11 1.28E-12 7.16E-14 3.50E-15 1.49E-16 5.53E-18 1.79E-19 5.03E-21 1.24E-22 2.64E-24 4.93E-26
   1.50  0.479  1.19E+01 5.69E+00 3.31E+01 7.24E-01 1.18E+00 1.26E+00 1.04E+00 7.07E-01 4.01E-01 1.93E-01 7.95E-02 2.81E-02 8.58E-03 2.26E-03 5.15E-04 1.02E-04 1.74E-05 2.60E-06 3.36E-07 3.77E-08 3.69E-09 3.14E-10 2.32E-11 1.50E-12 8.41E-14 4.11E-15 1.75E-16 6.49E-18 2.10E-19 5.90E-21 1.45E-22 3.10E-24 5.78E-26
   1.75  0.518  1.52E+01 6.68E+00 3.88E+01 8.50E-01 1.39E+00 1.48E+00 1.22E+00 8.29E-01 4.71E-01 2.27E-01 9.33E-02 3.30E-02 1.01E-02 2.65E-03 6.04E-04 1.19E-04 2.05E-05 3.05E-06 3.94E-07 4.43E-08 4.33E-09 3.68E-10 2.73E-11 1.76E-12 9.86E-14 4.82E-15 2.05E-16 7.61E-18 2.46E-19 6.93E-21 1.70E-22 3.64E-24 6.79E-26
   2.00  0.553  1.91E+01 7.84E+00 4.55E+01 9.97E-01 1.63E+00 1.73E+00 1.44E+00 9.73E-01 5.52E-01 2.66E-01 1.09E-01 3.87E-02 1.18E-02 3.11E-03 7.09E-04 1.40E-04 2.40E-05 3.57E-06 4.62E-07 5.20E-08 5.08E-09 4.32E-10 3.20E-11 2.06E-12 1.16E-13 5.66E-15 2.41E-16 8.93E-18 2.89E-19 8.13E-21 2.00E-22 4.27E-24 7.96E-26
   2.25  0.587  2.37E+01 9.20E+00 5.34E+01 1.17E+00 1.91E+00 2.04E+00 1.69E+00 1.14E+00 6.48E-01 3.12E-01 1.28E-01 4.54E-02 1.39E-02 3.65E-03 8.32E-04 1.64E-04 2.82E-05 4.19E-06 5.42E-07 6.10E-08 5.96E-09 5.07E-10 3.75E-11 2.42E-12 1.36E-13 6.64E-15 2.83E-16 1.05E-17 3.39E-19 9.54E-21 2.34E-22 5.01E-24 9.34E-26
   2.50  0.619  2.91E+01 1.08E+01 6.26E+01 1.37E+00 2.24E+00 2.39E+00 1.98E+00 1.34E+00 7.60E-01 3.66E-01 1.51E-01 5.33E-02 1.63E-02 4.28E-03 9.76E-04 1.93E-04 3.31E-05 4.92E-06 6.36E-07 7.15E-08 6.99E-09 5.95E-10 4.40E-11 2.84E-12 1.59E-13 7.79E-15 3.31E-16 1.23E-17 3.97E-19 1.12E-20 2.75E-22 5.88E-24 1.10E-25
   2.75  0.649  3.55E+01 1.27E+01 7.35E+01 1.61E+00 2.63E+00 2.80E+00 2.32E+00 1.57E+00 8.92E-01 4.30E-01 1.77E-01 6.26E-02 1.91E-02 5.02E-03 1.15E-03 2.26E-04 3.88E-05 5.77E-06 7.47E-07 8.39E-08 8.21E-09 6.98E-10 5.17E-11 3.33E-12 1.87E-13 9.14E-15 3.89E-16 1.44E-17 4.66E-19 1.31E-20 3.22E-22 6.90E-24 1.29E-25
   3.00  0.678  4.29E+01 1.49E+01 8.68E+01 1.87E+00 3.05E+00 3.27E+00 2.72E+00 1.86E+00 1.06E+00 5.18E-01 2.16E-01 7.75E-02 2.40E-02 6.43E-03 1.49E-03 3.01E-04 5.27E-05 8.04E-06 1.07E-06 1.23E-07 1.24E-08 1.09E-09 8.29E-11 5.53E-12 3.21E-13 1.63E-14 7.20E-16 2.78E-17 9.36E-19 2.75E-20 7.07E-22 1.58E-23 3.10E-25
   3.25  0.705  5.16E+01 1.74E+01 1.03E+02 2.16E+00 3.54E+00 3.82E+00 3.20E+00 2.20E+00 1.28E+00 6.29E-01 2.66E-01 9.71E-02 3.07E-02 8.39E-03 1.99E-03 4.12E-04 7.42E-05 1.16E-05 1.59E-06 1.90E-07 1.98E-08 1.80E-09 1.43E-10 9.95E-12 6.04E-13 3.20E-14 1.49E-15 6.02E-17 2.14E-18 6.62E-20 1.80E-21 4.26E-23 8.85E-25
   3.50  0.732  6.18E+01 2.05E+01 1.22E+02 2.50E+00 4.11E+00 4.45E+00 3.76E+00 2.61E+00 1.53E+00 7.63E-01 3.28E-01 1.22E-01 3.91E-02 1.09E-02 2.65E-03 5.62E-04 1.04E-04 1.68E-05 2.37E-06 2.92E-07 3.14E-08 2.97E-09 2.45E-10 1.77E-11 1.12E-12 6.21E-14 3.01E-15 1.28E-16 4.78E-18 1.56E-19 4.47E-21 1.12E-22 2.46E-24
   3.75  0.758  7.38E+01 2.40E+01 1.44E+02 2.89E+00 4.77E+00 5.19E+00 4.41E+00 3.09E+00 1.83E+00 9.24E-01 4.03E-01 1.52E-01 4.97E-02 1.42E-02 3.52E-03 7.63E-04 1.45E-04 2.40E-05 3.49E-06 4.43E-07 4.94E-08 4.83E-09 4.14E-10 3.11E-11 2.05E-12 1.19E-13 6.02E-15 2.68E-16 1.05E-17 3.60E-19 1.09E-20 2.88E-22 6.69E-24
   4.00  0.782  8.79E+01 2.82E+01 1.70E+02 3.35E+00 5.54E+00 6.05E+00 5.18E+00 3.66E+00 2.19E+00 1.12E+00 4.94E-01 1.89E-01 6.30E-02 1.83E-02 4.64E-03 1.03E-03 2.00E-04 3.42E-05 5.10E-06 6.69E-07 7.70E-08 7.79E-09 6.92E-10 5.40E-11 3.70E-12 2.23E-13 1.18E-14 5.51E-16 2.26E-17 8.15E-19 2.59E-20 7.22E-22 1.77E-23
