                    ************************************************************************************************
                    *  Z= 26 A= 58: Positive-Parity Spin-dependent Level Density [MeV-1] for Fe 58 and ldmodel= 6  *
                    ************************************************************************************************
 U[MeV]  T[MeV]  NCUMUL   RHOOBS   RHOTOT     J=00     J=01     J=02     J=03     J=04     J=05     J=06     J=07     J=08     J=09     J=10     J=11     J=12     J=13     J=14     J=15     J=16     J=17     J=18     J=19     J=20     J=21     J=22     J=23     J=24     J=25     J=26     J=27     J=28     J=29
   3.25  0.641  1.33E+01 6.25E+01 1.19E+02 2.65E+00 2.12E+00 6.42E+00 3.69E+00 2.23E+00 1.06E+00 1.10E+00 1.61E-01 2.23E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   3.50  0.665  1.86E+01 7.99E+01 1.41E+02 2.89E+00 1.84E+00 5.52E+00 4.27E+00 3.19E+00 1.22E+00 1.49E+00 4.83E-01 3.54E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   3.75  0.688  2.47E+01 9.46E+01 1.64E+02 3.38E+00 2.06E+00 5.40E+00 4.24E+00 4.86E+00 1.66E+00 1.51E+00 5.69E-01 4.49E-01 1.63E-03 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   4.00  0.711  3.26E+01 1.19E+02 2.02E+02 3.90E+00 2.90E+00 7.41E+00 4.23E+00 6.66E+00 2.37E+00 1.47E+00 4.77E-01 5.37E-01 7.87E-02 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   4.25  0.733  4.28E+01 1.32E+02 2.52E+02 4.45E+00 3.74E+00 1.03E+01 4.61E+00 7.53E+00 3.23E+00 1.92E+00 5.25E-01 6.30E-01 3.22E-01 1.37E-03 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   4.50  0.754  5.51E+01 1.50E+02 2.89E+02 5.07E+00 4.59E+00 1.21E+01 5.78E+00 7.67E+00 3.57E+00 2.38E+00 7.85E-01 7.90E-01 1.74E-01 6.44E-02 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   4.75  0.775  7.04E+01 1.76E+02 3.68E+02 5.30E+00 5.44E+00 1.45E+01 7.41E+00 8.62E+00 5.03E+00 3.08E+00 1.18E+00 1.20E+00 3.87E-01 1.94E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   5.00  0.795  8.67E+01 2.10E+02 4.00E+02 5.99E+00 6.18E+00 1.33E+01 9.83E+00 9.51E+00 5.42E+00 3.16E+00 1.56E+00 1.15E+00 3.35E-01 2.51E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   5.50  0.834  1.30E+02 3.16E+02 5.06E+02 7.65E+00 8.90E+00 1.87E+01 1.09E+01 1.02E+01 6.79E+00 4.04E+00 2.29E+00 1.77E+00 7.79E-01 1.60E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   6.00  0.871  1.94E+02 3.90E+02 7.51E+02 9.68E+00 1.04E+01 2.48E+01 1.46E+01 1.60E+01 1.04E+01 7.13E+00 3.71E+00 2.69E+00 1.20E+00 4.20E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   6.50  0.906  2.79E+02 4.83E+02 1.02E+03 1.13E+01 1.25E+01 2.95E+01 2.13E+01 2.11E+01 1.34E+01 9.23E+00 6.03E+00 3.96E+00 1.93E+00 9.31E-01 1.50E-01 2.60E-02 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   7.00  0.941  3.81E+02 7.35E+02 1.28E+03 1.44E+01 1.54E+01 2.88E+01 2.52E+01 2.37E+01 1.54E+01 1.18E+01 8.45E+00 6.39E+00 3.32E+00 1.96E+00 6.94E-01 2.22E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   7.50  0.974  5.25E+02 8.92E+02 1.86E+03 1.62E+01 1.85E+01 3.18E+01 3.08E+01 3.01E+01 2.24E+01 1.90E+01 1.37E+01 1.01E+01 5.71E+00 3.98E+00 1.87E+00 8.28E-01 3.88E-01 6.06E-02 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
