                    ************************************************************************************************
                    *  Z= 25 A= 51: Positive-Parity Spin-dependent Level Density [MeV-1] for Mn 51 and ldmodel= 3  *
                    ************************************************************************************************
 U[MeV]  T[MeV]  NCUMUL   RHOOBS   RHOTOT    J=01/2   J=03/2   J=05/2   J=07/2   J=09/2   J=11/2   J=13/2   J=15/2   J=17/2   J=19/2   J=21/2   J=23/2   J=25/2   J=27/2   J=29/2   J=31/2   J=33/2   J=35/2   J=37/2   J=39/2   J=41/2   J=43/2   J=45/2   J=47/2   J=49/2   J=51/2   J=53/2   J=55/2   J=57/2   J=59/2
   0.25  0.220  2.99E-01 5.97E-01 3.07E+00 9.18E-02 1.43E-01 1.41E-01 1.05E-01 6.18E-02 2.96E-02 1.17E-02 3.80E-03 1.03E-03 2.35E-04 4.48E-05 7.15E-06 9.60E-07 1.08E-07 1.03E-08 8.25E-10 5.56E-11 3.17E-12 1.52E-13 6.16E-15 2.10E-16 6.07E-18 1.48E-19 3.05E-21 5.30E-23 7.78E-25 9.65E-27 1.01E-28 1.00E-30 1.00E-30
   0.50  0.311  6.93E-01 7.88E-01 4.06E+00 1.21E-01 1.89E-01 1.86E-01 1.38E-01 8.16E-02 3.90E-02 1.54E-02 5.02E-03 1.37E-03 3.10E-04 5.91E-05 9.43E-06 1.27E-06 1.43E-07 1.36E-08 1.09E-09 7.34E-11 4.18E-12 2.01E-13 8.12E-15 2.78E-16 8.01E-18 1.95E-19 4.02E-21 6.99E-23 1.03E-24 1.27E-26 1.34E-28 1.18E-30 1.00E-30
   0.75  0.381  1.21E+00 1.04E+00 5.33E+00 1.59E-01 2.48E-01 2.45E-01 1.82E-01 1.07E-01 5.13E-02 2.02E-02 6.60E-03 1.80E-03 4.08E-04 7.77E-05 1.24E-05 1.67E-06 1.88E-07 1.79E-08 1.43E-09 9.66E-11 5.49E-12 2.64E-13 1.07E-14 3.65E-16 1.05E-17 2.57E-19 5.29E-21 9.19E-23 1.35E-24 1.67E-26 1.76E-28 1.56E-30 1.00E-30
   1.00  0.439  1.89E+00 1.36E+00 6.99E+00 2.09E-01 3.25E-01 3.21E-01 2.39E-01 1.41E-01 6.73E-02 2.65E-02 8.66E-03 2.35E-03 5.35E-04 1.02E-04 1.63E-05 2.18E-06 2.46E-07 2.34E-08 1.88E-09 1.27E-10 7.20E-12 3.46E-13 1.40E-14 4.79E-16 1.38E-17 3.37E-19 6.93E-21 1.20E-22 1.77E-24 2.20E-26 2.30E-28 2.04E-30 1.00E-30
   1.25  0.491  2.78E+00 1.78E+00 9.14E+00 2.73E-01 4.25E-01 4.20E-01 3.12E-01 1.84E-01 8.80E-02 3.47E-02 1.13E-02 3.08E-03 6.99E-04 1.33E-04 2.13E-05 2.85E-06 3.22E-07 3.06E-08 2.45E-09 1.65E-10 9.42E-12 4.52E-13 1.83E-14 6.26E-16 1.81E-17 4.40E-19 9.06E-21 1.58E-22 2.31E-24 2.87E-26 3.01E-28 2.67E-30 1.00E-30
   1.50  0.538  3.94E+00 2.32E+00 1.19E+01 3.56E-01 5.54E-01 5.47E-01 4.07E-01 2.40E-01 1.15E-01 4.52E-02 1.48E-02 4.01E-03 9.12E-04 1.74E-04 2.77E-05 3.72E-06 4.20E-07 3.99E-08 3.20E-09 2.16E-10 1.23E-11 5.90E-13 2.39E-14 8.16E-16 2.36E-17 5.74E-19 1.18E-20 2.05E-22 3.02E-24 3.74E-26 3.92E-28 3.48E-30 1.00E-30
   1.75  0.581  5.44E+00 3.01E+00 1.55E+01 4.63E-01 7.21E-01 7.12E-01 5.29E-01 3.12E-01 1.49E-01 5.88E-02 1.92E-02 5.22E-03 1.19E-03 2.26E-04 3.61E-05 4.84E-06 5.47E-07 5.20E-08 4.16E-09 2.81E-10 1.60E-11 7.67E-13 3.11E-14 1.06E-15 3.07E-17 7.47E-19 1.54E-20 2.67E-22 3.93E-24 4.87E-26 5.11E-28 4.53E-30 1.00E-30
   2.00  0.621  7.40E+00 3.92E+00 2.02E+01 6.02E-01 9.37E-01 9.25E-01 6.88E-01 4.05E-01 1.94E-01 7.64E-02 2.49E-02 6.78E-03 1.54E-03 2.93E-04 4.69E-05 6.29E-06 7.10E-07 6.75E-08 5.41E-09 3.65E-10 2.08E-11 9.97E-13 4.04E-14 1.38E-15 3.98E-17 9.70E-19 2.00E-20 3.47E-22 5.10E-24 6.33E-26 6.63E-28 5.88E-30 1.00E-30
   2.25  0.659  9.81E+00 4.81E+00 2.60E+01 6.86E-01 1.09E+00 1.11E+00 8.65E-01 5.40E-01 2.78E-01 1.19E-01 4.29E-02 1.30E-02 3.35E-03 7.31E-04 1.36E-04 2.14E-05 2.89E-06 3.31E-07 3.25E-08 2.72E-09 1.94E-10 1.19E-11 6.20E-13 2.77E-14 1.06E-15 3.45E-17 9.65E-19 2.31E-20 4.73E-22 8.29E-24 1.24E-25 1.60E-27 1.76E-29
   2.50  0.695  1.27E+01 5.84E+00 3.22E+01 8.06E-01 1.29E+00 1.33E+00 1.06E+00 6.77E-01 3.59E-01 1.59E-01 5.96E-02 1.90E-02 5.13E-03 1.19E-03 2.34E-04 3.95E-05 5.72E-06 7.10E-07 7.55E-08 6.91E-09 5.42E-10 3.66E-11 2.12E-12 1.06E-13 4.53E-15 1.67E-16 5.29E-18 1.44E-19 3.39E-21 6.85E-23 1.19E-24 1.78E-26 2.30E-28
   2.75  0.729  1.63E+01 7.08E+00 3.98E+01 9.47E-01 1.53E+00 1.60E+00 1.29E+00 8.44E-01 4.59E-01 2.10E-01 8.18E-02 2.71E-02 7.68E-03 1.87E-03 3.90E-04 7.00E-05 1.08E-05 1.44E-06 1.66E-07 1.64E-08 1.40E-09 1.04E-10 6.61E-12 3.64E-13 1.73E-14 7.13E-16 2.54E-17 7.80E-19 2.07E-20 4.77E-22 9.48E-24 1.63E-25 2.43E-27
   3.00  0.761  2.06E+01 8.58E+00 4.91E+01 1.11E+00 1.81E+00 1.91E+00 1.57E+00 1.05E+00 5.84E-01 2.75E-01 1.11E-01 3.81E-02 1.13E-02 2.87E-03 6.32E-04 1.20E-04 1.97E-05 2.80E-06 3.45E-07 3.68E-08 3.40E-09 2.73E-10 1.90E-11 1.15E-12 6.01E-14 2.74E-15 1.08E-16 3.71E-18 1.11E-19 2.87E-21 6.45E-23 1.26E-24 2.14E-26
   3.25  0.792  2.57E+01 1.04E+01 6.05E+01 1.31E+00 2.14E+00 2.29E+00 1.90E+00 1.29E+00 7.38E-01 3.58E-01 1.48E-01 5.29E-02 1.63E-02 4.33E-03 9.98E-04 2.00E-04 3.47E-05 5.23E-06 6.86E-07 7.84E-08 7.79E-09 6.75E-10 5.09E-11 3.35E-12 1.92E-13 9.57E-15 4.17E-16 1.58E-17 5.24E-19 1.51E-20 3.81E-22 8.39E-24 1.61E-25
   3.50  0.822  3.20E+01 1.25E+01 7.43E+01 1.54E+00 2.53E+00 2.73E+00 2.30E+00 1.59E+00 9.28E-01 4.61E-01 1.97E-01 7.25E-02 2.31E-02 6.40E-03 1.54E-03 3.23E-04 5.91E-05 9.43E-06 1.31E-06 1.60E-07 1.70E-08 1.58E-09 1.28E-10 9.11E-12 5.66E-13 3.08E-14 1.47E-15 6.12E-17 2.23E-18 7.14E-20 2.00E-21 4.90E-23 1.05E-24
   3.75  0.851  3.96E+01 1.51E+01 9.10E+01 1.81E+00 2.99E+00 3.26E+00 2.78E+00 1.96E+00 1.16E+00 5.90E-01 2.59E-01 9.82E-02 3.24E-02 9.31E-03 2.34E-03 5.12E-04 9.82E-05 1.65E-05 2.43E-06 3.13E-07 3.54E-08 3.51E-09 3.05E-10 2.33E-11 1.57E-12 9.23E-14 4.78E-15 2.17E-16 8.68E-18 3.05E-19 9.39E-21 2.55E-22 6.07E-24
   4.00  0.879  4.87E+01 1.82E+01 1.11E+02 2.13E+00 3.54E+00 3.89E+00 3.35E+00 2.39E+00 1.45E+00 7.51E-01 3.37E-01 1.32E-01 4.48E-02 1.33E-02 3.48E-03 7.94E-04 1.59E-04 2.80E-05 4.34E-06 5.91E-07 7.08E-08 7.46E-09 6.93E-10 5.67E-11 4.08E-12 2.59E-13 1.45E-14 7.14E-16 3.10E-17 1.19E-18 4.01E-20 1.20E-21 3.14E-23
