                    ************************************************************************************************
                    *  Z= 38 A= 86: Positive-Parity Spin-dependent Level Density [MeV-1] for Sr 86 and ldmodel= 5  *
                    ************************************************************************************************
 U[MeV]  T[MeV]  NCUMUL   RHOOBS   RHOTOT     J=00     J=01     J=02     J=03     J=04     J=05     J=06     J=07     J=08     J=09     J=10     J=11     J=12     J=13     J=14     J=15     J=16     J=17     J=18     J=19     J=20     J=21     J=22     J=23     J=24     J=25     J=26     J=27     J=28     J=29
   3.25  0.520  2.03E+03 7.26E+01 1.47E+04 5.99E+01 7.94E+01 1.81E+02 1.71E+02 2.06E+02 1.56E+02 1.63E+02 1.02E+02 1.09E+02 7.68E+01 6.11E+01 1.42E+01 6.00E+00 1.00E-30 7.49E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   3.50  0.539  2.95E+03 8.17E+01 2.00E+04 7.54E+01 9.84E+01 2.64E+02 2.60E+02 2.96E+02 2.25E+02 2.19E+02 1.38E+02 1.27E+02 9.26E+01 7.79E+01 2.39E+01 1.19E+01 1.59E+00 7.95E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   3.75  0.558  4.11E+03 1.08E+02 2.41E+04 1.01E+02 1.08E+02 3.09E+02 3.09E+02 3.76E+02 2.54E+02 2.60E+02 1.67E+02 1.38E+02 9.73E+01 9.90E+01 4.59E+01 1.69E+01 5.90E+00 8.43E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   4.00  0.576  5.74E+03 1.43E+02 3.24E+04 1.24E+02 1.38E+02 4.33E+02 4.00E+02 4.80E+02 3.63E+02 3.35E+02 2.45E+02 1.83E+02 1.14E+02 1.18E+02 7.27E+01 3.52E+01 6.24E+00 1.79E+00 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   4.25  0.594  8.14E+03 1.76E+02 4.51E+04 1.96E+02 2.20E+02 5.65E+02 5.24E+02 6.85E+02 5.47E+02 5.00E+02 3.47E+02 2.64E+02 1.44E+02 1.33E+02 8.80E+01 5.33E+01 1.37E+01 4.72E+00 1.00E-30 4.71E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   4.50  0.611  1.17E+04 2.29E+02 6.31E+04 3.10E+02 3.52E+02 7.37E+02 6.86E+02 9.76E+02 8.22E+02 7.46E+02 4.89E+02 3.80E+02 1.82E+02 1.49E+02 1.06E+02 8.06E+01 2.19E+01 7.96E+00 1.00E-30 9.94E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   4.75  0.628  1.67E+04 2.59E+02 8.95E+04 4.28E+02 5.14E+02 1.07E+03 1.02E+03 1.40E+03 1.16E+03 1.08E+03 7.03E+02 5.30E+02 2.77E+02 1.96E+02 1.12E+02 9.76E+01 3.77E+01 1.47E+01 3.15E+00 1.05E+00 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   5.00  0.644  2.36E+04 3.26E+02 1.27E+05 5.91E+02 7.51E+02 1.56E+03 1.52E+03 2.02E+03 1.63E+03 1.58E+03 1.01E+03 7.39E+02 4.22E+02 2.56E+02 1.18E+02 1.18E+02 6.46E+01 2.21E+01 6.63E+00 1.10E+00 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   5.50  0.676  4.90E+04 5.79E+02 2.59E+05 8.32E+02 1.09E+03 2.76E+03 2.71E+03 3.49E+03 3.11E+03 3.17E+03 2.36E+03 1.75E+03 1.05E+03 6.72E+02 2.62E+02 1.75E+02 9.82E+01 7.50E+01 1.59E+01 3.66E+00 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   6.00  0.706  9.96E+04 1.07E+03 5.41E+05 1.52E+03 2.23E+03 5.60E+03 5.43E+03 7.24E+03 6.27E+03 5.99E+03 4.79E+03 3.89E+03 2.42E+03 1.55E+03 8.51E+02 3.93E+02 1.49E+02 1.14E+02 4.17E+01 1.21E+01 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   6.50  0.735  1.97E+05 1.85E+03 1.09E+06 3.05E+03 4.04E+03 9.71E+03 9.54E+03 1.27E+04 1.15E+04 1.18E+04 9.31E+03 7.81E+03 5.71E+03 3.84E+03 2.09E+03 1.17E+03 4.39E+02 1.89E+02 8.69E+01 3.84E+01 8.85E+00 1.47E+00 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   7.00  0.763  3.72E+05 3.44E+03 2.00E+06 5.11E+03 6.80E+03 1.54E+04 1.55E+04 2.13E+04 1.98E+04 2.08E+04 1.71E+04 1.40E+04 1.07E+04 8.10E+03 4.62E+03 2.76E+03 1.39E+03 6.02E+02 1.98E+02 9.36E+01 2.10E+01 3.23E+00 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   7.50  0.789  6.88E+05 6.02E+03 3.67E+06 8.42E+03 1.16E+04 2.79E+04 2.75E+04 3.69E+04 3.38E+04 3.56E+04 2.97E+04 2.58E+04 1.97E+04 1.50E+04 9.97E+03 6.20E+03 3.27E+03 1.75E+03 6.24E+02 2.12E+02 5.46E+01 1.41E+01 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
