                    ************************************************************************************************
                    *  Z= 38 A= 86: Positive-Parity Spin-dependent Level Density [MeV-1] for Sr 86 and ldmodel= 1  *
                    ************************************************************************************************
 U[MeV]  T[MeV]  NCUMUL   RHOOBS   RHOTOT     J=00     J=01     J=02     J=03     J=04     J=05     J=06     J=07     J=08     J=09     J=10     J=11     J=12     J=13     J=14     J=15     J=16     J=17     J=18     J=19     J=20     J=21     J=22     J=23     J=24     J=25     J=26     J=27     J=28     J=29
   3.25  0.520  2.38E+01 1.31E+01 1.12E+02 5.59E-01 1.54E+00 2.16E+00 2.33E+00 2.12E+00 1.68E+00 1.19E+00 7.47E-01 4.24E-01 2.18E-01 1.02E-01 4.30E-02 1.66E-02 5.83E-03 1.87E-03 5.47E-04 1.46E-04 3.57E-05 7.97E-06 1.63E-06 3.04E-07 5.20E-08 8.14E-09 1.17E-09 1.53E-10 1.84E-11 2.02E-12 2.04E-13 1.88E-14 1.59E-15
   3.50  0.539  3.28E+01 1.80E+01 1.55E+02 7.52E-01 2.07E+00 2.92E+00 3.17E+00 2.90E+00 2.32E+00 1.65E+00 1.05E+00 6.07E-01 3.17E-01 1.50E-01 6.48E-02 2.55E-02 9.17E-03 3.01E-03 9.04E-04 2.49E-04 6.25E-05 1.44E-05 3.04E-06 5.88E-07 1.04E-07 1.70E-08 2.53E-09 3.46E-10 4.34E-11 4.99E-12 5.27E-13 5.11E-14 4.54E-15
   3.75  0.558  4.51E+01 2.46E+01 2.14E+02 1.01E+00 2.79E+00 3.94E+00 4.30E+00 3.97E+00 3.20E+00 2.30E+00 1.48E+00 8.66E-01 4.59E-01 2.21E-01 9.72E-02 3.91E-02 1.43E-02 4.82E-03 1.48E-03 4.19E-04 1.08E-04 2.57E-05 5.61E-06 1.12E-06 2.06E-07 3.47E-08 5.38E-09 7.66E-10 1.00E-10 1.20E-11 1.33E-12 1.35E-13 1.26E-14
   4.00  0.576  6.19E+01 3.37E+01 2.96E+02 1.36E+00 3.76E+00 5.32E+00 5.84E+00 5.42E+00 4.41E+00 3.20E+00 2.09E+00 1.23E+00 6.63E-01 3.25E-01 1.45E-01 5.95E-02 2.23E-02 7.67E-03 2.42E-03 7.01E-04 1.86E-04 4.55E-05 1.02E-05 2.11E-06 4.01E-07 7.01E-08 1.13E-08 1.67E-09 2.27E-10 2.84E-11 3.27E-12 3.48E-13 3.40E-14
   4.25  0.594  8.51E+01 4.62E+01 4.10E+02 1.83E+00 5.06E+00 7.19E+00 7.92E+00 7.40E+00 6.07E+00 4.44E+00 2.93E+00 1.75E+00 9.56E-01 4.76E-01 2.16E-01 9.03E-02 3.45E-02 1.21E-02 3.92E-03 1.16E-03 3.17E-04 7.97E-05 1.84E-05 3.93E-06 7.70E-07 1.39E-07 2.32E-08 3.56E-09 5.03E-10 6.56E-11 7.89E-12 8.74E-13 8.94E-14
   4.50  0.611  1.17E+02 6.34E+01 5.68E+02 2.46E+00 6.82E+00 9.72E+00 1.08E+01 1.01E+01 8.35E+00 6.17E+00 4.11E+00 2.49E+00 1.37E+00 6.94E-01 3.21E-01 1.36E-01 5.32E-02 1.91E-02 6.29E-03 1.91E-03 5.36E-04 1.38E-04 3.29E-05 7.21E-06 1.46E-06 2.72E-07 4.70E-08 7.47E-09 1.10E-09 1.49E-10 1.86E-11 2.15E-12 2.29E-13
   4.75  0.628  1.60E+02 8.69E+01 7.85E+02 3.31E+00 9.19E+00 1.31E+01 1.46E+01 1.38E+01 1.15E+01 8.55E+00 5.76E+00 3.53E+00 1.97E+00 1.01E+00 4.75E-01 2.05E-01 8.15E-02 2.98E-02 1.01E-02 3.13E-03 8.97E-04 2.38E-04 5.81E-05 1.31E-05 2.73E-06 5.27E-07 9.38E-08 1.54E-08 2.35E-09 3.30E-10 4.30E-11 5.17E-12 5.75E-13
   5.00  0.644  2.20E+02 1.19E+02 1.09E+03 4.46E+00 1.24E+01 1.78E+01 1.98E+01 1.88E+01 1.58E+01 1.19E+01 8.06E+00 4.99E+00 2.83E+00 1.47E+00 7.01E-01 3.08E-01 1.24E-01 4.64E-02 1.60E-02 5.08E-03 1.49E-03 4.05E-04 1.02E-04 2.36E-05 5.06E-06 1.00E-06 1.85E-07 3.14E-08 4.95E-09 7.21E-10 9.74E-11 1.22E-11 1.41E-12
   5.50  0.676  4.44E+02 2.24E+02 2.08E+03 8.09E+00 2.26E+01 3.25E+01 3.65E+01 3.51E+01 2.98E+01 2.27E+01 1.57E+01 9.95E+00 5.77E+00 3.08E+00 1.51E+00 6.84E-01 2.86E-01 1.11E-01 3.97E-02 1.31E-02 4.04E-03 1.15E-03 3.03E-04 7.40E-05 1.68E-05 3.53E-06 6.89E-07 1.25E-07 2.10E-08 3.28E-09 4.74E-10 6.38E-11 7.97E-12
   6.00  0.706  8.64E+02 4.21E+02 3.97E+03 1.47E+01 4.11E+01 5.95E+01 6.74E+01 6.53E+01 5.61E+01 4.35E+01 3.06E+01 1.97E+01 1.17E+01 6.39E+00 3.22E+00 1.50E+00 6.50E-01 2.60E-01 9.66E-02 3.33E-02 1.07E-02 3.17E-03 8.74E-04 2.24E-04 5.36E-05 1.19E-05 2.45E-06 4.71E-07 8.42E-08 1.40E-08 2.17E-09 3.12E-10 4.18E-11
