                    ************************************************************************************************
                    *  Z= 26 A= 58: Positive-Parity Spin-dependent Level Density [MeV-1] for Fe 58 and ldmodel= 1  *
                    ************************************************************************************************
 U[MeV]  T[MeV]  NCUMUL   RHOOBS   RHOTOT     J=00     J=01     J=02     J=03     J=04     J=05     J=06     J=07     J=08     J=09     J=10     J=11     J=12     J=13     J=14     J=15     J=16     J=17     J=18     J=19     J=20     J=21     J=22     J=23     J=24     J=25     J=26     J=27     J=28     J=29
   0.25  0.182  3.32E-01 6.65E-01 4.24E+00 5.03E-02 1.29E-01 1.58E-01 1.39E-01 9.68E-02 5.47E-02 2.56E-02 1.00E-02 3.31E-03 9.23E-04 2.18E-04 4.38E-05 7.47E-06 1.09E-06 1.35E-07 1.42E-08 1.28E-09 9.88E-11 6.50E-12 3.66E-13 1.76E-14 7.22E-16 2.54E-17 7.63E-19 1.96E-20 4.31E-22 8.12E-24 1.31E-25 1.80E-27 2.13E-29
   0.50  0.257  7.33E-01 8.01E-01 5.12E+00 6.06E-02 1.56E-01 1.91E-01 1.68E-01 1.17E-01 6.59E-02 3.09E-02 1.21E-02 3.99E-03 1.11E-03 2.63E-04 5.28E-05 9.01E-06 1.31E-06 1.62E-07 1.72E-08 1.55E-09 1.19E-10 7.84E-12 4.41E-13 2.12E-14 8.71E-16 3.06E-17 9.20E-19 2.36E-20 5.20E-22 9.79E-24 1.58E-25 2.18E-27 2.57E-29
   0.75  0.315  1.22E+00 9.67E-01 6.17E+00 7.31E-02 1.88E-01 2.30E-01 2.03E-01 1.41E-01 7.95E-02 3.72E-02 1.46E-02 4.82E-03 1.34E-03 3.17E-04 6.37E-05 1.09E-05 1.58E-06 1.96E-07 2.07E-08 1.87E-09 1.44E-10 9.46E-12 5.32E-13 2.56E-14 1.05E-15 3.69E-17 1.11E-18 2.85E-20 6.27E-22 1.18E-23 1.90E-25 2.62E-27 3.10E-29
   1.00  0.363  1.80E+00 1.17E+00 7.44E+00 8.82E-02 2.27E-01 2.78E-01 2.45E-01 1.70E-01 9.59E-02 4.49E-02 1.76E-02 5.81E-03 1.62E-03 3.83E-04 7.68E-05 1.31E-05 1.91E-06 2.36E-07 2.50E-08 2.25E-09 1.73E-10 1.14E-11 6.41E-13 3.08E-14 1.27E-15 4.45E-17 1.34E-18 3.44E-20 7.57E-22 1.42E-23 2.30E-25 3.17E-27 3.74E-29
   1.25  0.406  2.50E+00 1.41E+00 8.97E+00 1.06E-01 2.73E-01 3.35E-01 2.95E-01 2.05E-01 1.16E-01 5.42E-02 2.12E-02 7.00E-03 1.95E-03 4.62E-04 9.26E-05 1.58E-05 2.30E-06 2.85E-07 3.01E-08 2.71E-09 2.09E-10 1.38E-11 7.73E-13 3.72E-14 1.53E-15 5.37E-17 1.61E-18 4.15E-20 9.13E-22 1.72E-23 2.77E-25 3.82E-27 4.51E-29
   1.50  0.445  3.35E+00 1.70E+00 1.08E+01 1.28E-01 3.30E-01 4.04E-01 3.56E-01 2.47E-01 1.40E-01 6.53E-02 2.56E-02 8.45E-03 2.36E-03 5.57E-04 1.12E-04 1.91E-05 2.77E-06 3.43E-07 3.63E-08 3.27E-09 2.52E-10 1.66E-11 9.33E-13 4.48E-14 1.84E-15 6.47E-17 1.95E-18 5.00E-20 1.10E-21 2.07E-23 3.34E-25 4.60E-27 5.43E-29
   1.75  0.481  4.37E+00 2.04E+00 1.30E+01 1.55E-01 3.98E-01 4.87E-01 4.29E-01 2.98E-01 1.68E-01 7.88E-02 3.09E-02 1.02E-02 2.84E-03 6.71E-04 1.35E-04 2.30E-05 3.34E-06 4.14E-07 4.38E-08 3.95E-09 3.04E-10 2.00E-11 1.12E-12 5.41E-14 2.22E-15 7.81E-17 2.35E-18 6.03E-20 1.33E-21 2.50E-23 4.03E-25 5.55E-27 6.55E-29
   2.00  0.514  5.61E+00 2.47E+00 1.57E+01 1.87E-01 4.80E-01 5.87E-01 5.18E-01 3.59E-01 2.03E-01 9.50E-02 3.72E-02 1.23E-02 3.43E-03 8.10E-04 1.62E-04 2.77E-05 4.03E-06 5.00E-07 5.28E-08 4.76E-09 3.67E-10 2.41E-11 1.36E-12 6.52E-14 2.68E-15 9.41E-17 2.83E-18 7.28E-20 1.60E-21 3.01E-23 4.86E-25 6.70E-27 7.90E-29
