                    ************************************************************************************************
                    *  Z= 31 A= 67: Positive-Parity Spin-dependent Level Density [MeV-1] for Ga 67 and ldmodel= 1  *
                    ************************************************************************************************
 U[MeV]  T[MeV]  NCUMUL   RHOOBS   RHOTOT    J=01/2   J=03/2   J=05/2   J=07/2   J=09/2   J=11/2   J=13/2   J=15/2   J=17/2   J=19/2   J=21/2   J=23/2   J=25/2   J=27/2   J=29/2   J=31/2   J=33/2   J=35/2   J=37/2   J=39/2   J=41/2   J=43/2   J=45/2   J=47/2   J=49/2   J=51/2   J=53/2   J=55/2   J=57/2   J=59/2
   0.25  0.158  7.22E-01 1.44E+00 9.20E+00 1.58E-01 2.65E-01 2.98E-01 2.65E-01 1.96E-01 1.25E-01 6.84E-02 3.28E-02 1.38E-02 5.08E-03 1.65E-03 4.76E-04 1.21E-04 2.72E-05 5.43E-06 9.61E-07 1.51E-07 2.10E-08 2.59E-09 2.84E-10 2.77E-11 2.40E-12 1.85E-13 1.27E-14 7.70E-16 4.16E-17 2.00E-18 8.56E-20 3.26E-21 1.10E-22
   0.50  0.224  1.66E+00 1.88E+00 1.20E+01 2.05E-01 3.45E-01 3.88E-01 3.44E-01 2.56E-01 1.62E-01 8.90E-02 4.26E-02 1.79E-02 6.61E-03 2.15E-03 6.19E-04 1.57E-04 3.54E-05 7.07E-06 1.25E-06 1.96E-07 2.73E-08 3.37E-09 3.70E-10 3.61E-11 3.12E-12 2.41E-13 1.65E-14 1.00E-15 5.41E-17 2.60E-18 1.11E-19 4.23E-21 1.43E-22
   0.75  0.274  2.88E+00 2.44E+00 1.56E+01 2.67E-01 4.49E-01 5.04E-01 4.48E-01 3.32E-01 2.11E-01 1.16E-01 5.54E-02 2.33E-02 8.60E-03 2.80E-03 8.05E-04 2.05E-04 4.61E-05 9.19E-06 1.63E-06 2.55E-07 3.55E-08 4.39E-09 4.81E-10 4.69E-11 4.06E-12 3.13E-13 2.14E-14 1.30E-15 7.04E-17 3.39E-18 1.45E-19 5.51E-21 1.86E-22
   1.00  0.317  4.47E+00 3.18E+00 2.02E+01 3.48E-01 5.84E-01 6.56E-01 5.83E-01 4.32E-01 2.74E-01 1.51E-01 7.21E-02 3.03E-02 1.12E-02 3.64E-03 1.05E-03 2.66E-04 6.00E-05 1.20E-05 2.11E-06 3.32E-07 4.62E-08 5.71E-09 6.26E-10 6.10E-11 5.29E-12 4.07E-13 2.78E-14 1.69E-15 9.16E-17 4.41E-18 1.88E-19 7.17E-21 2.42E-22
   1.25  0.354  6.54E+00 4.13E+00 2.63E+01 4.52E-01 7.60E-01 8.53E-01 7.58E-01 5.62E-01 3.57E-01 1.96E-01 9.38E-02 3.94E-02 1.45E-02 4.74E-03 1.36E-03 3.46E-04 7.80E-05 1.56E-05 2.75E-06 4.31E-07 6.01E-08 7.42E-09 8.15E-10 7.94E-11 6.88E-12 5.29E-13 3.62E-14 2.20E-15 1.19E-16 5.73E-18 2.45E-19 9.32E-21 3.15E-22
   1.50  0.388  9.22E+00 5.38E+00 3.46E+01 5.78E-01 9.74E-01 1.10E+00 9.85E-01 7.38E-01 4.73E-01 2.64E-01 1.28E-01 5.49E-02 2.07E-02 6.89E-03 2.03E-03 5.30E-04 1.23E-04 2.53E-05 4.62E-06 7.51E-07 1.08E-07 1.40E-08 1.60E-09 1.63E-10 1.47E-11 1.19E-12 8.57E-14 5.50E-15 3.14E-16 1.60E-17 7.25E-19 2.93E-20 1.06E-21
   1.75  0.419  1.27E+01 6.99E+00 4.55E+01 7.39E-01 1.25E+00 1.42E+00 1.28E+00 9.67E-01 6.27E-01 3.54E-01 1.75E-01 7.62E-02 2.93E-02 9.97E-03 3.01E-03 8.06E-04 1.92E-04 4.07E-05 7.69E-06 1.29E-06 1.94E-07 2.59E-08 3.08E-09 3.28E-10 3.11E-11 2.63E-12 1.99E-13 1.34E-14 8.07E-16 4.34E-17 2.08E-18 8.93E-20 3.42E-21
   2.00  0.448  1.73E+01 9.10E+00 5.98E+01 9.45E-01 1.60E+00 1.83E+00 1.66E+00 1.27E+00 8.31E-01 4.75E-01 2.38E-01 1.06E-01 4.13E-02 1.44E-02 4.44E-03 1.22E-03 2.98E-04 6.51E-05 1.27E-05 2.20E-06 3.42E-07 4.74E-08 5.87E-09 6.50E-10 6.43E-11 5.70E-12 4.51E-13 3.19E-14 2.02E-15 1.15E-16 5.82E-18 2.64E-19 1.07E-20
   2.25  0.475  2.32E+01 1.18E+01 7.86E+01 1.21E+00 2.06E+00 2.36E+00 2.15E+00 1.66E+00 1.10E+00 6.36E-01 3.24E-01 1.46E-01 5.82E-02 2.06E-02 6.51E-03 1.83E-03 4.61E-04 1.03E-04 2.07E-05 3.72E-06 5.97E-07 8.57E-08 1.10E-08 1.27E-09 1.31E-10 1.21E-11 1.00E-12 7.45E-14 4.96E-15 2.96E-16 1.58E-17 7.58E-19 3.26E-20
   2.50  0.501  3.09E+01 1.54E+01 1.03E+02 1.55E+00 2.64E+00 3.04E+00 2.79E+00 2.17E+00 1.45E+00 8.51E-01 4.40E-01 2.01E-01 8.16E-02 2.95E-02 9.52E-03 2.74E-03 7.07E-04 1.63E-04 3.36E-05 6.22E-06 1.03E-06 1.53E-07 2.04E-08 2.45E-09 2.63E-10 2.53E-11 2.19E-12 1.70E-13 1.19E-14 7.44E-16 4.19E-17 2.12E-18 9.62E-20
   2.75  0.525  4.09E+01 2.00E+01 1.36E+02 1.98E+00 3.39E+00 3.92E+00 3.63E+00 2.84E+00 1.92E+00 1.14E+00 5.95E-01 2.76E-01 1.14E-01 4.21E-02 1.39E-02 4.08E-03 1.08E-03 2.55E-04 5.41E-05 1.03E-05 1.76E-06 2.71E-07 3.74E-08 4.65E-09 5.19E-10 5.20E-11 4.70E-12 3.81E-13 2.79E-14 1.83E-15 1.08E-16 5.76E-18 2.76E-19
   3.00  0.548  5.39E+01 2.60E+01 1.78E+02 2.53E+00 4.35E+00 5.05E+00 4.70E+00 3.71E+00 2.53E+00 1.52E+00 8.05E-01 3.79E-01 1.59E-01 5.98E-02 2.01E-02 6.05E-03 1.63E-03 3.96E-04 8.64E-05 1.69E-05 2.99E-06 4.74E-07 6.78E-08 8.72E-09 1.01E-09 1.05E-10 9.91E-12 8.39E-13 6.41E-14 4.41E-15 2.73E-16 1.53E-17 7.71E-19
   3.25  0.571  7.09E+01 3.39E+01 2.34E+02 3.25E+00 5.58E+00 6.51E+00 6.10E+00 4.84E+00 3.34E+00 2.02E+00 1.09E+00 5.19E-01 2.22E-01 8.46E-02 2.90E-02 8.91E-03 2.46E-03 6.13E-04 1.37E-04 2.76E-05 5.02E-06 8.22E-07 1.21E-07 1.61E-08 1.94E-09 2.10E-10 2.06E-11 1.81E-12 1.45E-13 1.04E-14 6.76E-16 3.96E-17 2.10E-18
   3.50  0.592  9.29E+01 4.41E+01 3.07E+02 4.16E+00 7.16E+00 8.39E+00 7.91E+00 6.33E+00 4.40E+00 2.70E+00 1.47E+00 7.10E-01 3.08E-01 1.20E-01 4.17E-02 1.31E-02 3.70E-03 9.41E-04 2.16E-04 4.47E-05 8.36E-06 1.41E-06 2.15E-07 2.96E-08 3.68E-09 4.13E-10 4.20E-11 3.86E-12 3.20E-13 2.41E-14 1.63E-15 1.00E-16 5.58E-18
   3.75  0.613  1.22E+02 5.73E+01 4.03E+02 5.33E+00 9.20E+00 1.08E+01 1.02E+01 8.26E+00 5.80E+00 3.59E+00 1.97E+00 9.68E-01 4.26E-01 1.68E-01 5.98E-02 1.91E-02 5.52E-03 1.44E-03 3.38E-04 7.19E-05 1.38E-05 2.40E-06 3.77E-07 5.36E-08 6.89E-09 8.02E-10 8.46E-11 8.08E-12 6.98E-13 5.47E-14 3.88E-15 2.49E-16 1.45E-17
   4.00  0.633  1.59E+02 7.46E+01 5.29E+02 6.82E+00 1.18E+01 1.39E+01 1.33E+01 1.08E+01 7.63E+00 4.77E+00 2.65E+00 1.32E+00 5.89E-01 2.36E-01 8.54E-02 2.79E-02 8.21E-03 2.19E-03 5.26E-04 1.15E-04 2.26E-05 4.04E-06 6.54E-07 9.60E-08 1.28E-08 1.54E-09 1.68E-10 1.66E-11 1.50E-12 1.22E-13 9.02E-15 6.06E-16 3.69E-17
