                    ************************************************************************************************
                    *  Z= 31 A= 67: Positive-Parity Spin-dependent Level Density [MeV-1] for Ga 67 and ldmodel= 1  *
   4.25  0.653  2.07E+02 9.70E+01 6.95E+02 8.75E+00 1.52E+01 1.80E+01 1.72E+01 1.41E+01 1.00E+01 6.33E+00 3.56E+00 1.79E+00 8.12E-01 3.31E-01 1.22E-01 4.04E-02 1.22E-02 3.31E-03 8.15E-04 1.82E-04 3.68E-05 6.76E-06 1.13E-06 1.70E-07 2.34E-08 2.91E-09 3.29E-10 3.38E-11 3.16E-12 2.68E-13 2.06E-14 1.44E-15 9.18E-17
   4.50  0.672  2.70E+02 1.26E+02 9.11E+02 1.12E+01 1.95E+01 2.32E+01 2.23E+01 1.83E+01 1.32E+01 8.40E+00 4.78E+00 2.44E+00 1.12E+00 4.62E-01 1.73E-01 5.85E-02 1.79E-02 4.98E-03 1.25E-03 2.87E-04 5.95E-05 1.12E-05 1.92E-06 2.99E-07 4.23E-08 5.45E-09 6.37E-10 6.78E-11 6.56E-12 5.78E-13 4.63E-14 3.38E-15 2.24E-16
   4.75  0.690  3.52E+02 1.64E+02 1.20E+03 1.44E+01 2.51E+01 2.99E+01 2.89E+01 2.39E+01 1.73E+01 1.11E+01 6.40E+00 3.30E+00 1.53E+00 6.44E-01 2.45E-01 8.43E-02 2.63E-02 7.45E-03 1.92E-03 4.49E-04 9.55E-05 1.85E-05 3.25E-06 5.21E-07 7.59E-08 1.01E-08 1.22E-09 1.34E-10 1.35E-11 1.23E-12 1.02E-13 7.76E-15 5.37E-16
   5.00  0.708  4.59E+02 2.13E+02 1.57E+03 1.84E+01 3.22E+01 3.85E+01 3.75E+01 3.12E+01 2.28E+01 1.48E+01 8.56E+00 4.47E+00 2.10E+00 8.96E-01 3.46E-01 1.21E-01 3.85E-02 1.11E-02 2.92E-03 6.99E-04 1.52E-04 3.02E-05 5.46E-06 8.98E-07 1.35E-07 1.85E-08 2.30E-09 2.62E-10 2.72E-11 2.58E-12 2.23E-13 1.75E-14 1.26E-15
   5.50  0.743  8.20E+02 3.61E+02 2.70E+03 3.04E+01 5.32E+01 6.41E+01 6.28E+01 5.29E+01 3.92E+01 2.58E+01 1.53E+01 8.15E+00 3.93E+00 1.72E+00 6.84E-01 2.47E-01 8.15E-02 2.44E-02 6.69E-03 1.67E-03 3.80E-04 7.91E-05 1.50E-05 2.61E-06 4.14E-07 6.00E-08 7.96E-09 9.65E-10 1.07E-10 1.09E-11 1.01E-12 8.54E-14 6.63E-15
   6.00  0.776  1.43E+03 6.11E+02 4.64E+03 5.00E+01 8.80E+01 1.07E+02 1.05E+02 8.98E+01 6.74E+01 4.51E+01 2.72E+01 1.48E+01 7.31E+00 3.28E+00 1.34E+00 5.00E-01 1.70E-01 5.29E-02 1.50E-02 3.90E-03 9.28E-04 2.02E-04 4.03E-05 7.35E-06 1.23E-06 1.88E-07 2.64E-08 3.40E-09 4.01E-10 4.34E-11 4.31E-12 3.92E-13 3.27E-14
   6.50  0.807  2.47E+03 1.03E+03 7.97E+03 8.24E+01 1.46E+02 1.77E+02 1.77E+02 1.52E+02 1.16E+02 7.86E+01 4.82E+01 2.68E+01 1.35E+01 6.21E+00 2.61E+00 1.00E+00 3.51E-01 1.13E-01 3.32E-02 8.97E-03 2.22E-03 5.04E-04 1.05E-04 2.01E-05 3.54E-06 5.71E-07 8.46E-08 1.15E-08 1.44E-09 1.66E-10 1.75E-11 1.70E-12 1.52E-13
   7.00  0.838  4.22E+03 1.75E+03 1.37E+04 1.36E+02 2.41E+02 2.95E+02 2.96E+02 2.58E+02 1.98E+02 1.37E+02 8.51E+01 4.82E+01 2.48E+01 1.17E+01 5.03E+00 1.98E+00 7.17E-01 2.38E-01 7.24E-02 2.03E-02 5.21E-03 1.23E-03 2.68E-04 5.37E-05 9.88E-06 1.68E-06 2.61E-07 3.76E-08 4.97E-09 6.05E-10 6.79E-11 7.02E-12 6.69E-13
   7.50  0.867  7.15E+03 2.94E+03 2.35E+04 2.19E+02 3.90E+02 4.82E+02 4.90E+02 4.32E+02 3.38E+02 2.38E+02 1.52E+02 8.86E+01 4.71E+01 2.29E+01 1.03E+01 4.21E+00 1.59E+00 5.53E-01 1.77E-01 5.24E-02 1.43E-02 3.58E-03 8.30E-04 1.78E-04 3.51E-05 6.40E-06 1.08E-06 1.68E-07 2.42E-08 3.21E-09 3.94E-10 4.47E-11 4.69E-12
   8.00  0.896  1.20E+04 4.85E+03 3.96E+04 3.48E+02 6.23E+02 7.75E+02 7.96E+02 7.11E+02 5.66E+02 4.07E+02 2.66E+02 1.58E+02 8.66E+01 4.35E+01 2.01E+01 8.58E+00 3.37E+00 1.22E+00 4.11E-01 1.27E-01 3.65E-02 9.70E-03 2.38E-03 5.41E-04 1.14E-04 2.22E-05 4.02E-06 6.72E-07 1.04E-07 1.50E-08 1.99E-09 2.46E-10 2.82E-11
   8.50  0.923  1.99E+04 7.87E+03 6.57E+04 5.47E+02 9.81E+02 1.23E+03 1.27E+03 1.15E+03 9.30E+02 6.80E+02 4.53E+02 2.76E+02 1.55E+02 8.00E+01 3.81E+01 1.68E+01 6.84E+00 2.58E+00 9.02E-01 2.92E-01 8.77E-02 2.44E-02 6.32E-03 1.52E-03 3.38E-04 6.99E-05 1.34E-05 2.40E-06 3.98E-07 6.13E-08 8.78E-09 1.17E-09 1.45E-10
   9.00  0.950  3.25E+04 1.26E+04 1.07E+05 8.47E+02 1.53E+03 1.92E+03 2.01E+03 1.84E+03 1.50E+03 1.12E+03 7.56E+02 4.71E+02 2.70E+02 1.43E+02 7.00E+01 3.18E+01 1.34E+01 5.22E+00 1.89E+00 6.37E-01 1.99E-01 5.81E-02 1.57E-02 3.96E-03 9.29E-04 2.03E-04 4.12E-05 7.79E-06 1.37E-06 2.25E-07 3.44E-08 4.90E-09 6.50E-10
   9.50  0.976  5.24E+04 1.99E+04 1.72E+05 1.30E+03 2.35E+03 2.97E+03 3.13E+03 2.89E+03 2.39E+03 1.80E+03 1.24E+03 7.86E+02 4.60E+02 2.49E+02 1.25E+02 5.83E+01 2.52E+01 1.02E+01 3.81E+00 1.33E+00 4.32E-01 1.31E-01 3.70E-02 9.73E-03 2.39E-03 5.47E-04 1.17E-04 2.33E-05 4.34E-06 7.54E-07 1.22E-07 1.85E-08 2.61E-09
  10.00  1.001  8.34E+04 3.11E+04 2.73E+05 1.97E+03 3.57E+03 4.55E+03 4.82E+03 4.49E+03 3.76E+03 2.86E+03 2.00E+03 1.29E+03 7.69E+02 4.25E+02 2.18E+02 1.04E+02 4.63E+01 1.92E+01 7.42E+00 2.67E+00 8.99E-01 2.82E-01 8.28E-02 2.27E-02 5.81E-03 1.39E-03 3.11E-04 6.51E-05 1.27E-05 2.33E-06 3.98E-07 6.38E-08 9.54E-09
  11.00  1.050  2.30E+05 7.33E+04 6.64E+05 4.41E+03 8.04E+03 1.03E+04 1.11E+04 1.05E+04 8.93E+03 6.96E+03 4.99E+03 3.31E+03 2.04E+03 1.17E+03 6.25E+02 3.11E+02 1.45E+02 6.32E+01 2.57E+01 9.82E+00 3.51E+00 1.17E+00 3.68E-01 1.08E-01 2.98E-02 7.71E-03 1.87E-03 4.26E-04 9.09E-05 1.82E-05 3.42E-06 6.04E-07 1.00E-07
  12.00  1.097  5.63E+05 1.66E+05 1.55E+06 9.55E+03 1.75E+04 2.26E+04 2.45E+04 2.35E+04 2.04E+04 1.62E+04 1.19E+04 8.07E+03 5.11E+03 3.02E+03 1.67E+03 8.63E+02 4.18E+02 1.90E+02 8.10E+01 3.24E+01 1.22E+01 4.31E+00 1.43E+00 4.47E-01 1.31E-01 3.62E-02 9.42E-03 2.30E-03 5.30E-04 1.15E-04 2.34E-05 4.49E-06 8.11E-07
  13.00  1.142  1.29E+06 3.65E+05 3.48E+06 2.01E+04 3.69E+04 4.81E+04 5.26E+04 5.09E+04 4.48E+04 3.61E+04 2.70E+04 1.88E+04 1.22E+04 7.40E+03 4.21E+03 2.25E+03 1.13E+03 5.31E+02 2.36E+02 9.84E+01 3.87E+01 1.43E+01 5.00E+00 1.64E+00 5.10E-01 1.49E-01 4.12E-02 1.07E-02 2.63E-03 6.09E-04 1.33E-04 2.75E-05 5.35E-06
  14.00  1.185  2.85E+06 7.78E+05 7.58E+06 4.11E+04 7.58E+04 9.93E+04 1.09E+05 1.07E+05 9.53E+04 7.81E+04 5.94E+04 4.21E+04 2.79E+04 1.73E+04 1.01E+04 5.55E+03 2.87E+03 1.40E+03 6.42E+02 2.78E+02 1.14E+02 4.39E+01 1.60E+01 5.51E+00 1.79E+00 5.51E-01 1.60E-01 4.41E-02 1.15E-02 2.81E-03 6.54E-04 1.44E-04 2.99E-05
  15.00  1.226  6.07E+06 1.61E+06 1.61E+07 8.23E+04 1.52E+05 2.00E+05 2.22E+05 2.19E+05 1.97E+05 1.64E+05 1.26E+05 9.11E+04 6.15E+04 3.90E+04 2.33E+04 1.31E+04 6.97E+03 3.49E+03 1.65E+03 7.40E+02 3.13E+02 1.25E+02 4.75E+01 1.70E+01 5.79E+00 1.86E+00 5.67E-01 1.64E-01 4.47E-02 1.16E-02 2.85E-03 6.62E-04 1.46E-04
  16.00  1.267  1.26E+07 3.27E+06 3.31E+07 1.61E+05 2.99E+05 3.95E+05 4.41E+05 4.39E+05 3.99E+05 3.35E+05 2.62E+05 1.92E+05 1.32E+05 8.51E+04 5.19E+04 2.98E+04 1.62E+04 8.34E+03 4.06E+03 1.87E+03 8.17E+02 3.38E+02 1.33E+02 4.94E+01 1.74E+01 5.83E+00 1.85E+00 5.58E-01 1.60E-01 4.33E-02 1.12E-02 2.73E-03 6.36E-04
  17.00  1.305  2.56E+07 6.47E+06 6.69E+07 3.10E+05 5.75E+05 7.64E+05 8.58E+05 8.60E+05 7.88E+05 6.68E+05 5.29E+05 3.92E+05 2.74E+05 1.80E+05 1.12E+05 6.56E+04 3.64E+04 1.92E+04 9.57E+03 4.53E+03 2.03E+03 8.67E+02 3.51E+02 1.35E+02 4.93E+01 1.71E+01 5.64E+00 1.77E+00 5.27E-01 1.49E-01 4.02E-02 1.03E-02 2.51E-03
  18.00  1.343  5.07E+07 1.26E+07 1.32E+08 5.84E+05 1.09E+06 1.45E+06 1.64E+06 1.65E+06 1.53E+06 1.31E+06 1.05E+06 7.85E+05 5.55E+05 3.71E+05 2.34E+05 1.40E+05 7.93E+04 4.26E+04 2.17E+04 1.05E+04 4.86E+03 2.13E+03 8.86E+02 3.51E+02 1.32E+02 4.74E+01 1.62E+01 5.26E+00 1.63E+00 4.79E-01 1.34E-01 3.58E-02 9.12E-03
  19.00  1.380  9.88E+07 2.40E+07 2.56E+08 1.09E+06 2.02E+06 2.71E+06 3.07E+06 3.12E+06 2.90E+06 2.50E+06 2.02E+06 1.54E+06 1.10E+06 7.45E+05 4.78E+05 2.90E+05 1.68E+05 9.19E+04 4.79E+04 2.37E+04 1.12E+04 5.02E+03 2.14E+03 8.73E+02 3.39E+02 1.25E+02 4.40E+01 1.48E+01 4.73E+00 1.44E+00 4.20E-01 1.16E-01 3.08E-02
  20.00  1.416  1.89E+08 4.51E+07 4.88E+08 1.99E+06 3.71E+06 4.97E+06 5.67E+06 5.78E+06 5.42E+06 4.72E+06 3.85E+06 2.95E+06 2.14E+06 1.47E+06 9.54E+05 5.89E+05 3.45E+05 1.93E+05 1.02E+05 5.17E+04 2.49E+04 1.14E+04 5.01E+03 2.09E+03 8.32E+02 3.16E+02 1.15E+02 3.96E+01 1.31E+01 4.12E+00 1.24E+00 3.56E-01 9.77E-02
  22.50  1.502  1.21E+09 2.04E+08 2.29E+09 8.47E+06 1.59E+07 2.15E+07 2.47E+07 2.55E+07 2.42E+07 2.15E+07 1.79E+07 1.40E+07 1.04E+07 7.35E+06 4.93E+06 3.15E+06 1.91E+06 1.11E+06 6.14E+05 3.25E+05 1.64E+05 7.90E+04 3.64E+04 1.61E+04 6.77E+03 2.73E+03 1.05E+03 3.89E+02 1.38E+02 4.65E+01 1.51E+01 4.67E+00 1.39E+00
  25.00  1.583  5.49E+09 8.56E+08 9.86E+09 3.36E+07 6.34E+07 8.60E+07 9.96E+07 1.04E+08 1.00E+08 9.00E+07 7.61E+07 6.09E+07 4.62E+07 3.34E+07 2.30E+07 1.51E+07 9.45E+06 5.66E+06 3.24E+06 1.78E+06 9.34E+05 4.69E+05 2.26E+05 1.04E+05 4.62E+04 1.96E+04 7.97E+03 3.11E+03 1.16E+03 4.17E+02 1.44E+02 4.75E+01 1.50E+01
  30.00  1.734  1.29E+11 1.24E+10 1.50E+11 4.44E+08 8.40E+08 1.15E+09 1.35E+09 1.43E+09 1.41E+09 1.29E+09 1.12E+09 9.27E+08 7.28E+08 5.46E+08 3.91E+08 2.68E+08 1.77E+08 1.11E+08 6.75E+07 3.92E+07 2.19E+07 1.18E+07 6.08E+06 3.02E+06 1.44E+06 6.64E+05 2.94E+05 1.25E+05 5.12E+04 2.02E+04 7.68E+03 2.81E+03 9.90E+02
  40.00  2.003  2.94E+13 1.46E+12 1.92E+13 4.54E+10 8.66E+10 1.20E+11 1.43E+11 1.55E+11 1.57E+11 1.49E+11 1.34E+11 1.16E+11 9.52E+10 7.52E+10 5.71E+10 4.17E+10 2.93E+10 1.99E+10 1.30E+10 8.21E+09 5.00E+09 2.95E+09 1.68E+09 9.22E+08 4.90E+08 2.52E+08 1.25E+08 6.02E+07 2.80E+07 1.26E+07 5.49E+06 2.31E+06 9.43E+05
  50.00  2.239  2.05E+15 1.01E+14 1.41E+15 2.81E+12 5.39E+12 7.53E+12 9.10E+12 1.00E+13 1.03E+13 1.00E+13 9.25E+12 8.19E+12 6.96E+12 5.70E+12 4.49E+12 3.42E+12 2.52E+12 1.79E+12 1.24E+12 8.24E+11 5.33E+11 3.34E+11 2.03E+11 1.20E+11 6.83E+10 3.79E+10 2.04E+10 1.06E+10 5.39E+09 2.65E+09 1.27E+09 5.87E+08 2.65E+08
  60.00  2.453  9.75E+16 4.77E+15 6.98E+16 1.21E+14 2.33E+14 3.28E+14 4.00E+14 4.45E+14 4.63E+14 4.57E+14 4.31E+14 3.90E+14 3.39E+14 2.85E+14 2.31E+14 1.82E+14 1.38E+14 1.02E+14 7.30E+13 5.07E+13 3.43E+13 2.25E+13 1.43E+13 8.88E+12 5.35E+12 3.14E+12 1.79E+12 9.92E+11 5.35E+11 2.81E+11 1.44E+11 7.16E+10 3.47E+10
  70.00  2.649  3.46E+18 1.68E+17 2.57E+18 3.96E+15 7.64E+15 1.08E+16 1.32E+16 1.49E+16 1.57E+16 1.56E+16 1.50E+16 1.37E+16 1.22E+16 1.04E+16 8.66E+15 6.97E+15 5.44E+15 4.13E+15 3.05E+15 2.18E+15 1.53E+15 1.04E+15 6.86E+14 4.42E+14 2.78E+14 1.70E+14 1.01E+14 5.90E+13 3.34E+13 1.85E+13 9.96E+12 5.23E+12 2.68E+12
  80.00  2.832  9.75E+19 4.70E+18 7.43E+19 1.03E+17 2.00E+17 2.84E+17 3.50E+17 3.96E+17 4.20E+17 4.25E+17 4.11E+17 3.82E+17 3.44E+17 2.99E+17 2.53E+17 2.07E+17 1.65E+17 1.28E+17 9.70E+16 7.14E+16 5.12E+16 3.58E+16 2.44E+16 1.62E+16 1.05E+16 6.68E+15 4.13E+15 2.50E+15 1.47E+15 8.47E+14 4.77E+14 2.62E+14 1.40E+14
  90.00  3.004  2.27E+21 1.08E+20 1.77E+21 2.25E+18 4.36E+18 6.21E+18 7.69E+18 8.75E+18 9.36E+18 9.52E+18 9.30E+18 8.75E+18 7.97E+18 7.03E+18 6.03E+18 5.02E+18 4.08E+18 3.22E+18 2.48E+18 1.87E+18 1.37E+18 9.80E+17 6.86E+17 4.68E+17 3.12E+17 2.04E+17 1.30E+17 8.09E+16 4.93E+16 2.94E+16 1.71E+16 9.74E+15 5.43E+15
 100.00  3.166  4.48E+22 2.13E+21 3.57E+22 4.19E+19 8.14E+19 1.16E+20 1.44E+20 1.65E+20 1.78E+20 1.82E+20 1.79E+20 1.70E+20 1.57E+20 1.40E+20 1.21E+20 1.02E+20 8.44E+19 6.78E+19 5.31E+19 4.06E+19 3.04E+19 2.22E+19 1.58E+19 1.11E+19 7.56E+18 5.05E+18 3.30E+18 2.11E+18 1.32E+18 8.11E+17 4.86E+17 2.86E+17 1.64E+17
 110.00  3.321  7.73E+23 3.64E+22 6.26E+23 6.84E+20 1.33E+21 1.90E+21 2.37E+21 2.72E+21 2.94E+21 3.04E+21 3.01E+21 2.88E+21 2.67E+21 2.41E+21 2.11E+21 1.81E+21 1.51E+21 1.23E+21 9.74E+20 7.57E+20 5.75E+20 4.27E+20 3.11E+20 2.21E+20 1.54E+20 1.05E+20 7.03E+19 4.60E+19 2.95E+19 1.85E+19 1.14E+19 6.88E+18 4.07E+18
 120.00  3.468  1.18E+25 5.51E+23 9.70E+24 9.92E+21 1.93E+22 2.77E+22 3.46E+22 3.99E+22 4.33E+22 4.49E+22 4.48E+22 4.32E+22 4.04E+22 3.67E+22 3.25E+22 2.81E+22 2.36E+22 1.95E+22 1.57E+22 1.23E+22 9.51E+21 7.18E+21 5.30E+21 3.84E+21 2.72E+21 1.89E+21 1.29E+21 8.60E+20 5.63E+20 3.61E+20 2.27E+20 1.40E+20 8.50E+19
 130.00  3.610  1.62E+26 7.51E+24 1.35E+26 1.30E+23 2.53E+23 3.63E+23 4.56E+23 5.27E+23 5.74E+23 5.98E+23 6.00E+23 5.82E+23 5.48E+23 5.02E+23 4.48E+23 3.90E+23 3.32E+23 2.76E+23 2.25E+23 1.79E+23 1.40E+23 1.07E+23 8.01E+22 5.88E+22 4.23E+22 2.99E+22 2.07E+22 1.41E+22 9.38E+21 6.13E+21 3.94E+21 2.48E+21 1.53E+21
 140.00  3.746  2.02E+27 9.31E+25 1.71E+27 1.55E+24 3.03E+24 4.35E+24 5.47E+24 6.34E+24 6.94E+24 7.26E+24 7.31E+24 7.13E+24 6.75E+24 6.23E+24 5.60E+24 4.92E+24 4.22E+24 3.54E+24 2.91E+24 2.35E+24 1.85E+24 1.43E+24 1.09E+24 8.08E+23 5.90E+23 4.22E+23 2.97E+23 2.05E+23 1.39E+23 9.24E+22 6.03E+22 3.87E+22 2.44E+22
 150.00  3.878  2.32E+28 1.06E+27 1.98E+28 1.71E+25 3.33E+25 4.80E+25 6.05E+25 7.03E+25 7.71E+25 8.10E+25 8.19E+25 8.03E+25 7.65E+25 7.09E+25 6.42E+25 5.68E+25 4.91E+25 4.16E+25 3.45E+25 2.80E+25 2.23E+25 1.75E+25 1.34E+25 1.01E+25 7.45E+24 5.41E+24 3.85E+24 2.70E+24 1.85E+24 1.25E+24 8.30E+23 5.42E+23 3.47E+23
 160.00  4.005  2.47E+29 1.12E+28 2.12E+29 1.74E+26 3.41E+26 4.91E+26 6.20E+26 7.22E+26 7.95E+26 8.37E+26 8.51E+26 8.37E+26 8.01E+26 7.47E+26 6.80E+26 6.06E+26 5.27E+26 4.50E+26 3.76E+26 3.08E+26 2.48E+26 1.96E+26 1.52E+26 1.15E+26 8.62E+25 6.33E+25 4.56E+25 3.23E+25 2.25E+25 1.54E+25 1.04E+25 6.87E+24 4.47E+24
