                    ************************************************************************************************
                    *  Z= 28 A= 60: Positive-Parity Spin-dependent Level Density [MeV-1] for Ni 60 and ldmodel= 5  *
                    ************************************************************************************************
 U[MeV]  T[MeV]  NCUMUL   RHOOBS   RHOTOT     J=00     J=01     J=02     J=03     J=04     J=05     J=06     J=07     J=08     J=09     J=10     J=11     J=12     J=13     J=14     J=15     J=16     J=17     J=18     J=19     J=20     J=21     J=22     J=23     J=24     J=25     J=26     J=27     J=28     J=29
   3.25  0.676  2.65E+01 2.19E+01 7.74E+01 1.19E+00 9.94E-01 2.45E+00 1.87E+00 1.65E+00 9.23E-01 1.11E+00 4.61E-01 8.61E-02 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   3.50  0.702  3.32E+01 3.48E+01 9.99E+01 1.23E+00 1.36E+00 2.89E+00 2.28E+00 2.53E+00 1.08E+00 1.27E+00 5.93E-01 2.47E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   3.75  0.726  4.07E+01 4.59E+01 1.15E+02 1.16E+00 1.45E+00 2.99E+00 2.36E+00 3.06E+00 1.71E+00 1.27E+00 7.22E-01 2.74E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   4.00  0.750  5.00E+01 6.02E+01 1.40E+02 1.88E+00 2.00E+00 3.61E+00 2.22E+00 3.55E+00 2.55E+00 1.39E+00 6.64E-01 4.77E-01 7.50E-02 3.75E-02 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   4.25  0.773  6.27E+01 7.03E+01 1.96E+02 2.04E+00 2.57E+00 5.66E+00 3.66E+00 4.55E+00 3.60E+00 1.68E+00 9.38E-01 6.87E-01 2.05E-01 3.59E-02 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   4.50  0.796  7.91E+01 9.06E+01 2.50E+02 2.41E+00 3.48E+00 7.29E+00 5.25E+00 4.87E+00 4.28E+00 2.80E+00 1.02E+00 8.31E-01 3.59E-01 3.44E-02 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   4.75  0.817  9.87E+01 1.31E+02 3.10E+02 2.38E+00 3.58E+00 8.17E+00 6.90E+00 6.59E+00 4.70E+00 3.66E+00 1.42E+00 1.01E+00 4.78E-01 4.95E-02 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   5.00  0.839  1.22E+02 1.75E+02 3.87E+02 2.36E+00 3.69E+00 9.16E+00 9.09E+00 8.94E+00 5.16E+00 4.80E+00 1.98E+00 1.24E+00 6.38E-01 6.34E-02 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   5.50  0.880  1.89E+02 2.74E+02 5.62E+02 3.84E+00 5.08E+00 1.21E+01 1.11E+01 1.32E+01 8.80E+00 6.24E+00 4.17E+00 1.52E+00 6.94E-01 3.14E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   6.00  0.919  2.90E+02 4.21E+02 8.65E+02 6.17E+00 8.72E+00 1.66E+01 1.49E+01 1.80E+01 1.44E+01 1.04E+01 6.01E+00 3.74E+00 9.58E-01 6.57E-01 1.47E-01 2.72E-02 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   6.50  0.956  4.25E+02 6.79E+02 1.21E+03 7.67E+00 1.08E+01 2.08E+01 1.95E+01 2.43E+01 1.94E+01 1.52E+01 8.27E+00 5.86E+00 2.35E+00 9.60E-01 3.40E-01 2.53E-02 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
