                    ************************************************************************************************
                    *  Z= 39 A= 90: Positive-Parity Spin-dependent Level Density [MeV-1] for Y  90 and ldmodel= 6  *
                    ************************************************************************************************
 U[MeV]  T[MeV]  NCUMUL   RHOOBS   RHOTOT     J=00     J=01     J=02     J=03     J=04     J=05     J=06     J=07     J=08     J=09     J=10     J=11     J=12     J=13     J=14     J=15     J=16     J=17     J=18     J=19     J=20     J=21     J=22     J=23     J=24     J=25     J=26     J=27     J=28     J=29
   3.25  0.548  2.57E+01 7.72E-01 1.24E+02 3.54E-01 1.10E+00 1.85E+00 2.24E+00 2.41E+00 2.43E+00 1.89E+00 1.03E+00 2.55E-01 1.21E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   3.50  0.569  3.45E+01 4.14E-01 1.49E+02 3.97E-01 1.25E+00 2.10E+00 2.69E+00 2.90E+00 2.90E+00 2.28E+00 1.18E+00 4.04E-01 1.92E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   3.75  0.589  5.04E+01 1.87E-01 2.71E+02 6.85E-01 2.16E+00 3.63E+00 4.68E+00 5.03E+00 5.09E+00 4.02E+00 2.08E+00 1.09E+00 4.62E-01 3.21E-02 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   4.00  0.608  8.48E+01 9.70E-02 6.68E+02 2.38E+00 4.94E+00 8.26E+00 1.06E+01 1.15E+01 1.14E+01 9.09E+00 5.34E+00 2.94E+00 2.40E+00 6.46E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   4.25  0.627  1.61E+02 7.43E+00 1.59E+03 4.29E+00 1.17E+01 1.94E+01 2.48E+01 2.71E+01 2.60E+01 2.12E+01 1.44E+01 8.36E+00 4.61E+00 1.35E+00 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   4.50  0.645  3.13E+02 2.09E+01 3.18E+03 8.31E+00 2.40E+01 3.88E+01 4.88E+01 5.27E+01 5.02E+01 4.14E+01 2.93E+01 1.77E+01 9.17E+00 3.10E+00 1.03E+00 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   4.75  0.663  6.12E+02 2.22E+01 6.17E+03 1.68E+01 4.82E+01 7.56E+01 9.33E+01 9.94E+01 9.42E+01 7.85E+01 5.69E+01 3.56E+01 1.90E+01 7.56E+00 2.22E+00 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   5.00  0.680  1.03E+03 4.34E+01 8.58E+03 2.30E+01 6.59E+01 1.03E+02 1.26E+02 1.33E+02 1.27E+02 1.07E+02 7.88E+01 5.07E+01 2.86E+01 1.27E+01 4.26E+00 1.13E+00 2.84E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   5.50  0.713  1.85E+03 2.55E+02 8.33E+03 2.15E+01 6.16E+01 9.57E+01 1.17E+02 1.24E+02 1.18E+02 1.00E+02 7.59E+01 5.02E+01 3.01E+01 1.53E+01 6.83E+00 2.06E+00 5.64E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   6.00  0.745  2.40E+03 9.71E+02 5.37E+03 1.25E+01 3.58E+01 5.63E+01 7.07E+01 7.75E+01 7.45E+01 6.42E+01 5.00E+01 3.37E+01 2.04E+01 1.08E+01 5.29E+00 1.83E+00 5.89E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
