                    ************************************************************************************************
                    *  Z= 40 A= 91: Positive-Parity Spin-dependent Level Density [MeV-1] for Zr 91 and ldmodel= 6  *
                    ************************************************************************************************
 U[MeV]  T[MeV]  NCUMUL   RHOOBS   RHOTOT    J=01/2   J=03/2   J=05/2   J=07/2   J=09/2   J=11/2   J=13/2   J=15/2   J=17/2   J=19/2   J=21/2   J=23/2   J=25/2   J=27/2   J=29/2   J=31/2   J=33/2   J=35/2   J=37/2   J=39/2   J=41/2   J=43/2   J=45/2   J=47/2   J=49/2   J=51/2   J=53/2   J=55/2   J=57/2   J=59/2
   3.25  0.545  1.95E+01 2.27E-01 7.86E-01 9.78E-03 1.85E-01 9.17E-03 1.59E-02 7.12E-03 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   3.50  0.566  2.16E+01 4.15E-01 2.97E+00 2.92E-03 6.52E-02 8.36E-02 4.75E-03 2.58E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   3.75  0.586  2.29E+01 1.71E+00 1.03E+01 9.61E-02 3.42E-01 4.49E-01 2.35E-01 5.87E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   4.00  0.605  2.60E+01 6.14E+00 3.51E+01 4.97E-01 1.16E+00 1.87E+00 1.31E+00 1.02E+00 1.53E-01 1.37E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   4.25  0.623  3.21E+01 1.37E+01 8.55E+01 9.85E-01 2.39E+00 3.53E+00 2.64E+00 2.69E+00 8.31E-01 6.07E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   4.50  0.641  4.22E+01 2.25E+01 1.51E+02 1.72E+00 3.67E+00 5.13E+00 4.08E+00 3.91E+00 2.23E+00 1.48E+00 1.65E-01 1.51E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   4.75  0.659  5.50E+01 3.17E+01 2.35E+02 2.44E+00 4.31E+00 6.17E+00 5.50E+00 5.27E+00 3.46E+00 2.71E+00 9.29E-01 8.18E-01 8.35E-02 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   5.00  0.676  7.56E+01 5.18E+01 4.49E+02 3.58E+00 5.18E+00 7.54E+00 7.88E+00 8.32E+00 6.22E+00 5.75E+00 3.39E+00 2.98E+00 6.61E-01 2.55E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   5.50  0.709  1.60E+02 9.14E+01 9.06E+02 4.53E+00 7.76E+00 1.08E+01 1.20E+01 1.31E+01 1.16E+01 1.06E+01 8.25E+00 6.62E+00 3.88E+00 2.23E+00 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   6.00  0.741  5.16E+02 4.14E+02 4.14E+03 2.05E+01 3.67E+01 4.86E+01 5.52E+01 5.70E+01 5.24E+01 4.62E+01 3.71E+01 2.81E+01 1.74E+01 9.92E+00 3.98E+00 1.13E+00 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   6.50  0.771  1.52E+03 1.14E+03 1.16E+04 5.29E+01 9.76E+01 1.31E+02 1.51E+02 1.56E+02 1.46E+02 1.28E+02 1.03E+02 7.64E+01 4.92E+01 2.90E+01 1.39E+01 4.53E+00 3.94E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   7.00  0.800  2.59E+03 1.19E+03 1.20E+04 5.37E+01 1.02E+02 1.38E+02 1.59E+02 1.63E+02 1.55E+02 1.35E+02 1.07E+02 7.64E+01 5.01E+01 2.80E+01 1.29E+01 4.54E+00 7.80E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   7.50  0.828  3.17E+03 5.59E+02 5.57E+03 2.55E+01 4.90E+01 6.65E+01 7.45E+01 7.68E+01 7.35E+01 6.52E+01 5.10E+01 3.69E+01 2.23E+01 1.24E+01 3.51E+00 1.54E+00 5.75E-02 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   8.00  0.855  4.89E+03 1.95E+03 2.09E+04 8.09E+01 1.52E+02 2.08E+02 2.41E+02 2.53E+02 2.46E+02 2.22E+02 1.85E+02 1.43E+02 9.97E+01 6.32E+01 3.35E+01 1.57E+01 4.56E+00 4.17E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   8.50  0.882  9.27E+03 4.46E+03 4.81E+04 1.83E+02 3.44E+02 4.71E+02 5.49E+02 5.76E+02 5.60E+02 5.07E+02 4.22E+02 3.28E+02 2.32E+02 1.47E+02 8.11E+01 3.90E+01 1.43E+01 3.46E+00 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   9.00  0.907  1.71E+04 7.47E+03 8.23E+04 2.97E+02 5.61E+02 7.67E+02 8.98E+02 9.52E+02 9.28E+02 8.43E+02 7.11E+02 5.59E+02 4.03E+02 2.65E+02 1.55E+02 8.21E+01 3.56E+01 1.28E+01 2.07E+00 3.47E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   9.50  0.932  2.47E+04 6.95E+03 7.82E+04 2.69E+02 5.07E+02 6.95E+02 8.15E+02 8.70E+02 8.48E+02 7.78E+02 6.62E+02 5.29E+02 3.85E+02 2.64E+02 1.62E+02 9.27E+01 4.49E+01 2.10E+01 6.96E+00 2.49E+00 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
  10.00  0.956  3.28E+04 6.80E+03 7.79E+04 2.54E+02 4.79E+02 6.60E+02 7.77E+02 8.34E+02 8.19E+02 7.60E+02 6.53E+02 5.30E+02 3.94E+02 2.76E+02 1.74E+02 1.02E+02 5.13E+01 2.45E+01 8.70E+00 2.73E+00 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
  11.00  1.003  9.88E+04 2.48E+04 2.92E+05 8.75E+02 1.66E+03 2.30E+03 2.74E+03 2.95E+03 2.94E+03 2.74E+03 2.40E+03 1.98E+03 1.52E+03 1.09E+03 7.24E+02 4.42E+02 2.42E+02 1.20E+02 5.00E+01 1.72E+01 2.58E+00 6.23E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
  12.00  1.048  2.00E+05 4.87E+04 6.05E+05 1.58E+03 3.01E+03 4.19E+03 5.02E+03 5.47E+03 5.54E+03 5.26E+03 4.71E+03 4.00E+03 3.20E+03 2.43E+03 1.72E+03 1.15E+03 7.06E+02 3.99E+02 2.02E+02 9.06E+01 3.30E+01 9.01E+00 1.14E+00 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
  13.00  1.090  3.09E+05 5.27E+04 6.42E+05 1.77E+03 3.37E+03 4.68E+03 5.58E+03 6.05E+03 6.07E+03 5.72E+03 5.08E+03 4.26E+03 3.37E+03 2.51E+03 1.75E+03 1.14E+03 6.81E+02 3.69E+02 1.73E+02 7.07E+01 2.13E+01 4.95E+00 2.19E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
  14.00  1.131  7.24E+05 2.21E+05 2.87E+06 6.67E+03 1.28E+04 1.79E+04 2.16E+04 2.37E+04 2.42E+04 2.33E+04 2.13E+04 1.84E+04 1.52E+04 1.19E+04 8.87E+03 6.24E+03 4.11E+03 2.53E+03 1.43E+03 7.35E+02 3.30E+02 1.27E+02 3.69E+01 7.77E+00 4.01E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
  15.00  1.171  1.24E+06 2.76E+05 3.64E+06 8.11E+03 1.56E+04 2.18E+04 2.64E+04 2.91E+04 2.98E+04 2.89E+04 2.65E+04 2.31E+04 1.92E+04 1.52E+04 1.15E+04 8.19E+03 5.50E+03 3.47E+03 2.02E+03 1.08E+03 5.16E+02 2.19E+02 7.76E+01 2.32E+01 4.97E+00 4.00E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
  16.00  1.210  2.21E+06 5.31E+05 7.06E+06 1.54E+04 2.96E+04 4.14E+04 5.01E+04 5.53E+04 5.68E+04 5.50E+04 5.06E+04 4.44E+04 3.71E+04 2.96E+04 2.25E+04 1.63E+04 1.12E+04 7.20E+03 4.33E+03 2.40E+03 1.21E+03 5.42E+02 2.07E+02 6.49E+01 1.45E+01 2.11E+00 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
  17.00  1.247  4.23E+06 1.03E+06 1.42E+07 2.79E+04 5.37E+04 7.56E+04 9.21E+04 1.02E+05 1.06E+05 1.05E+05 9.77E+04 8.72E+04 7.44E+04 6.08E+04 4.75E+04 3.54E+04 2.51E+04 1.69E+04 1.07E+04 6.36E+03 3.49E+03 1.76E+03 7.97E+02 3.18E+02 1.05E+02 2.70E+01 3.55E+00 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
  18.00  1.283  6.29E+06 1.01E+06 1.37E+07 2.83E+04 5.45E+04 7.64E+04 9.26E+04 1.02E+05 1.05E+05 1.03E+05 9.48E+04 8.36E+04 7.06E+04 5.71E+04 4.42E+04 3.28E+04 2.33E+04 1.57E+04 1.01E+04 6.06E+03 3.42E+03 1.78E+03 8.43E+02 3.56E+02 1.30E+02 3.75E+01 7.95E+00 6.62E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
  19.00  1.318  1.02E+07 2.41E+06 3.44E+07 6.18E+04 1.19E+05 1.68E+05 2.06E+05 2.30E+05 2.41E+05 2.39E+05 2.25E+05 2.04E+05 1.76E+05 1.47E+05 1.17E+05 9.00E+04 6.60E+04 4.64E+04 3.10E+04 1.96E+04 1.17E+04 6.57E+03 3.40E+03 1.62E+03 6.86E+02 2.54E+02 7.65E+01 1.71E+01 8.41E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30
  20.00  1.352  1.71E+07 3.62E+06 5.26E+07 9.07E+04 1.75E+05 2.47E+05 3.02E+05 3.39E+05 3.55E+05 3.52E+05 3.34E+05 3.03E+05 2.65E+05 2.22E+05 1.80E+05 1.40E+05 1.05E+05 7.57E+04 5.23E+04 3.46E+04 2.18E+04 1.30E+04 7.24E+03 3.77E+03 1.79E+03 7.68E+02 2.84E+02 8.75E+01 1.91E+01 2.40E+00 1.00E-30 1.00E-30 1.00E-30
  22.50  1.434  6.54E+07 1.06E+07 1.58E+08 2.54E+05 4.90E+05 6.94E+05 8.52E+05 9.59E+05 1.01E+06 1.01E+06 9.66E+05 8.86E+05 7.83E+05 6.66E+05 5.47E+05 4.33E+05 3.30E+05 2.42E+05 1.72E+05 1.17E+05 7.62E+04 4.75E+04 2.80E+04 1.56E+04 8.11E+03 3.87E+03 1.67E+03 6.31E+02 1.99E+02 4.78E+01 6.98E+00 1.00E-30 1.00E-30
  25.00  1.512  1.65E+08 2.15E+07 3.22E+08 5.14E+05 9.93E+05 1.41E+06 1.73E+06 1.94E+06 2.05E+06 2.05E+06 1.96E+06 1.80E+06 1.59E+06 1.35E+06 1.11E+06 8.81E+05 6.74E+05 4.97E+05 3.54E+05 2.43E+05 1.60E+05 1.02E+05 6.16E+04 3.56E+04 1.94E+04 9.99E+03 4.75E+03 2.06E+03 7.95E+02 2.65E+02 6.95E+01 1.29E+01 4.41E-01
  30.00  1.656  1.21E+09 1.04E+08 1.63E+09 2.28E+06 4.42E+06 6.29E+06 7.78E+06 8.82E+06 9.39E+06 9.51E+06 9.23E+06 8.61E+06 7.75E+06 6.75E+06 5.68E+06 4.64E+06 3.66E+06 2.81E+06 2.08E+06 1.50E+06 1.04E+06 6.99E+05 4.53E+05 2.84E+05 1.71E+05 9.88E+04 5.48E+04 2.90E+04 1.46E+04 6.93E+03 3.06E+03 1.24E+03 4.49E+02
  40.00  1.912  9.34E+10 4.74E+09 8.21E+10 8.64E+07 1.68E+08 2.41E+08 3.02E+08 3.49E+08 3.79E+08 3.93E+08 3.92E+08 3.78E+08 3.53E+08 3.20E+08 2.82E+08 2.42E+08 2.02E+08 1.65E+08 1.31E+08 1.01E+08 7.64E+07 5.62E+07 4.02E+07 2.81E+07 1.90E+07 1.26E+07 8.04E+06 4.99E+06 3.00E+06 1.75E+06 9.79E+05 5.28E+05 2.72E+05
