                    ************************************************************************************************
                    *  Z= 38 A= 86: Positive-Parity Spin-dependent Level Density [MeV-1] for Sr 86 and ldmodel= 1  *
                    ************************************************************************************************
 U[MeV]  T[MeV]  NCUMUL   RHOOBS   RHOTOT     J=00     J=01     J=02     J=03     J=04     J=05     J=06     J=07     J=08     J=09     J=10     J=11     J=12     J=13     J=14     J=15     J=16     J=17     J=18     J=19     J=20     J=21     J=22     J=23     J=24     J=25     J=26     J=27     J=28     J=29
   3.25  0.520  5.14E+02 3.54E+02 3.02E+03 1.51E+01 4.17E+01 5.84E+01 6.31E+01 5.75E+01 4.56E+01 3.21E+01 2.02E+01 1.15E+01 5.90E+00 2.75E+00 1.16E+00 4.49E-01 1.58E-01 5.06E-02 1.48E-02 3.96E-03 9.66E-04 2.16E-04 4.41E-05 8.24E-06 1.41E-06 2.20E-07 3.16E-08 4.14E-09 4.97E-10 5.47E-11 5.51E-12 5.09E-13 4.30E-14
   3.50  0.539  7.82E+02 5.35E+02 4.61E+03 2.24E+01 6.17E+01 8.68E+01 9.43E+01 8.64E+01 6.92E+01 4.92E+01 3.14E+01 1.81E+01 9.43E+00 4.47E+00 1.93E+00 7.60E-01 2.73E-01 8.97E-02 2.69E-02 7.40E-03 1.86E-03 4.29E-04 9.06E-05 1.75E-05 3.11E-06 5.05E-07 7.53E-08 1.03E-08 1.29E-09 1.49E-10 1.57E-11 1.52E-12 1.35E-13
   3.75  0.558  1.18E+03 8.04E+02 7.00E+03 3.30E+01 9.12E+01 1.29E+02 1.41E+02 1.30E+02 1.05E+02 7.52E+01 4.85E+01 2.83E+01 1.50E+01 7.23E+00 3.18E+00 1.28E+00 4.69E-01 1.58E-01 4.85E-02 1.37E-02 3.55E-03 8.42E-04 1.83E-04 3.67E-05 6.73E-06 1.14E-06 1.76E-07 2.50E-08 3.27E-09 3.94E-10 4.35E-11 4.41E-12 4.12E-13
   4.00  0.576  1.79E+03 1.21E+03 1.06E+04 4.86E+01 1.34E+02 1.90E+02 2.09E+02 1.94E+02 1.58E+02 1.14E+02 7.47E+01 4.42E+01 2.37E+01 1.16E+01 5.20E+00 2.13E+00 7.99E-01 2.75E-01 8.66E-02 2.51E-02 6.67E-03 1.63E-03 3.66E-04 7.56E-05 1.44E-05 2.51E-06 4.03E-07 5.96E-08 8.11E-09 1.02E-09 1.17E-10 1.24E-11 1.22E-12
   4.25  0.594  2.69E+03 1.81E+03 1.60E+04 7.14E+01 1.98E+02 2.81E+02 3.10E+02 2.89E+02 2.37E+02 1.74E+02 1.15E+02 6.86E+01 3.74E+01 1.86E+01 8.46E+00 3.53E+00 1.35E+00 4.74E-01 1.53E-01 4.54E-02 1.24E-02 3.12E-03 7.21E-04 1.53E-04 3.01E-05 5.44E-06 9.06E-07 1.39E-07 1.97E-08 2.56E-09 3.08E-10 3.42E-11 3.49E-12
   4.50  0.611  4.04E+03 2.70E+03 2.42E+04 1.05E+02 2.91E+02 4.14E+02 4.58E+02 4.31E+02 3.56E+02 2.63E+02 1.75E+02 1.06E+02 5.86E+01 2.96E+01 1.37E+01 5.81E+00 2.27E+00 8.13E-01 2.68E-01 8.15E-02 2.28E-02 5.89E-03 1.40E-03 3.07E-04 6.22E-05 1.16E-05 2.00E-06 3.18E-07 4.67E-08 6.33E-09 7.92E-10 9.16E-11 9.77E-12
   4.75  0.628  6.06E+03 4.03E+03 3.64E+04 1.53E+02 4.26E+02 6.09E+02 6.77E+02 6.40E+02 5.32E+02 3.97E+02 2.67E+02 1.64E+02 9.15E+01 4.69E+01 2.20E+01 9.51E+00 3.78E+00 1.38E+00 4.66E-01 1.45E-01 4.16E-02 1.10E-02 2.69E-03 6.08E-04 1.27E-04 2.44E-05 4.35E-06 7.16E-07 1.09E-07 1.53E-08 1.99E-09 2.40E-10 2.66E-11
   5.00  0.644  9.06E+03 6.00E+03 5.47E+04 2.24E+02 6.24E+02 8.94E+02 9.98E+02 9.49E+02 7.95E+02 5.97E+02 4.06E+02 2.51E+02 1.42E+02 7.39E+01 3.53E+01 1.55E+01 6.27E+00 2.34E+00 8.05E-01 2.56E-01 7.51E-02 2.04E-02 5.11E-03 1.19E-03 2.55E-04 5.06E-05 9.30E-06 1.58E-06 2.49E-07 3.63E-08 4.90E-09 6.13E-10 7.10E-11
   5.50  0.676  2.23E+04 1.32E+04 1.23E+05 4.78E+02 1.33E+03 1.92E+03 2.16E+03 2.07E+03 1.76E+03 1.34E+03 9.30E+02 5.88E+02 3.41E+02 1.82E+02 8.93E+01 4.04E+01 1.69E+01 6.55E+00 2.34E+00 7.77E-01 2.39E-01 6.79E-02 1.79E-02 4.38E-03 9.92E-04 2.09E-04 4.07E-05 7.38E-06 1.24E-06 1.94E-07 2.80E-08 3.77E-09 4.71E-10
   6.00  0.706  5.13E+04 2.90E+04 2.74E+05 1.01E+03 2.83E+03 4.10E+03 4.64E+03 4.50E+03 3.87E+03 3.00E+03 2.11E+03 1.36E+03 8.07E+02 4.41E+02 2.22E+02 1.04E+02 4.48E+01 1.79E+01 6.66E+00 2.29E+00 7.34E-01 2.18E-01 6.03E-02 1.55E-02 3.69E-03 8.20E-04 1.69E-04 3.25E-05 5.81E-06 9.65E-07 1.49E-07 2.15E-08 2.88E-09
   6.50  0.735  1.14E+05 6.32E+04 6.07E+05 2.14E+03 5.99E+03 8.71E+03 9.94E+03 9.72E+03 8.45E+03 6.63E+03 4.75E+03 3.12E+03 1.89E+03 1.05E+03 5.45E+02 2.61E+02 1.16E+02 4.81E+01 1.85E+01 6.60E+00 2.20E+00 6.80E-01 1.96E-01 5.27E-02 1.32E-02 3.08E-03 6.70E-04 1.36E-04 2.57E-05 4.54E-06 7.46E-07 1.15E-07 1.64E-08
   7.00  0.763  2.52E+05 1.37E+05 1.34E+06 4.49E+03 1.26E+04 1.84E+04 2.12E+04 2.09E+04 1.83E+04 1.46E+04 1.06E+04 7.08E+03 4.36E+03 2.49E+03 1.32E+03 6.49E+02 2.97E+02 1.26E+02 5.02E+01 1.86E+01 6.40E+00 2.06E+00 6.19E-01 1.74E-01 4.55E-02 1.11E-02 2.54E-03 5.43E-04 1.08E-04 2.02E-05 3.52E-06 5.74E-07 8.74E-08
   7.50  0.789  5.47E+05 2.96E+05 2.94E+06 9.36E+03 2.63E+04 3.86E+04 4.47E+04 4.45E+04 3.96E+04 3.19E+04 2.36E+04 1.60E+04 1.01E+04 5.90E+03 3.21E+03 1.62E+03 7.65E+02 3.36E+02 1.38E+02 5.31E+01 1.91E+01 6.39E+00 2.01E+00 5.90E-01 1.62E-01 4.18E-02 1.01E-02 2.27E-03 4.81E-04 9.53E-05 1.77E-05 3.08E-06 5.02E-07
   8.00  0.815  1.17E+06 6.25E+05 6.36E+06 1.88E+04 5.32E+04 7.85E+04 9.16E+04 9.24E+04 8.33E+04 6.84E+04 5.16E+04 3.59E+04 2.33E+04 1.40E+04 7.86E+03 4.12E+03 2.02E+03 9.26E+02 3.98E+02 1.60E+02 6.05E+01 2.14E+01 7.12E+00 2.22E+00 6.50E-01 1.79E-01 4.61E-02 1.12E-02 2.55E-03 5.46E-04 1.10E-04 2.08E-05 3.69E-06
   8.50  0.840  2.46E+06 1.29E+06 1.34E+07 3.71E+04 1.05E+05 1.56E+05 1.83E+05 1.87E+05 1.71E+05 1.42E+05 1.09E+05 7.77E+04 5.15E+04 3.18E+04 1.84E+04 9.93E+03 5.04E+03 2.40E+03 1.07E+03 4.49E+02 1.77E+02 6.58E+01 2.29E+01 7.54E+00 2.33E+00 6.78E-01 1.86E-01 4.80E-02 1.17E-02 2.67E-03 5.76E-04 1.17E-04 2.24E-05
   9.00  0.865  5.04E+06 2.58E+06 2.74E+07 7.17E+04 2.03E+05 3.03E+05 3.59E+05 3.69E+05 3.41E+05 2.88E+05 2.25E+05 1.63E+05 1.10E+05 6.96E+04 4.12E+04 2.29E+04 1.20E+04 5.88E+03 2.72E+03 1.18E+03 4.85E+02 1.88E+02 6.84E+01 2.35E+01 7.62E+00 2.33E+00 6.74E-01 1.84E-01 4.73E-02 1.15E-02 2.64E-03 5.71E-04 1.17E-04
   9.50  0.888  1.01E+07 5.08E+06 5.49E+07 1.36E+05 3.86E+05 5.78E+05 6.89E+05 7.14E+05 6.67E+05 5.70E+05 4.51E+05 3.32E+05 2.29E+05 1.48E+05 8.94E+04 5.09E+04 2.73E+04 1.38E+04 6.57E+03 2.96E+03 1.25E+03 5.03E+02 1.91E+02 6.82E+01 2.31E+01 7.39E+00 2.24E+00 6.40E-01 1.73E-01 4.44E-02 1.08E-02 2.47E-03 5.36E-04
  10.00  0.911  1.99E+07 9.80E+06 1.08E+08 2.53E+05 7.22E+05 1.08E+06 1.30E+06 1.36E+06 1.28E+06 1.10E+06 8.85E+05 6.62E+05 4.63E+05 3.04E+05 1.88E+05 1.09E+05 6.01E+04 3.11E+04 1.52E+04 7.06E+03 3.09E+03 1.28E+03 5.02E+02 1.86E+02 6.55E+01 2.18E+01 6.89E+00 2.06E+00 5.84E-01 1.57E-01 3.99E-02 9.63E-03 2.20E-03
  11.00  0.956  8.92E+07 3.46E+07 3.92E+08 8.41E+05 2.40E+06 3.63E+06 4.39E+06 4.64E+06 4.44E+06 3.92E+06 3.21E+06 2.46E+06 1.77E+06 1.20E+06 7.67E+05 4.64E+05 2.65E+05 1.44E+05 7.38E+04 3.59E+04 1.66E+04 7.27E+03 3.03E+03 1.20E+03 4.49E+02 1.60E+02 5.44E+01 1.75E+01 5.38E+00 1.57E+00 4.34E-01 1.14E-01 2.87E-02
  12.00  0.998  3.19E+08 1.15E+08 1.34E+09 2.65E+06 7.58E+06 1.15E+07 1.40E+07 1.50E+07 1.45E+07 1.30E+07 1.09E+07 8.50E+06 6.27E+06 4.36E+06 2.87E+06 1.79E+06 1.06E+06 5.95E+05 3.18E+05 1.61E+05 7.80E+04 3.58E+04 1.57E+04 6.53E+03 2.59E+03 9.80E+02 3.53E+02 1.21E+02 3.97E+01 1.24E+01 3.68E+00 1.04E+00 2.83E-01
  13.00  1.039  1.04E+09 3.63E+08 4.33E+09 7.94E+06 2.28E+07 3.48E+07 4.27E+07 4.60E+07 4.51E+07 4.09E+07 3.47E+07 2.77E+07 2.08E+07 1.48E+07 9.98E+06 6.40E+06 3.90E+06 2.26E+06 1.25E+06 6.56E+05 3.29E+05 1.58E+05 7.19E+04 3.13E+04 1.30E+04 5.18E+03 1.96E+03 7.12E+02 2.46E+02 8.14E+01 2.57E+01 7.77E+00 2.24E+00
  14.00  1.078  3.23E+09 1.09E+09 1.33E+10 2.29E+07 6.57E+07 1.01E+08 1.24E+08 1.35E+08 1.34E+08 1.23E+08 1.05E+08 8.53E+07 6.53E+07 4.74E+07 3.26E+07 2.14E+07 1.34E+07 7.97E+06 4.53E+06 2.46E+06 1.27E+06 6.31E+05 2.99E+05 1.35E+05 5.87E+04 2.43E+04 9.65E+03 3.66E+03 1.33E+03 4.62E+02 1.54E+02 4.91E+01 1.50E+01
  15.00  1.116  9.53E+09 3.15E+09 3.93E+10 6.34E+07 1.83E+08 2.81E+08 3.48E+08 3.81E+08 3.80E+08 3.53E+08 3.07E+08 2.51E+08 1.95E+08 1.44E+08 1.01E+08 6.78E+07 4.33E+07 2.64E+07 1.54E+07 8.59E+06 4.58E+06 2.34E+06 1.14E+06 5.36E+05 2.41E+05 1.04E+05 4.27E+04 1.69E+04 6.40E+03 2.33E+03 8.11E+02 2.71E+02 8.70E+01
  16.00  1.153  2.71E+10 8.78E+09 1.12E+11 1.70E+08 4.90E+08 7.56E+08 9.42E+08 1.04E+09 1.04E+09 9.76E+08 8.57E+08 7.12E+08 5.61E+08 4.20E+08 3.00E+08 2.04E+08 1.33E+08 8.29E+07 4.95E+07 2.83E+07 1.55E+07 8.12E+06 4.09E+06 1.97E+06 9.14E+05 4.07E+05 1.74E+05 7.11E+04 2.80E+04 1.06E+04 3.84E+03 1.34E+03 4.49E+02
