                    ************************************************************************************************
                    *  Z= 25 A= 53: Positive-Parity Spin-dependent Level Density [MeV-1] for Mn 53 and ldmodel= 2  *
                    ************************************************************************************************
 U[MeV]  T[MeV]  NCUMUL   RHOOBS   RHOTOT    J=01/2   J=03/2   J=05/2   J=07/2   J=09/2   J=11/2   J=13/2   J=15/2   J=17/2   J=19/2   J=21/2   J=23/2   J=25/2   J=27/2   J=29/2   J=31/2   J=33/2   J=35/2   J=37/2   J=39/2   J=41/2   J=43/2   J=45/2   J=47/2   J=49/2   J=51/2   J=53/2   J=55/2   J=57/2   J=59/2
   0.25  0.208  5.54E-01 1.11E+00 6.43E+00 1.41E-01 2.30E-01 2.45E-01 2.03E-01 1.38E-01 7.81E-02 3.76E-02 1.55E-02 5.47E-03 1.67E-03 4.40E-04 1.00E-04 1.98E-05 3.39E-06 5.05E-07 6.53E-08 7.34E-09 7.18E-10 6.11E-11 4.52E-12 2.91E-13 1.64E-14 7.99E-16 3.40E-17 1.26E-18 4.08E-20 1.15E-21 2.82E-23 6.03E-25 1.13E-26
   0.50  0.295  1.27E+00 1.44E+00 8.37E+00 1.83E-01 2.99E-01 3.19E-01 2.64E-01 1.79E-01 1.02E-01 4.89E-02 2.01E-02 7.13E-03 2.17E-03 5.72E-04 1.30E-04 2.58E-05 4.42E-06 6.58E-07 8.50E-08 9.56E-09 9.35E-10 7.95E-11 5.89E-12 3.79E-13 2.13E-14 1.04E-15 4.43E-17 1.64E-18 5.31E-20 1.50E-21 3.67E-23 7.85E-25 1.46E-26
   0.75  0.361  2.21E+00 1.87E+00 1.08E+01 2.38E-01 3.88E-01 4.14E-01 3.42E-01 2.32E-01 1.32E-01 6.34E-02 2.61E-02 9.23E-03 2.81E-03 7.41E-04 1.69E-04 3.34E-05 5.73E-06 8.52E-07 1.10E-07 1.24E-08 1.21E-09 1.03E-10 7.63E-12 4.92E-13 2.76E-14 1.35E-15 5.74E-17 2.13E-18 6.88E-20 1.94E-21 4.76E-23 1.02E-24 1.90E-26
   1.00  0.417  3.41E+00 2.41E+00 1.40E+01 3.07E-01 5.00E-01 5.33E-01 4.42E-01 2.99E-01 1.70E-01 8.18E-02 3.37E-02 1.19E-02 3.63E-03 9.56E-04 2.18E-04 4.31E-05 7.38E-06 1.10E-06 1.42E-07 1.60E-08 1.56E-09 1.33E-10 9.84E-12 6.34E-13 3.56E-14 1.74E-15 7.40E-17 2.75E-18 8.88E-20 2.50E-21 6.14E-23 1.31E-24 2.45E-26
   1.25  0.466  4.96E+00 3.09E+00 1.80E+01 3.93E-01 6.42E-01 6.85E-01 5.67E-01 3.84E-01 2.18E-01 1.05E-01 4.32E-02 1.53E-02 4.66E-03 1.23E-03 2.80E-04 5.53E-05 9.48E-06 1.41E-06 1.82E-07 2.05E-08 2.01E-09 1.71E-10 1.26E-11 8.14E-13 4.57E-14 2.23E-15 9.50E-17 3.53E-18 1.14E-19 3.21E-21 7.88E-23 1.69E-24 3.14E-26
   1.50  0.511  6.94E+00 3.95E+00 2.30E+01 5.03E-01 8.20E-01 8.75E-01 7.25E-01 4.91E-01 2.79E-01 1.34E-01 5.52E-02 1.95E-02 5.96E-03 1.57E-03 3.58E-04 7.07E-05 1.21E-05 1.80E-06 2.33E-07 2.62E-08 2.56E-09 2.18E-10 1.61E-11 1.04E-12 5.84E-14 2.85E-15 1.21E-16 4.51E-18 1.46E-19 4.10E-21 1.01E-22 2.15E-24 4.02E-26
   1.75  0.552  9.45E+00 5.03E+00 2.92E+01 6.40E-01 1.04E+00 1.11E+00 9.22E-01 6.25E-01 3.54E-01 1.71E-01 7.03E-02 2.49E-02 7.58E-03 2.00E-03 4.55E-04 8.99E-05 1.54E-05 2.29E-06 2.97E-07 3.34E-08 3.26E-09 2.77E-10 2.05E-11 1.32E-12 7.43E-14 3.63E-15 1.55E-16 5.73E-18 1.85E-19 5.22E-21 1.28E-22 2.74E-24 5.11E-26
   2.00  0.590  1.26E+01 6.37E+00 3.70E+01 8.11E-01 1.32E+00 1.41E+00 1.17E+00 7.91E-01 4.49E-01 2.16E-01 8.90E-02 3.15E-02 9.60E-03 2.53E-03 5.77E-04 1.14E-04 1.95E-05 2.91E-06 3.76E-07 4.23E-08 4.13E-09 3.51E-10 2.60E-11 1.68E-12 9.41E-14 4.60E-15 1.96E-16 7.26E-18 2.35E-19 6.61E-21 1.62E-22 3.47E-24 6.47E-26
   2.25  0.625  1.67E+01 8.04E+00 4.67E+01 1.02E+00 1.67E+00 1.78E+00 1.47E+00 9.98E-01 5.67E-01 2.73E-01 1.12E-01 3.97E-02 1.21E-02 3.19E-03 7.28E-04 1.44E-04 2.46E-05 3.67E-06 4.74E-07 5.33E-08 5.21E-09 4.43E-10 3.28E-11 2.12E-12 1.19E-13 5.80E-15 2.47E-16 9.16E-18 2.96E-19 8.34E-21 2.05E-22 4.38E-24 8.17E-26
   2.50  0.659  2.17E+01 1.01E+01 5.87E+01 1.29E+00 2.10E+00 2.24E+00 1.85E+00 1.25E+00 7.12E-01 3.43E-01 1.41E-01 4.99E-02 1.52E-02 4.01E-03 9.14E-04 1.81E-04 3.10E-05 4.61E-06 5.96E-07 6.70E-08 6.55E-09 5.57E-10 4.13E-11 2.66E-12 1.49E-13 7.29E-15 3.11E-16 1.15E-17 3.72E-19 1.05E-20 2.57E-22 5.51E-24 1.03E-25
   2.75  0.691  2.80E+01 1.27E+01 7.35E+01 1.61E+00 2.63E+00 2.80E+00 2.32E+00 1.57E+00 8.92E-01 4.30E-01 1.77E-01 6.26E-02 1.91E-02 5.02E-03 1.15E-03 2.26E-04 3.88E-05 5.77E-06 7.47E-07 8.39E-08 8.21E-09 6.98E-10 5.17E-11 3.33E-12 1.87E-13 9.13E-15 3.89E-16 1.44E-17 4.66E-19 1.31E-20 3.22E-22 6.89E-24 1.29E-25
   3.00  0.722  3.59E+01 1.57E+01 9.19E+01 1.96E+00 3.20E+00 3.44E+00 2.87E+00 1.97E+00 1.13E+00 5.54E-01 2.33E-01 8.40E-02 2.62E-02 7.09E-03 1.66E-03 3.39E-04 6.01E-05 9.28E-06 1.25E-06 1.46E-07 1.49E-08 1.33E-09 1.03E-10 7.01E-12 4.15E-13 2.15E-14 9.69E-16 3.82E-17 1.32E-18 3.96E-20 1.04E-21 2.39E-23 4.80E-25
   3.25  0.752  4.55E+01 1.92E+01 1.14E+02 2.35E+00 3.87E+00 4.19E+00 3.54E+00 2.46E+00 1.44E+00 7.18E-01 3.08E-01 1.14E-01 3.67E-02 1.02E-02 2.49E-03 5.27E-04 9.74E-05 1.57E-05 2.21E-06 2.73E-07 2.94E-08 2.77E-09 2.28E-10 1.65E-11 1.04E-12 5.77E-14 2.80E-15 1.19E-16 4.43E-18 1.45E-19 4.13E-21 1.04E-22 2.27E-24
   3.50  0.780  5.73E+01 2.36E+01 1.42E+02 2.83E+00 4.67E+00 5.09E+00 4.34E+00 3.05E+00 1.82E+00 9.24E-01 4.05E-01 1.54E-01 5.09E-02 1.46E-02 3.68E-03 8.08E-04 1.55E-04 2.61E-05 3.85E-06 4.98E-07 5.64E-08 5.61E-09 4.90E-10 3.76E-11 2.53E-12 1.50E-13 7.77E-15 3.54E-16 1.42E-17 5.01E-19 1.55E-20 4.22E-22 1.01E-23
   3.75  0.807  7.17E+01 2.88E+01 1.76E+02 3.38E+00 5.61E+00 6.16E+00 5.31E+00 3.78E+00 2.28E+00 1.18E+00 5.30E-01 2.06E-01 6.99E-02 2.07E-02 5.38E-03 1.22E-03 2.44E-04 4.27E-05 6.58E-06 8.90E-07 1.06E-07 1.11E-08 1.02E-09 8.30E-11 5.93E-12 3.74E-13 2.07E-14 1.01E-15 4.36E-17 1.65E-18 5.53E-20 1.63E-21 4.23E-23
   4.00  0.834  8.93E+01 3.52E+01 2.17E+02 4.04E+00 6.73E+00 7.44E+00 6.47E+00 4.66E+00 2.86E+00 1.51E+00 6.88E-01 2.74E-01 9.54E-02 2.91E-02 7.78E-03 1.83E-03 3.78E-04 6.88E-05 1.10E-05 1.56E-06 1.95E-07 2.14E-08 2.08E-09 1.78E-10 1.35E-11 9.02E-13 5.33E-14 2.78E-15 1.28E-16 5.21E-18 1.87E-19 5.96E-21 1.68E-22
