                    ************************************************************************************************
                    *  Z= 24 A= 52: Positive-Parity Spin-dependent Level Density [MeV-1] for Cr 52 and ldmodel= 2  *
                    ************************************************************************************************
 U[MeV]  T[MeV]  NCUMUL   RHOOBS   RHOTOT     J=00     J=01     J=02     J=03     J=04     J=05     J=06     J=07     J=08     J=09     J=10     J=11     J=12     J=13     J=14     J=15     J=16     J=17     J=18     J=19     J=20     J=21     J=22     J=23     J=24     J=25     J=26     J=27     J=28     J=29
   0.25  0.205  1.29E-01 2.57E-01 1.57E+00 2.12E-02 5.37E-02 6.39E-02 5.40E-02 3.54E-02 1.87E-02 8.05E-03 2.86E-03 8.44E-04 2.07E-04 4.26E-05 7.34E-06 1.06E-06 1.28E-07 1.31E-08 1.12E-09 8.10E-11 4.92E-12 2.52E-13 1.09E-14 3.95E-16 1.21E-17 3.13E-19 6.82E-21 1.25E-22 1.95E-24 2.55E-26 2.82E-28 2.63E-30 1.00E-30
   0.50  0.290  2.57E-01 2.57E-01 1.57E+00 2.12E-02 5.37E-02 6.39E-02 5.40E-02 3.54E-02 1.87E-02 8.05E-03 2.86E-03 8.44E-04 2.07E-04 4.26E-05 7.34E-06 1.06E-06 1.28E-07 1.31E-08 1.12E-09 8.10E-11 4.92E-12 2.52E-13 1.09E-14 3.95E-16 1.21E-17 3.13E-19 6.82E-21 1.25E-22 1.95E-24 2.55E-26 2.82E-28 2.63E-30 1.00E-30
   0.75  0.356  3.86E-01 2.57E-01 1.57E+00 2.12E-02 5.37E-02 6.39E-02 5.40E-02 3.54E-02 1.87E-02 8.05E-03 2.86E-03 8.44E-04 2.07E-04 4.26E-05 7.34E-06 1.06E-06 1.28E-07 1.31E-08 1.12E-09 8.10E-11 4.92E-12 2.52E-13 1.09E-14 3.95E-16 1.21E-17 3.13E-19 6.82E-21 1.25E-22 1.95E-24 2.55E-26 2.82E-28 2.63E-30 1.00E-30
   1.00  0.411  5.14E-01 2.57E-01 1.57E+00 2.12E-02 5.37E-02 6.39E-02 5.40E-02 3.54E-02 1.87E-02 8.05E-03 2.86E-03 8.44E-04 2.07E-04 4.26E-05 7.34E-06 1.06E-06 1.28E-07 1.31E-08 1.12E-09 8.10E-11 4.92E-12 2.52E-13 1.09E-14 3.95E-16 1.21E-17 3.13E-19 6.82E-21 1.25E-22 1.95E-24 2.55E-26 2.82E-28 2.63E-30 1.00E-30
   1.25  0.459  6.41E-01 2.53E-01 1.55E+00 2.08E-02 5.28E-02 6.29E-02 5.31E-02 3.49E-02 1.84E-02 7.91E-03 2.81E-03 8.30E-04 2.04E-04 4.19E-05 7.22E-06 1.04E-06 1.26E-07 1.29E-08 1.10E-09 7.97E-11 4.84E-12 2.48E-13 1.07E-14 3.88E-16 1.19E-17 3.08E-19 6.71E-21 1.23E-22 1.91E-24 2.51E-26 2.77E-28 2.59E-30 1.00E-30
   1.50  0.503  8.20E-01 3.59E-01 2.20E+00 2.96E-02 7.50E-02 8.93E-02 7.55E-02 4.95E-02 2.61E-02 1.12E-02 4.00E-03 1.18E-03 2.90E-04 5.96E-05 1.03E-05 1.48E-06 1.80E-07 1.83E-08 1.57E-09 1.13E-10 6.87E-12 3.52E-13 1.52E-14 5.51E-16 1.69E-17 4.37E-19 9.53E-21 1.75E-22 2.72E-24 3.56E-26 3.94E-28 3.67E-30 1.00E-30
   1.75  0.543  1.08E+00 5.13E-01 3.13E+00 4.22E-02 1.07E-01 1.27E-01 1.08E-01 7.07E-02 3.73E-02 1.60E-02 5.70E-03 1.68E-03 4.14E-04 8.51E-05 1.46E-05 2.11E-06 2.56E-07 2.61E-08 2.24E-09 1.62E-10 9.81E-12 5.02E-13 2.17E-14 7.87E-16 2.41E-17 6.24E-19 1.36E-20 2.50E-22 3.88E-24 5.09E-26 5.62E-28 5.24E-30 1.00E-30
   2.00  0.581  1.43E+00 7.05E-01 4.31E+00 5.81E-02 1.47E-01 1.75E-01 1.48E-01 9.72E-02 5.12E-02 2.21E-02 7.84E-03 2.31E-03 5.69E-04 1.17E-04 2.01E-05 2.91E-06 3.52E-07 3.59E-08 3.08E-09 2.22E-10 1.35E-11 6.90E-13 2.98E-14 1.08E-15 3.32E-17 8.58E-19 1.87E-20 3.44E-22 5.34E-24 6.99E-26 7.73E-28 7.21E-30 1.00E-30
