                    ************************************************************************************************
                    *  Z= 38 A= 84: Positive-Parity Spin-dependent Level Density [MeV-1] for Sr 84 and ldmodel= 1  *
                    ************************************************************************************************
 U[MeV]  T[MeV]  NCUMUL   RHOOBS   RHOTOT     J=00     J=01     J=02     J=03     J=04     J=05     J=06     J=07     J=08     J=09     J=10     J=11     J=12     J=13     J=14     J=15     J=16     J=17     J=18     J=19     J=20     J=21     J=22     J=23     J=24     J=25     J=26     J=27     J=28     J=29
   0.25  0.140  1.31E-01 2.61E-01 1.81E+00 1.68E-02 4.43E-02 5.68E-02 5.37E-02 4.09E-02 2.60E-02 1.40E-02 6.48E-03 2.58E-03 8.89E-04 2.66E-04 6.91E-05 1.56E-05 3.08E-06 5.31E-07 7.98E-08 1.05E-08 1.20E-09 1.21E-10 1.06E-11 8.17E-13 5.50E-14 3.24E-15 1.67E-16 7.56E-18 2.99E-19 1.04E-20 3.15E-22 8.39E-24 1.96E-25
   0.50  0.199  3.14E-01 3.66E-01 2.54E+00 2.35E-02 6.20E-02 7.95E-02 7.52E-02 5.73E-02 3.64E-02 1.96E-02 9.07E-03 3.61E-03 1.24E-03 3.72E-04 9.67E-05 2.19E-05 4.32E-06 7.43E-07 1.12E-07 1.47E-08 1.69E-09 1.69E-10 1.49E-11 1.14E-12 7.70E-14 4.54E-15 2.34E-16 1.06E-17 4.19E-19 1.45E-20 4.41E-22 1.18E-23 2.74E-25
   0.75  0.243  5.70E-01 5.12E-01 3.55E+00 3.30E-02 8.68E-02 1.11E-01 1.05E-01 8.02E-02 5.10E-02 2.75E-02 1.27E-02 5.06E-03 1.74E-03 5.21E-04 1.35E-04 3.06E-05 6.04E-06 1.04E-06 1.56E-07 2.05E-08 2.36E-09 2.37E-10 2.08E-11 1.60E-12 1.08E-13 6.35E-15 3.28E-16 1.48E-17 5.86E-19 2.03E-20 6.18E-22 1.64E-23 3.84E-25
   1.00  0.281  9.29E-01 7.17E-01 4.97E+00 4.61E-02 1.21E-01 1.56E-01 1.47E-01 1.12E-01 7.14E-02 3.85E-02 1.78E-02 7.08E-03 2.44E-03 7.29E-04 1.89E-04 4.29E-05 8.46E-06 1.46E-06 2.19E-07 2.88E-08 3.30E-09 3.32E-10 2.91E-11 2.24E-12 1.51E-13 8.89E-15 4.59E-16 2.07E-17 8.21E-19 2.85E-20 8.65E-22 2.30E-23 5.37E-25
   1.25  0.314  1.43E+00 1.00E+00 6.96E+00 6.46E-02 1.70E-01 2.18E-01 2.06E-01 1.57E-01 9.99E-02 5.39E-02 2.49E-02 9.91E-03 3.41E-03 1.02E-03 2.65E-04 6.00E-05 1.18E-05 2.04E-06 3.07E-07 4.03E-08 4.62E-09 4.64E-10 4.08E-11 3.14E-12 2.11E-13 1.24E-14 6.42E-16 2.90E-17 1.15E-18 3.98E-20 1.21E-21 3.22E-23 7.52E-25
   1.50  0.344  2.13E+00 1.41E+00 9.74E+00 9.04E-02 2.38E-01 3.05E-01 2.89E-01 2.20E-01 1.40E-01 7.54E-02 3.48E-02 1.39E-02 4.78E-03 1.43E-03 3.71E-04 8.40E-05 1.66E-05 2.85E-06 4.29E-07 5.64E-08 6.47E-09 6.50E-10 5.71E-11 4.39E-12 2.96E-13 1.74E-14 8.99E-16 4.06E-17 1.61E-18 5.58E-20 1.69E-21 4.51E-23 1.05E-24
   1.75  0.371  3.12E+00 1.97E+00 1.36E+01 1.27E-01 3.33E-01 4.28E-01 4.04E-01 3.08E-01 1.96E-01 1.06E-01 4.88E-02 1.94E-02 6.69E-03 2.00E-03 5.20E-04 1.18E-04 2.32E-05 4.00E-06 6.01E-07 7.89E-08 9.06E-09 9.10E-10 8.00E-11 6.15E-12 4.14E-13 2.44E-14 1.26E-15 5.69E-17 2.25E-18 7.81E-20 2.37E-21 6.32E-23 1.47E-24
   2.00  0.397  4.50E+00 2.76E+00 1.91E+01 1.77E-01 4.66E-01 5.99E-01 5.66E-01 4.31E-01 2.74E-01 1.48E-01 6.83E-02 2.72E-02 9.37E-03 2.80E-03 7.28E-04 1.65E-04 3.25E-05 5.59E-06 8.41E-07 1.10E-07 1.27E-08 1.27E-09 1.12E-10 8.61E-12 5.79E-13 3.41E-14 1.76E-15 7.96E-17 3.15E-18 1.09E-19 3.32E-21 8.84E-23 2.06E-24
