                    ************************************************************************************************
                    *  Z= 38 A= 86: Positive-Parity Spin-dependent Level Density [MeV-1] for Sr 86 and ldmodel= 1  *
                    ************************************************************************************************
 U[MeV]  T[MeV]  NCUMUL   RHOOBS   RHOTOT     J=00     J=01     J=02     J=03     J=04     J=05     J=06     J=07     J=08     J=09     J=10     J=11     J=12     J=13     J=14     J=15     J=16     J=17     J=18     J=19     J=20     J=21     J=22     J=23     J=24     J=25     J=26     J=27     J=28     J=29
   3.25  0.520  1.70E+02 1.08E+02 9.21E+02 4.61E+00 1.27E+01 1.78E+01 1.92E+01 1.75E+01 1.39E+01 9.77E+00 6.16E+00 3.50E+00 1.80E+00 8.38E-01 3.55E-01 1.37E-01 4.81E-02 1.54E-02 4.51E-03 1.20E-03 2.94E-04 6.57E-05 1.34E-05 2.51E-06 4.29E-07 6.71E-08 9.61E-09 1.26E-09 1.51E-10 1.67E-11 1.68E-12 1.55E-13 1.31E-14
   3.50  0.539  2.48E+02 1.57E+02 1.35E+03 6.57E+00 1.81E+01 2.55E+01 2.77E+01 2.54E+01 2.03E+01 1.44E+01 9.21E+00 5.31E+00 2.77E+00 1.31E+00 5.67E-01 2.23E-01 8.02E-02 2.63E-02 7.91E-03 2.17E-03 5.47E-04 1.26E-04 2.66E-05 5.14E-06 9.12E-07 1.48E-07 2.21E-08 3.02E-09 3.79E-10 4.36E-11 4.61E-12 4.46E-13 3.97E-14
   3.75  0.558  3.62E+02 2.28E+02 1.98E+03 9.35E+00 2.58E+01 3.64E+01 3.98E+01 3.67E+01 2.96E+01 2.13E+01 1.37E+01 8.01E+00 4.24E+00 2.05E+00 9.00E-01 3.61E-01 1.33E-01 4.46E-02 1.37E-02 3.88E-03 1.00E-03 2.38E-04 5.19E-05 1.04E-05 1.91E-06 3.21E-07 4.98E-08 7.09E-09 9.27E-10 1.11E-10 1.23E-11 1.25E-12 1.17E-13
   4.00  0.576  5.27E+02 3.30E+02 2.90E+03 1.33E+01 3.67E+01 5.20E+01 5.71E+01 5.30E+01 4.31E+01 3.13E+01 2.04E+01 1.21E+01 6.48E+00 3.18E+00 1.42E+00 5.82E-01 2.18E-01 7.50E-02 2.37E-02 6.85E-03 1.82E-03 4.45E-04 1.00E-04 2.06E-05 3.92E-06 6.85E-07 1.10E-07 1.63E-08 2.22E-09 2.78E-10 3.20E-11 3.40E-12 3.32E-13
   4.25  0.594  7.66E+02 4.77E+02 4.24E+03 1.89E+01 5.23E+01 7.42E+01 8.18E+01 7.64E+01 6.27E+01 4.59E+01 3.03E+01 1.81E+01 9.87E+00 4.91E+00 2.23E+00 9.32E-01 3.56E-01 1.25E-01 4.04E-02 1.20E-02 3.27E-03 8.23E-04 1.90E-04 4.05E-05 7.95E-06 1.44E-06 2.39E-07 3.67E-08 5.19E-09 6.77E-10 8.14E-11 9.03E-12 9.23E-13
   4.50  0.611  1.11E+03 6.90E+02 6.18E+03 2.68E+01 7.42E+01 1.06E+02 1.17E+02 1.10E+02 9.09E+01 6.71E+01 4.48E+01 2.71E+01 1.50E+01 7.56E+00 3.50E+00 1.48E+00 5.79E-01 2.08E-01 6.85E-02 2.08E-02 5.83E-03 1.50E-03 3.58E-04 7.85E-05 1.59E-05 2.97E-06 5.11E-07 8.13E-08 1.19E-08 1.62E-09 2.02E-10 2.34E-11 2.50E-12
   4.75  0.628  1.61E+03 9.96E+02 9.00E+03 3.79E+01 1.05E+02 1.51E+02 1.67E+02 1.58E+02 1.32E+02 9.81E+01 6.60E+01 4.05E+01 2.26E+01 1.16E+01 5.45E+00 2.35E+00 9.35E-01 3.42E-01 1.15E-01 3.59E-02 1.03E-02 2.72E-03 6.66E-04 1.50E-04 3.13E-05 6.04E-06 1.07E-06 1.77E-07 2.69E-08 3.79E-09 4.92E-10 5.92E-11 6.59E-12
   5.00  0.644  2.33E+03 1.44E+03 1.31E+04 5.37E+01 1.49E+02 2.14E+02 2.39E+02 2.27E+02 1.90E+02 1.43E+02 9.72E+01 6.02E+01 3.41E+01 1.77E+01 8.45E+00 3.71E+00 1.50E+00 5.60E-01 1.93E-01 6.13E-02 1.80E-02 4.88E-03 1.23E-03 2.84E-04 6.10E-05 1.21E-05 2.23E-06 3.79E-07 5.97E-08 8.70E-09 1.17E-09 1.47E-10 1.70E-11
   5.50  0.676  5.31E+03 2.98E+03 2.76E+04 1.08E+02 3.00E+02 4.32E+02 4.86E+02 4.67E+02 3.96E+02 3.02E+02 2.09E+02 1.32E+02 7.68E+01 4.09E+01 2.01E+01 9.11E+00 3.81E+00 1.47E+00 5.28E-01 1.75E-01 5.37E-02 1.53E-02 4.03E-03 9.85E-04 2.23E-04 4.70E-05 9.17E-06 1.66E-06 2.79E-07 4.36E-08 6.31E-09 8.49E-10 1.06E-10
   6.00  0.706  1.15E+04 6.15E+03 5.81E+04 2.15E+02 6.01E+02 8.70E+02 9.86E+02 9.56E+02 8.21E+02 6.36E+02 4.48E+02 2.89E+02 1.71E+02 9.35E+01 4.72E+01 2.20E+01 9.51E+00 3.81E+00 1.41E+00 4.87E-01 1.56E-01 4.63E-02 1.28E-02 3.28E-03 7.84E-04 1.74E-04 3.59E-05 6.90E-06 1.23E-06 2.05E-07 3.17E-08 4.57E-09 6.12E-10
