                    ************************************************************************************************
                    *  Z= 28 A= 64: Positive-Parity Spin-dependent Level Density [MeV-1] for Ni 64 and ldmodel= 2  *
                    ************************************************************************************************
 U[MeV]  T[MeV]  NCUMUL   RHOOBS   RHOTOT     J=00     J=01     J=02     J=03     J=04     J=05     J=06     J=07     J=08     J=09     J=10     J=11     J=12     J=13     J=14     J=15     J=16     J=17     J=18     J=19     J=20     J=21     J=22     J=23     J=24     J=25     J=26     J=27     J=28     J=29
   0.25  0.176  2.21E-01 4.43E-01 2.32E+00 4.92E-02 1.17E-01 1.24E-01 8.73E-02 4.49E-02 1.75E-02 5.23E-03 1.22E-03 2.21E-04 3.14E-05 3.52E-06 3.11E-07 2.17E-08 1.19E-09 5.20E-11 1.79E-12 4.90E-14 1.06E-15 1.82E-17 2.48E-19 2.68E-21 2.29E-23 1.56E-25 8.42E-28 3.61E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   0.50  0.249  4.43E-01 4.43E-01 2.32E+00 4.92E-02 1.17E-01 1.24E-01 8.73E-02 4.49E-02 1.75E-02 5.23E-03 1.22E-03 2.21E-04 3.14E-05 3.52E-06 3.11E-07 2.17E-08 1.19E-09 5.20E-11 1.79E-12 4.90E-14 1.06E-15 1.82E-17 2.48E-19 2.68E-21 2.29E-23 1.56E-25 8.42E-28 3.61E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   0.75  0.306  6.64E-01 4.43E-01 2.32E+00 4.92E-02 1.17E-01 1.24E-01 8.73E-02 4.49E-02 1.75E-02 5.23E-03 1.22E-03 2.21E-04 3.14E-05 3.52E-06 3.11E-07 2.17E-08 1.19E-09 5.20E-11 1.79E-12 4.90E-14 1.06E-15 1.82E-17 2.48E-19 2.68E-21 2.29E-23 1.56E-25 8.42E-28 3.61E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   1.00  0.353  8.85E-01 4.43E-01 2.32E+00 4.92E-02 1.17E-01 1.24E-01 8.73E-02 4.49E-02 1.75E-02 5.23E-03 1.22E-03 2.21E-04 3.14E-05 3.52E-06 3.11E-07 2.17E-08 1.19E-09 5.20E-11 1.79E-12 4.90E-14 1.06E-15 1.82E-17 2.48E-19 2.68E-21 2.29E-23 1.56E-25 8.42E-28 3.61E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   1.25  0.394  1.11E+00 4.43E-01 2.32E+00 4.92E-02 1.17E-01 1.24E-01 8.73E-02 4.49E-02 1.75E-02 5.23E-03 1.22E-03 2.21E-04 3.14E-05 3.52E-06 3.11E-07 2.17E-08 1.19E-09 5.20E-11 1.79E-12 4.90E-14 1.06E-15 1.82E-17 2.48E-19 2.68E-21 2.29E-23 1.56E-25 8.42E-28 3.61E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   1.50  0.432  1.33E+00 4.43E-01 2.32E+00 4.92E-02 1.17E-01 1.24E-01 8.73E-02 4.49E-02 1.75E-02 5.23E-03 1.22E-03 2.21E-04 3.14E-05 3.52E-06 3.11E-07 2.17E-08 1.19E-09 5.20E-11 1.79E-12 4.90E-14 1.06E-15 1.82E-17 2.48E-19 2.68E-21 2.29E-23 1.56E-25 8.42E-28 3.61E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   1.75  0.467  1.54E+00 4.30E-01 2.25E+00 4.78E-02 1.14E-01 1.20E-01 8.48E-02 4.36E-02 1.70E-02 5.08E-03 1.18E-03 2.14E-04 3.05E-05 3.42E-06 3.02E-07 2.10E-08 1.16E-09 5.05E-11 1.74E-12 4.76E-14 1.03E-15 1.77E-17 2.41E-19 2.60E-21 2.23E-23 1.52E-25 8.18E-28 3.51E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   2.00  0.499  1.89E+00 7.00E-01 3.67E+00 7.78E-02 1.86E-01 1.96E-01 1.38E-01 7.10E-02 2.76E-02 8.27E-03 1.92E-03 3.49E-04 4.97E-05 5.57E-06 4.91E-07 3.42E-08 1.89E-09 8.22E-11 2.84E-12 7.75E-14 1.68E-15 2.88E-17 3.92E-19 4.23E-21 3.63E-23 2.47E-25 1.33E-27 5.71E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
