                    ************************************************************************************************
                    *  Z= 38 A= 86: Positive-Parity Spin-dependent Level Density [MeV-1] for Sr 86 and ldmodel= 1  *
                    ************************************************************************************************
 U[MeV]  T[MeV]  NCUMUL   RHOOBS   RHOTOT     J=00     J=01     J=02     J=03     J=04     J=05     J=06     J=07     J=08     J=09     J=10     J=11     J=12     J=13     J=14     J=15     J=16     J=17     J=18     J=19     J=20     J=21     J=22     J=23     J=24     J=25     J=26     J=27     J=28     J=29
   0.25  0.144  1.64E+00 3.28E+00 2.74E+01 1.46E-01 4.00E-01 5.56E-01 5.95E-01 5.34E-01 4.16E-01 2.87E-01 1.76E-01 9.74E-02 4.85E-02 2.18E-02 8.88E-03 3.28E-03 1.10E-03 3.36E-04 9.33E-05 2.36E-05 5.42E-06 1.14E-06 2.17E-07 3.78E-08 6.00E-09 8.68E-10 1.15E-10 1.38E-11 1.52E-12 1.53E-13 1.40E-14 1.17E-15 8.92E-17
   0.50  0.204  4.20E+00 5.12E+00 4.28E+01 2.27E-01 6.24E-01 8.69E-01 9.29E-01 8.33E-01 6.50E-01 4.48E-01 2.75E-01 1.52E-01 7.56E-02 3.40E-02 1.39E-02 5.12E-03 1.72E-03 5.25E-04 1.46E-04 3.68E-05 8.46E-06 1.77E-06 3.39E-07 5.90E-08 9.36E-09 1.36E-09 1.79E-10 2.16E-11 2.37E-12 2.38E-13 2.18E-14 1.82E-15 1.39E-16
   0.75  0.250  8.17E+00 7.94E+00 6.64E+01 3.53E-01 9.67E-01 1.35E+00 1.44E+00 1.29E+00 1.01E+00 6.94E-01 4.27E-01 2.36E-01 1.17E-01 5.28E-02 2.15E-02 7.94E-03 2.67E-03 8.14E-04 2.26E-04 5.70E-05 1.31E-05 2.75E-06 5.25E-07 9.14E-08 1.45E-08 2.10E-09 2.78E-10 3.35E-11 3.68E-12 3.69E-13 3.38E-14 2.83E-15 2.16E-16
   1.00  0.288  1.43E+01 1.22E+01 1.02E+02 5.44E-01 1.49E+00 2.08E+00 2.22E+00 1.99E+00 1.55E+00 1.07E+00 6.59E-01 3.64E-01 1.81E-01 8.14E-02 3.32E-02 1.23E-02 4.11E-03 1.25E-03 3.48E-04 8.80E-05 2.02E-05 4.24E-06 8.10E-07 1.41E-07 2.24E-08 3.24E-09 4.28E-10 5.16E-11 5.68E-12 5.70E-13 5.22E-14 4.36E-15 3.33E-16
   1.25  0.322  2.37E+01 1.88E+01 1.57E+02 8.35E-01 2.29E+00 3.19E+00 3.41E+00 3.06E+00 2.39E+00 1.64E+00 1.01E+00 5.58E-01 2.78E-01 1.25E-01 5.09E-02 1.88E-02 6.31E-03 1.93E-03 5.35E-04 1.35E-04 3.11E-05 6.51E-06 1.24E-06 2.17E-07 3.44E-08 4.98E-09 6.58E-10 7.92E-11 8.71E-12 8.75E-13 8.01E-14 6.70E-15 5.11E-16
   1.50  0.353  3.80E+01 2.87E+01 2.40E+02 1.28E+00 3.50E+00 4.88E+00 5.21E+00 4.68E+00 3.65E+00 2.51E+00 1.55E+00 8.53E-01 4.25E-01 1.91E-01 7.78E-02 2.88E-02 9.65E-03 2.94E-03 8.17E-04 2.06E-04 4.75E-05 9.95E-06 1.90E-06 3.31E-07 5.25E-08 7.61E-09 1.01E-09 1.21E-10 1.33E-11 1.34E-12 1.22E-13 1.02E-14 7.82E-16
   1.75  0.381  5.99E+01 4.37E+01 3.66E+02 1.94E+00 5.33E+00 7.42E+00 7.94E+00 7.12E+00 5.55E+00 3.83E+00 2.35E+00 1.30E+00 6.46E-01 2.91E-01 1.18E-01 4.38E-02 1.47E-02 4.48E-03 1.24E-03 3.14E-04 7.23E-05 1.52E-05 2.89E-06 5.04E-07 8.00E-08 1.16E-08 1.53E-09 1.84E-10 2.03E-11 2.04E-12 1.86E-13 1.56E-14 1.19E-15
   2.00  0.408  9.31E+01 6.64E+01 5.55E+02 2.95E+00 8.09E+00 1.13E+01 1.20E+01 1.08E+01 8.43E+00 5.81E+00 3.57E+00 1.97E+00 9.81E-01 4.41E-01 1.80E-01 6.64E-02 2.23E-02 6.80E-03 1.89E-03 4.77E-04 1.10E-04 2.30E-05 4.39E-06 7.65E-07 1.21E-07 1.76E-08 2.32E-09 2.80E-10 3.08E-11 3.09E-12 2.83E-13 2.37E-14 1.81E-15
