                    ************************************************************************************************
                    *  Z= 27 A= 57: Positive-Parity Spin-dependent Level Density [MeV-1] for Co 57 and ldmodel= 1  *
                    ************************************************************************************************
 U[MeV]  T[MeV]  NCUMUL   RHOOBS   RHOTOT    J=01/2   J=03/2   J=05/2   J=07/2   J=09/2   J=11/2   J=13/2   J=15/2   J=17/2   J=19/2   J=21/2   J=23/2   J=25/2   J=27/2   J=29/2   J=31/2   J=33/2   J=35/2   J=37/2   J=39/2   J=41/2   J=43/2   J=45/2   J=47/2   J=49/2   J=51/2   J=53/2   J=55/2   J=57/2   J=59/2
   0.25  0.196  8.44E-01 1.69E+00 9.65E+00 2.20E-01 3.56E-01 3.77E-01 3.08E-01 2.06E-01 1.15E-01 5.40E-02 2.17E-02 7.44E-03 2.20E-03 5.58E-04 1.22E-04 2.32E-05 3.79E-06 5.38E-07 6.60E-08 7.01E-09 6.46E-10 5.16E-11 3.57E-12 2.15E-13 1.12E-14 5.07E-16 1.99E-17 6.80E-19 2.01E-20 5.18E-22 1.16E-23 2.25E-25 3.80E-27
   0.50  0.278  1.84E+00 2.00E+00 1.14E+01 2.60E-01 4.21E-01 4.46E-01 3.65E-01 2.43E-01 1.36E-01 6.39E-02 2.56E-02 8.81E-03 2.60E-03 6.61E-04 1.45E-04 2.74E-05 4.49E-06 6.36E-07 7.80E-08 8.29E-09 7.64E-10 6.10E-11 4.23E-12 2.54E-13 1.32E-14 6.00E-16 2.36E-17 8.04E-19 2.38E-20 6.13E-22 1.37E-23 2.66E-25 4.49E-27
   0.75  0.340  3.02E+00 2.36E+00 1.35E+01 3.07E-01 4.98E-01 5.27E-01 4.32E-01 2.88E-01 1.60E-01 7.55E-02 3.03E-02 1.04E-02 3.07E-03 7.81E-04 1.71E-04 3.24E-05 5.31E-06 7.52E-07 9.23E-08 9.81E-09 9.04E-10 7.22E-11 5.00E-12 3.01E-13 1.57E-14 7.10E-16 2.79E-17 9.52E-19 2.82E-20 7.26E-22 1.62E-23 3.15E-25 5.31E-27
   1.00  0.393  4.42E+00 2.79E+00 1.60E+01 3.63E-01 5.90E-01 6.24E-01 5.11E-01 3.41E-01 1.90E-01 8.94E-02 3.59E-02 1.23E-02 3.64E-03 9.24E-04 2.03E-04 3.84E-05 6.28E-06 8.90E-07 1.09E-07 1.16E-08 1.07E-09 8.54E-11 5.91E-12 3.56E-13 1.85E-14 8.39E-16 3.30E-17 1.13E-18 3.34E-20 8.58E-22 1.92E-23 3.73E-25 6.28E-27
   1.25  0.439  6.07E+00 3.30E+00 1.89E+01 4.30E-01 6.98E-01 7.38E-01 6.04E-01 4.03E-01 2.24E-01 1.06E-01 4.24E-02 1.46E-02 4.30E-03 1.09E-03 2.40E-04 4.54E-05 7.43E-06 1.05E-06 1.29E-07 1.37E-08 1.26E-09 1.01E-10 7.00E-12 4.21E-13 2.19E-14 9.93E-16 3.90E-17 1.33E-18 3.95E-20 1.02E-21 2.27E-23 4.41E-25 7.43E-27
   1.50  0.481  8.02E+00 3.91E+00 2.24E+01 5.09E-01 8.25E-01 8.73E-01 7.14E-01 4.77E-01 2.66E-01 1.25E-01 5.02E-02 1.72E-02 5.09E-03 1.29E-03 2.84E-04 5.37E-05 8.79E-06 1.25E-06 1.53E-07 1.62E-08 1.50E-09 1.19E-10 8.28E-12 4.98E-13 2.59E-14 1.17E-15 4.62E-17 1.58E-18 4.67E-20 1.20E-21 2.69E-23 5.21E-25 8.79E-27
   1.75  0.520  1.03E+01 4.62E+00 2.65E+01 6.02E-01 9.76E-01 1.03E+00 8.45E-01 5.64E-01 3.14E-01 1.48E-01 5.94E-02 2.04E-02 6.02E-03 1.53E-03 3.36E-04 6.35E-05 1.04E-05 1.47E-06 1.81E-07 1.92E-08 1.77E-09 1.41E-10 9.79E-12 5.89E-13 3.07E-14 1.39E-15 5.46E-17 1.86E-18 5.52E-20 1.42E-21 3.18E-23 6.17E-25 1.04E-26
   2.00  0.556  1.31E+01 5.47E+00 3.13E+01 7.10E-01 1.15E+00 1.22E+00 1.00E+00 6.68E-01 3.73E-01 1.76E-01 7.08E-02 2.44E-02 7.22E-03 1.84E-03 4.05E-04 7.70E-05 1.27E-05 1.80E-06 2.22E-07 2.37E-08 2.19E-09 1.76E-10 1.23E-11 7.43E-13 3.90E-14 1.78E-15 7.04E-17 2.42E-18 7.23E-20 1.87E-21 4.23E-23 8.28E-25 1.41E-26
   2.25  0.589  1.63E+01 6.47E+00 3.75E+01 8.27E-01 1.35E+00 1.44E+00 1.19E+00 8.00E-01 4.53E-01 2.17E-01 8.88E-02 3.12E-02 9.46E-03 2.47E-03 5.59E-04 1.10E-04 1.86E-05 2.74E-06 3.50E-07 3.89E-08 3.76E-09 3.16E-10 2.31E-11 1.46E-12 8.09E-14 3.89E-15 1.63E-16 5.94E-18 1.89E-19 5.21E-21 1.26E-22 2.63E-24 4.81E-26
   2.50  0.621  2.01E+01 7.66E+00 4.48E+01 9.63E-01 1.57E+00 1.69E+00 1.40E+00 9.58E-01 5.49E-01 2.67E-01 1.11E-01 3.99E-02 1.23E-02 3.31E-03 7.68E-04 1.55E-04 2.71E-05 4.13E-06 5.48E-07 6.32E-08 6.36E-09 5.57E-10 4.26E-11 2.84E-12 1.65E-13 8.35E-15 3.69E-16 1.42E-17 4.79E-19 1.41E-20 3.61E-22 8.09E-24 1.58E-25
   2.75  0.652  2.47E+01 9.06E+00 5.35E+01 1.12E+00 1.84E+00 1.98E+00 1.66E+00 1.15E+00 6.64E-01 3.28E-01 1.39E-01 5.08E-02 1.61E-02 4.41E-03 1.05E-03 2.18E-04 3.93E-05 6.18E-06 8.49E-07 1.02E-07 1.06E-08 9.71E-10 7.74E-11 5.40E-12 3.29E-13 1.75E-14 8.17E-16 3.33E-17 1.19E-18 3.70E-20 1.01E-21 2.41E-23 5.03E-25
   3.00  0.681  3.00E+01 1.07E+01 6.38E+01 1.31E+00 2.15E+00 2.33E+00 1.97E+00 1.37E+00 8.04E-01 4.03E-01 1.73E-01 6.45E-02 2.08E-02 5.84E-03 1.43E-03 3.04E-04 5.65E-05 9.18E-06 1.30E-06 1.62E-07 1.76E-08 1.67E-09 1.39E-10 1.01E-11 6.46E-13 3.62E-14 1.77E-15 7.62E-17 2.87E-18 9.47E-20 2.74E-21 6.96E-23 1.55E-24
   3.25  0.708  3.64E+01 1.27E+01 7.62E+01 1.52E+00 2.51E+00 2.74E+00 2.33E+00 1.64E+00 9.72E-01 4.93E-01 2.16E-01 8.18E-02 2.69E-02 7.72E-03 1.93E-03 4.22E-04 8.07E-05 1.35E-05 1.98E-06 2.55E-07 2.87E-08 2.83E-09 2.46E-10 1.87E-11 1.25E-12 7.32E-14 3.77E-15 1.70E-16 6.77E-18 2.36E-19 7.25E-21 1.95E-22 4.63E-24
   3.50  0.735  4.39E+01 1.50E+01 9.10E+01 1.77E+00 2.94E+00 3.21E+00 2.76E+00 1.96E+00 1.17E+00 6.03E-01 2.68E-01 1.03E-01 3.47E-02 1.02E-02 2.60E-03 5.83E-04 1.15E-04 1.98E-05 2.99E-06 3.97E-07 4.64E-08 4.76E-09 4.29E-10 3.40E-11 2.37E-12 1.46E-13 7.87E-15 3.74E-16 1.56E-17 5.76E-19 1.87E-20 5.33E-22 1.34E-23
   3.75  0.761  5.27E+01 1.77E+01 1.09E+02 2.07E+00 3.43E+00 3.78E+00 3.26E+00 2.33E+00 1.42E+00 7.37E-01 3.32E-01 1.30E-01 4.46E-02 1.33E-02 3.49E-03 8.02E-04 1.62E-04 2.87E-05 4.48E-06 6.14E-07 7.42E-08 7.89E-09 7.40E-10 6.11E-11 4.44E-12 2.85E-13 1.61E-14 8.04E-16 3.54E-17 1.37E-18 4.70E-20 1.42E-21 3.78E-23
   4.00  0.786  6.32E+01 2.10E+01 1.30E+02 2.41E+00 4.01E+00 4.44E+00 3.86E+00 2.78E+00 1.71E+00 9.00E-01 4.11E-01 1.64E-01 5.71E-02 1.74E-02 4.66E-03 1.10E-03 2.27E-04 4.14E-05 6.65E-06 9.42E-07 1.18E-07 1.30E-08 1.26E-09 1.08E-10 8.20E-12 5.49E-13 3.25E-14 1.70E-15 7.84E-17 3.20E-18 1.15E-19 3.68E-21 1.04E-22
