                    ************************************************************************************************
                    *  Z= 26 A= 56: Positive-Parity Spin-dependent Level Density [MeV-1] for Fe 56 and ldmodel= 1  *
                    ************************************************************************************************
 U[MeV]  T[MeV]  NCUMUL   RHOOBS   RHOTOT     J=00     J=01     J=02     J=03     J=04     J=05     J=06     J=07     J=08     J=09     J=10     J=11     J=12     J=13     J=14     J=15     J=16     J=17     J=18     J=19     J=20     J=21     J=22     J=23     J=24     J=25     J=26     J=27     J=28     J=29
   0.25  0.193  3.53E-01 7.06E-01 4.25E+00 6.01E-02 1.51E-01 1.78E-01 1.48E-01 9.51E-02 4.88E-02 2.03E-02 6.94E-03 1.96E-03 4.58E-04 8.92E-05 1.44E-05 1.95E-06 2.20E-07 2.07E-08 1.64E-09 1.08E-10 5.97E-12 2.77E-13 1.07E-14 3.49E-16 9.53E-18 2.18E-19 4.18E-21 6.74E-23 9.10E-25 1.03E-26 9.82E-29 1.00E-30 1.00E-30
   0.50  0.273  7.72E-01 8.38E-01 5.04E+00 7.13E-02 1.80E-01 2.12E-01 1.76E-01 1.13E-01 5.78E-02 2.41E-02 8.24E-03 2.32E-03 5.44E-04 1.06E-04 1.71E-05 2.31E-06 2.61E-07 2.46E-08 1.94E-09 1.28E-10 7.08E-12 3.28E-13 1.27E-14 4.14E-16 1.13E-17 2.59E-19 4.96E-21 7.99E-23 1.08E-24 1.22E-26 1.17E-28 1.00E-30 1.00E-30
   0.75  0.334  1.27E+00 9.94E-01 5.98E+00 8.45E-02 2.13E-01 2.51E-01 2.09E-01 1.34E-01 6.86E-02 2.86E-02 9.77E-03 2.76E-03 6.45E-04 1.25E-04 2.03E-05 2.74E-06 3.10E-07 2.92E-08 2.30E-09 1.52E-10 8.40E-12 3.89E-13 1.51E-14 4.92E-16 1.34E-17 3.07E-19 5.89E-21 9.48E-23 1.28E-24 1.45E-26 1.38E-28 1.10E-30 1.00E-30
   1.00  0.385  1.86E+00 1.18E+00 7.09E+00 1.00E-01 2.53E-01 2.98E-01 2.47E-01 1.59E-01 8.14E-02 3.39E-02 1.16E-02 3.27E-03 7.65E-04 1.49E-04 2.41E-05 3.26E-06 3.67E-07 3.46E-08 2.73E-09 1.80E-10 9.97E-12 4.62E-13 1.79E-14 5.83E-16 1.59E-17 3.64E-19 6.99E-21 1.12E-22 1.52E-24 1.72E-26 1.64E-28 1.31E-30 1.00E-30
   1.25  0.431  2.56E+00 1.40E+00 8.41E+00 1.19E-01 3.00E-01 3.53E-01 2.93E-01 1.88E-01 9.65E-02 4.02E-02 1.37E-02 3.88E-03 9.08E-04 1.77E-04 2.86E-05 3.86E-06 4.36E-07 4.11E-08 3.24E-09 2.14E-10 1.18E-11 5.48E-13 2.13E-14 6.92E-16 1.89E-17 4.32E-19 8.29E-21 1.33E-22 1.80E-24 2.04E-26 1.95E-28 1.55E-30 1.00E-30
   1.50  0.472  3.39E+00 1.66E+00 9.98E+00 1.41E-01 3.56E-01 4.19E-01 3.48E-01 2.23E-01 1.15E-01 4.77E-02 1.63E-02 4.60E-03 1.08E-03 2.09E-04 3.39E-05 4.58E-06 5.17E-07 4.87E-08 3.84E-09 2.54E-10 1.40E-11 6.50E-13 2.52E-14 8.20E-16 2.24E-17 5.12E-19 9.83E-21 1.58E-22 2.14E-24 2.42E-26 2.31E-28 1.84E-30 1.00E-30
   1.75  0.510  4.37E+00 1.97E+00 1.18E+01 1.67E-01 4.22E-01 4.97E-01 4.13E-01 2.65E-01 1.36E-01 5.66E-02 1.93E-02 5.46E-03 1.28E-03 2.48E-04 4.02E-05 5.43E-06 6.13E-07 5.78E-08 4.56E-09 3.01E-10 1.66E-11 7.71E-13 2.99E-14 9.73E-16 2.66E-17 6.08E-19 1.17E-20 1.88E-22 2.54E-24 2.88E-26 2.74E-28 2.19E-30 1.00E-30
   2.00  0.545  5.54E+00 2.34E+00 1.40E+01 1.99E-01 5.01E-01 5.89E-01 4.90E-01 3.14E-01 1.61E-01 6.71E-02 2.30E-02 6.48E-03 1.52E-03 2.95E-04 4.77E-05 6.45E-06 7.27E-07 6.86E-08 5.41E-09 3.57E-10 1.97E-11 9.14E-13 3.55E-14 1.15E-15 3.15E-17 7.21E-19 1.38E-20 2.23E-22 3.01E-24 3.41E-26 3.25E-28 2.59E-30 1.00E-30
