                    ************************************************************************************************
                    *  Z= 27 A= 59: Positive-Parity Spin-dependent Level Density [MeV-1] for Co 59 and ldmodel= 1  *
                    ************************************************************************************************
 U[MeV]  T[MeV]  NCUMUL   RHOOBS   RHOTOT    J=01/2   J=03/2   J=05/2   J=07/2   J=09/2   J=11/2   J=13/2   J=15/2   J=17/2   J=19/2   J=21/2   J=23/2   J=25/2   J=27/2   J=29/2   J=31/2   J=33/2   J=35/2   J=37/2   J=39/2   J=41/2   J=43/2   J=45/2   J=47/2   J=49/2   J=51/2   J=53/2   J=55/2   J=57/2   J=59/2
   0.25  0.181  5.56E-01 1.11E+00 6.14E+00 1.53E-01 2.45E-01 2.54E-01 2.01E-01 1.29E-01 6.87E-02 3.06E-02 1.15E-02 3.68E-03 1.00E-03 2.32E-04 4.61E-05 7.84E-06 1.14E-06 1.43E-07 1.53E-08 1.41E-09 1.12E-10 7.63E-12 4.47E-13 2.25E-14 9.75E-16 3.64E-17 1.17E-18 3.23E-20 7.67E-22 1.57E-23 2.77E-25 4.21E-27 5.51E-29
   0.50  0.256  1.24E+00 1.37E+00 7.54E+00 1.88E-01 3.01E-01 3.12E-01 2.47E-01 1.59E-01 8.43E-02 3.76E-02 1.41E-02 4.51E-03 1.23E-03 2.85E-04 5.66E-05 9.62E-06 1.40E-06 1.75E-07 1.88E-08 1.74E-09 1.37E-10 9.36E-12 5.48E-13 2.76E-14 1.20E-15 4.47E-17 1.43E-18 3.96E-20 9.42E-22 1.93E-23 3.40E-25 5.17E-27 6.76E-29
   0.75  0.313  2.08E+00 1.68E+00 9.26E+00 2.31E-01 3.69E-01 3.83E-01 3.04E-01 1.95E-01 1.04E-01 4.61E-02 1.74E-02 5.54E-03 1.51E-03 3.50E-04 6.95E-05 1.18E-05 1.72E-06 2.15E-07 2.31E-08 2.13E-09 1.69E-10 1.15E-11 6.73E-13 3.39E-14 1.47E-15 5.48E-17 1.76E-18 4.86E-20 1.16E-21 2.37E-23 4.18E-25 6.35E-27 8.30E-29
   1.00  0.362  3.11E+00 2.06E+00 1.14E+01 2.83E-01 4.54E-01 4.70E-01 3.73E-01 2.39E-01 1.27E-01 5.66E-02 2.13E-02 6.80E-03 1.85E-03 4.30E-04 8.53E-05 1.45E-05 2.11E-06 2.64E-07 2.84E-08 2.62E-09 2.07E-10 1.41E-11 8.27E-13 4.16E-14 1.80E-15 6.73E-17 2.16E-18 5.97E-20 1.42E-21 2.91E-23 5.13E-25 7.79E-27 1.02E-28
   1.25  0.404  4.37E+00 2.53E+00 1.40E+01 3.48E-01 5.57E-01 5.77E-01 4.58E-01 2.94E-01 1.56E-01 6.95E-02 2.62E-02 8.35E-03 2.27E-03 5.27E-04 1.05E-04 1.78E-05 2.60E-06 3.25E-07 3.48E-08 3.21E-09 2.54E-10 1.73E-11 1.01E-12 5.11E-14 2.22E-15 8.26E-17 2.65E-18 7.33E-20 1.74E-21 3.57E-23 6.30E-25 9.57E-27 1.25E-28
   1.50  0.443  5.92E+00 3.10E+00 1.71E+01 4.27E-01 6.84E-01 7.08E-01 5.62E-01 3.61E-01 1.92E-01 8.54E-02 3.21E-02 1.03E-02 2.79E-03 6.48E-04 1.29E-04 2.19E-05 3.19E-06 3.98E-07 4.28E-08 3.94E-09 3.12E-10 2.13E-11 1.25E-12 6.28E-14 2.72E-15 1.01E-16 3.26E-18 9.00E-20 2.14E-21 4.39E-23 7.73E-25 1.17E-26 1.54E-28
   1.75  0.479  7.83E+00 3.81E+00 2.11E+01 5.24E-01 8.39E-01 8.69E-01 6.90E-01 4.43E-01 2.35E-01 1.05E-01 3.94E-02 1.26E-02 3.42E-03 7.95E-04 1.58E-04 2.68E-05 3.91E-06 4.89E-07 5.25E-08 4.84E-09 3.84E-10 2.61E-11 1.53E-12 7.71E-14 3.34E-15 1.25E-16 4.00E-18 1.10E-19 2.63E-21 5.38E-23 9.50E-25 1.44E-26 1.89E-28
   2.00  0.512  1.02E+01 4.68E+00 2.58E+01 6.44E-01 1.03E+00 1.07E+00 8.47E-01 5.44E-01 2.89E-01 1.29E-01 4.84E-02 1.55E-02 4.20E-03 9.76E-04 1.94E-04 3.30E-05 4.80E-06 6.01E-07 6.45E-08 5.94E-09 4.71E-10 3.21E-11 1.88E-12 9.46E-14 4.10E-15 1.53E-16 4.91E-18 1.36E-19 3.23E-21 6.61E-23 1.17E-24 1.77E-26 2.32E-28
   2.25  0.543  1.30E+01 5.74E+00 3.20E+01 7.81E-01 1.25E+00 1.31E+00 1.04E+00 6.74E-01 3.62E-01 1.63E-01 6.21E-02 2.01E-02 5.57E-03 1.32E-03 2.67E-04 4.64E-05 6.92E-06 8.87E-07 9.79E-08 9.29E-09 7.59E-10 5.34E-11 3.23E-12 1.69E-13 7.60E-15 2.95E-16 9.86E-18 2.84E-19 7.08E-21 1.52E-22 2.81E-24 4.49E-26 6.18E-28
   2.50  0.572  1.66E+01 7.05E+00 3.98E+01 9.39E-01 1.52E+00 1.59E+00 1.28E+00 8.44E-01 4.61E-01 2.12E-01 8.31E-02 2.77E-02 7.92E-03 1.94E-03 4.09E-04 7.41E-05 1.16E-05 1.56E-06 1.81E-07 1.82E-08 1.58E-09 1.18E-10 7.67E-12 4.29E-13 2.08E-14 8.70E-16 3.15E-17 9.89E-19 2.68E-20 6.30E-22 1.28E-23 2.25E-25 3.43E-27
   2.75  0.600  2.09E+01 8.66E+00 4.95E+01 1.13E+00 1.83E+00 1.94E+00 1.58E+00 1.05E+00 5.87E-01 2.76E-01 1.11E-01 3.79E-02 1.12E-02 2.83E-03 6.20E-04 1.17E-04 1.91E-05 2.70E-06 3.30E-07 3.50E-08 3.21E-09 2.55E-10 1.76E-11 1.05E-12 5.48E-14 2.47E-15 9.65E-17 3.28E-18 9.66E-20 2.47E-21 5.49E-23 1.06E-24 1.78E-26
   3.00  0.627  2.62E+01 1.06E+01 6.16E+01 1.36E+00 2.21E+00 2.36E+00 1.95E+00 1.32E+00 7.45E-01 3.58E-01 1.47E-01 5.17E-02 1.57E-02 4.11E-03 9.31E-04 1.83E-04 3.11E-05 4.60E-06 5.90E-07 6.58E-08 6.37E-09 5.37E-10 3.94E-11 2.51E-12 1.39E-13 6.74E-15 2.83E-16 1.04E-17 3.31E-19 9.21E-21 2.23E-22 4.70E-24 8.64E-26
   3.25  0.652  3.27E+01 1.31E+01 7.66E+01 1.63E+00 2.67E+00 2.87E+00 2.40E+00 1.64E+00 9.44E-01 4.62E-01 1.94E-01 7.00E-02 2.18E-02 5.90E-03 1.38E-03 2.82E-04 5.00E-05 7.71E-06 1.04E-06 1.21E-07 1.24E-08 1.10E-09 8.57E-11 5.81E-12 3.44E-13 1.78E-14 8.01E-16 3.16E-17 1.09E-18 3.27E-20 8.58E-22 1.97E-23 3.95E-25
   3.50  0.677  4.07E+01 1.60E+01 9.52E+01 1.96E+00 3.23E+00 3.49E+00 2.94E+00 2.04E+00 1.19E+00 5.95E-01 2.55E-01 9.43E-02 3.03E-02 8.43E-03 2.04E-03 4.31E-04 7.94E-05 1.28E-05 1.79E-06 2.20E-07 2.36E-08 2.21E-09 1.82E-10 1.31E-11 8.22E-13 4.53E-14 2.18E-15 9.23E-17 3.41E-18 1.11E-19 3.14E-21 7.83E-23 1.71E-24
   3.75  0.700  5.06E+01 1.97E+01 1.18E+02 2.36E+00 3.90E+00 4.25E+00 3.62E+00 2.54E+00 1.51E+00 7.65E-01 3.34E-01 1.27E-01 4.17E-02 1.19E-02 2.99E-03 6.53E-04 1.25E-04 2.09E-05 3.05E-06 3.92E-07 4.41E-08 4.35E-09 3.77E-10 2.87E-11 1.91E-12 1.12E-13 5.76E-15 2.60E-16 1.03E-17 3.59E-19 1.10E-20 2.96E-22 7.00E-24
   4.00  0.723  6.27E+01 2.42E+01 1.47E+02 2.85E+00 4.72E+00 5.17E+00 4.44E+00 3.16E+00 1.90E+00 9.81E-01 4.37E-01 1.69E-01 5.71E-02 1.68E-02 4.34E-03 9.79E-04 1.94E-04 3.37E-05 5.13E-06 6.88E-07 8.10E-08 8.40E-09 7.65E-10 6.13E-11 4.33E-12 2.69E-13 1.47E-14 7.08E-16 3.00E-17 1.12E-18 3.69E-20 1.07E-21 2.73E-23
