                    ************************************************************************************************
                    *  Z= 38 A= 86: Positive-Parity Spin-dependent Level Density [MeV-1] for Sr 86 and ldmodel= 1  *
                    ************************************************************************************************
 U[MeV]  T[MeV]  NCUMUL   RHOOBS   RHOTOT     J=00     J=01     J=02     J=03     J=04     J=05     J=06     J=07     J=08     J=09     J=10     J=11     J=12     J=13     J=14     J=15     J=16     J=17     J=18     J=19     J=20     J=21     J=22     J=23     J=24     J=25     J=26     J=27     J=28     J=29
   3.25  0.520  3.65E+00 1.67E+00 1.42E+01 7.12E-02 1.96E-01 2.75E-01 2.97E-01 2.70E-01 2.14E-01 1.51E-01 9.51E-02 5.40E-02 2.77E-02 1.29E-02 5.48E-03 2.11E-03 7.42E-04 2.38E-04 6.96E-05 1.86E-05 4.54E-06 1.01E-06 2.07E-07 3.87E-08 6.62E-09 1.04E-09 1.48E-10 1.95E-11 2.34E-12 2.57E-13 2.59E-14 2.39E-15 2.02E-16
   3.50  0.539  4.72E+00 2.15E+00 1.85E+01 9.01E-02 2.48E-01 3.49E-01 3.80E-01 3.48E-01 2.78E-01 1.98E-01 1.26E-01 7.28E-02 3.80E-02 1.80E-02 7.77E-03 3.06E-03 1.10E-03 3.61E-04 1.08E-04 2.98E-05 7.50E-06 1.73E-06 3.65E-07 7.05E-08 1.25E-08 2.03E-09 3.03E-10 4.14E-11 5.20E-12 5.98E-13 6.32E-14 6.12E-15 5.44E-16
   3.75  0.558  6.12E+00 2.78E+00 2.42E+01 1.14E-01 3.16E-01 4.45E-01 4.86E-01 4.49E-01 3.62E-01 2.60E-01 1.68E-01 9.80E-02 5.19E-02 2.50E-02 1.10E-02 4.42E-03 1.62E-03 5.45E-04 1.68E-04 4.74E-05 1.23E-05 2.91E-06 6.34E-07 1.27E-07 2.33E-08 3.93E-09 6.09E-10 8.66E-11 1.13E-11 1.36E-12 1.50E-13 1.53E-14 1.42E-15
   4.00  0.576  7.92E+00 3.60E+00 3.17E+01 1.45E-01 4.02E-01 5.69E-01 6.24E-01 5.79E-01 4.71E-01 3.42E-01 2.23E-01 1.32E-01 7.09E-02 3.47E-02 1.55E-02 6.36E-03 2.38E-03 8.20E-04 2.59E-04 7.49E-05 1.99E-05 4.87E-06 1.09E-06 2.26E-07 4.29E-08 7.49E-09 1.20E-09 1.78E-10 2.42E-11 3.03E-12 3.50E-13 3.72E-14 3.63E-15
   4.25  0.594  1.03E+01 4.68E+00 4.15E+01 1.85E-01 5.12E-01 7.27E-01 8.01E-01 7.49E-01 6.14E-01 4.49E-01 2.96E-01 1.77E-01 9.67E-02 4.81E-02 2.19E-02 9.13E-03 3.49E-03 1.23E-03 3.96E-04 1.18E-04 3.21E-05 8.06E-06 1.86E-06 3.97E-07 7.79E-08 1.41E-08 2.34E-09 3.60E-10 5.09E-11 6.63E-12 7.98E-13 8.84E-14 9.04E-15
   4.50  0.611  1.33E+01 6.07E+00 5.44E+01 2.36E-01 6.54E-01 9.31E-01 1.03E+00 9.69E-01 8.00E-01 5.91E-01 3.94E-01 2.39E-01 1.32E-01 6.65E-02 3.08E-02 1.31E-02 5.10E-03 1.83E-03 6.03E-04 1.83E-04 5.13E-05 1.32E-05 3.15E-06 6.91E-07 1.40E-07 2.61E-08 4.50E-09 7.16E-10 1.05E-10 1.42E-11 1.78E-12 2.06E-13 2.20E-14
   4.75  0.628  1.72E+01 7.90E+00 7.14E+01 3.01E-01 8.36E-01 1.19E+00 1.33E+00 1.25E+00 1.04E+00 7.78E-01 5.24E-01 3.21E-01 1.79E-01 9.19E-02 4.32E-02 1.87E-02 7.41E-03 2.71E-03 9.14E-04 2.84E-04 8.16E-05 2.16E-05 5.28E-06 1.19E-06 2.48E-07 4.79E-08 8.52E-09 1.40E-09 2.13E-10 3.00E-11 3.90E-12 4.70E-13 5.22E-14
   5.00  0.644  2.24E+01 1.03E+01 9.38E+01 3.85E-01 1.07E+00 1.53E+00 1.71E+00 1.63E+00 1.36E+00 1.02E+00 6.96E-01 4.31E-01 2.44E-01 1.27E-01 6.05E-02 2.66E-02 1.07E-02 4.01E-03 1.38E-03 4.38E-04 1.29E-04 3.49E-05 8.77E-06 2.03E-06 4.37E-07 8.68E-08 1.59E-08 2.71E-09 4.27E-10 6.23E-11 8.41E-12 1.05E-12 1.22E-13
   5.50  0.676  3.99E+01 1.75E+01 1.62E+02 6.32E-01 1.76E+00 2.54E+00 2.85E+00 2.74E+00 2.33E+00 1.78E+00 1.23E+00 7.78E-01 4.51E-01 2.40E-01 1.18E-01 5.35E-02 2.24E-02 8.66E-03 3.10E-03 1.03E-03 3.15E-04 8.97E-05 2.37E-05 5.78E-06 1.31E-06 2.76E-07 5.39E-08 9.75E-09 1.64E-09 2.56E-10 3.71E-11 4.99E-12 6.23E-13
   6.00  0.706  6.97E+01 2.98E+01 2.82E+02 1.04E+00 2.91E+00 4.22E+00 4.78E+00 4.64E+00 3.98E+00 3.08E+00 2.17E+00 1.40E+00 8.30E-01 4.53E-01 2.29E-01 1.07E-01 4.61E-02 1.85E-02 6.85E-03 2.36E-03 7.56E-04 2.25E-04 6.20E-05 1.59E-05 3.80E-06 8.44E-07 1.74E-07 3.35E-08 5.98E-09 9.94E-10 1.54E-10 2.21E-11 2.97E-12
