                    ************************************************************************************************
                    *  Z= 32 A= 70: Positive-Parity Spin-dependent Level Density [MeV-1] for Ge 70 and ldmodel= 1  *
                    ************************************************************************************************
 U[MeV]  T[MeV]  NCUMUL   RHOOBS   RHOTOT     J=00     J=01     J=02     J=03     J=04     J=05     J=06     J=07     J=08     J=09     J=10     J=11     J=12     J=13     J=14     J=15     J=16     J=17     J=18     J=19     J=20     J=21     J=22     J=23     J=24     J=25     J=26     J=27     J=28     J=29
   0.25  0.150  1.64E-01 3.28E-01 1.63E+00 4.02E-02 9.37E-02 9.41E-02 6.17E-02 2.88E-02 9.92E-03 2.57E-03 5.04E-04 7.53E-05 8.62E-06 7.58E-07 5.13E-08 2.67E-09 1.07E-10 3.33E-12 7.98E-14 1.48E-15 2.12E-17 2.35E-19 2.02E-21 1.34E-23 6.92E-26 2.76E-28 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   0.50  0.212  3.83E-01 4.38E-01 2.18E+00 5.37E-02 1.25E-01 1.26E-01 8.23E-02 3.84E-02 1.32E-02 3.43E-03 6.72E-04 1.01E-04 1.15E-05 1.01E-06 6.84E-08 3.56E-09 1.43E-10 4.44E-12 1.07E-13 1.97E-15 2.83E-17 3.14E-19 2.70E-21 1.79E-23 9.23E-26 3.68E-28 1.14E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   0.75  0.260  6.75E-01 5.84E-01 2.91E+00 7.16E-02 1.67E-01 1.68E-01 1.10E-01 5.13E-02 1.77E-02 4.57E-03 8.97E-04 1.34E-04 1.54E-05 1.35E-06 9.13E-08 4.75E-09 1.91E-10 5.93E-12 1.42E-13 2.63E-15 3.78E-17 4.19E-19 3.60E-21 2.39E-23 1.23E-25 4.92E-28 1.52E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   1.00  0.300  1.06E+00 7.80E-01 3.88E+00 9.56E-02 2.23E-01 2.24E-01 1.47E-01 6.84E-02 2.36E-02 6.10E-03 1.20E-03 1.79E-04 2.05E-05 1.80E-06 1.22E-07 6.35E-09 2.55E-10 7.91E-12 1.90E-13 3.52E-15 5.04E-17 5.59E-19 4.80E-21 3.19E-23 1.64E-25 6.56E-28 2.03E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   1.25  0.335  1.58E+00 1.04E+00 5.18E+00 1.28E-01 2.97E-01 2.98E-01 1.96E-01 9.13E-02 3.15E-02 8.14E-03 1.60E-03 2.39E-04 2.73E-05 2.40E-06 1.63E-07 8.47E-09 3.40E-10 1.06E-11 2.53E-13 4.69E-15 6.73E-17 7.46E-19 6.41E-21 4.26E-23 2.19E-25 8.75E-28 2.71E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   1.50  0.367  2.28E+00 1.39E+00 6.92E+00 1.70E-01 3.96E-01 3.98E-01 2.61E-01 1.22E-01 4.20E-02 1.09E-02 2.13E-03 3.19E-04 3.65E-05 3.21E-06 2.17E-07 1.13E-08 4.54E-10 1.41E-11 3.38E-13 6.26E-15 8.98E-17 9.96E-19 8.55E-21 5.69E-23 2.93E-25 1.17E-27 3.61E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   1.75  0.397  3.21E+00 1.85E+00 9.23E+00 2.27E-01 5.29E-01 5.31E-01 3.48E-01 1.63E-01 5.60E-02 1.45E-02 2.84E-03 4.25E-04 4.87E-05 4.28E-06 2.89E-07 1.51E-08 6.06E-10 1.88E-11 4.51E-13 8.35E-15 1.20E-16 1.33E-18 1.14E-20 7.59E-23 3.91E-25 1.56E-27 4.82E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   2.00  0.424  4.44E+00 2.47E+00 1.23E+01 3.03E-01 7.06E-01 7.09E-01 4.65E-01 2.17E-01 7.48E-02 1.94E-02 3.79E-03 5.68E-04 6.50E-05 5.71E-06 3.86E-07 2.01E-08 8.09E-10 2.51E-11 6.02E-13 1.11E-14 1.60E-16 1.77E-18 1.52E-20 1.01E-22 5.21E-25 2.08E-27 6.43E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
