                    ************************************************************************************************
                    *  Z= 33 A= 71: Positive-Parity Spin-dependent Level Density [MeV-1] for As 71 and ldmodel= 2  *
                    ************************************************************************************************
 U[MeV]  T[MeV]  NCUMUL   RHOOBS   RHOTOT    J=01/2   J=03/2   J=05/2   J=07/2   J=09/2   J=11/2   J=13/2   J=15/2   J=17/2   J=19/2   J=21/2   J=23/2   J=25/2   J=27/2   J=29/2   J=31/2   J=33/2   J=35/2   J=37/2   J=39/2   J=41/2   J=43/2   J=45/2   J=47/2   J=49/2   J=51/2   J=53/2   J=55/2   J=57/2   J=59/2
   0.25  0.160  8.52E-01 1.70E+00 6.72E+00 3.88E-01 5.26E-01 4.13E-01 2.22E-01 8.64E-02 2.49E-02 5.39E-03 8.81E-04 1.09E-04 1.04E-05 7.49E-07 4.14E-08 1.76E-09 5.71E-11 1.43E-12 2.74E-14 4.03E-16 4.57E-18 3.98E-20 2.67E-22 1.38E-24 5.49E-27 1.68E-29 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   0.50  0.226  2.32E+00 2.94E+00 1.16E+01 6.70E-01 9.09E-01 7.13E-01 3.84E-01 1.49E-01 4.31E-02 9.31E-03 1.52E-03 1.89E-04 1.79E-05 1.29E-06 7.16E-08 3.04E-09 9.87E-11 2.46E-12 4.73E-14 6.97E-16 7.90E-18 6.89E-20 4.62E-22 2.39E-24 9.48E-27 2.90E-29 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   0.75  0.277  4.79E+00 4.92E+00 1.94E+01 1.12E+00 1.52E+00 1.19E+00 6.42E-01 2.50E-01 7.20E-02 1.56E-02 2.55E-03 3.16E-04 2.99E-05 2.17E-06 1.20E-07 5.08E-09 1.65E-10 4.12E-12 7.91E-14 1.17E-15 1.32E-17 1.15E-19 7.73E-22 3.99E-24 1.59E-26 4.86E-29 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   1.00  0.320  8.64E+00 7.72E+00 3.19E+01 1.64E+00 2.29E+00 1.89E+00 1.09E+00 4.61E-01 1.48E-01 3.63E-02 6.85E-03 1.00E-03 1.14E-04 1.01E-05 6.98E-07 3.77E-08 1.59E-09 5.25E-11 1.36E-12 2.75E-14 4.37E-16 5.45E-18 5.33E-20 4.09E-22 2.46E-24 1.16E-26 4.32E-29 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   1.25  0.357  1.45E+01 1.17E+01 5.12E+01 2.29E+00 3.30E+00 2.87E+00 1.78E+00 8.32E-01 3.00E-01 8.45E-02 1.87E-02 3.29E-03 4.58E-04 5.08E-05 4.48E-06 3.16E-07 1.78E-08 8.00E-10 2.88E-11 8.31E-13 1.92E-14 3.55E-16 5.26E-18 6.25E-20 5.96E-22 4.55E-24 2.79E-26 1.37E-28 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   1.50  0.392  2.32E+01 1.74E+01 8.03E+01 3.16E+00 4.68E+00 4.25E+00 2.81E+00 1.42E+00 5.66E-01 1.79E-01 4.54E-02 9.27E-03 1.53E-03 2.04E-04 2.22E-05 1.95E-06 1.40E-07 8.16E-09 3.87E-10 1.50E-11 4.73E-13 1.22E-14 2.56E-16 4.38E-18 6.13E-20 7.00E-22 6.53E-24 4.97E-26 3.09E-28 1.57E-30 1.00E-30 1.00E-30 1.00E-30
   1.75  0.423  3.59E+01 2.55E+01 1.23E+02 4.31E+00 6.53E+00 6.16E+00 4.29E+00 2.32E+00 1.01E+00 3.51E-01 9.97E-02 2.32E-02 4.41E-03 6.92E-04 8.93E-05 9.51E-06 8.36E-07 6.07E-08 3.65E-09 1.81E-10 7.46E-12 2.54E-13 7.18E-15 1.68E-16 3.25E-18 5.22E-20 6.96E-22 7.68E-24 7.03E-26 5.34E-28 3.36E-30 1.00E-30 1.00E-30
   2.00  0.452  5.43E+01 3.67E+01 1.86E+02 5.82E+00 8.98E+00 8.75E+00 6.38E+00 3.67E+00 1.70E+00 6.47E-01 2.03E-01 5.26E-02 1.14E-02 2.04E-03 3.06E-04 3.83E-05 4.02E-06 3.53E-07 2.59E-08 1.60E-09 8.26E-11 3.58E-12 1.30E-13 3.98E-15 1.02E-16 2.20E-18 3.98E-20 6.04E-22 7.71E-24 8.27E-26 7.46E-28 5.65E-30 1.00E-30
   2.25  0.479  8.05E+01 5.23E+01 2.75E+02 7.77E+00 1.22E+01 1.22E+01 9.28E+00 5.61E+00 2.78E+00 1.14E+00 3.87E-01 1.11E-01 2.66E-02 5.38E-03 9.19E-04 1.33E-04 1.62E-05 1.68E-06 1.47E-07 1.09E-08 6.87E-10 3.67E-11 1.67E-12 6.42E-14 2.10E-15 5.84E-17 1.38E-18 2.76E-20 4.71E-22 6.81E-24 8.39E-26 8.77E-28 7.80E-30
   2.50  0.505  1.17E+02 7.34E+01 4.01E+02 1.03E+01 1.64E+01 1.69E+01 1.32E+01 8.38E+00 4.38E+00 1.91E+00 7.01E-01 2.18E-01 5.76E-02 1.29E-02 2.48E-03 4.05E-04 5.65E-05 6.75E-06 6.90E-07 6.04E-08 4.52E-09 2.91E-10 1.60E-11 7.56E-13 3.06E-14 1.06E-15 3.17E-17 8.10E-19 1.78E-20 3.35E-22 5.42E-24 7.52E-26 8.96E-28
   2.75  0.530  1.68E+02 1.02E+02 5.76E+02 1.35E+01 2.19E+01 2.30E+01 1.86E+01 1.22E+01 6.71E+00 3.10E+00 1.22E+00 4.07E-01 1.17E-01 2.88E-02 6.09E-03 1.11E-03 1.75E-04 2.37E-05 2.78E-06 2.81E-07 2.45E-08 1.85E-09 1.21E-10 6.85E-12 3.35E-13 1.42E-14 5.19E-16 1.65E-17 4.52E-19 1.07E-20 2.21E-22 3.94E-24 6.09E-26
   3.00  0.554  2.38E+02 1.40E+02 8.19E+02 1.77E+01 2.89E+01 3.09E+01 2.57E+01 1.75E+01 1.00E+01 4.88E+00 2.03E+00 7.26E-01 2.24E-01 6.00E-02 1.39E-02 2.80E-03 4.88E-04 7.42E-05 9.81E-06 1.13E-06 1.13E-07 9.88E-09 7.52E-10 4.99E-11 2.88E-12 1.46E-13 6.41E-15 2.46E-16 8.24E-18 2.41E-19 6.15E-21 1.37E-22 2.66E-24
   3.25  0.576  3.34E+02 1.91E+02 1.15E+03 2.29E+01 3.78E+01 4.12E+01 3.52E+01 2.47E+01 1.47E+01 7.48E+00 3.28E+00 1.25E+00 4.11E-01 1.18E-01 2.97E-02 6.53E-03 1.25E-03 2.11E-04 3.10E-05 4.01E-06 4.54E-07 4.51E-08 3.94E-09 3.02E-10 2.03E-11 1.20E-12 6.21E-14 2.83E-15 1.13E-16 3.99E-18 1.24E-19 3.36E-21 8.03E-23
   3.50  0.598  4.63E+02 2.58E+02 1.60E+03 2.95E+01 4.92E+01 5.45E+01 4.75E+01 3.44E+01 2.12E+01 1.12E+01 5.15E+00 2.07E+00 7.24E-01 2.23E-01 6.01E-02 1.43E-02 2.99E-03 5.50E-04 8.94E-05 1.28E-05 1.62E-06 1.81E-07 1.79E-08 1.56E-09 1.20E-10 8.16E-12 4.91E-13 2.61E-14 1.23E-15 5.11E-17 1.88E-18 6.13E-20 1.76E-21
   3.75  0.619  6.36E+02 3.46E+02 2.21E+03 3.78E+01 6.35E+01 7.14E+01 6.35E+01 4.71E+01 2.99E+01 1.65E+01 7.90E+00 3.33E+00 1.23E+00 4.02E-01 1.16E-01 2.96E-02 6.68E-03 1.34E-03 2.37E-04 3.74E-05 5.23E-06 6.49E-07 7.16E-08 7.01E-09 6.11E-10 4.73E-11 3.25E-12 1.99E-13 1.08E-14 5.25E-16 2.26E-17 8.65E-19 2.95E-20
   4.00  0.639  8.66E+02 4.60E+02 3.02E+03 4.81E+01 8.16E+01 9.28E+01 8.41E+01 6.39E+01 4.18E+01 2.38E+01 1.19E+01 5.22E+00 2.03E+00 7.00E-01 2.14E-01 5.83E-02 1.41E-02 3.05E-03 5.87E-04 1.01E-04 1.54E-05 2.11E-06 2.57E-07 2.81E-08 2.73E-09 2.38E-10 1.85E-11 1.29E-12 7.99E-14 4.44E-15 2.21E-16 9.80E-18 3.89E-19
