                    ************************************************************************************************
                    *  Z= 30 A= 64: Positive-Parity Spin-dependent Level Density [MeV-1] for Zn 64 and ldmodel= 2  *
                    ************************************************************************************************
 U[MeV]  T[MeV]  NCUMUL   RHOOBS   RHOTOT     J=00     J=01     J=02     J=03     J=04     J=05     J=06     J=07     J=08     J=09     J=10     J=11     J=12     J=13     J=14     J=15     J=16     J=17     J=18     J=19     J=20     J=21     J=22     J=23     J=24     J=25     J=26     J=27     J=28     J=29
   0.25  0.183  1.94E-01 3.88E-01 2.07E+00 4.17E-02 1.00E-01 1.07E-01 7.74E-02 4.11E-02 1.66E-02 5.22E-03 1.28E-03 2.48E-04 3.79E-05 4.59E-06 4.42E-07 3.39E-08 2.07E-09 1.00E-10 3.90E-12 1.21E-13 2.99E-15 5.91E-17 9.34E-19 1.18E-20 1.19E-22 9.65E-25 6.24E-27 3.23E-29 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   0.50  0.259  3.89E-01 3.90E-01 2.08E+00 4.19E-02 1.01E-01 1.08E-01 7.78E-02 4.13E-02 1.67E-02 5.25E-03 1.29E-03 2.49E-04 3.81E-05 4.62E-06 4.44E-07 3.40E-08 2.08E-09 1.01E-10 3.92E-12 1.21E-13 3.01E-15 5.94E-17 9.39E-19 1.19E-20 1.20E-22 9.70E-25 6.28E-27 3.25E-29 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   0.75  0.317  7.03E-01 6.28E-01 3.35E+00 6.76E-02 1.63E-01 1.74E-01 1.26E-01 6.67E-02 2.70E-02 8.47E-03 2.08E-03 4.02E-04 6.14E-05 7.45E-06 7.17E-07 5.49E-08 3.35E-09 1.63E-10 6.32E-12 1.96E-13 4.85E-15 9.59E-17 1.52E-18 1.91E-20 1.94E-22 1.56E-24 1.01E-26 5.24E-29 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   1.00  0.366  1.19E+00 9.68E-01 5.16E+00 1.04E-01 2.50E-01 2.68E-01 1.93E-01 1.03E-01 4.16E-02 1.30E-02 3.20E-03 6.19E-04 9.46E-05 1.15E-05 1.10E-06 8.46E-08 5.16E-09 2.51E-10 9.74E-12 3.02E-13 7.47E-15 1.48E-16 2.33E-18 2.95E-20 2.98E-22 2.41E-24 1.56E-26 8.07E-29 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   1.25  0.409  1.90E+00 1.43E+00 7.63E+00 1.54E-01 3.70E-01 3.96E-01 2.86E-01 1.52E-01 6.14E-02 1.93E-02 4.73E-03 9.15E-04 1.40E-04 1.69E-05 1.63E-06 1.25E-07 7.62E-09 3.71E-10 1.44E-11 4.46E-13 1.10E-14 2.18E-16 3.45E-18 4.36E-20 4.41E-22 3.56E-24 2.30E-26 1.19E-28 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   1.50  0.448  2.94E+00 2.08E+00 1.11E+01 2.23E-01 5.37E-01 5.75E-01 4.15E-01 2.20E-01 8.92E-02 2.80E-02 6.87E-03 1.33E-03 2.03E-04 2.46E-05 2.37E-06 1.81E-07 1.11E-08 5.38E-10 2.09E-11 6.47E-13 1.60E-14 3.17E-16 5.01E-18 6.33E-20 6.40E-22 5.17E-24 3.34E-26 1.73E-28 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   1.75  0.484  4.43E+00 2.98E+00 1.59E+01 3.20E-01 7.70E-01 8.25E-01 5.95E-01 3.16E-01 1.28E-01 4.01E-02 9.85E-03 1.90E-03 2.91E-04 3.53E-05 3.40E-06 2.60E-07 1.59E-08 7.72E-10 2.99E-11 9.28E-13 2.30E-14 4.54E-16 7.18E-18 9.07E-20 9.17E-22 7.41E-24 4.80E-26 2.48E-28 1.03E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   2.00  0.517  6.54E+00 4.22E+00 2.25E+01 4.54E-01 1.09E+00 1.17E+00 8.43E-01 4.48E-01 1.81E-01 5.68E-02 1.40E-02 2.70E-03 4.12E-04 5.00E-05 4.81E-06 3.68E-07 2.25E-08 1.09E-09 4.24E-11 1.31E-12 3.25E-14 6.43E-16 1.02E-17 1.29E-19 1.30E-21 1.05E-23 6.80E-26 3.52E-28 1.46E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
