                    ************************************************************************************************
                    *  Z= 28 A= 62: Positive-Parity Spin-dependent Level Density [MeV-1] for Ni 62 and ldmodel= 2  *
                    ************************************************************************************************
 U[MeV]  T[MeV]  NCUMUL   RHOOBS   RHOTOT     J=00     J=01     J=02     J=03     J=04     J=05     J=06     J=07     J=08     J=09     J=10     J=11     J=12     J=13     J=14     J=15     J=16     J=17     J=18     J=19     J=20     J=21     J=22     J=23     J=24     J=25     J=26     J=27     J=28     J=29
   0.25  0.200  1.85E-01 3.70E-01 1.71E+00 5.24E-02 1.17E-01 1.09E-01 6.31E-02 2.51E-02 7.07E-03 1.44E-03 2.13E-04 2.30E-05 1.84E-06 1.08E-07 4.69E-09 1.51E-10 3.59E-12 6.35E-14 8.33E-16 8.11E-18 5.87E-20 3.16E-22 1.26E-24 3.75E-27 8.30E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   0.50  0.283  3.65E-01 3.60E-01 1.67E+00 5.09E-02 1.14E-01 1.06E-01 6.13E-02 2.44E-02 6.87E-03 1.40E-03 2.07E-04 2.24E-05 1.79E-06 1.05E-07 4.56E-09 1.47E-10 3.49E-12 6.17E-14 8.09E-16 7.88E-18 5.70E-20 3.07E-22 1.23E-24 3.65E-27 8.07E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   0.75  0.347  6.22E-01 5.13E-01 2.37E+00 7.25E-02 1.62E-01 1.50E-01 8.73E-02 3.47E-02 9.79E-03 1.99E-03 2.94E-04 3.19E-05 2.54E-06 1.50E-07 6.50E-09 2.09E-10 4.98E-12 8.79E-14 1.15E-15 1.12E-17 8.12E-20 4.37E-22 1.75E-24 5.20E-27 1.15E-29 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   1.00  0.400  9.98E-01 7.53E-01 3.48E+00 1.06E-01 2.38E-01 2.21E-01 1.28E-01 5.10E-02 1.44E-02 2.92E-03 4.32E-04 4.68E-05 3.73E-06 2.20E-07 9.54E-09 3.07E-10 7.31E-12 1.29E-13 1.69E-15 1.65E-17 1.19E-19 6.41E-22 2.56E-24 7.63E-27 1.69E-29 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   1.25  0.448  1.53E+00 1.06E+00 4.90E+00 1.50E-01 3.35E-01 3.10E-01 1.80E-01 7.16E-02 2.02E-02 4.10E-03 6.07E-04 6.58E-05 5.25E-06 3.09E-07 1.34E-08 4.31E-10 1.03E-11 1.81E-13 2.38E-15 2.32E-17 1.68E-19 9.02E-22 3.61E-24 1.07E-26 2.37E-29 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   1.50  0.490  2.26E+00 1.46E+00 6.75E+00 2.06E-01 4.61E-01 4.28E-01 2.48E-01 9.87E-02 2.78E-02 5.66E-03 8.37E-04 9.07E-05 7.23E-06 4.25E-07 1.85E-08 5.94E-10 1.41E-11 2.50E-13 3.28E-15 3.19E-17 2.31E-19 1.24E-21 4.97E-24 1.48E-26 3.27E-29 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   1.75  0.530  3.25E+00 1.99E+00 9.20E+00 2.81E-01 6.29E-01 5.83E-01 3.38E-01 1.35E-01 3.79E-02 7.71E-03 1.14E-03 1.24E-04 9.86E-06 5.79E-07 2.52E-08 8.09E-10 1.93E-11 3.41E-13 4.47E-15 4.35E-17 3.15E-19 1.69E-21 6.77E-24 2.01E-26 4.46E-29 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   2.00  0.566  4.59E+00 2.69E+00 1.24E+01 3.80E-01 8.50E-01 7.88E-01 4.57E-01 1.82E-01 5.13E-02 1.04E-02 1.54E-03 1.67E-04 1.33E-05 7.83E-07 3.40E-08 1.09E-09 2.61E-11 4.60E-13 6.04E-15 5.88E-17 4.25E-19 2.29E-21 9.15E-24 2.72E-26 6.02E-29 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
