                    ************************************************************************************************
                    *  Z= 28 A= 61: Positive-Parity Spin-dependent Level Density [MeV-1] for Ni 61 and ldmodel= 5  *
                    ************************************************************************************************
 U[MeV]  T[MeV]  NCUMUL   RHOOBS   RHOTOT    J=01/2   J=03/2   J=05/2   J=07/2   J=09/2   J=11/2   J=13/2   J=15/2   J=17/2   J=19/2   J=21/2   J=23/2   J=25/2   J=27/2   J=29/2   J=31/2   J=33/2   J=35/2   J=37/2   J=39/2   J=41/2   J=43/2   J=45/2   J=47/2   J=49/2   J=51/2   J=53/2   J=55/2   J=57/2   J=59/2
   3.25  0.648  7.05E+01 2.05E+01 1.74E+02 2.29E+00 2.58E+00 3.47E+00 5.15E+00 3.66E+00 3.09E+00 1.45E+00 6.74E-01 8.58E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   3.50  0.672  9.45E+01 2.95E+01 2.06E+02 2.26E+00 2.62E+00 2.94E+00 5.17E+00 5.14E+00 4.47E+00 1.69E+00 7.04E-01 1.00E+00 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   3.75  0.696  1.20E+02 3.18E+01 2.13E+02 1.48E+00 1.97E+00 2.49E+00 4.68E+00 5.79E+00 4.87E+00 1.77E+00 7.73E-01 1.16E+00 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   4.00  0.718  1.48E+02 3.66E+01 2.20E+02 7.19E-01 1.58E+00 1.93E+00 3.59E+00 5.58E+00 4.96E+00 2.86E+00 1.09E+00 8.75E-01 3.55E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   4.25  0.741  1.80E+02 3.31E+01 2.35E+02 3.24E-01 8.24E-01 1.59E+00 3.22E+00 4.78E+00 4.82E+00 4.61E+00 1.58E+00 7.52E-01 4.99E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   4.50  0.762  2.18E+02 3.24E+01 3.04E+02 2.31E+00 3.31E+00 2.70E+00 4.28E+00 4.82E+00 5.20E+00 6.14E+00 2.07E+00 1.05E+00 1.00E+00 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   4.75  0.783  2.67E+02 3.18E+01 4.16E+02 3.89E+00 5.91E+00 5.52E+00 6.79E+00 5.97E+00 6.38E+00 6.88E+00 3.32E+00 1.64E+00 1.28E+00 1.73E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   5.00  0.803  3.31E+02 5.24E+01 5.83E+02 5.24E+00 8.81E+00 1.08E+01 1.10E+01 7.80E+00 8.07E+00 7.32E+00 5.87E+00 2.52E+00 1.40E+00 4.15E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   5.50  0.842  5.60E+02 1.11E+02 1.22E+03 1.12E+01 2.28E+01 2.76E+01 2.68E+01 1.83E+01 1.57E+01 1.08E+01 1.03E+01 6.39E+00 2.55E+00 1.28E+00 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   6.00  0.880  9.60E+02 2.50E+02 2.39E+03 2.02E+01 4.47E+01 5.09E+01 5.27E+01 4.79E+01 3.43E+01 1.83E+01 1.53E+01 1.01E+01 4.68E+00 3.01E+00 4.03E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   6.50  0.916  1.59E+03 4.89E+02 4.18E+03 2.94E+01 5.75E+01 8.01E+01 9.03E+01 8.06E+01 6.92E+01 3.75E+01 2.55E+01 1.63E+01 8.55E+00 4.58E+00 2.39E+00 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
