                    ************************************************************************************************
                    *  Z= 26 A= 58: Positive-Parity Spin-dependent Level Density [MeV-1] for Fe 58 and ldmodel= 2  *
                    ************************************************************************************************
 U[MeV]  T[MeV]  NCUMUL   RHOOBS   RHOTOT     J=00     J=01     J=02     J=03     J=04     J=05     J=06     J=07     J=08     J=09     J=10     J=11     J=12     J=13     J=14     J=15     J=16     J=17     J=18     J=19     J=20     J=21     J=22     J=23     J=24     J=25     J=26     J=27     J=28     J=29
   0.25  0.202  1.34E-01 2.67E-01 1.71E+00 2.02E-02 5.20E-02 6.37E-02 5.61E-02 3.89E-02 2.20E-02 1.03E-02 4.04E-03 1.33E-03 3.71E-04 8.77E-05 1.76E-05 3.01E-06 4.37E-07 5.41E-08 5.72E-09 5.16E-10 3.98E-11 2.62E-12 1.47E-13 7.07E-15 2.90E-16 1.02E-17 3.07E-19 7.89E-21 1.74E-22 3.27E-24 5.26E-26 7.26E-28 8.57E-30
   0.50  0.285  2.67E-01 2.67E-01 1.71E+00 2.02E-02 5.20E-02 6.37E-02 5.61E-02 3.89E-02 2.20E-02 1.03E-02 4.04E-03 1.33E-03 3.71E-04 8.77E-05 1.76E-05 3.01E-06 4.37E-07 5.41E-08 5.72E-09 5.16E-10 3.98E-11 2.62E-12 1.47E-13 7.07E-15 2.90E-16 1.02E-17 3.07E-19 7.89E-21 1.74E-22 3.27E-24 5.26E-26 7.26E-28 8.57E-30
   0.75  0.349  4.31E-01 3.27E-01 2.09E+00 2.48E-02 6.36E-02 7.79E-02 6.87E-02 4.76E-02 2.69E-02 1.26E-02 4.94E-03 1.63E-03 4.55E-04 1.07E-04 2.16E-05 3.68E-06 5.35E-07 6.63E-08 7.00E-09 6.32E-10 4.87E-11 3.20E-12 1.80E-13 8.65E-15 3.55E-16 1.25E-17 3.75E-19 9.65E-21 2.12E-22 4.00E-24 6.44E-26 8.88E-28 1.05E-29
   1.00  0.404  6.74E-01 4.87E-01 3.11E+00 3.68E-02 9.47E-02 1.16E-01 1.02E-01 7.09E-02 4.01E-02 1.88E-02 7.35E-03 2.43E-03 6.76E-04 1.60E-04 3.21E-05 5.48E-06 7.96E-07 9.86E-08 1.04E-08 9.40E-10 7.24E-11 4.76E-12 2.68E-13 1.29E-14 5.29E-16 1.86E-17 5.59E-19 1.44E-20 3.16E-22 5.95E-24 9.59E-26 1.32E-27 1.56E-29
   1.25  0.451  1.02E+00 6.90E-01 4.40E+00 5.22E-02 1.34E-01 1.64E-01 1.45E-01 1.00E-01 5.67E-02 2.66E-02 1.04E-02 3.44E-03 9.58E-04 2.26E-04 4.54E-05 7.76E-06 1.13E-06 1.40E-07 1.48E-08 1.33E-09 1.03E-10 6.75E-12 3.79E-13 1.82E-14 7.49E-16 2.63E-17 7.91E-19 2.03E-20 4.48E-22 8.43E-24 1.36E-25 1.87E-27 2.21E-29
   1.50  0.494  1.50E+00 9.52E-01 6.08E+00 7.20E-02 1.85E-01 2.27E-01 2.00E-01 1.39E-01 7.83E-02 3.67E-02 1.44E-02 4.74E-03 1.32E-03 3.13E-04 6.27E-05 1.07E-05 1.56E-06 1.93E-07 2.04E-08 1.84E-09 1.42E-10 9.32E-12 5.24E-13 2.52E-14 1.03E-15 3.63E-17 1.09E-18 2.81E-20 6.18E-22 1.16E-23 1.87E-25 2.59E-27 3.05E-29
   1.75  0.534  2.14E+00 1.30E+00 8.28E+00 9.82E-02 2.53E-01 3.09E-01 2.72E-01 1.89E-01 1.07E-01 5.00E-02 1.96E-02 6.47E-03 1.80E-03 4.26E-04 8.55E-05 1.46E-05 2.12E-06 2.63E-07 2.78E-08 2.51E-09 1.93E-10 1.27E-11 7.14E-13 3.43E-14 1.41E-15 4.96E-17 1.49E-18 3.83E-20 8.43E-22 1.59E-23 2.56E-25 3.52E-27 4.16E-29
   2.00  0.571  3.02E+00 1.75E+00 1.12E+01 1.33E-01 3.41E-01 4.18E-01 3.68E-01 2.55E-01 1.44E-01 6.76E-02 2.65E-02 8.74E-03 2.44E-03 5.76E-04 1.16E-04 1.97E-05 2.87E-06 3.55E-07 3.76E-08 3.39E-09 2.61E-10 1.72E-11 9.65E-13 4.64E-14 1.91E-15 6.70E-17 2.01E-18 5.18E-20 1.14E-21 2.14E-23 3.45E-25 4.76E-27 5.62E-29
