                    ************************************************************************************************
                    *  Z= 27 A= 57: Positive-Parity Spin-dependent Level Density [MeV-1] for Co 57 and ldmodel= 2  *
                    ************************************************************************************************
 U[MeV]  T[MeV]  NCUMUL   RHOOBS   RHOTOT    J=01/2   J=03/2   J=05/2   J=07/2   J=09/2   J=11/2   J=13/2   J=15/2   J=17/2   J=19/2   J=21/2   J=23/2   J=25/2   J=27/2   J=29/2   J=31/2   J=33/2   J=35/2   J=37/2   J=39/2   J=41/2   J=43/2   J=45/2   J=47/2   J=49/2   J=51/2   J=53/2   J=55/2   J=57/2   J=59/2
   0.25  0.208  4.44E-01 8.88E-01 5.08E+00 1.16E-01 1.87E-01 1.98E-01 1.62E-01 1.08E-01 6.03E-02 2.84E-02 1.14E-02 3.92E-03 1.16E-03 2.94E-04 6.44E-05 1.22E-05 2.00E-06 2.83E-07 3.47E-08 3.69E-09 3.40E-10 2.71E-11 1.88E-12 1.13E-13 5.89E-15 2.67E-16 1.05E-17 3.58E-19 1.06E-20 2.73E-22 6.10E-24 1.18E-25 2.00E-27
   0.50  0.294  1.02E+00 1.15E+00 6.60E+00 1.50E-01 2.44E-01 2.58E-01 2.11E-01 1.41E-01 7.84E-02 3.69E-02 1.48E-02 5.09E-03 1.50E-03 3.82E-04 8.38E-05 1.59E-05 2.60E-06 3.68E-07 4.51E-08 4.80E-09 4.42E-10 3.53E-11 2.44E-12 1.47E-13 7.66E-15 3.47E-16 1.36E-17 4.65E-19 1.38E-20 3.55E-22 7.93E-24 1.54E-25 2.60E-27
   0.75  0.360  1.77E+00 1.49E+00 8.55E+00 1.95E-01 3.16E-01 3.34E-01 2.73E-01 1.82E-01 1.02E-01 4.78E-02 1.92E-02 6.59E-03 1.95E-03 4.95E-04 1.08E-04 2.05E-05 3.36E-06 4.76E-07 5.84E-08 6.21E-09 5.72E-10 4.57E-11 3.17E-12 1.90E-13 9.92E-15 4.49E-16 1.77E-17 6.02E-19 1.79E-20 4.59E-22 1.03E-23 1.99E-25 3.36E-27
   1.00  0.416  2.73E+00 1.93E+00 1.10E+01 2.51E-01 4.07E-01 4.31E-01 3.52E-01 2.35E-01 1.31E-01 6.17E-02 2.48E-02 8.51E-03 2.51E-03 6.38E-04 1.40E-04 2.65E-05 4.34E-06 6.14E-07 7.54E-08 8.01E-09 7.38E-10 5.89E-11 4.08E-12 2.45E-13 1.28E-14 5.80E-16 2.28E-17 7.77E-19 2.30E-20 5.93E-22 1.32E-23 2.57E-25 4.34E-27
   1.25  0.465  3.97E+00 2.48E+00 1.42E+01 3.22E-01 5.23E-01 5.54E-01 4.53E-01 3.02E-01 1.68E-01 7.93E-02 3.18E-02 1.09E-02 3.23E-03 8.20E-04 1.80E-04 3.40E-05 5.57E-06 7.90E-07 9.69E-08 1.03E-08 9.48E-10 7.57E-11 5.25E-12 3.15E-13 1.65E-14 7.45E-16 2.93E-17 9.99E-19 2.96E-20 7.62E-22 1.70E-23 3.31E-25 5.57E-27
   1.50  0.510  5.56E+00 3.17E+00 1.82E+01 4.13E-01 6.70E-01 7.09E-01 5.80E-01 3.87E-01 2.15E-01 1.01E-01 4.07E-02 1.40E-02 4.13E-03 1.05E-03 2.30E-04 4.36E-05 7.14E-06 1.01E-06 1.24E-07 1.32E-08 1.21E-09 9.70E-11 6.72E-12 4.04E-13 2.11E-14 9.53E-16 3.75E-17 1.28E-18 3.79E-20 9.75E-22 2.18E-23 4.23E-25 7.14E-27
   1.75  0.550  7.58E+00 4.04E+00 2.31E+01 5.26E-01 8.54E-01 9.04E-01 7.39E-01 4.93E-01 2.75E-01 1.29E-01 5.19E-02 1.78E-02 5.27E-03 1.34E-03 2.94E-04 5.56E-05 9.10E-06 1.29E-06 1.58E-07 1.68E-08 1.55E-09 1.24E-10 8.57E-12 5.15E-13 2.69E-14 1.22E-15 4.78E-17 1.63E-18 4.83E-20 1.24E-21 2.78E-23 5.40E-25 9.10E-27
   2.00  0.588  1.01E+01 5.13E+00 2.94E+01 6.66E-01 1.08E+00 1.14E+00 9.38E-01 6.27E-01 3.50E-01 1.65E-01 6.66E-02 2.30E-02 6.81E-03 1.74E-03 3.83E-04 7.30E-05 1.20E-05 1.72E-06 2.12E-07 2.27E-08 2.11E-09 1.70E-10 1.19E-11 7.19E-13 3.79E-14 1.73E-15 6.88E-17 2.38E-18 7.12E-20 1.85E-21 4.20E-23 8.26E-25 1.41E-26
   2.25  0.624  1.34E+01 6.41E+00 3.73E+01 8.12E-01 1.33E+00 1.42E+00 1.18E+00 7.98E-01 4.54E-01 2.20E-01 9.08E-02 3.23E-02 9.90E-03 2.62E-03 6.02E-04 1.20E-04 2.07E-05 3.11E-06 4.05E-07 4.60E-08 4.55E-09 3.91E-10 2.93E-11 1.91E-12 1.08E-13 5.37E-15 2.32E-16 8.72E-18 2.86E-19 8.18E-21 2.04E-22 4.44E-24 8.42E-26
   2.50  0.658  1.73E+01 7.99E+00 4.72E+01 9.88E-01 1.62E+00 1.75E+00 1.47E+00 1.01E+00 5.86E-01 2.90E-01 1.23E-01 4.49E-02 1.42E-02 3.90E-03 9.31E-04 1.93E-04 3.49E-05 5.51E-06 7.57E-07 9.08E-08 9.51E-09 8.70E-10 6.96E-11 4.86E-12 2.97E-13 1.59E-14 7.40E-16 3.02E-17 1.08E-18 3.38E-20 9.24E-22 2.21E-23 4.63E-25
   2.75  0.690  2.23E+01 9.92E+00 5.94E+01 1.20E+00 1.98E+00 2.15E+00 1.82E+00 1.28E+00 7.53E-01 3.80E-01 1.65E-01 6.20E-02 2.02E-02 5.74E-03 1.42E-03 3.07E-04 5.79E-05 9.56E-06 1.38E-06 1.75E-07 1.93E-08 1.88E-09 1.60E-10 1.19E-11 7.79E-13 4.47E-14 2.25E-15 9.94E-17 3.85E-18 1.31E-19 3.92E-21 1.03E-22 2.36E-24
   3.00  0.721  2.84E+01 1.23E+01 7.46E+01 1.45E+00 2.40E+00 2.63E+00 2.26E+00 1.60E+00 9.61E-01 4.95E-01 2.20E-01 8.48E-02 2.85E-02 8.34E-03 2.14E-03 4.80E-04 9.43E-05 1.63E-05 2.46E-06 3.28E-07 3.83E-08 3.93E-09 3.55E-10 2.82E-11 1.97E-12 1.21E-13 6.54E-15 3.11E-16 1.30E-17 4.81E-19 1.56E-20 4.46E-22 1.12E-23
   3.25  0.750  3.60E+01 1.52E+01 9.33E+01 1.75E+00 2.92E+00 3.22E+00 2.79E+00 2.00E+00 1.22E+00 6.41E-01 2.91E-01 1.15E-01 3.97E-02 1.20E-02 3.18E-03 7.40E-04 1.51E-04 2.72E-05 4.31E-06 6.01E-07 7.39E-08 8.01E-09 7.65E-10 6.45E-11 4.79E-12 3.14E-13 1.82E-14 9.30E-16 4.19E-17 1.67E-18 5.87E-20 1.82E-21 5.00E-23
   3.50  0.778  4.54E+01 1.87E+01 1.16E+02 2.11E+00 3.53E+00 3.92E+00 3.43E+00 2.50E+00 1.55E+00 8.25E-01 3.83E-01 1.55E-01 5.49E-02 1.71E-02 4.67E-03 1.13E-03 2.39E-04 4.47E-05 7.40E-06 1.08E-06 1.39E-07 1.59E-08 1.60E-09 1.43E-10 1.13E-11 7.88E-13 4.87E-14 2.66E-15 1.29E-16 5.52E-18 2.10E-19 7.05E-21 2.10E-22
   3.75  0.806  5.68E+01 2.29E+01 1.45E+02 2.54E+00 4.26E+00 4.77E+00 4.21E+00 3.10E+00 1.95E+00 1.06E+00 5.00E-01 2.07E-01 7.53E-02 2.41E-02 6.79E-03 1.69E-03 3.72E-04 7.24E-05 1.25E-05 1.90E-06 2.57E-07 3.08E-08 3.27E-09 3.08E-10 2.57E-11 1.91E-12 1.25E-13 7.32E-15 3.79E-16 1.74E-17 7.12E-19 2.58E-20 8.30E-22
   4.00  0.832  7.09E+01 2.81E+01 1.80E+02 3.05E+00 5.14E+00 5.78E+00 5.15E+00 3.84E+00 2.44E+00 1.35E+00 6.50E-01 2.75E-01 1.02E-01 3.36E-02 9.77E-03 2.51E-03 5.72E-04 1.15E-04 2.07E-05 3.29E-06 4.65E-07 5.84E-08 6.51E-09 6.46E-10 5.70E-11 4.47E-12 3.12E-13 1.94E-14 1.07E-15 5.27E-17 2.30E-18 8.98E-20 3.12E-21
