                    ************************************************************************************************
                    *  Z= 26 A= 56: Positive-Parity Spin-dependent Level Density [MeV-1] for Fe 56 and ldmodel= 2  *
                    ************************************************************************************************
 U[MeV]  T[MeV]  NCUMUL   RHOOBS   RHOTOT     J=00     J=01     J=02     J=03     J=04     J=05     J=06     J=07     J=08     J=09     J=10     J=11     J=12     J=13     J=14     J=15     J=16     J=17     J=18     J=19     J=20     J=21     J=22     J=23     J=24     J=25     J=26     J=27     J=28     J=29
   0.25  0.205  1.25E-01 2.51E-01 1.51E+00 2.13E-02 5.38E-02 6.33E-02 5.26E-02 3.38E-02 1.73E-02 7.21E-03 2.46E-03 6.96E-04 1.63E-04 3.16E-05 5.12E-06 6.92E-07 7.81E-08 7.36E-09 5.81E-10 3.83E-11 2.12E-12 9.82E-14 3.81E-15 1.24E-16 3.38E-18 7.74E-20 1.49E-21 2.39E-23 3.23E-25 3.66E-27 3.49E-29 1.00E-30 1.00E-30
   0.50  0.290  2.58E-01 2.65E-01 1.59E+00 2.25E-02 5.67E-02 6.68E-02 5.55E-02 3.56E-02 1.83E-02 7.61E-03 2.60E-03 7.34E-04 1.72E-04 3.34E-05 5.41E-06 7.30E-07 8.24E-08 7.77E-09 6.13E-10 4.05E-11 2.24E-12 1.04E-13 4.02E-15 1.31E-16 3.57E-18 8.16E-20 1.57E-21 2.52E-23 3.41E-25 3.87E-27 3.68E-29 1.00E-30 1.00E-30
   0.75  0.355  4.48E-01 3.81E-01 2.29E+00 3.24E-02 8.17E-02 9.62E-02 7.99E-02 5.13E-02 2.63E-02 1.10E-02 3.74E-03 1.06E-03 2.47E-04 4.81E-05 7.79E-06 1.05E-06 1.19E-07 1.12E-08 8.82E-10 5.83E-11 3.22E-12 1.49E-13 5.79E-15 1.88E-16 5.14E-18 1.18E-19 2.26E-21 3.63E-23 4.91E-25 5.57E-27 5.30E-29 1.00E-30 1.00E-30
   1.00  0.410  7.15E-01 5.33E-01 3.21E+00 4.54E-02 1.14E-01 1.35E-01 1.12E-01 7.18E-02 3.68E-02 1.53E-02 5.24E-03 1.48E-03 3.46E-04 6.73E-05 1.09E-05 1.47E-06 1.66E-07 1.57E-08 1.24E-09 8.16E-11 4.51E-12 2.09E-13 8.11E-15 2.64E-16 7.20E-18 1.65E-19 3.16E-21 5.09E-23 6.87E-25 7.79E-27 7.42E-29 1.00E-30 1.00E-30
   1.25  0.458  1.08E+00 7.24E-01 4.36E+00 6.16E-02 1.55E-01 1.83E-01 1.52E-01 9.75E-02 5.00E-02 2.08E-02 7.12E-03 2.01E-03 4.70E-04 9.14E-05 1.48E-05 2.00E-06 2.26E-07 2.13E-08 1.68E-09 1.11E-10 6.12E-12 2.84E-13 1.10E-14 3.58E-16 9.77E-18 2.24E-19 4.29E-21 6.91E-23 9.34E-25 1.06E-26 1.01E-28 1.00E-30 1.00E-30
   1.50  0.502  1.56E+00 9.70E-01 5.83E+00 8.24E-02 2.08E-01 2.45E-01 2.03E-01 1.31E-01 6.69E-02 2.79E-02 9.53E-03 2.69E-03 6.29E-04 1.22E-04 1.98E-05 2.68E-06 3.02E-07 2.85E-08 2.25E-09 1.48E-10 8.20E-12 3.80E-13 1.47E-14 4.79E-16 1.31E-17 2.99E-19 5.74E-21 9.25E-23 1.25E-24 1.42E-26 1.35E-28 1.08E-30 1.00E-30
   1.75  0.542  2.21E+00 1.29E+00 7.75E+00 1.10E-01 2.76E-01 3.25E-01 2.70E-01 1.73E-01 8.89E-02 3.70E-02 1.27E-02 3.57E-03 8.36E-04 1.63E-04 2.63E-05 3.56E-06 4.01E-07 3.78E-08 2.98E-09 1.97E-10 1.09E-11 5.04E-13 1.96E-14 6.37E-16 1.74E-17 3.98E-19 7.63E-21 1.23E-22 1.66E-24 1.88E-26 1.79E-28 1.43E-30 1.00E-30
   2.00  0.579  3.06E+00 1.70E+00 1.02E+01 1.45E-01 3.65E-01 4.29E-01 3.57E-01 2.29E-01 1.17E-01 4.89E-02 1.67E-02 4.72E-03 1.10E-03 2.15E-04 3.48E-05 4.70E-06 5.30E-07 5.00E-08 3.94E-09 2.60E-10 1.44E-11 6.66E-13 2.59E-14 8.41E-16 2.29E-17 5.25E-19 1.01E-20 1.62E-22 2.19E-24 2.49E-26 2.37E-28 1.89E-30 1.00E-30
