                    ************************************************************************************************
                    *  Z= 31 A= 65: Positive-Parity Spin-dependent Level Density [MeV-1] for Ga 65 and ldmodel= 2  *
                    ************************************************************************************************
 U[MeV]  T[MeV]  NCUMUL   RHOOBS   RHOTOT    J=01/2   J=03/2   J=05/2   J=07/2   J=09/2   J=11/2   J=13/2   J=15/2   J=17/2   J=19/2   J=21/2   J=23/2   J=25/2   J=27/2   J=29/2   J=31/2   J=33/2   J=35/2   J=37/2   J=39/2   J=41/2   J=43/2   J=45/2   J=47/2   J=49/2   J=51/2   J=53/2   J=55/2   J=57/2   J=59/2
   0.25  0.180  1.10E+00 2.20E+00 1.05E+01 3.79E-01 5.70E-01 5.33E-01 3.66E-01 1.95E-01 8.28E-02 2.82E-02 7.79E-03 1.75E-03 3.23E-04 4.86E-05 6.01E-06 6.11E-07 5.11E-08 3.52E-09 1.99E-10 9.32E-12 3.59E-13 1.14E-14 3.00E-16 6.50E-18 1.16E-19 1.72E-21 2.09E-23 2.11E-25 1.76E-27 1.21E-29 1.00E-30 1.00E-30 1.00E-30
   0.50  0.254  2.70E+00 3.19E+00 1.52E+01 5.49E-01 8.27E-01 7.73E-01 5.31E-01 2.83E-01 1.20E-01 4.09E-02 1.13E-02 2.54E-03 4.68E-04 7.05E-05 8.72E-06 8.86E-07 7.41E-08 5.10E-09 2.89E-10 1.35E-11 5.21E-13 1.66E-14 4.35E-16 9.43E-18 1.69E-19 2.49E-21 3.04E-23 3.06E-25 2.55E-27 1.75E-29 1.00E-30 1.00E-30 1.00E-30
   0.75  0.312  4.98E+00 4.57E+00 2.18E+01 7.87E-01 1.18E+00 1.11E+00 7.61E-01 4.06E-01 1.72E-01 5.86E-02 1.62E-02 3.64E-03 6.70E-04 1.01E-04 1.25E-05 1.27E-06 1.06E-07 7.30E-09 4.14E-10 1.94E-11 7.46E-13 2.37E-14 6.23E-16 1.35E-17 2.41E-19 3.57E-21 4.35E-23 4.38E-25 3.65E-27 2.51E-29 1.00E-30 1.00E-30 1.00E-30
   1.00  0.360  8.21E+00 6.46E+00 3.09E+01 1.11E+00 1.68E+00 1.57E+00 1.08E+00 5.74E-01 2.43E-01 8.29E-02 2.29E-02 5.15E-03 9.48E-04 1.43E-04 1.77E-05 1.80E-06 1.50E-07 1.03E-08 5.86E-10 2.74E-11 1.06E-12 3.36E-14 8.81E-16 1.91E-17 3.41E-19 5.04E-21 6.15E-23 6.20E-25 5.16E-27 3.55E-29 1.00E-30 1.00E-30 1.00E-30
   1.25  0.402  1.27E+01 9.04E+00 4.32E+01 1.56E+00 2.34E+00 2.19E+00 1.51E+00 8.03E-01 3.40E-01 1.16E-01 3.20E-02 7.21E-03 1.33E-03 2.00E-04 2.47E-05 2.51E-06 2.10E-07 1.45E-08 8.19E-10 3.83E-11 1.48E-12 4.70E-14 1.23E-15 2.67E-17 4.78E-19 7.05E-21 8.61E-23 8.67E-25 7.22E-27 4.97E-29 1.00E-30 1.00E-30 1.00E-30
   1.50  0.441  1.89E+01 1.23E+01 5.99E+01 2.07E+00 3.14E+00 2.97E+00 2.08E+00 1.14E+00 4.97E-01 1.76E-01 5.06E-02 1.19E-02 2.31E-03 3.69E-04 4.87E-05 5.30E-06 4.78E-07 3.56E-08 2.20E-09 1.13E-10 4.79E-12 1.69E-13 4.93E-15 1.20E-16 2.41E-18 4.03E-20 5.60E-22 6.46E-24 6.19E-26 4.93E-28 3.26E-30 1.00E-30 1.00E-30
   1.75  0.476  2.71E+01 1.64E+01 8.26E+01 2.62E+00 4.03E+00 3.92E+00 2.84E+00 1.63E+00 7.50E-01 2.83E-01 8.77E-02 2.25E-02 4.80E-03 8.52E-04 1.26E-04 1.55E-05 1.60E-06 1.38E-07 9.96E-09 6.01E-10 3.04E-11 1.29E-12 4.58E-14 1.36E-15 3.40E-17 7.12E-19 1.25E-20 1.84E-22 2.28E-24 2.37E-26 2.06E-28 1.51E-30 1.00E-30
   2.00  0.509  3.80E+01 2.17E+01 1.13E+02 3.30E+00 5.15E+00 5.12E+00 3.83E+00 2.28E+00 1.11E+00 4.42E-01 1.47E-01 4.06E-02 9.43E-03 1.84E-03 3.01E-04 4.15E-05 4.83E-06 4.74E-07 3.93E-08 2.75E-09 1.63E-10 8.14E-12 3.44E-13 1.23E-14 3.73E-16 9.55E-18 2.07E-19 3.80E-21 5.91E-23 7.78E-25 8.67E-27 8.18E-29 1.00E-30
   2.25  0.540  5.22E+01 2.85E+01 1.52E+02 4.14E+00 6.54E+00 6.63E+00 5.10E+00 3.15E+00 1.60E+00 6.72E-01 2.37E-01 7.04E-02 1.76E-02 3.74E-03 6.73E-04 1.03E-04 1.33E-05 1.47E-06 1.38E-07 1.10E-08 7.53E-10 4.37E-11 2.16E-12 9.14E-14 3.29E-15 1.01E-16 2.65E-18 5.93E-20 1.13E-21 1.85E-23 2.57E-25 3.05E-27 3.10E-29
   2.50  0.569  7.08E+01 3.72E+01 2.05E+02 5.16E+00 8.25E+00 8.52E+00 6.73E+00 4.30E+00 2.27E+00 1.00E+00 3.73E-01 1.18E-01 3.16E-02 7.25E-03 1.42E-03 2.37E-04 3.40E-05 4.17E-06 4.39E-07 3.96E-08 3.07E-09 2.04E-10 1.17E-11 5.72E-13 2.41E-14 8.73E-16 2.72E-17 7.28E-19 1.68E-20 3.32E-22 5.65E-24 8.27E-26 1.04E-27
   2.75  0.597  9.50E+01 4.83E+01 2.73E+02 6.42E+00 1.04E+01 1.09E+01 8.80E+00 5.79E+00 3.17E+00 1.46E+00 5.72E-01 1.91E-01 5.48E-02 1.35E-02 2.84E-03 5.17E-04 8.10E-05 1.09E-05 1.28E-06 1.29E-07 1.12E-08 8.43E-10 5.48E-11 3.08E-12 1.50E-13 6.32E-15 2.30E-16 7.25E-18 1.98E-19 4.67E-21 9.56E-23 1.69E-24 2.60E-26
   3.00  0.623  1.26E+02 6.23E+01 3.61E+02 7.95E+00 1.30E+01 1.38E+01 1.14E+01 7.71E+00 4.36E+00 2.09E+00 8.59E-01 3.02E-01 9.17E-02 2.40E-02 5.44E-03 1.07E-03 1.82E-04 2.69E-05 3.44E-06 3.84E-07 3.72E-08 3.13E-09 2.29E-10 1.46E-11 8.11E-13 3.92E-14 1.65E-15 6.03E-17 1.92E-18 5.33E-20 1.29E-21 2.72E-23 4.99E-25
   3.25  0.649  1.66E+02 8.00E+01 4.75E+02 9.82E+00 1.61E+01 1.74E+01 1.47E+01 1.02E+01 5.94E+00 2.96E+00 1.26E+00 4.67E-01 1.49E-01 4.15E-02 1.00E-02 2.11E-03 3.87E-04 6.21E-05 8.68E-06 1.06E-06 1.13E-07 1.06E-08 8.65E-10 6.19E-11 3.87E-12 2.12E-13 1.02E-14 4.27E-16 1.57E-17 5.06E-19 1.43E-20 3.53E-22 7.63E-24
   3.50  0.673  2.17E+02 1.02E+02 6.20E+02 1.21E+01 2.00E+01 2.19E+01 1.88E+01 1.33E+01 8.00E+00 4.12E+00 1.83E+00 7.06E-01 2.37E-01 6.96E-02 1.78E-02 4.00E-03 7.88E-04 1.36E-04 2.06E-05 2.74E-06 3.21E-07 3.30E-08 2.98E-09 2.37E-10 1.65E-11 1.02E-12 5.51E-14 2.63E-15 1.10E-16 4.07E-18 1.32E-19 3.79E-21 9.55E-23
   3.75  0.697  2.82E+02 1.30E+02 8.06E+02 1.48E+01 2.47E+01 2.73E+01 2.39E+01 1.73E+01 1.07E+01 5.66E+00 2.61E+00 1.05E+00 3.68E-01 1.14E-01 3.08E-02 7.33E-03 1.54E-03 2.84E-04 4.64E-05 6.68E-06 8.49E-07 9.53E-08 9.45E-09 8.29E-10 6.42E-11 4.40E-12 2.66E-13 1.43E-14 6.75E-16 2.83E-17 1.05E-18 3.44E-20 9.98E-22
   4.00  0.720  3.64E+02 1.64E+02 1.04E+03 1.81E+01 3.04E+01 3.40E+01 3.02E+01 2.23E+01 1.41E+01 7.69E+00 3.66E+00 1.53E+00 5.60E-01 1.81E-01 5.16E-02 1.30E-02 2.89E-03 5.70E-04 9.97E-05 1.54E-05 2.12E-06 2.58E-07 2.79E-08 2.68E-09 2.28E-10 1.73E-11 1.16E-12 6.92E-14 3.67E-15 1.73E-16 7.24E-18 2.69E-19 8.90E-21
