                    ************************************************************************************************
                    *  Z= 26 A= 56: Positive-Parity Spin-dependent Level Density [MeV-1] for Fe 56 and ldmodel= 6  *
                    ************************************************************************************************
 U[MeV]  T[MeV]  NCUMUL   RHOOBS   RHOTOT     J=00     J=01     J=02     J=03     J=04     J=05     J=06     J=07     J=08     J=09     J=10     J=11     J=12     J=13     J=14     J=15     J=16     J=17     J=18     J=19     J=20     J=21     J=22     J=23     J=24     J=25     J=26     J=27     J=28     J=29
   3.25  0.695  1.33E+01 1.01E+01 5.82E+01 1.87E+00 1.58E+00 2.48E+00 2.03E+00 9.14E-01 6.10E-01 3.99E-01 3.23E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   3.50  0.721  1.69E+01 1.42E+01 9.22E+01 2.03E+00 1.90E+00 2.65E+00 2.64E+00 1.62E+00 9.52E-01 9.12E-01 7.39E-01 2.82E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   3.75  0.746  2.14E+01 1.69E+01 1.19E+02 1.86E+00 2.83E+00 3.14E+00 2.25E+00 2.31E+00 1.47E+00 8.31E-01 7.16E-01 1.13E+00 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   4.00  0.771  2.64E+01 1.67E+01 1.22E+02 1.75E+00 2.94E+00 3.46E+00 1.64E+00 2.65E+00 1.78E+00 7.07E-01 4.57E-01 1.34E+00 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   4.25  0.795  3.26E+01 2.07E+01 1.43E+02 2.57E+00 2.79E+00 3.62E+00 2.18E+00 4.66E+00 1.89E+00 9.91E-01 6.92E-01 7.61E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   4.50  0.818  4.13E+01 2.78E+01 1.92E+02 3.23E+00 3.37E+00 4.10E+00 3.34E+00 7.64E+00 2.08E+00 1.32E+00 1.51E+00 2.27E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   4.75  0.840  5.20E+01 3.13E+01 2.20E+02 3.21E+00 4.23E+00 5.12E+00 4.11E+00 8.74E+00 2.06E+00 1.32E+00 1.90E+00 6.57E-02 9.03E-03 6.04E-02 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   5.00  0.862  6.28E+01 3.24E+01 2.42E+02 2.86E+00 4.38E+00 5.56E+00 4.50E+00 8.16E+00 2.39E+00 1.85E+00 1.48E+00 2.88E-01 1.17E-03 7.72E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   5.50  0.904  1.04E+02 5.61E+01 5.04E+02 2.90E+00 5.37E+00 7.42E+00 6.46E+00 1.27E+01 4.73E+00 4.77E+00 3.72E+00 2.76E+00 1.91E+00 9.78E-01 6.37E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   6.00  0.944  1.74E+02 9.55E+01 8.80E+02 5.71E+00 6.30E+00 1.04E+01 1.69E+01 1.19E+01 1.27E+01 1.20E+01 6.27E+00 4.52E+00 2.86E+00 2.65E+00 6.26E-02 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
