                    ************************************************************************************************
                    *  Z= 38 A= 86: Positive-Parity Spin-dependent Level Density [MeV-1] for Sr 86 and ldmodel= 1  *
                    ************************************************************************************************
 U[MeV]  T[MeV]  NCUMUL   RHOOBS   RHOTOT     J=00     J=01     J=02     J=03     J=04     J=05     J=06     J=07     J=08     J=09     J=10     J=11     J=12     J=13     J=14     J=15     J=16     J=17     J=18     J=19     J=20     J=21     J=22     J=23     J=24     J=25     J=26     J=27     J=28     J=29
   3.25  0.520  3.29E+02 2.34E+02 2.00E+03 1.00E+01 2.75E+01 3.86E+01 4.17E+01 3.80E+01 3.01E+01 2.12E+01 1.34E+01 7.59E+00 3.90E+00 1.82E+00 7.70E-01 2.97E-01 1.04E-01 3.34E-02 9.78E-03 2.61E-03 6.39E-04 1.43E-04 2.91E-05 5.44E-06 9.31E-07 1.46E-07 2.09E-08 2.74E-09 3.29E-10 3.62E-11 3.64E-12 3.36E-13 2.84E-14
   3.50  0.539  5.08E+02 3.58E+02 3.09E+03 1.50E+01 4.13E+01 5.82E+01 6.32E+01 5.79E+01 4.63E+01 3.30E+01 2.10E+01 1.21E+01 6.32E+00 3.00E+00 1.29E+00 5.09E-01 1.83E-01 6.01E-02 1.80E-02 4.96E-03 1.25E-03 2.87E-04 6.07E-05 1.17E-05 2.08E-06 3.38E-07 5.04E-08 6.90E-09 8.65E-10 9.96E-11 1.05E-11 1.02E-12 9.06E-14
   3.75  0.558  7.80E+02 5.45E+02 4.75E+03 2.24E+01 6.18E+01 8.73E+01 9.53E+01 8.79E+01 7.09E+01 5.10E+01 3.29E+01 1.92E+01 1.02E+01 4.90E+00 2.16E+00 8.66E-01 3.18E-01 1.07E-01 3.29E-02 9.29E-03 2.40E-03 5.71E-04 1.24E-04 2.49E-05 4.57E-06 7.70E-07 1.19E-07 1.70E-08 2.22E-09 2.67E-10 2.95E-11 2.99E-12 2.79E-13
   4.00  0.576  1.19E+03 8.27E+02 7.27E+03 3.33E+01 9.22E+01 1.31E+02 1.43E+02 1.33E+02 1.08E+02 7.85E+01 5.12E+01 3.03E+01 1.63E+01 7.97E+00 3.57E+00 1.46E+00 5.47E-01 1.88E-01 5.94E-02 1.72E-02 4.57E-03 1.12E-03 2.51E-04 5.18E-05 9.84E-06 1.72E-06 2.76E-07 4.09E-08 5.56E-09 6.97E-10 8.03E-11 8.53E-12 8.34E-13
   4.25  0.594  1.82E+03 1.25E+03 1.11E+04 4.95E+01 1.37E+02 1.95E+02 2.14E+02 2.00E+02 1.64E+02 1.20E+02 7.94E+01 4.75E+01 2.59E+01 1.29E+01 5.86E+00 2.44E+00 9.35E-01 3.28E-01 1.06E-01 3.15E-02 8.59E-03 2.16E-03 4.99E-04 1.06E-04 2.08E-05 3.77E-06 6.27E-07 9.63E-08 1.36E-08 1.78E-09 2.13E-10 2.37E-11 2.42E-12
   4.50  0.611  2.76E+03 1.89E+03 1.69E+04 7.32E+01 2.03E+02 2.89E+02 3.20E+02 3.01E+02 2.49E+02 1.84E+02 1.22E+02 7.42E+01 4.10E+01 2.07E+01 9.57E+00 4.06E+00 1.58E+00 5.68E-01 1.87E-01 5.70E-02 1.60E-02 4.12E-03 9.79E-04 2.15E-04 4.35E-05 8.12E-06 1.40E-06 2.22E-07 3.27E-08 4.43E-09 5.54E-10 6.40E-11 6.83E-12
   4.75  0.628  4.18E+03 2.84E+03 2.57E+04 1.08E+02 3.01E+02 4.29E+02 4.77E+02 4.51E+02 3.75E+02 2.80E+02 1.88E+02 1.15E+02 6.45E+01 3.30E+01 1.55E+01 6.71E+00 2.66E+00 9.75E-01 3.29E-01 1.02E-01 2.93E-02 7.76E-03 1.90E-03 4.28E-04 8.93E-05 1.72E-05 3.07E-06 5.04E-07 7.68E-08 1.08E-08 1.40E-09 1.69E-10 1.88E-11
   5.00  0.644  6.32E+03 4.26E+03 3.89E+04 1.59E+02 4.44E+02 6.36E+02 7.10E+02 6.74E+02 5.65E+02 4.24E+02 2.89E+02 1.79E+02 1.01E+02 5.26E+01 2.51E+01 1.10E+01 4.45E+00 1.66E+00 5.72E-01 1.82E-01 5.34E-02 1.45E-02 3.64E-03 8.44E-04 1.81E-04 3.60E-05 6.61E-06 1.12E-06 1.77E-07 2.58E-08 3.48E-09 4.36E-10 5.04E-11
   5.50  0.676  1.59E+04 9.54E+03 8.85E+04 3.45E+02 9.61E+02 1.38E+03 1.56E+03 1.50E+03 1.27E+03 9.69E+02 6.71E+02 4.24E+02 2.46E+02 1.31E+02 6.44E+01 2.92E+01 1.22E+01 4.72E+00 1.69E+00 5.60E-01 1.72E-01 4.89E-02 1.29E-02 3.16E-03 7.16E-04 1.51E-04 2.94E-05 5.32E-06 8.95E-07 1.40E-07 2.02E-08 2.72E-09 3.40E-10
   6.00  0.706  3.70E+04 2.12E+04 2.00E+05 7.40E+02 2.07E+03 2.99E+03 3.39E+03 3.29E+03 2.83E+03 2.19E+03 1.54E+03 9.94E+02 5.89E+02 3.22E+02 1.62E+02 7.57E+01 3.27E+01 1.31E+01 4.86E+00 1.68E+00 5.36E-01 1.59E-01 4.40E-02 1.13E-02 2.70E-03 5.99E-04 1.24E-04 2.37E-05 4.24E-06 7.05E-07 1.09E-07 1.57E-08 2.11E-09
   6.50  0.735  8.37E+04 4.67E+04 4.48E+05 1.58E+03 4.42E+03 6.43E+03 7.34E+03 7.18E+03 6.24E+03 4.90E+03 3.51E+03 2.30E+03 1.39E+03 7.79E+02 4.03E+02 1.93E+02 8.59E+01 3.55E+01 1.36E+01 4.88E+00 1.62E+00 5.03E-01 1.45E-01 3.90E-02 9.75E-03 2.28E-03 4.95E-04 1.00E-04 1.90E-05 3.35E-06 5.52E-07 8.47E-08 1.21E-08
   7.00  0.763  1.86E+05 1.02E+05 9.98E+05 3.35E+03 9.42E+03 1.38E+04 1.58E+04 1.56E+04 1.37E+04 1.09E+04 7.91E+03 5.28E+03 3.26E+03 1.86E+03 9.85E+02 4.85E+02 2.22E+02 9.44E+01 3.75E+01 1.39E+01 4.78E+00 1.54E+00 4.62E-01 1.30E-01 3.39E-02 8.30E-03 1.90E-03 4.05E-04 8.08E-05 1.51E-05 2.63E-06 4.28E-07 6.52E-08
   7.50  0.789  4.09E+05 2.23E+05 2.21E+06 7.05E+03 1.98E+04 2.91E+04 3.37E+04 3.35E+04 2.98E+04 2.40E+04 1.78E+04 1.21E+04 7.61E+03 4.45E+03 2.42E+03 1.22E+03 5.76E+02 2.54E+02 1.04E+02 4.00E+01 1.44E+01 4.82E+00 1.51E+00 4.45E-01 1.22E-01 3.15E-02 7.59E-03 1.71E-03 3.63E-04 7.18E-05 1.33E-05 2.32E-06 3.78E-07
   8.00  0.815  8.84E+05 4.75E+05 4.83E+06 1.43E+04 4.04E+04 5.97E+04 6.96E+04 7.02E+04 6.33E+04 5.20E+04 3.92E+04 2.73E+04 1.77E+04 1.06E+04 5.97E+03 3.13E+03 1.53E+03 7.04E+02 3.02E+02 1.22E+02 4.60E+01 1.63E+01 5.41E+00 1.69E+00 4.94E-01 1.36E-01 3.51E-02 8.51E-03 1.94E-03 4.15E-04 8.35E-05 1.58E-05 2.81E-06
   8.50  0.840  1.87E+06 9.85E+05 1.02E+07 2.84E+04 8.05E+04 1.19E+05 1.40E+05 1.43E+05 1.31E+05 1.09E+05 8.37E+04 5.95E+04 3.94E+04 2.44E+04 1.41E+04 7.61E+03 3.86E+03 1.83E+03 8.20E+02 3.44E+02 1.36E+02 5.04E+01 1.76E+01 5.77E+00 1.78E+00 5.19E-01 1.42E-01 3.67E-02 8.93E-03 2.05E-03 4.41E-04 8.97E-05 1.72E-05
   9.00  0.865  3.86E+06 1.99E+06 2.11E+07 5.53E+04 1.57E+05 2.34E+05 2.77E+05 2.85E+05 2.63E+05 2.22E+05 1.73E+05 1.26E+05 8.50E+04 5.37E+04 3.18E+04 1.77E+04 9.23E+03 4.53E+03 2.10E+03 9.12E+02 3.74E+02 1.45E+02 5.27E+01 1.81E+01 5.88E+00 1.80E+00 5.20E-01 1.42E-01 3.65E-02 8.86E-03 2.03E-03 4.41E-04 9.02E-05
   9.50  0.888  7.81E+06 3.95E+06 4.26E+07 1.06E+05 3.00E+05 4.49E+05 5.35E+05 5.54E+05 5.18E+05 4.43E+05 3.50E+05 2.58E+05 1.78E+05 1.15E+05 6.94E+04 3.95E+04 2.12E+04 1.07E+04 5.10E+03 2.29E+03 9.74E+02 3.91E+02 1.48E+02 5.30E+01 1.79E+01 5.74E+00 1.74E+00 4.97E-01 1.35E-01 3.45E-02 8.36E-03 1.92E-03 4.16E-04
