                    ************************************************************************************************
                    *  Z= 31 A= 65: Positive-Parity Spin-dependent Level Density [MeV-1] for Ga 65 and ldmodel= 1  *
                    ************************************************************************************************
 U[MeV]  T[MeV]  NCUMUL   RHOOBS   RHOTOT    J=01/2   J=03/2   J=05/2   J=07/2   J=09/2   J=11/2   J=13/2   J=15/2   J=17/2   J=19/2   J=21/2   J=23/2   J=25/2   J=27/2   J=29/2   J=31/2   J=33/2   J=35/2   J=37/2   J=39/2   J=41/2   J=43/2   J=45/2   J=47/2   J=49/2   J=51/2   J=53/2   J=55/2   J=57/2   J=59/2
   0.25  0.168  1.49E+00 2.99E+00 1.43E+01 5.14E-01 7.74E-01 7.23E-01 4.97E-01 2.65E-01 1.12E-01 3.83E-02 1.06E-02 2.38E-03 4.38E-04 6.60E-05 8.16E-06 8.30E-07 6.94E-08 4.77E-09 2.71E-10 1.27E-11 4.88E-13 1.55E-14 4.07E-16 8.82E-18 1.58E-19 2.33E-21 2.84E-23 2.87E-25 2.39E-27 1.64E-29 1.00E-30 1.00E-30 1.00E-30
   0.50  0.237  3.34E+00 3.69E+00 1.76E+01 6.35E-01 9.56E-01 8.94E-01 6.14E-01 3.28E-01 1.39E-01 4.73E-02 1.31E-02 2.94E-03 5.41E-04 8.15E-05 1.01E-05 1.02E-06 8.57E-08 5.90E-09 3.34E-10 1.56E-11 6.03E-13 1.92E-14 5.03E-16 1.09E-17 1.95E-19 2.88E-21 3.51E-23 3.54E-25 2.95E-27 2.03E-29 1.00E-30 1.00E-30 1.00E-30
   0.75  0.290  5.61E+00 4.56E+00 2.18E+01 7.84E-01 1.18E+00 1.10E+00 7.59E-01 4.05E-01 1.71E-01 5.84E-02 1.61E-02 3.63E-03 6.68E-04 1.01E-04 1.25E-05 1.27E-06 1.06E-07 7.28E-09 4.13E-10 1.93E-11 7.44E-13 2.37E-14 6.21E-16 1.35E-17 2.41E-19 3.56E-21 4.34E-23 4.37E-25 3.64E-27 2.50E-29 1.00E-30 1.00E-30 1.00E-30
   1.00  0.335  8.43E+00 5.63E+00 2.69E+01 9.69E-01 1.46E+00 1.36E+00 9.37E-01 5.00E-01 2.12E-01 7.21E-02 1.99E-02 4.49E-03 8.25E-04 1.24E-04 1.54E-05 1.56E-06 1.31E-07 9.00E-09 5.10E-10 2.38E-11 9.19E-13 2.92E-14 7.67E-16 1.66E-17 2.97E-19 4.39E-21 5.36E-23 5.40E-25 4.50E-27 3.09E-29 1.00E-30 1.00E-30 1.00E-30
   1.25  0.375  1.19E+01 6.95E+00 3.32E+01 1.20E+00 1.80E+00 1.68E+00 1.16E+00 6.17E-01 2.61E-01 8.91E-02 2.46E-02 5.54E-03 1.02E-03 1.54E-04 1.90E-05 1.93E-06 1.61E-07 1.11E-08 6.30E-10 2.95E-11 1.14E-12 3.61E-14 9.48E-16 2.05E-17 3.67E-19 5.42E-21 6.62E-23 6.67E-25 5.55E-27 3.82E-29 1.00E-30 1.00E-30 1.00E-30
   1.50  0.410  1.62E+01 8.58E+00 4.16E+01 1.45E+00 2.19E+00 2.07E+00 1.45E+00 7.87E-01 3.42E-01 1.20E-01 3.43E-02 8.01E-03 1.54E-03 2.43E-04 3.16E-05 3.40E-06 3.02E-07 2.22E-08 1.35E-09 6.78E-11 2.82E-12 9.76E-14 2.79E-15 6.63E-17 1.31E-18 2.13E-20 2.89E-22 3.25E-24 3.03E-26 2.35E-28 1.51E-30 1.00E-30 1.00E-30
   1.75  0.443  2.15E+01 1.06E+01 5.28E+01 1.71E+00 2.63E+00 2.54E+00 1.82E+00 1.03E+00 4.67E-01 1.73E-01 5.26E-02 1.32E-02 2.73E-03 4.71E-04 6.74E-05 8.02E-06 7.96E-07 6.58E-08 4.54E-09 2.62E-10 1.26E-11 5.07E-13 1.70E-14 4.78E-16 1.12E-17 2.21E-19 3.63E-21 4.99E-23 5.74E-25 5.53E-27 4.45E-29 1.00E-30 1.00E-30
   2.00  0.474  2.80E+01 1.31E+01 6.69E+01 2.03E+00 3.16E+00 3.10E+00 2.29E+00 1.34E+00 6.33E-01 2.46E-01 7.91E-02 2.11E-02 4.71E-03 8.77E-04 1.37E-04 1.79E-05 1.96E-06 1.81E-07 1.41E-08 9.17E-10 5.03E-11 2.32E-12 9.04E-14 2.96E-15 8.18E-17 1.90E-18 3.73E-20 6.17E-22 8.60E-24 1.01E-25 1.00E-27 8.36E-30 1.00E-30
   2.25  0.503  3.61E+01 1.62E+01 8.47E+01 2.42E+00 3.79E+00 3.79E+00 2.87E+00 1.73E+00 8.49E-01 3.45E-01 1.17E-01 3.31E-02 7.87E-03 1.58E-03 2.66E-04 3.80E-05 4.58E-06 4.67E-07 4.03E-08 2.94E-09 1.82E-10 9.57E-12 4.26E-13 1.61E-14 5.15E-16 1.40E-17 3.22E-19 6.31E-21 1.05E-22 1.48E-24 1.77E-26 1.80E-28 1.56E-30
   2.50  0.530  4.61E+01 2.00E+01 1.07E+02 2.88E+00 4.56E+00 4.63E+00 3.58E+00 2.22E+00 1.13E+00 4.78E-01 1.70E-01 5.08E-02 1.28E-02 2.75E-03 4.99E-04 7.71E-05 1.01E-05 1.13E-06 1.08E-07 8.75E-09 6.06E-10 3.58E-11 1.80E-12 7.75E-14 2.84E-15 8.92E-17 2.39E-18 5.46E-20 1.07E-21 1.78E-23 2.54E-25 3.10E-27 3.23E-29
   2.75  0.556  5.84E+01 2.47E+01 1.35E+02 3.43E+00 5.48E+00 5.65E+00 4.46E+00 2.84E+00 1.49E+00 6.57E-01 2.44E-01 7.66E-02 2.05E-02 4.66E-03 9.06E-04 1.51E-04 2.14E-05 2.61E-06 2.72E-07 2.43E-08 1.87E-09 1.23E-10 6.94E-12 3.37E-13 1.40E-14 5.02E-16 1.54E-17 4.07E-19 9.24E-21 1.80E-22 3.02E-24 4.36E-26 5.40E-28
   3.00  0.581  7.37E+01 3.05E+01 1.71E+02 4.10E+00 6.60E+00 6.89E+00 5.54E+00 3.62E+00 1.96E+00 8.93E-01 3.45E-01 1.14E-01 3.20E-02 7.72E-03 1.60E-03 2.84E-04 4.35E-05 5.73E-06 6.50E-07 6.36E-08 5.37E-09 3.91E-10 2.46E-11 1.33E-12 6.24E-14 2.52E-15 8.82E-17 2.66E-18 6.94E-20 1.57E-21 3.05E-23 5.13E-25 7.47E-27
   3.25  0.604  9.25E+01 3.76E+01 2.15E+02 4.89E+00 7.94E+00 8.41E+00 6.88E+00 4.59E+00 2.56E+00 1.21E+00 4.84E-01 1.66E-01 4.91E-02 1.25E-02 2.74E-03 5.20E-04 8.51E-05 1.21E-05 1.48E-06 1.58E-07 1.45E-08 1.16E-09 8.07E-11 4.86E-12 2.54E-13 1.15E-14 4.53E-16 1.55E-17 4.59E-19 1.18E-20 2.65E-22 5.15E-24 8.71E-26
   3.50  0.627  1.16E+02 4.65E+01 2.71E+02 5.85E+00 9.57E+00 1.02E+01 8.52E+00 5.81E+00 3.32E+00 1.61E+00 6.72E-01 2.40E-01 7.43E-02 1.98E-02 4.60E-03 9.24E-04 1.61E-04 2.45E-05 3.24E-06 3.73E-07 3.73E-08 3.26E-09 2.48E-10 1.64E-11 9.49E-13 4.79E-14 2.11E-15 8.08E-17 2.70E-18 7.90E-20 2.02E-21 4.48E-23 8.71E-25
   3.75  0.649  1.44E+02 5.74E+01 3.42E+02 7.01E+00 1.15E+01 1.25E+01 1.05E+01 7.34E+00 4.30E+00 2.15E+00 9.24E-01 3.43E-01 1.11E-01 3.10E-02 7.55E-03 1.60E-03 2.97E-04 4.81E-05 6.81E-06 8.42E-07 9.11E-08 8.63E-09 7.16E-10 5.19E-11 3.30E-12 1.84E-13 8.97E-15 3.84E-16 1.44E-17 4.72E-19 1.36E-20 3.43E-22 7.59E-24
   4.00  0.670  1.80E+02 7.09E+01 4.30E+02 8.40E+00 1.39E+01 1.52E+01 1.30E+01 9.24E+00 5.54E+00 2.84E+00 1.26E+00 4.86E-01 1.63E-01 4.76E-02 1.22E-02 2.72E-03 5.33E-04 9.16E-05 1.38E-05 1.83E-06 2.13E-07 2.18E-08 1.96E-09 1.55E-10 1.07E-11 6.56E-13 3.53E-14 1.67E-15 6.95E-17 2.55E-18 8.22E-20 2.33E-21 5.84E-23
