                    ************************************************************************************************
                    *  Z= 25 A= 55: Positive-Parity Spin-dependent Level Density [MeV-1] for Mn 55 and ldmodel= 1  *
                    ************************************************************************************************
 U[MeV]  T[MeV]  NCUMUL   RHOOBS   RHOTOT    J=01/2   J=03/2   J=05/2   J=07/2   J=09/2   J=11/2   J=13/2   J=15/2   J=17/2   J=19/2   J=21/2   J=23/2   J=25/2   J=27/2   J=29/2   J=31/2   J=33/2   J=35/2   J=37/2   J=39/2   J=41/2   J=43/2   J=45/2   J=47/2   J=49/2   J=51/2   J=53/2   J=55/2   J=57/2   J=59/2
   0.25  0.186  1.28E+00 2.56E+00 1.29E+01 4.08E-01 6.29E-01 6.12E-01 4.44E-01 2.54E-01 1.17E-01 4.42E-02 1.37E-02 3.53E-03 7.53E-04 1.34E-04 1.98E-05 2.45E-06 2.53E-07 2.18E-08 1.58E-09 9.53E-11 4.83E-12 2.05E-13 7.29E-15 2.18E-16 5.45E-18 1.14E-19 2.01E-21 2.97E-23 3.69E-25 3.84E-27 3.35E-29 1.00E-30 1.00E-30
   0.50  0.263  2.81E+00 3.06E+00 1.54E+01 4.87E-01 7.51E-01 7.29E-01 5.30E-01 3.03E-01 1.40E-01 5.28E-02 1.64E-02 4.21E-03 8.99E-04 1.60E-04 2.36E-05 2.92E-06 3.01E-07 2.60E-08 1.88E-09 1.14E-10 5.76E-12 2.44E-13 8.70E-15 2.60E-16 6.50E-18 1.36E-19 2.40E-21 3.55E-23 4.40E-25 4.58E-27 4.00E-29 1.00E-30 1.00E-30
   0.75  0.322  4.64E+00 3.65E+00 1.83E+01 5.81E-01 8.96E-01 8.70E-01 6.32E-01 3.61E-01 1.67E-01 6.29E-02 1.95E-02 5.02E-03 1.07E-03 1.90E-04 2.82E-05 3.48E-06 3.59E-07 3.10E-08 2.24E-09 1.36E-10 6.87E-12 2.92E-13 1.04E-14 3.10E-16 7.75E-18 1.63E-19 2.86E-21 4.23E-23 5.25E-25 5.46E-27 4.77E-29 1.00E-30 1.00E-30
   1.00  0.371  6.81E+00 4.35E+00 2.19E+01 6.93E-01 1.07E+00 1.04E+00 7.53E-01 4.31E-01 1.99E-01 7.51E-02 2.33E-02 5.99E-03 1.28E-03 2.27E-04 3.36E-05 4.15E-06 4.29E-07 3.70E-08 2.67E-09 1.62E-10 8.19E-12 3.48E-13 1.24E-14 3.69E-16 9.24E-18 1.94E-19 3.42E-21 5.05E-23 6.26E-25 6.52E-27 5.69E-29 1.00E-30 1.00E-30
   1.25  0.415  9.41E+00 5.19E+00 2.61E+01 8.27E-01 1.27E+00 1.24E+00 8.99E-01 5.14E-01 2.37E-01 8.95E-02 2.78E-02 7.15E-03 1.53E-03 2.71E-04 4.01E-05 4.95E-06 5.11E-07 4.41E-08 3.19E-09 1.93E-10 9.77E-12 4.15E-13 1.48E-14 4.41E-16 1.10E-17 2.31E-19 4.08E-21 6.02E-23 7.47E-25 7.77E-27 6.79E-29 1.00E-30 1.00E-30
   1.50  0.455  1.25E+01 6.19E+00 3.11E+01 9.86E-01 1.52E+00 1.48E+00 1.07E+00 6.13E-01 2.83E-01 1.07E-01 3.32E-02 8.53E-03 1.82E-03 3.23E-04 4.78E-05 5.91E-06 6.10E-07 5.26E-08 3.80E-09 2.30E-10 1.17E-11 4.95E-13 1.76E-14 5.25E-16 1.32E-17 2.76E-19 4.86E-21 7.18E-23 8.91E-25 9.27E-27 8.10E-29 1.00E-30 1.00E-30
   1.75  0.491  1.62E+01 7.39E+00 3.71E+01 1.18E+00 1.81E+00 1.76E+00 1.28E+00 7.32E-01 3.38E-01 1.27E-01 3.96E-02 1.02E-02 2.17E-03 3.85E-04 5.70E-05 7.05E-06 7.27E-07 6.28E-08 4.54E-09 2.74E-10 1.39E-11 5.90E-13 2.10E-14 6.27E-16 1.57E-17 3.29E-19 5.80E-21 8.57E-23 1.06E-24 1.11E-26 9.66E-29 1.00E-30 1.00E-30
   2.00  0.525  2.06E+01 8.81E+00 4.43E+01 1.40E+00 2.16E+00 2.10E+00 1.53E+00 8.73E-01 4.03E-01 1.52E-01 4.72E-02 1.21E-02 2.59E-03 4.60E-04 6.80E-05 8.40E-06 8.68E-07 7.49E-08 5.41E-09 3.27E-10 1.66E-11 7.04E-13 2.51E-14 7.48E-16 1.87E-17 3.93E-19 6.92E-21 1.02E-22 1.27E-24 1.32E-26 1.15E-28 1.00E-30 1.00E-30
   2.25  0.557  2.59E+01 1.05E+01 5.29E+01 1.67E+00 2.58E+00 2.51E+00 1.82E+00 1.04E+00 4.80E-01 1.81E-01 5.63E-02 1.45E-02 3.09E-03 5.48E-04 8.11E-05 1.00E-05 1.03E-06 8.93E-08 6.45E-09 3.90E-10 1.98E-11 8.40E-13 2.99E-14 8.92E-16 2.23E-17 4.68E-19 8.25E-21 1.22E-22 1.51E-24 1.57E-26 1.37E-28 1.01E-30 1.00E-30
   2.50  0.587  3.21E+01 1.25E+01 6.33E+01 1.98E+00 3.06E+00 2.99E+00 2.18E+00 1.25E+00 5.81E-01 2.21E-01 6.92E-02 1.79E-02 3.87E-03 6.95E-04 1.04E-04 1.31E-05 1.37E-06 1.20E-07 8.82E-09 5.44E-10 2.81E-11 1.22E-12 4.43E-14 1.35E-15 3.46E-17 7.46E-19 1.35E-20 2.05E-22 2.61E-24 2.80E-26 2.52E-28 1.91E-30 1.00E-30
   2.75  0.616  3.96E+01 1.50E+01 7.68E+01 2.31E+00 3.59E+00 3.54E+00 2.62E+00 1.54E+00 7.35E-01 2.88E-01 9.36E-02 2.53E-02 5.71E-03 1.08E-03 1.71E-04 2.28E-05 2.55E-06 2.40E-07 1.90E-08 1.27E-09 7.12E-11 3.37E-12 1.35E-13 4.55E-15 1.29E-16 3.10E-18 6.28E-20 1.07E-21 1.55E-23 1.89E-25 1.94E-27 1.69E-29 1.00E-30
   3.00  0.643  4.85E+01 1.78E+01 9.31E+01 2.68E+00 4.20E+00 4.19E+00 3.16E+00 1.89E+00 9.26E-01 3.74E-01 1.26E-01 3.53E-02 8.33E-03 1.65E-03 2.76E-04 3.89E-05 4.62E-06 4.65E-07 3.95E-08 2.84E-09 1.73E-10 8.93E-12 3.90E-13 1.44E-14 4.53E-16 1.20E-17 2.72E-19 5.19E-21 8.42E-23 1.16E-24 1.35E-26 1.34E-28 1.12E-30
   3.25  0.669  5.92E+01 2.13E+01 1.13E+02 3.12E+00 4.92E+00 4.96E+00 3.79E+00 2.32E+00 1.16E+00 4.83E-01 1.68E-01 4.89E-02 1.20E-02 2.49E-03 4.37E-04 6.50E-05 8.20E-06 8.78E-07 7.98E-08 6.17E-09 4.05E-10 2.26E-11 1.08E-12 4.35E-14 1.50E-15 4.39E-17 1.10E-18 2.33E-20 4.22E-22 6.50E-24 8.54E-26 9.56E-28 9.12E-30
   3.50  0.695  7.18E+01 2.54E+01 1.37E+02 3.63E+00 5.76E+00 5.87E+00 4.55E+00 2.84E+00 1.45E+00 6.20E-01 2.22E-01 6.70E-02 1.71E-02 3.71E-03 6.83E-04 1.07E-04 1.42E-05 1.62E-06 1.57E-07 1.30E-08 9.15E-10 5.51E-11 2.84E-12 1.25E-13 4.70E-15 1.51E-16 4.15E-18 9.75E-20 1.96E-21 3.37E-23 4.96E-25 6.24E-27 6.71E-29
   3.75  0.719  8.70E+01 3.03E+01 1.65E+02 4.23E+00 6.75E+00 6.95E+00 5.46E+00 3.46E+00 1.81E+00 7.93E-01 2.92E-01 9.13E-02 2.42E-02 5.46E-03 1.05E-03 1.73E-04 2.43E-05 2.92E-06 3.00E-07 2.65E-08 2.00E-09 1.30E-10 7.19E-12 3.43E-13 1.40E-14 4.92E-16 1.48E-17 3.83E-19 8.50E-21 1.62E-22 2.65E-24 3.73E-26 4.50E-28
   4.00  0.743  1.05E+02 3.61E+01 2.00E+02 4.94E+00 7.92E+00 8.22E+00 6.55E+00 4.22E+00 2.25E+00 1.01E+00 3.83E-01 1.23E-01 3.39E-02 7.95E-03 1.60E-03 2.75E-04 4.06E-05 5.15E-06 5.61E-07 5.26E-08 4.24E-09 2.94E-10 1.76E-11 9.03E-13 4.00E-14 1.52E-15 5.01E-17 1.42E-18 3.46E-20 7.27E-22 1.32E-23 2.06E-25 2.78E-27
