                    ************************************************************************************************
                    *  Z= 32 A= 72: Positive-Parity Spin-dependent Level Density [MeV-1] for Ge 72 and ldmodel= 2  *
                    ************************************************************************************************
 U[MeV]  T[MeV]  NCUMUL   RHOOBS   RHOTOT     J=00     J=01     J=02     J=03     J=04     J=05     J=06     J=07     J=08     J=09     J=10     J=11     J=12     J=13     J=14     J=15     J=16     J=17     J=18     J=19     J=20     J=21     J=22     J=23     J=24     J=25     J=26     J=27     J=28     J=29
   0.25  0.156  2.79E-01 5.57E-01 3.16E+00 5.30E-02 1.31E-01 1.48E-01 1.15E-01 6.79E-02 3.13E-02 1.15E-02 3.39E-03 8.09E-04 1.57E-04 2.46E-05 3.16E-06 3.32E-07 2.85E-08 2.00E-09 1.15E-10 5.41E-12 2.09E-13 6.62E-15 1.72E-16 3.67E-18 6.43E-20 9.25E-22 1.09E-23 1.06E-25 8.46E-28 5.54E-30 1.00E-30 1.00E-30 1.00E-30
   0.50  0.221  5.57E-01 5.57E-01 3.16E+00 5.30E-02 1.31E-01 1.48E-01 1.15E-01 6.79E-02 3.13E-02 1.15E-02 3.39E-03 8.09E-04 1.57E-04 2.46E-05 3.16E-06 3.32E-07 2.85E-08 2.00E-09 1.15E-10 5.41E-12 2.09E-13 6.62E-15 1.72E-16 3.67E-18 6.43E-20 9.25E-22 1.09E-23 1.06E-25 8.46E-28 5.54E-30 1.00E-30 1.00E-30 1.00E-30
   0.75  0.270  8.36E-01 5.57E-01 3.16E+00 5.30E-02 1.31E-01 1.48E-01 1.15E-01 6.79E-02 3.13E-02 1.15E-02 3.39E-03 8.09E-04 1.57E-04 2.46E-05 3.16E-06 3.32E-07 2.85E-08 2.00E-09 1.15E-10 5.41E-12 2.09E-13 6.62E-15 1.72E-16 3.67E-18 6.43E-20 9.25E-22 1.09E-23 1.06E-25 8.46E-28 5.54E-30 1.00E-30 1.00E-30 1.00E-30
   1.00  0.312  1.11E+00 5.57E-01 3.16E+00 5.30E-02 1.31E-01 1.48E-01 1.15E-01 6.79E-02 3.13E-02 1.15E-02 3.39E-03 8.09E-04 1.57E-04 2.46E-05 3.16E-06 3.32E-07 2.85E-08 2.00E-09 1.15E-10 5.41E-12 2.09E-13 6.62E-15 1.72E-16 3.67E-18 6.43E-20 9.25E-22 1.09E-23 1.06E-25 8.46E-28 5.54E-30 1.00E-30 1.00E-30 1.00E-30
   1.25  0.349  1.39E+00 5.57E-01 3.16E+00 5.30E-02 1.31E-01 1.48E-01 1.15E-01 6.79E-02 3.13E-02 1.15E-02 3.39E-03 8.09E-04 1.57E-04 2.46E-05 3.16E-06 3.32E-07 2.85E-08 2.00E-09 1.15E-10 5.41E-12 2.09E-13 6.62E-15 1.72E-16 3.67E-18 6.43E-20 9.25E-22 1.09E-23 1.06E-25 8.46E-28 5.54E-30 1.00E-30 1.00E-30 1.00E-30
   1.50  0.383  1.77E+00 7.64E-01 4.34E+00 7.27E-02 1.79E-01 2.02E-01 1.58E-01 9.32E-02 4.30E-02 1.58E-02 4.65E-03 1.11E-03 2.15E-04 3.38E-05 4.34E-06 4.55E-07 3.90E-08 2.74E-09 1.57E-10 7.42E-12 2.87E-13 9.08E-15 2.36E-16 5.04E-18 8.82E-20 1.27E-21 1.50E-23 1.46E-25 1.16E-27 7.60E-30 1.00E-30 1.00E-30 1.00E-30
   1.75  0.413  2.52E+00 1.48E+00 8.43E+00 1.41E-01 3.48E-01 3.93E-01 3.07E-01 1.81E-01 8.35E-02 3.06E-02 9.04E-03 2.15E-03 4.17E-04 6.56E-05 8.43E-06 8.84E-07 7.58E-08 5.32E-09 3.06E-10 1.44E-11 5.57E-13 1.76E-14 4.58E-16 9.78E-18 1.71E-19 2.46E-21 2.91E-23 2.83E-25 2.25E-27 1.48E-29 1.00E-30 1.00E-30 1.00E-30
   2.00  0.442  3.83E+00 2.63E+00 1.49E+01 2.50E-01 6.17E-01 6.96E-01 5.43E-01 3.20E-01 1.48E-01 5.42E-02 1.60E-02 3.81E-03 7.38E-04 1.16E-04 1.49E-05 1.57E-06 1.34E-07 9.42E-09 5.41E-10 2.55E-11 9.85E-13 3.12E-14 8.12E-16 1.73E-17 3.03E-19 4.36E-21 5.16E-23 5.00E-25 3.99E-27 2.61E-29 1.00E-30 1.00E-30 1.00E-30
