                    ************************************************************************************************
                    *  Z= 39 A= 90: Positive-Parity Spin-dependent Level Density [MeV-1] for Y  90 and ldmodel= 6  *
                    ************************************************************************************************
 U[MeV]  T[MeV]  NCUMUL   RHOOBS   RHOTOT     J=00     J=01     J=02     J=03     J=04     J=05     J=06     J=07     J=08     J=09     J=10     J=11     J=12     J=13     J=14     J=15     J=16     J=17     J=18     J=19     J=20     J=21     J=22     J=23     J=24     J=25     J=26     J=27     J=28     J=29
   3.25  0.548  1.88E+01 7.72E-01 6.11E+00 4.54E-02 8.83E-02 1.31E-01 1.30E-01 1.29E-01 1.25E-01 8.13E-02 4.26E-02 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   3.50  0.569  1.97E+01 4.14E-01 3.22E+00 2.62E-02 4.92E-02 7.24E-02 7.01E-02 6.91E-02 6.40E-02 4.03E-02 2.26E-02 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   3.75  0.589  2.06E+01 1.87E-01 1.47E+00 1.13E-02 2.17E-02 3.22E-02 3.15E-02 3.12E-02 2.96E-02 1.90E-02 1.03E-02 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   4.00  0.608  2.15E+01 9.70E-02 7.42E-01 6.53E-03 1.19E-02 1.74E-02 1.65E-02 1.62E-02 1.44E-02 8.76E-03 5.25E-03 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   4.25  0.627  2.56E+01 7.43E+00 6.83E+01 1.28E-01 5.05E-01 8.94E-01 1.22E+00 1.35E+00 1.52E+00 1.25E+00 5.67E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   4.50  0.645  3.59E+01 2.09E+01 1.89E+02 5.34E-01 1.64E+00 2.75E+00 3.50E+00 3.75E+00 3.71E+00 2.86E+00 1.52E+00 4.01E-01 1.91E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   4.75  0.663  4.80E+01 2.22E+01 2.04E+02 5.36E-01 1.69E+00 2.85E+00 3.65E+00 3.93E+00 3.95E+00 3.12E+00 1.60E+00 5.70E-01 2.71E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   5.00  0.680  7.19E+01 4.34E+01 4.06E+02 1.00E+00 3.24E+00 5.44E+00 7.01E+00 7.54E+00 7.64E+00 6.02E+00 3.13E+00 1.64E+00 6.90E-01 5.13E-02 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   5.50  0.713  3.07E+02 2.55E+02 2.49E+03 6.31E+00 1.83E+01 3.04E+01 3.88E+01 4.25E+01 4.06E+01 3.32E+01 2.30E+01 1.35E+01 6.81E+00 2.01E+00 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   6.00  0.745  1.24E+03 9.71E+02 9.55E+03 2.61E+01 7.50E+01 1.17E+02 1.44E+02 1.53E+02 1.45E+02 1.21E+02 8.81E+01 5.53E+01 2.97E+01 1.21E+01 3.35E+00 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   6.50  0.775  2.86E+03 1.64E+03 1.67E+04 4.34E+01 1.24E+02 1.93E+02 2.34E+02 2.48E+02 2.36E+02 2.01E+02 1.52E+02 1.01E+02 6.10E+01 3.06E+01 1.32E+01 3.75E+00 9.40E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   7.00  0.804  3.60E+03 7.40E+02 7.53E+03 1.92E+01 5.54E+01 8.56E+01 1.05E+02 1.13E+02 1.07E+02 9.04E+01 6.87E+01 4.52E+01 2.68E+01 1.38E+01 6.48E+00 2.13E+00 6.25E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   7.50  0.833  4.50E+03 7.53E+02 8.13E+03 1.68E+01 4.73E+01 7.61E+01 9.87E+01 1.11E+02 1.09E+02 9.64E+01 7.74E+01 5.42E+01 3.35E+01 1.86E+01 9.58E+00 3.56E+00 1.16E+00 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   8.00  0.860  8.74E+03 3.94E+03 4.37E+04 8.84E+01 2.55E+02 3.97E+02 4.98E+02 5.47E+02 5.39E+02 4.85E+02 3.97E+02 2.96E+02 2.00E+02 1.23E+02 6.84E+01 3.23E+01 1.37E+01 1.50E+00 6.32E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   8.50  0.886  1.78E+04 8.98E+03 1.03E+05 1.96E+02 5.63E+02 8.70E+02 1.09E+03 1.20E+03 1.19E+03 1.08E+03 9.06E+02 6.98E+02 4.96E+02 3.22E+02 1.92E+02 1.03E+02 4.93E+01 1.99E+01 6.56E+00 5.64E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   9.00  0.912  2.71E+04 8.89E+03 1.03E+05 1.90E+02 5.50E+02 8.46E+02 1.06E+03 1.16E+03 1.16E+03 1.06E+03 8.97E+02 7.04E+02 5.10E+02 3.41E+02 2.07E+02 1.15E+02 5.62E+01 2.35E+01 7.75E+00 1.64E+00 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   9.50  0.937  3.45E+04 7.62E+03 9.03E+04 1.53E+02 4.47E+02 6.93E+02 8.69E+02 9.63E+02 9.73E+02 9.06E+02 7.83E+02 6.30E+02 4.70E+02 3.24E+02 2.02E+02 1.14E+02 5.63E+01 2.30E+01 7.66E+00 1.29E+00 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
  10.00  0.961  4.60E+04 1.40E+04 1.70E+05 2.69E+02 7.78E+02 1.21E+03 1.53E+03 1.71E+03 1.75E+03 1.65E+03 1.45E+03 1.19E+03 9.09E+02 6.44E+02 4.21E+02 2.48E+02 1.33E+02 5.90E+01 2.20E+01 5.72E+00 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
  11.00  1.008  1.27E+05 5.04E+04 6.36E+05 9.15E+02 2.66E+03 4.16E+03 5.25E+03 5.89E+03 6.06E+03 5.79E+03 5.18E+03 4.35E+03 3.44E+03 2.54E+03 1.75E+03 1.12E+03 6.57E+02 3.46E+02 1.62E+02 6.29E+01 1.95E+01 3.02E+00 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
  12.00  1.053  2.36E+05 5.78E+04 7.45E+05 1.01E+03 2.93E+03 4.58E+03 5.81E+03 6.56E+03 6.80E+03 6.58E+03 5.97E+03 5.11E+03 4.12E+03 3.11E+03 2.19E+03 1.42E+03 8.45E+02 4.51E+02 2.13E+02 8.32E+01 2.72E+01 5.65E+00 3.79E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
  13.00  1.096  5.03E+05 1.37E+05 1.81E+06 2.32E+03 6.72E+03 1.05E+04 1.34E+04 1.52E+04 1.58E+04 1.53E+04 1.41E+04 1.22E+04 9.99E+03 7.73E+03 5.63E+03 3.63E+03 2.29E+03 1.33E+03 7.03E+02 3.29E+02 1.35E+02 4.36E+01 1.07E+01 9.33E-01 3.47E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
  14.00  1.137  1.04E+06 2.65E+05 3.65E+06 4.09E+03 1.19E+04 1.87E+04 2.40E+04 2.75E+04 2.91E+04 2.88E+04 2.69E+04 2.39E+04 2.02E+04 1.61E+04 1.22E+04 8.47E+03 5.65E+03 3.51E+03 2.02E+03 1.06E+03 5.00E+02 2.09E+02 7.59E+01 2.24E+01 5.81E+00 1.07E+00 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
  15.00  1.177  1.73E+06 3.42E+05 4.75E+06 5.24E+03 1.53E+04 2.40E+04 3.07E+04 3.51E+04 3.70E+04 3.67E+04 3.43E+04 3.06E+04 2.60E+04 2.10E+04 1.62E+04 1.10E+04 7.57E+03 4.88E+03 2.95E+03 1.65E+03 8.58E+02 4.05E+02 1.74E+02 6.41E+01 2.06E+01 5.12E+00 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
  16.00  1.216  3.29E+06 7.88E+05 1.14E+07 1.10E+04 3.20E+04 5.06E+04 6.55E+04 7.59E+04 8.14E+04 8.21E+04 7.87E+04 7.19E+04 6.28E+04 5.25E+04 4.20E+04 2.81E+04 2.02E+04 1.38E+04 8.84E+03 5.32E+03 3.00E+03 1.56E+03 7.45E+02 3.19E+02 1.22E+02 3.84E+01 1.07E+01 1.63E+00 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
