                    ************************************************************************************************
                    *  Z= 27 A= 59: Positive-Parity Spin-dependent Level Density [MeV-1] for Co 59 and ldmodel= 5  *
                    ************************************************************************************************
 U[MeV]  T[MeV]  NCUMUL   RHOOBS   RHOTOT    J=01/2   J=03/2   J=05/2   J=07/2   J=09/2   J=11/2   J=13/2   J=15/2   J=17/2   J=19/2   J=21/2   J=23/2   J=25/2   J=27/2   J=29/2   J=31/2   J=33/2   J=35/2   J=37/2   J=39/2   J=41/2   J=43/2   J=45/2   J=47/2   J=49/2   J=51/2   J=53/2   J=55/2   J=57/2   J=59/2
   3.25  0.652  3.33E+01 4.08E+01 1.23E+02 8.01E-01 2.83E+00 4.66E+00 2.01E+00 2.39E+00 2.61E+00 1.15E+00 4.88E-01 2.44E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   3.50  0.677  4.17E+01 4.98E+01 1.29E+02 4.13E-01 2.42E+00 4.16E+00 2.44E+00 2.09E+00 2.73E+00 1.52E+00 4.25E-01 3.77E-01 1.10E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   3.75  0.700  5.35E+01 6.55E+01 1.86E+02 1.00E+00 3.83E+00 4.27E+00 4.06E+00 2.82E+00 3.88E+00 2.19E+00 8.74E-01 7.01E-01 1.34E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   4.00  0.723  7.23E+01 8.63E+01 2.84E+02 2.24E+00 7.57E+00 5.68E+00 5.76E+00 5.76E+00 4.06E+00 2.87E+00 2.02E+00 1.29E+00 2.44E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   4.25  0.746  9.64E+01 8.70E+01 3.70E+02 3.35E+00 7.84E+00 7.66E+00 8.43E+00 7.65E+00 4.40E+00 4.07E+00 2.57E+00 1.62E+00 3.77E-01 1.10E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   4.50  0.767  1.28E+02 1.24E+02 4.80E+02 4.30E+00 9.47E+00 9.76E+00 1.15E+01 1.03E+01 6.72E+00 4.53E+00 3.50E+00 1.78E+00 4.01E-01 1.34E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   4.75  0.788  1.69E+02 1.67E+02 6.25E+02 7.87E+00 1.13E+01 1.19E+01 1.45E+01 1.48E+01 8.12E+00 5.04E+00 4.80E+00 2.64E+00 6.23E-01 2.44E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   5.00  0.809  2.12E+02 1.99E+02 6.94E+02 7.67E+00 8.44E+00 1.37E+01 1.58E+01 1.49E+01 1.04E+01 6.85E+00 4.69E+00 2.90E+00 8.88E-01 3.77E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   5.50  0.848  3.71E+02 3.48E+02 1.25E+03 1.60E+01 2.10E+01 2.24E+01 2.48E+01 2.66E+01 1.82E+01 1.08E+01 9.71E+00 6.23E+00 1.89E+00 5.99E-01 1.34E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   6.00  0.886  6.21E+02 5.08E+02 2.04E+03 2.31E+01 2.86E+01 3.75E+01 4.12E+01 4.09E+01 2.80E+01 2.04E+01 1.67E+01 8.11E+00 3.75E+00 1.90E+00 5.28E-01 5.50E-02 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   6.50  0.922  1.03E+03 7.04E+02 3.40E+03 3.36E+01 4.53E+01 6.10E+01 6.44E+01 6.63E+01 4.89E+01 3.23E+01 2.78E+01 1.49E+01 7.17E+00 3.67E+00 1.12E+00 1.89E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   7.00  0.957  1.61E+03 1.19E+03 4.98E+03 4.15E+01 6.28E+01 8.17E+01 9.51E+01 9.06E+01 7.57E+01 5.43E+01 3.92E+01 2.22E+01 1.05E+01 5.02E+00 1.88E+00 4.87E-01 5.50E-02 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   7.50  0.991  2.48E+03 1.86E+03 7.68E+03 5.50E+01 9.47E+01 1.25E+02 1.37E+02 1.31E+02 1.10E+02 9.07E+01 6.02E+01 3.44E+01 2.07E+01 9.06E+00 3.64E+00 9.11E-01 1.89E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   8.00  1.023  3.91E+03 2.63E+03 1.27E+04 7.93E+01 1.65E+02 2.12E+02 2.14E+02 2.16E+02 1.75E+02 1.40E+02 1.00E+02 6.09E+01 3.82E+01 1.92E+01 6.41E+00 1.64E+00 5.28E-01 5.50E-02 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   8.50  1.055  6.05E+03 3.92E+03 1.93E+04 1.11E+02 2.36E+02 3.04E+02 3.29E+02 3.24E+02 2.78E+02 2.12E+02 1.46E+02 9.72E+01 5.68E+01 3.00E+01 1.08E+01 4.19E+00 1.18E+00 1.89E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   9.00  1.085  9.15E+03 6.00E+03 2.85E+04 1.61E+02 3.25E+02 4.17E+02 4.71E+02 4.63E+02 4.12E+02 3.23E+02 2.14E+02 1.47E+02 8.97E+01 4.59E+01 1.98E+01 7.87E+00 2.02E+00 2.68E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   9.50  1.115  1.38E+04 8.70E+03 4.35E+04 2.52E+02 4.85E+02 6.22E+02 6.85E+02 6.94E+02 5.97E+02 4.85E+02 3.45E+02 2.28E+02 1.47E+02 7.87E+01 3.34E+01 1.35E+01 4.05E+00 8.05E-01 5.50E-02 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
  10.00  1.144  2.08E+04 1.22E+04 6.57E+04 3.60E+02 7.25E+02 9.25E+02 1.00E+03 1.05E+03 8.98E+02 6.97E+02 5.37E+02 3.54E+02 2.20E+02 1.26E+02 5.72E+01 2.64E+01 7.70E+00 2.14E+00 2.44E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
  11.00  1.200  4.93E+04 2.60E+04 1.38E+05 7.21E+02 1.34E+03 1.75E+03 2.04E+03 2.14E+03 1.84E+03 1.48E+03 1.13E+03 7.94E+02 4.90E+02 2.85E+02 1.48E+02 6.82E+01 2.20E+01 7.19E+00 1.61E+00 2.64E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
  12.00  1.253  1.09E+05 5.08E+04 2.95E+05 1.46E+03 2.79E+03 3.62E+03 4.14E+03 4.37E+03 3.77E+03 3.10E+03 2.46E+03 1.73E+03 1.11E+03 6.72E+02 3.65E+02 1.80E+02 6.96E+01 2.73E+01 6.69E+00 1.39E+00 1.31E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
  13.00  1.304  2.26E+05 9.97E+04 5.93E+05 2.70E+03 5.17E+03 6.76E+03 7.84E+03 8.27E+03 7.44E+03 6.27E+03 4.94E+03 3.58E+03 2.36E+03 1.51E+03 8.14E+02 4.12E+02 1.90E+02 7.15E+01 1.97E+01 5.04E+00 1.17E+00 2.75E-02 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
  14.00  1.353  4.52E+05 1.85E+05 1.17E+06 4.98E+03 9.78E+03 1.28E+04 1.49E+04 1.58E+04 1.43E+04 1.21E+04 9.80E+03 7.15E+03 4.87E+03 3.16E+03 1.78E+03 9.78E+02 4.59E+02 2.05E+02 7.08E+01 1.90E+01 4.36E+00 4.77E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
  15.00  1.401  8.71E+05 3.38E+05 2.22E+06 8.85E+03 1.73E+04 2.29E+04 2.64E+04 2.87E+04 2.62E+04 2.26E+04 1.85E+04 1.40E+04 9.72E+03 6.44E+03 3.70E+03 2.09E+03 1.03E+03 4.73E+02 1.74E+02 6.09E+01 1.69E+01 2.41E+00 2.34E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
  16.00  1.447  1.63E+06 6.02E+05 4.12E+06 1.55E+04 3.02E+04 4.02E+04 4.74E+04 5.15E+04 4.73E+04 4.11E+04 3.42E+04 2.62E+04 1.85E+04 1.25E+04 7.49E+03 4.38E+03 2.21E+03 1.08E+03 4.54E+02 1.64E+02 4.67E+01 9.84E+00 1.54E+00 1.03E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
  17.00  1.491  2.98E+06 1.04E+06 7.46E+06 2.67E+04 5.20E+04 6.93E+04 8.15E+04 8.89E+04 8.26E+04 7.33E+04 6.17E+04 4.80E+04 3.45E+04 2.38E+04 1.47E+04 8.76E+03 4.61E+03 2.37E+03 1.03E+03 4.06E+02 1.36E+02 3.61E+01 6.55E+00 9.26E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
