                    ************************************************************************************************
                    *  Z= 30 A= 66: Positive-Parity Spin-dependent Level Density [MeV-1] for Zn 66 and ldmodel= 2  *
                    ************************************************************************************************
 U[MeV]  T[MeV]  NCUMUL   RHOOBS   RHOTOT     J=00     J=01     J=02     J=03     J=04     J=05     J=06     J=07     J=08     J=09     J=10     J=11     J=12     J=13     J=14     J=15     J=16     J=17     J=18     J=19     J=20     J=21     J=22     J=23     J=24     J=25     J=26     J=27     J=28     J=29
   0.25  0.173  2.67E-01 5.34E-01 2.44E+00 7.71E-02 1.71E-01 1.57E-01 8.92E-02 3.45E-02 9.42E-03 1.84E-03 2.60E-04 2.67E-05 2.01E-06 1.10E-07 4.46E-09 1.33E-10 2.90E-12 4.67E-14 5.54E-16 4.86E-18 3.14E-20 1.50E-22 5.29E-25 1.38E-27 2.65E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   0.50  0.244  5.34E-01 5.34E-01 2.44E+00 7.71E-02 1.71E-01 1.57E-01 8.92E-02 3.45E-02 9.42E-03 1.84E-03 2.60E-04 2.67E-05 2.01E-06 1.10E-07 4.46E-09 1.33E-10 2.90E-12 4.67E-14 5.54E-16 4.86E-18 3.14E-20 1.50E-22 5.29E-25 1.38E-27 2.65E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   0.75  0.299  8.00E-01 5.34E-01 2.44E+00 7.71E-02 1.71E-01 1.57E-01 8.92E-02 3.45E-02 9.42E-03 1.84E-03 2.60E-04 2.67E-05 2.01E-06 1.10E-07 4.46E-09 1.33E-10 2.90E-12 4.67E-14 5.54E-16 4.86E-18 3.14E-20 1.50E-22 5.29E-25 1.38E-27 2.65E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   1.00  0.346  1.07E+00 5.34E-01 2.44E+00 7.71E-02 1.71E-01 1.57E-01 8.92E-02 3.45E-02 9.42E-03 1.84E-03 2.60E-04 2.67E-05 2.01E-06 1.10E-07 4.46E-09 1.33E-10 2.90E-12 4.67E-14 5.54E-16 4.86E-18 3.14E-20 1.50E-22 5.29E-25 1.38E-27 2.65E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   1.25  0.386  1.33E+00 5.34E-01 2.44E+00 7.71E-02 1.71E-01 1.57E-01 8.92E-02 3.45E-02 9.42E-03 1.84E-03 2.60E-04 2.67E-05 2.01E-06 1.10E-07 4.46E-09 1.33E-10 2.90E-12 4.67E-14 5.54E-16 4.86E-18 3.14E-20 1.50E-22 5.29E-25 1.38E-27 2.65E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   1.50  0.423  1.59E+00 5.20E-01 2.38E+00 7.51E-02 1.67E-01 1.53E-01 8.69E-02 3.37E-02 9.18E-03 1.79E-03 2.53E-04 2.61E-05 1.96E-06 1.08E-07 4.35E-09 1.29E-10 2.82E-12 4.55E-14 5.40E-16 4.73E-18 3.06E-20 1.46E-22 5.15E-25 1.34E-27 2.59E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   1.75  0.457  2.02E+00 8.53E-01 3.90E+00 1.23E-01 2.74E-01 2.50E-01 1.43E-01 5.52E-02 1.51E-02 2.94E-03 4.16E-04 4.27E-05 3.21E-06 1.77E-07 7.13E-09 2.12E-10 4.63E-12 7.46E-14 8.86E-16 7.76E-18 5.02E-20 2.40E-22 8.45E-25 2.20E-27 4.24E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   2.00  0.489  2.72E+00 1.41E+00 6.45E+00 2.04E-01 4.52E-01 4.14E-01 2.36E-01 9.12E-02 2.49E-02 4.86E-03 6.87E-04 7.06E-05 5.30E-06 2.92E-07 1.18E-08 3.50E-10 7.65E-12 1.23E-13 1.46E-15 1.28E-17 8.29E-20 3.96E-22 1.40E-24 3.64E-27 7.01E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
