                    ************************************************************************************************
                    *  Z= 25 A= 55: Positive-Parity Spin-dependent Level Density [MeV-1] for Mn 55 and ldmodel= 2  *
                    ************************************************************************************************
 U[MeV]  T[MeV]  NCUMUL   RHOOBS   RHOTOT    J=01/2   J=03/2   J=05/2   J=07/2   J=09/2   J=11/2   J=13/2   J=15/2   J=17/2   J=19/2   J=21/2   J=23/2   J=25/2   J=27/2   J=29/2   J=31/2   J=33/2   J=35/2   J=37/2   J=39/2   J=41/2   J=43/2   J=45/2   J=47/2   J=49/2   J=51/2   J=53/2   J=55/2   J=57/2   J=59/2
   0.25  0.199  5.38E-01 1.08E+00 5.41E+00 1.71E-01 2.64E-01 2.56E-01 1.86E-01 1.07E-01 4.92E-02 1.85E-02 5.76E-03 1.48E-03 3.16E-04 5.61E-05 8.30E-06 1.03E-06 1.06E-07 9.14E-09 6.60E-10 4.00E-11 2.02E-12 8.59E-14 3.06E-15 9.13E-17 2.28E-18 4.79E-20 8.44E-22 1.25E-23 1.55E-25 1.61E-27 1.41E-29 1.00E-30 1.00E-30
   0.50  0.281  1.27E+00 1.47E+00 7.37E+00 2.33E-01 3.60E-01 3.50E-01 2.54E-01 1.45E-01 6.70E-02 2.53E-02 7.86E-03 2.02E-03 4.31E-04 7.65E-05 1.13E-05 1.40E-06 1.44E-07 1.25E-08 9.01E-10 5.45E-11 2.76E-12 1.17E-13 4.17E-15 1.24E-16 3.11E-18 6.54E-20 1.15E-21 1.70E-23 2.11E-25 2.20E-27 1.92E-29 1.00E-30 1.00E-30
   0.75  0.345  2.26E+00 1.98E+00 9.97E+00 3.16E-01 4.87E-01 4.73E-01 3.43E-01 1.96E-01 9.07E-02 3.42E-02 1.06E-02 2.73E-03 5.83E-04 1.03E-04 1.53E-05 1.89E-06 1.95E-07 1.69E-08 1.22E-09 7.37E-11 3.73E-12 1.58E-13 5.64E-15 1.68E-16 4.21E-18 8.84E-20 1.56E-21 2.30E-23 2.85E-25 2.97E-27 2.59E-29 1.00E-30 1.00E-30
   1.00  0.398  3.59E+00 2.66E+00 1.34E+01 4.24E-01 6.53E-01 6.35E-01 4.61E-01 2.64E-01 1.22E-01 4.59E-02 1.43E-02 3.67E-03 7.82E-04 1.39E-04 2.06E-05 2.54E-06 2.62E-07 2.26E-08 1.63E-09 9.89E-11 5.01E-12 2.13E-13 7.57E-15 2.26E-16 5.65E-18 1.19E-19 2.09E-21 3.09E-23 3.83E-25 3.99E-27 3.48E-29 1.00E-30 1.00E-30
   1.25  0.445  5.37E+00 3.55E+00 1.78E+01 5.65E-01 8.70E-01 8.46E-01 6.14E-01 3.51E-01 1.62E-01 6.12E-02 1.90E-02 4.88E-03 1.04E-03 1.85E-04 2.74E-05 3.38E-06 3.49E-07 3.02E-08 2.18E-09 1.32E-10 6.68E-12 2.83E-13 1.01E-14 3.01E-16 7.53E-18 1.58E-19 2.78E-21 4.11E-23 5.10E-25 5.31E-27 4.64E-29 1.00E-30 1.00E-30
   1.50  0.487  7.71E+00 4.69E+00 2.36E+01 7.47E-01 1.15E+00 1.12E+00 8.12E-01 4.65E-01 2.15E-01 8.09E-02 2.51E-02 6.46E-03 1.38E-03 2.45E-04 3.62E-05 4.48E-06 4.62E-07 3.99E-08 2.88E-09 1.74E-10 8.83E-12 3.75E-13 1.33E-14 3.98E-16 9.96E-18 2.09E-19 3.68E-21 5.44E-23 6.75E-25 7.03E-27 6.14E-29 1.00E-30 1.00E-30
   1.75  0.526  1.08E+01 6.17E+00 3.10E+01 9.82E-01 1.51E+00 1.47E+00 1.07E+00 6.11E-01 2.82E-01 1.06E-01 3.30E-02 8.49E-03 1.81E-03 3.22E-04 4.76E-05 5.88E-06 6.07E-07 5.24E-08 3.79E-09 2.29E-10 1.16E-11 4.93E-13 1.75E-14 5.23E-16 1.31E-17 2.75E-19 4.84E-21 7.15E-23 8.87E-25 9.23E-27 8.07E-29 1.00E-30 1.00E-30
   2.00  0.563  1.48E+01 8.05E+00 4.05E+01 1.28E+00 1.98E+00 1.92E+00 1.39E+00 7.97E-01 3.68E-01 1.39E-01 4.31E-02 1.11E-02 2.36E-03 4.20E-04 6.21E-05 7.68E-06 7.93E-07 6.84E-08 4.94E-09 2.99E-10 1.52E-11 6.43E-13 2.29E-14 6.83E-16 1.71E-17 3.59E-19 6.32E-21 9.34E-23 1.16E-24 1.21E-26 1.05E-28 1.00E-30 1.00E-30
   2.25  0.597  2.00E+01 1.04E+01 5.25E+01 1.66E+00 2.56E+00 2.49E+00 1.81E+00 1.03E+00 4.78E-01 1.80E-01 5.60E-02 1.44E-02 3.07E-03 5.45E-04 8.06E-05 9.96E-06 1.03E-06 8.88E-08 6.41E-09 3.88E-10 1.97E-11 8.35E-13 2.97E-14 8.86E-16 2.22E-17 4.66E-19 8.20E-21 1.21E-22 1.50E-24 1.56E-26 1.37E-28 1.00E-30 1.00E-30
   2.50  0.629  2.67E+01 1.34E+01 6.78E+01 2.12E+00 3.27E+00 3.19E+00 2.33E+00 1.34E+00 6.26E-01 2.39E-01 7.51E-02 1.96E-02 4.24E-03 7.66E-04 1.16E-04 1.46E-05 1.54E-06 1.36E-07 1.01E-08 6.28E-10 3.28E-11 1.43E-12 5.27E-14 1.63E-15 4.22E-17 9.21E-19 1.69E-20 2.60E-22 3.36E-24 3.65E-26 3.34E-28 2.57E-30 1.00E-30
   2.75  0.660  3.52E+01 1.69E+01 8.74E+01 2.56E+00 4.00E+00 3.97E+00 2.97E+00 1.77E+00 8.57E-01 3.42E-01 1.14E-01 3.14E-02 7.29E-03 1.42E-03 2.32E-04 3.20E-05 3.72E-06 3.65E-07 3.02E-08 2.11E-09 1.25E-10 6.23E-12 2.63E-13 9.40E-15 2.84E-16 7.26E-18 1.57E-19 2.88E-21 4.47E-23 5.87E-25 6.52E-27 6.14E-29 1.00E-30
   3.00  0.689  4.57E+01 2.11E+01 1.12E+02 3.09E+00 4.87E+00 4.91E+00 3.76E+00 2.31E+00 1.16E+00 4.83E-01 1.68E-01 4.92E-02 1.21E-02 2.53E-03 4.47E-04 6.69E-05 8.49E-06 9.16E-07 8.39E-08 6.53E-09 4.33E-10 2.44E-11 1.17E-12 4.78E-14 1.66E-15 4.92E-17 1.24E-18 2.67E-20 4.90E-22 7.65E-24 1.02E-25 1.16E-27 1.12E-29
   3.25  0.717  5.89E+01 2.63E+01 1.43E+02 3.71E+00 5.90E+00 6.05E+00 4.73E+00 2.98E+00 1.55E+00 6.71E-01 2.45E-01 7.54E-02 1.97E-02 4.38E-03 8.28E-04 1.34E-04 1.84E-05 2.17E-06 2.18E-07 1.87E-08 1.38E-09 8.70E-11 4.70E-12 2.17E-13 8.60E-15 2.92E-16 8.49E-18 2.12E-19 4.53E-21 8.30E-23 1.30E-24 1.76E-26 2.03E-28
   3.50  0.745  7.52E+01 3.26E+01 1.81E+02 4.45E+00 7.14E+00 7.42E+00 5.92E+00 3.82E+00 2.05E+00 9.20E-01 3.50E-01 1.13E-01 3.12E-02 7.35E-03 1.48E-03 2.57E-04 3.81E-05 4.86E-06 5.34E-07 5.03E-08 4.09E-09 2.86E-10 1.72E-11 8.92E-13 3.99E-14 1.53E-15 5.09E-17 1.46E-18 3.59E-20 7.64E-22 1.40E-23 2.21E-25 3.02E-27
   3.75  0.771  9.54E+01 4.04E+01 2.29E+02 5.32E+00 8.61E+00 9.07E+00 7.37E+00 4.87E+00 2.68E+00 1.25E+00 4.93E-01 1.67E-01 4.83E-02 1.20E-02 2.57E-03 4.75E-04 7.57E-05 1.04E-05 1.24E-06 1.27E-07 1.13E-08 8.72E-10 5.81E-11 3.35E-12 1.67E-13 7.25E-15 2.72E-16 8.83E-18 2.49E-19 6.07E-21 1.28E-22 2.35E-24 3.74E-26
   4.00  0.796  1.20E+02 4.98E+01 2.88E+02 6.36E+00 1.04E+01 1.10E+01 9.12E+00 6.16E+00 3.49E+00 1.67E+00 6.86E-01 2.41E-01 7.32E-02 1.92E-02 4.34E-03 8.52E-04 1.45E-04 2.14E-05 2.74E-06 3.06E-07 2.96E-08 2.49E-09 1.82E-10 1.16E-11 6.44E-13 3.11E-14 1.31E-15 4.78E-17 1.52E-18 4.23E-20 1.02E-21 2.15E-23 3.94E-25
