                    ************************************************************************************************
                    *  Z= 38 A= 86: Positive-Parity Spin-dependent Level Density [MeV-1] for Sr 86 and ldmodel= 5  *
                    ************************************************************************************************
 U[MeV]  T[MeV]  NCUMUL   RHOOBS   RHOTOT     J=00     J=01     J=02     J=03     J=04     J=05     J=06     J=07     J=08     J=09     J=10     J=11     J=12     J=13     J=14     J=15     J=16     J=17     J=18     J=19     J=20     J=21     J=22     J=23     J=24     J=25     J=26     J=27     J=28     J=29
   3.25  0.520  9.74E+01 7.26E+01 7.19E+02 4.43E+00 4.14E+00 9.29E+00 9.34E+00 1.17E+01 6.48E+00 1.00E+01 8.27E+00 6.24E+00 1.72E+00 7.63E-01 9.53E-02 9.53E-02 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   3.50  0.539  1.28E+02 8.17E+01 8.44E+02 3.72E+00 5.33E+00 9.77E+00 8.81E+00 1.42E+01 8.05E+00 1.03E+01 8.65E+00 8.29E+00 2.48E+00 1.43E+00 5.72E-01 9.53E-02 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   3.75  0.558  1.69E+02 1.08E+02 1.15E+03 5.19E+00 7.43E+00 1.15E+01 9.29E+00 1.81E+01 1.26E+01 1.30E+01 1.08E+01 1.17E+01 5.62E+00 2.00E+00 6.67E-01 1.91E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   4.00  0.576  2.26E+02 1.43E+02 1.54E+03 6.76E+00 9.00E+00 1.73E+01 1.36E+01 1.95E+01 1.78E+01 1.79E+01 1.17E+01 1.33E+01 9.10E+00 5.05E+00 1.24E+00 5.72E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   4.25  0.594  3.08E+02 1.76E+02 1.87E+03 7.62E+00 1.01E+01 2.30E+01 2.17E+01 2.62E+01 1.99E+01 2.07E+01 1.30E+01 1.39E+01 9.77E+00 7.77E+00 1.81E+00 7.63E-01 1.00E-30 9.53E-02 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   4.50  0.611  4.18E+02 2.29E+02 2.40E+03 9.04E+00 1.18E+01 3.17E+01 3.12E+01 3.55E+01 2.70E+01 2.63E+01 1.65E+01 1.52E+01 1.11E+01 9.34E+00 2.86E+00 1.43E+00 1.91E-01 9.53E-02 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   4.75  0.628  5.50E+02 2.59E+02 2.73E+03 1.14E+01 1.22E+01 3.49E+01 3.49E+01 4.25E+01 2.87E+01 2.94E+01 1.89E+01 1.56E+01 1.10E+01 1.12E+01 5.19E+00 1.91E+00 6.67E-01 9.53E-02 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   5.00  0.644  7.23E+02 3.26E+02 3.46E+03 1.32E+01 1.47E+01 4.63E+01 4.28E+01 5.13E+01 3.88E+01 3.58E+01 2.62E+01 1.96E+01 1.22E+01 1.26E+01 7.77E+00 3.76E+00 6.67E-01 1.91E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   5.50  0.676  1.41E+03 5.79E+02 6.04E+03 2.97E+01 3.37E+01 7.06E+01 6.57E+01 9.35E+01 7.88E+01 7.15E+01 4.69E+01 3.64E+01 1.74E+01 1.43E+01 1.02E+01 7.72E+00 2.10E+00 7.63E-01 1.00E-30 9.53E-02 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   6.00  0.706  2.61E+03 1.07E+03 1.10E+04 5.10E+01 6.48E+01 1.35E+02 1.31E+02 1.74E+02 1.41E+02 1.36E+02 8.71E+01 6.38E+01 3.64E+01 2.21E+01 1.02E+01 1.02E+01 5.58E+00 1.91E+00 5.72E-01 9.53E-02 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   6.50  0.735  4.59E+03 1.85E+03 2.02E+04 6.50E+01 8.51E+01 2.16E+02 2.12E+02 2.73E+02 2.43E+02 2.48E+02 1.84E+02 1.37E+02 8.21E+01 5.25E+01 2.05E+01 1.37E+01 7.67E+00 5.86E+00 1.24E+00 2.86E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   7.00  0.763  8.18E+03 3.44E+03 3.84E+04 1.08E+02 1.58E+02 3.97E+02 3.85E+02 5.14E+02 4.45E+02 4.25E+02 3.40E+02 2.76E+02 1.72E+02 1.10E+02 6.04E+01 2.79E+01 1.06E+01 8.06E+00 2.96E+00 8.58E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   7.50  0.789  1.44E+04 6.02E+03 7.02E+04 1.97E+02 2.61E+02 6.28E+02 6.17E+02 8.22E+02 7.46E+02 7.66E+02 6.02E+02 5.05E+02 3.69E+02 2.48E+02 1.35E+02 7.58E+01 2.84E+01 1.22E+01 5.62E+00 2.48E+00 5.72E-01 9.53E-02 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   8.00  0.815  2.48E+04 9.70E+03 1.18E+05 3.02E+02 4.02E+02 9.09E+02 9.18E+02 1.26E+03 1.17E+03 1.23E+03 1.01E+03 8.29E+02 6.30E+02 4.79E+02 2.73E+02 1.63E+02 8.19E+01 3.56E+01 1.17E+01 5.53E+00 1.24E+00 1.91E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   8.50  0.840  4.19E+04 1.59E+04 1.99E+05 4.56E+02 6.27E+02 1.51E+03 1.49E+03 2.00E+03 1.83E+03 1.93E+03 1.61E+03 1.40E+03 1.07E+03 8.11E+02 5.40E+02 3.36E+02 1.77E+02 9.50E+01 3.38E+01 1.15E+01 2.96E+00 7.63E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   9.00  0.865  7.01E+04 2.65E+04 3.37E+05 7.18E+02 9.60E+02 2.44E+03 2.46E+03 3.31E+03 3.01E+03 3.12E+03 2.61E+03 2.34E+03 1.81E+03 1.39E+03 9.37E+02 6.47E+02 3.58E+02 2.04E+02 9.44E+01 3.78E+01 1.03E+01 1.91E+00 1.91E-01 9.53E-02 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   9.50  0.888  1.15E+05 4.41E+04 5.60E+05 1.26E+03 1.69E+03 4.07E+03 4.14E+03 5.56E+03 4.98E+03 5.19E+03 4.30E+03 3.71E+03 2.92E+03 2.28E+03 1.55E+03 1.07E+03 6.46E+02 3.78E+02 1.87E+02 9.14E+01 3.03E+01 7.77E+00 6.67E-01 9.53E-02 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
  10.00  0.911  1.86E+05 7.12E+04 9.16E+05 2.02E+03 2.74E+03 6.42E+03 6.43E+03 8.86E+03 8.00E+03 8.44E+03 6.96E+03 6.04E+03 4.72E+03 3.77E+03 2.58E+03 1.80E+03 1.11E+03 6.76E+02 3.61E+02 1.86E+02 7.88E+01 2.96E+01 5.81E+00 5.72E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
  11.00  0.956  5.22E+05 1.75E+05 2.30E+06 4.60E+03 6.35E+03 1.51E+04 1.53E+04 2.09E+04 1.91E+04 2.05E+04 1.73E+04 1.55E+04 1.22E+04 9.63E+03 6.64E+03 4.75E+03 2.93E+03 1.84E+03 1.04E+03 5.57E+02 2.55E+02 1.14E+02 4.25E+01 1.24E+01 2.38E+00 9.53E-02 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
  12.00  0.998  1.26E+06 3.67E+05 5.04E+06 8.97E+03 1.23E+04 2.94E+04 2.97E+04 4.09E+04 3.80E+04 4.19E+04 3.62E+04 3.40E+04 2.75E+04 2.28E+04 1.61E+04 1.16E+04 7.37E+03 4.82E+03 2.78E+03 1.56E+03 7.50E+02 3.35E+02 1.21E+02 4.73E+01 1.23E+01 2.48E+00 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
  13.00  1.039  2.80E+06 7.55E+05 1.06E+07 1.83E+04 2.48E+04 5.91E+04 5.94E+04 8.21E+04 7.61E+04 8.36E+04 7.23E+04 6.85E+04 5.63E+04 4.86E+04 3.53E+04 2.66E+04 1.72E+04 1.15E+04 6.92E+03 4.16E+03 2.13E+03 1.05E+03 4.34E+02 1.58E+02 4.56E+01 1.04E+01 1.38E+00 9.53E-02 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
  14.00  1.078  5.82E+06 1.52E+06 2.15E+07 3.54E+04 4.74E+04 1.15E+05 1.17E+05 1.64E+05 1.51E+05 1.68E+05 1.44E+05 1.37E+05 1.12E+05 9.67E+04 7.17E+04 5.62E+04 3.74E+04 2.61E+04 1.59E+04 9.73E+03 5.26E+03 2.82E+03 1.30E+03 5.59E+02 1.96E+02 5.66E+01 1.12E+01 2.86E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
  15.00  1.116  1.15E+07 2.87E+06 4.19E+07 6.43E+04 8.50E+04 2.07E+05 2.09E+05 2.97E+05 2.78E+05 3.16E+05 2.74E+05 2.65E+05 2.19E+05 1.90E+05 1.41E+05 1.12E+05 7.67E+04 5.55E+04 3.50E+04 2.22E+04 1.22E+04 6.69E+03 3.21E+03 1.55E+03 6.05E+02 2.04E+02 5.91E+01 1.11E+01 9.53E-02 1.00E-30 1.00E-30 1.00E-30 1.00E-30
  16.00  1.153  2.17E+07 5.18E+06 7.73E+07 1.12E+05 1.47E+05 3.61E+05 3.66E+05 5.18E+05 4.84E+05 5.52E+05 4.85E+05 4.81E+05 4.02E+05 3.59E+05 2.70E+05 2.16E+05 1.48E+05 1.10E+05 7.13E+04 4.71E+04 2.67E+04 1.51E+04 7.53E+03 3.74E+03 1.59E+03 5.96E+02 1.77E+02 4.44E+01 8.19E+00 9.53E-02 1.00E-30 1.00E-30 1.00E-30
  17.00  1.188  3.93E+07 8.91E+06 1.36E+08 1.86E+05 2.43E+05 5.99E+05 6.05E+05 8.62E+05 8.09E+05 9.34E+05 8.22E+05 8.20E+05 6.89E+05 6.30E+05 4.83E+05 3.98E+05 2.76E+05 2.06E+05 1.35E+05 9.26E+04 5.43E+04 3.20E+04 1.62E+04 8.45E+03 3.79E+03 1.57E+03 5.50E+02 1.54E+02 3.16E+01 2.38E+00 1.00E-30 1.00E-30 1.00E-30
