                    ************************************************************************************************
                    *  Z= 30 A= 66: Positive-Parity Spin-dependent Level Density [MeV-1] for Zn 66 and ldmodel= 5  *
                    ************************************************************************************************
 U[MeV]  T[MeV]  NCUMUL   RHOOBS   RHOTOT     J=00     J=01     J=02     J=03     J=04     J=05     J=06     J=07     J=08     J=09     J=10     J=11     J=12     J=13     J=14     J=15     J=16     J=17     J=18     J=19     J=20     J=21     J=22     J=23     J=24     J=25     J=26     J=27     J=28     J=29
   3.25  0.578  1.33E+01 4.45E+01 1.03E+02 1.80E+00 1.51E+00 5.33E+00 2.65E+00 3.09E+00 1.10E+00 3.89E-01 1.00E-30 3.89E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   3.50  0.600  1.98E+01 6.34E+01 1.28E+02 1.67E+00 1.11E+00 5.03E+00 3.34E+00 3.84E+00 2.04E+00 7.15E-01 1.08E-01 3.89E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   3.75  0.621  2.73E+01 9.01E+01 1.53E+02 1.55E+00 1.71E+00 3.89E+00 3.37E+00 4.89E+00 2.33E+00 1.66E+00 3.89E-01 3.89E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   4.00  0.642  3.56E+01 1.16E+02 1.68E+02 2.34E+00 1.55E+00 3.39E+00 3.67E+00 4.80E+00 2.69E+00 2.33E+00 7.15E-01 2.81E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   4.25  0.661  4.72E+01 1.48E+02 2.46E+02 4.12E+00 2.13E+00 5.58E+00 5.50E+00 4.93E+00 3.65E+00 4.30E+00 1.66E+00 1.08E-01 1.00E-30 1.08E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   4.50  0.681  6.32E+01 1.82E+02 3.58E+02 7.50E+00 3.41E+00 9.05E+00 9.36E+00 7.10E+00 3.11E+00 6.39E+00 2.13E+00 4.97E-01 1.00E-30 3.89E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   4.75  0.699  8.60E+01 2.06E+02 4.96E+02 1.03E+01 5.72E+00 1.47E+01 1.18E+01 1.25E+01 3.56E+00 6.67E+00 3.01E+00 1.10E+00 1.08E-01 3.89E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   5.00  0.717  1.19E+02 2.82E+02 6.83E+02 1.26E+01 9.66E+00 2.15E+01 1.48E+01 1.84E+01 5.90E+00 6.78E+00 3.99E+00 2.13E+00 3.89E-01 3.89E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   5.50  0.752  2.50E+02 4.38E+02 1.19E+03 1.78E+01 1.27E+01 3.20E+01 2.33E+01 3.08E+01 1.70E+01 1.06E+01 4.81E+00 5.88E+00 1.66E+00 1.08E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   6.00  0.786  4.62E+02 7.16E+02 1.90E+03 1.72E+01 1.38E+01 4.07E+01 3.30E+01 4.43E+01 2.81E+01 2.45E+01 1.08E+01 8.12E+00 3.27E+00 7.15E-01 1.00E-30 1.08E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
