                    ************************************************************************************************
                    *  Z= 38 A= 86: Positive-Parity Spin-dependent Level Density [MeV-1] for Sr 86 and ldmodel= 1  *
                    ************************************************************************************************
 U[MeV]  T[MeV]  NCUMUL   RHOOBS   RHOTOT     J=00     J=01     J=02     J=03     J=04     J=05     J=06     J=07     J=08     J=09     J=10     J=11     J=12     J=13     J=14     J=15     J=16     J=17     J=18     J=19     J=20     J=21     J=22     J=23     J=24     J=25     J=26     J=27     J=28     J=29
   0.25  0.144  5.69E-01 1.14E+00 9.51E+00 5.06E-02 1.39E-01 1.93E-01 2.06E-01 1.85E-01 1.44E-01 9.95E-02 6.12E-02 3.38E-02 1.68E-02 7.56E-03 3.08E-03 1.14E-03 3.82E-04 1.17E-04 3.24E-05 8.18E-06 1.88E-06 3.94E-07 7.53E-08 1.31E-08 2.08E-09 3.01E-10 3.98E-11 4.80E-12 5.28E-13 5.30E-14 4.85E-15 4.06E-16 3.10E-17
   0.50  0.204  1.46E+00 1.77E+00 1.48E+01 7.88E-02 2.16E-01 3.01E-01 3.22E-01 2.89E-01 2.25E-01 1.55E-01 9.54E-02 5.27E-02 2.62E-02 1.18E-02 4.80E-03 1.77E-03 5.96E-04 1.82E-04 5.04E-05 1.27E-05 2.93E-06 6.14E-07 1.17E-07 2.04E-08 3.24E-09 4.70E-10 6.20E-11 7.48E-12 8.22E-13 8.25E-14 7.56E-15 6.32E-16 4.82E-17
   0.75  0.250  2.82E+00 2.73E+00 2.29E+01 1.22E-01 3.33E-01 4.64E-01 4.96E-01 4.45E-01 3.47E-01 2.39E-01 1.47E-01 8.12E-02 4.04E-02 1.82E-02 7.40E-03 2.74E-03 9.18E-04 2.80E-04 7.78E-05 1.96E-05 4.52E-06 9.47E-07 1.81E-07 3.15E-08 5.00E-09 7.24E-10 9.57E-11 1.15E-11 1.27E-12 1.27E-13 1.17E-14 9.75E-16 7.44E-17
   1.00  0.288  4.91E+00 4.18E+00 3.50E+01 1.86E-01 5.10E-01 7.10E-01 7.59E-01 6.81E-01 5.31E-01 3.66E-01 2.25E-01 1.24E-01 6.18E-02 2.78E-02 1.13E-02 4.19E-03 1.40E-03 4.29E-04 1.19E-04 3.00E-05 6.91E-06 1.45E-06 2.77E-07 4.82E-08 7.65E-09 1.11E-09 1.46E-10 1.76E-11 1.94E-12 1.95E-13 1.78E-14 1.49E-15 1.14E-16
   1.25  0.322  8.09E+00 6.35E+00 5.31E+01 2.82E-01 7.74E-01 1.08E+00 1.15E+00 1.03E+00 8.07E-01 5.56E-01 3.42E-01 1.89E-01 9.39E-02 4.22E-02 1.72E-02 6.36E-03 2.13E-03 6.51E-04 1.81E-04 4.57E-05 1.05E-05 2.20E-06 4.20E-07 7.32E-08 1.16E-08 1.68E-09 2.22E-10 2.68E-11 2.95E-12 2.96E-13 2.71E-14 2.26E-15 1.73E-16
   1.50  0.353  1.29E+01 9.60E+00 8.03E+01 4.27E-01 1.17E+00 1.63E+00 1.74E+00 1.56E+00 1.22E+00 8.40E-01 5.16E-01 2.85E-01 1.42E-01 6.38E-02 2.60E-02 9.61E-03 3.23E-03 9.84E-04 2.73E-04 6.90E-05 1.59E-05 3.33E-06 6.35E-07 1.11E-07 1.76E-08 2.54E-09 3.36E-10 4.05E-11 4.45E-12 4.47E-13 4.09E-14 3.42E-15 2.61E-16
   1.75  0.381  2.01E+01 1.44E+01 1.21E+02 6.42E-01 1.76E+00 2.45E+00 2.62E+00 2.35E+00 1.83E+00 1.26E+00 7.77E-01 4.29E-01 2.13E-01 9.60E-02 3.91E-02 1.45E-02 4.85E-03 1.48E-03 4.11E-04 1.04E-04 2.39E-05 5.00E-06 9.55E-07 1.66E-07 2.64E-08 3.82E-09 5.05E-10 6.09E-11 6.69E-12 6.72E-13 6.15E-14 5.15E-15 3.93E-16
   2.00  0.408  3.09E+01 2.16E+01 1.81E+02 9.61E-01 2.64E+00 3.67E+00 3.92E+00 3.52E+00 2.74E+00 1.89E+00 1.16E+00 6.42E-01 3.20E-01 1.44E-01 5.86E-02 2.16E-02 7.26E-03 2.22E-03 6.15E-04 1.55E-04 3.57E-05 7.49E-06 1.43E-06 2.49E-07 3.95E-08 5.73E-09 7.56E-10 9.12E-11 1.00E-11 1.01E-12 9.22E-14 7.71E-15 5.88E-16
