                    ************************************************************************************************
                    *  Z= 38 A= 86: Positive-Parity Spin-dependent Level Density [MeV-1] for Sr 86 and ldmodel= 2  *
                    ************************************************************************************************
 U[MeV]  T[MeV]  NCUMUL   RHOOBS   RHOTOT     J=00     J=01     J=02     J=03     J=04     J=05     J=06     J=07     J=08     J=09     J=10     J=11     J=12     J=13     J=14     J=15     J=16     J=17     J=18     J=19     J=20     J=21     J=22     J=23     J=24     J=25     J=26     J=27     J=28     J=29
   3.25  0.557  2.22E+01 1.60E+01 1.38E+02 6.70E-01 1.85E+00 2.60E+00 2.82E+00 2.59E+00 2.07E+00 1.47E+00 9.41E-01 5.42E-01 2.83E-01 1.34E-01 5.81E-02 2.29E-02 8.23E-03 2.71E-03 8.13E-04 2.24E-04 5.64E-05 1.30E-05 2.75E-06 5.33E-07 9.46E-08 1.54E-08 2.30E-09 3.15E-10 3.96E-11 4.57E-12 4.83E-13 4.69E-14 4.18E-15
   3.50  0.578  3.42E+01 2.40E+01 2.10E+02 9.74E-01 2.69E+00 3.81E+00 4.17E+00 3.86E+00 3.13E+00 2.26E+00 1.47E+00 8.64E-01 4.62E-01 2.25E-01 9.98E-02 4.05E-02 1.51E-02 5.14E-03 1.60E-03 4.60E-04 1.21E-04 2.92E-05 6.48E-06 1.32E-06 2.47E-07 4.26E-08 6.75E-09 9.83E-10 1.32E-10 1.62E-11 1.84E-12 1.92E-13 1.84E-14
   3.75  0.598  5.19E+01 3.54E+01 3.14E+02 1.39E+00 3.86E+00 5.49E+00 6.05E+00 5.66E+00 4.65E+00 3.40E+00 2.25E+00 1.35E+00 7.36E-01 3.67E-01 1.67E-01 7.00E-02 2.68E-02 9.46E-03 3.06E-03 9.12E-04 2.50E-04 6.30E-05 1.46E-05 3.13E-06 6.16E-07 1.12E-07 1.87E-08 2.89E-09 4.10E-10 5.38E-11 6.51E-12 7.25E-13 7.46E-14
   4.00  0.618  7.76E+01 5.14E+01 4.64E+02 1.97E+00 5.47E+00 7.81E+00 8.67E+00 8.18E+00 6.79E+00 5.05E+00 3.39E+00 2.07E+00 1.15E+00 5.87E-01 2.75E-01 1.18E-01 4.66E-02 1.69E-02 5.68E-03 1.75E-03 4.99E-04 1.31E-04 3.18E-05 7.10E-06 1.47E-06 2.80E-07 4.93E-08 8.03E-09 1.21E-09 1.68E-10 2.16E-11 2.57E-12 2.82E-13
   4.25  0.637  1.15E+02 7.39E+01 6.75E+02 2.75E+00 7.66E+00 1.10E+01 1.23E+01 1.17E+01 9.80E+00 7.37E+00 5.02E+00 3.12E+00 1.77E+00 9.23E-01 4.42E-01 1.95E-01 7.91E-02 2.96E-02 1.02E-02 3.27E-03 9.66E-04 2.64E-04 6.65E-05 1.55E-05 3.36E-06 6.71E-07 1.24E-07 2.13E-08 3.38E-09 4.96E-10 6.76E-11 8.52E-12 9.95E-13
   4.50  0.655  1.67E+02 1.05E+02 9.72E+02 3.80E+00 1.06E+01 1.53E+01 1.72E+01 1.65E+01 1.40E+01 1.06E+01 7.35E+00 4.64E+00 2.68E+00 1.42E+00 6.97E-01 3.15E-01 1.31E-01 5.06E-02 1.80E-02 5.95E-03 1.82E-03 5.14E-04 1.35E-04 3.28E-05 7.39E-06 1.55E-06 3.00E-07 5.39E-08 9.00E-09 1.39E-09 2.00E-10 2.67E-11 3.31E-12
   4.75  0.673  2.41E+02 1.47E+02 1.38E+03 5.21E+00 1.45E+01 2.10E+01 2.38E+01 2.30E+01 1.97E+01 1.51E+01 1.06E+01 6.80E+00 4.00E+00 2.17E+00 1.08E+00 5.00E-01 2.14E-01 8.46E-02 3.11E-02 1.06E-02 3.33E-03 9.77E-04 2.66E-04 6.71E-05 1.57E-05 3.43E-06 6.96E-07 1.31E-07 2.29E-08 3.73E-09 5.65E-10 7.96E-11 1.04E-11
   5.00  0.691  3.43E+02 2.05E+02 1.95E+03 7.06E+00 1.98E+01 2.87E+01 3.26E+01 3.17E+01 2.74E+01 2.13E+01 1.51E+01 9.84E+00 5.89E+00 3.25E+00 1.66E+00 7.82E-01 3.42E-01 1.39E-01 5.24E-02 1.83E-02 5.97E-03 1.81E-03 5.09E-04 1.33E-04 3.25E-05 7.37E-06 1.56E-06 3.06E-07 5.61E-08 9.58E-09 1.52E-09 2.26E-10 3.11E-11
   5.50  0.725  7.30E+02 3.87E+02 3.77E+03 1.27E+01 3.56E+01 5.20E+01 5.97E+01 5.90E+01 5.18E+01 4.12E+01 2.99E+01 2.00E+01 1.23E+01 7.02E+00 3.72E+00 1.83E+00 8.35E-01 3.56E-01 1.41E-01 5.21E-02 1.80E-02 5.78E-03 1.73E-03 4.86E-04 1.27E-04 3.11E-05 7.09E-06 1.51E-06 3.02E-07 5.62E-08 9.78E-09 1.59E-09 2.42E-10
   6.00  0.757  1.44E+03 7.09E+02 7.08E+03 2.22E+01 6.25E+01 9.18E+01 1.06E+02 1.06E+02 9.47E+01 7.67E+01 5.69E+01 3.90E+01 2.47E+01 1.45E+01 7.95E+00 4.05E+00 1.93E+00 8.57E-01 3.56E-01 1.38E-01 5.01E-02 1.70E-02 5.42E-03 1.61E-03 4.50E-04 1.18E-04 2.88E-05 6.61E-06 1.42E-06 2.87E-07 5.43E-08 9.62E-09 1.60E-09
   6.50  0.788  2.70E+03 1.27E+03 1.29E+04 3.78E+01 1.07E+02 1.58E+02 1.85E+02 1.86E+02 1.69E+02 1.39E+02 1.05E+02 7.35E+01 4.77E+01 2.89E+01 1.63E+01 8.60E+00 4.24E+00 1.96E+00 8.48E-01 3.44E-01 1.31E-01 4.68E-02 1.57E-02 4.94E-03 1.46E-03 4.06E-04 1.06E-04 2.60E-05 6.01E-06 1.30E-06 2.66E-07 5.09E-08 9.18E-09
   7.00  0.817  4.91E+03 2.21E+03 2.30E+04 6.32E+01 1.79E+02 2.66E+02 3.13E+02 3.20E+02 2.93E+02 2.45E+02 1.88E+02 1.35E+02 8.95E+01 5.55E+01 3.22E+01 1.75E+01 8.94E+00 4.28E+00 1.92E+00 8.13E-01 3.23E-01 1.21E-01 4.26E-02 1.41E-02 4.40E-03 1.29E-03 3.58E-04 9.35E-05 2.30E-05 5.33E-06 1.16E-06 2.40E-07 4.65E-08
   7.50  0.846  8.68E+03 3.77E+03 4.02E+04 1.04E+02 2.94E+02 4.39E+02 5.21E+02 5.36E+02 4.97E+02 4.21E+02 3.30E+02 2.40E+02 1.63E+02 1.04E+02 6.17E+01 3.45E+01 1.81E+01 8.97E+00 4.18E+00 1.83E+00 7.59E-01 2.96E-01 1.09E-01 3.79E-02 1.24E-02 3.84E-03 1.12E-03 3.10E-04 8.08E-05 1.99E-05 4.63E-06 1.02E-06 2.11E-07
   8.00  0.874  1.50E+04 6.33E+03 6.88E+04 1.67E+02 4.76E+02 7.13E+02 8.51E+02 8.84E+02 8.28E+02 7.11E+02 5.66E+02 4.19E+02 2.90E+02 1.88E+02 1.15E+02 6.59E+01 3.56E+01 1.82E+01 8.74E+00 3.97E+00 1.70E+00 6.91E-01 2.65E-01 9.61E-02 3.30E-02 1.07E-02 3.29E-03 9.56E-04 2.63E-04 6.85E-05 1.69E-05 3.95E-06 8.73E-07
   8.50  0.901  2.55E+04 1.04E+04 1.16E+05 2.66E+02 7.58E+02 1.14E+03 1.37E+03 1.43E+03 1.36E+03 1.18E+03 9.50E+02 7.15E+02 5.04E+02 3.34E+02 2.08E+02 1.22E+02 6.79E+01 3.56E+01 1.77E+01 8.28E+00 3.68E+00 1.55E+00 6.16E-01 2.32E-01 8.32E-02 2.82E-02 9.07E-03 2.77E-03 8.00E-04 2.20E-04 5.72E-05 1.41E-05 3.31E-06
   9.00  0.927  4.25E+04 1.70E+04 1.92E+05 4.17E+02 1.19E+03 1.80E+03 2.17E+03 2.29E+03 2.19E+03 1.92E+03 1.57E+03 1.20E+03 8.59E+02 5.80E+02 3.69E+02 2.22E+02 1.26E+02 6.78E+01 3.46E+01 1.67E+01 7.66E+00 3.33E+00 1.37E+00 5.38E-01 2.00E-01 7.07E-02 2.37E-02 7.56E-03 2.29E-03 6.60E-04 1.81E-04 4.70E-05 1.16E-05
   9.50  0.952  6.97E+04 2.73E+04 3.13E+05 6.46E+02 1.85E+03 2.80E+03 3.40E+03 3.61E+03 3.48E+03 3.09E+03 2.55E+03 1.97E+03 1.44E+03 9.87E+02 6.40E+02 3.93E+02 2.28E+02 1.26E+02 6.59E+01 3.27E+01 1.54E+01 6.92E+00 2.95E+00 1.20E+00 4.62E-01 1.69E-01 5.91E-02 1.96E-02 6.22E-03 1.87E-03 5.37E-04 1.47E-04 3.81E-05
  10.00  0.977  1.13E+05 4.32E+04 5.05E+05 9.88E+02 2.83E+03 4.30E+03 5.25E+03 5.61E+03 5.45E+03 4.89E+03 4.09E+03 3.20E+03 2.37E+03 1.65E+03 1.09E+03 6.82E+02 4.05E+02 2.28E+02 1.22E+02 6.23E+01 3.02E+01 1.40E+01 6.13E+00 2.57E+00 1.02E+00 3.89E-01 1.41E-01 4.87E-02 1.60E-02 5.04E-03 1.51E-03 4.31E-04 1.17E-04
  11.00  1.025  3.23E+05 1.05E+05 1.27E+06 2.25E+03 6.46E+03 9.88E+03 1.21E+04 1.31E+04 1.30E+04 1.18E+04 1.01E+04 8.09E+03 6.14E+03 4.41E+03 3.00E+03 1.95E+03 1.20E+03 7.05E+02 3.94E+02 2.11E+02 1.07E+02 5.22E+01 2.43E+01 1.08E+01 4.56E+00 1.85E+00 7.17E-01 2.65E-01 9.40E-02 3.18E-02 1.03E-02 3.20E-03 9.47E-04
  12.00  1.070  8.13E+05 2.45E+05 3.04E+06 4.98E+03 1.43E+04 2.20E+04 2.73E+04 2.98E+04 2.97E+04 2.75E+04 2.38E+04 1.95E+04 1.51E+04 1.11E+04 7.74E+03 5.16E+03 3.28E+03 1.99E+03 1.15E+03 6.38E+02 3.38E+02 1.71E+02 8.31E+01 3.86E+01 1.72E+01 7.33E+00 2.99E+00 1.17E+00 4.39E-01 1.58E-01 5.45E-02 1.80E-02 5.70E-03
  13.00  1.114  1.93E+06 5.56E+05 7.06E+06 1.08E+04 3.12E+04 4.81E+04 5.99E+04 6.58E+04 6.62E+04 6.19E+04 5.43E+04 4.50E+04 3.54E+04 2.65E+04 1.89E+04 1.28E+04 8.35E+03 5.19E+03 3.09E+03 1.76E+03 9.61E+02 5.03E+02 2.52E+02 1.22E+02 5.61E+01 2.49E+01 1.06E+01 4.32E+00 1.69E+00 6.37E-01 2.30E-01 8.00E-02 2.67E-02
  14.00  1.156  4.37E+06 1.22E+06 1.58E+07 2.28E+04 6.60E+04 1.02E+05 1.28E+05 1.41E+05 1.43E+05 1.35E+05 1.20E+05 1.01E+05 8.03E+04 6.10E+04 4.42E+04 3.06E+04 2.03E+04 1.29E+04 7.86E+03 4.59E+03 2.57E+03 1.39E+03 7.16E+02 3.56E+02 1.70E+02 7.78E+01 3.43E+01 1.45E+01 5.93E+00 2.32E+00 8.75E-01 3.17E-01 1.11E-01
  15.00  1.197  9.61E+06 2.62E+06 3.46E+07 4.71E+04 1.36E+05 2.11E+05 2.66E+05 2.95E+05 3.01E+05 2.87E+05 2.57E+05 2.18E+05 1.76E+05 1.36E+05 9.99E+04 7.04E+04 4.75E+04 3.08E+04 1.91E+04 1.14E+04 6.56E+03 3.62E+03 1.92E+03 9.80E+02 4.81E+02 2.27E+02 1.04E+02 4.53E+01 1.91E+01 7.77E+00 3.04E+00 1.15E+00 4.16E-01
  16.00  1.236  2.06E+07 5.47E+06 7.35E+07 9.51E+04 2.75E+05 4.28E+05 5.40E+05 6.04E+05 6.20E+05 5.94E+05 5.37E+05 4.60E+05 3.76E+05 2.93E+05 2.19E+05 1.56E+05 1.07E+05 7.07E+04 4.48E+04 2.73E+04 1.60E+04 9.02E+03 4.90E+03 2.56E+03 1.29E+03 6.27E+02 2.94E+02 1.33E+02 5.77E+01 2.42E+01 9.78E+00 3.82E+00 1.44E+00
  17.00  1.274  4.29E+07 1.12E+07 1.53E+08 1.88E+05 5.46E+05 8.50E+05 1.08E+06 1.21E+06 1.25E+06 1.20E+06 1.10E+06 9.48E+05 7.82E+05 6.16E+05 4.66E+05 3.37E+05 2.35E+05 1.57E+05 1.01E+05 6.28E+04 3.75E+04 2.16E+04 1.20E+04 6.41E+03 3.31E+03 1.65E+03 7.90E+02 3.66E+02 1.64E+02 7.08E+01 2.95E+01 1.19E+01 4.61E+00
  18.00  1.311  8.77E+07 2.24E+07 3.10E+08 3.65E+05 1.06E+06 1.66E+06 2.10E+06 2.37E+06 2.46E+06 2.39E+06 2.19E+06 1.91E+06 1.59E+06 1.27E+06 9.67E+05 7.09E+05 5.00E+05 3.40E+05 2.22E+05 1.40E+05 8.51E+04 4.99E+04 2.82E+04 1.54E+04 8.11E+03 4.13E+03 2.03E+03 9.64E+02 4.42E+02 1.96E+02 8.40E+01 3.48E+01 1.39E+01
  19.00  1.347  1.76E+08 4.40E+07 6.19E+08 6.98E+05 2.03E+06 3.17E+06 4.04E+06 4.57E+06 4.76E+06 4.65E+06 4.29E+06 3.77E+06 3.17E+06 2.54E+06 1.96E+06 1.46E+06 1.04E+06 7.15E+05 4.74E+05 3.03E+05 1.87E+05 1.12E+05 6.42E+04 3.57E+04 1.92E+04 9.97E+03 5.01E+03 2.43E+03 1.14E+03 5.18E+02 2.28E+02 9.68E+01 3.98E+01
